Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,6.62997831e-03,1.06887417e-02,2.57270448e-02,3.86331184e-03
7.99999982e-02,1.38421338e-02,2.19427310e-02,2.84961127e-02,2.14909986e-02
1.19999997e-01,2.32112706e-02,3.61322872e-02,3.08741480e-02,7.96407908e-02
1.59999996e-01,3.22855040e-02,4.95225079e-02,3.12575847e-02,2.16782689e-01
2.00000003e-01,4.10314687e-02,6.19982406e-02,3.15356329e-02,2.92379349e-01
2.39999995e-01,4.89822850e-02,7.28803426e-02,2.96799280e-02,4.39872891e-01
2.80000001e-01,5.48011288e-02,8.05025101e-02,2.86261775e-02,6.05257869e-01
3.19999993e-01,5.82659133e-02,8.46429393e-02,2.79760454e-02,6.97538018e-01
3.60000014e-01,6.26359656e-02,8.98471996e-02,2.88481675e-02,8.56091082e-01
4.00000006e-01,6.44102842e-02,9.15098861e-02,3.02338600e-02,9.43679452e-01
4.39999998e-01,6.54808879e-02,9.22459438e-02,3.21802981e-02,1.07081723e+00
4.79999989e-01,6.54413700e-02,9.15608406e-02,3.45433429e-02,1.15028596e+00
5.19999981e-01,6.35290593e-02,8.85983631e-02,3.72664593e-02,1.28697467e+00
5.60000002e-01,6.28964007e-02,8.76792669e-02,4.10161242e-02,1.40883756e+00
6.00000024e-01,6.57798052e-02,9.18844491e-02,4.76634577e-02,1.52428710e+00
6.41029537e-01,6.73413873e-02,9.42825377e-02,5.20695075e-02,1.59978652e+00
6.83115125e-01,7.12164119e-02,9.98811871e-02,5.71983680e-02,1.67927814e+00
7.26283848e-01,7.83126801e-02,1.09889030e-01,6.41392916e-02,1.70935869e+00
7.70563781e-01,8.43771100e-02,1.18340194e-01,6.90472126e-02,1.77833498e+00
8.15983355e-01,9.21380967e-02,1.29035309e-01,7.48199522e-02,1.73625278e+00
8.62571895e-01,1.00217640e-01,1.40126422e-01,8.05020332e-02,1.76294565e+00
9.10359621e-01,1.06867224e-01,1.49188906e-01,8.46566707e-02,1.69834113e+00
9.59377348e-01,1.16149485e-01,1.62042052e-01,9.33950320e-02,1.87983000e+00
1.00965667e+00,1.24815777e-01,1.74035609e-01,1.00224495e-01,1.98128474e+00
1.06123006e+00,1.35276228e-01,1.88614413e-01,1.08764313e-01,2.53605366e+00
1.11413085e+00,1.48537233e-01,2.07294106e-01,1.22631639e-01,1.94489253e+00
1.16839325e+00,1.66818917e-01,2.33059853e-01,1.42492503e-01,3.33858228e+00
1.22405231e+00,1.90933555e-01,2.67110407e-01,1.72080666e-01,2.56676316e+00
1.28114390e+00,2.16593921e-01,3.03256452e-01,2.02281401e-01,3.62925959e+00
1.33970511e+00,2.59952664e-01,3.65054280e-01,2.63942808e-01,3.64298010e+00
1.39977336e+00,2.00959453e+04,2.81505527e+04,1.99076074e+04,2.10785571e+03
1.46138775e+00,2.47429023e+04,3.46413984e+04,2.33857832e+04,2.02791736e+03
1.52458799e+00,1.65447891e+04,2.31631289e+04,1.56993428e+04,1.49619580e+03
1.58941495e+00,1.54069932e+04,2.15764609e+04,1.49431543e+04,1.67503552e+03
1.65591037e+00,1.53387646e+04,2.14852461e+04,1.51048730e+04,1.88180774e+03
1.72411728e+00,1.63933242e+04,2.29667070e+04,1.63674463e+04,2.21686426e+03
1.79407966e+00,1.85520918e+04,2.59945762e+04,1.87104141e+04,2.66574805e+03
1.86584306e+00,2.11893105e+04,2.96913281e+04,2.14702207e+04,3.07141455e+03
1.93945324e+00,2.31860977e+04,3.24877852e+04,2.34229492e+04,3.19267969e+03
2.01495814e+00,2.32206367e+04,3.25311895e+04,2.31880176e+04,2.91279395e+03
2.09240627e+00,2.08532988e+04,2.92100430e+04,2.05732109e+04,2.41295605e+03
2.17184782e+00,1.75522246e+04,2.45838477e+04,1.71833809e+04,1.93857483e+03
2.25333428e+00,1.48178672e+04,2.07532578e+04,1.44412930e+04,1.60898657e+03
2.33691788e+00,1.29827266e+04,1.81830215e+04,1.26363350e+04,1.43330322e+03
2.42265272e+00,1.18775527e+04,1.66366426e+04,1.16294014e+04,1.39662134e+03
2.51059437e+00,1.18255186e+04,1.65660430e+04,1.16861523e+04,1.50192163e+03
2.60079956e+00,1.26477275e+04,1.77198691e+04,1.26022656e+04,1.72502661e+03
2.69332647e+00,1.38746016e+04,1.94408086e+04,1.39396523e+04,2.00892651e+03
2.78823495e+00,1.54855156e+04,2.16993418e+04,1.56411914e+04,2.32632471e+03
2.88558602e+00,1.73429336e+04,2.43031523e+04,1.76046250e+04,2.71369971e+03
2.98544264e+00,1.93646836e+04,2.71374629e+04,1.97614355e+04,3.15240527e+03
3.08786964e+00,2.13859238e+04,2.99708672e+04,2.19094375e+04,3.56513306e+03
3.19293284e+00,2.27669277e+04,3.19062969e+04,2.33607734e+04,3.78664282e+03
