Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,3.03409934e-01,3.95519406e-01,2.66503245e-01,2.12119427e+01
7.99999982e-02,3.72876287e-01,4.88478154e-01,2.99197763e-01,2.13754025e+01
1.19999997e-01,4.37951535e-01,5.74036002e-01,3.32279772e-01,2.14462090e+01
1.59999996e-01,5.07738948e-01,6.66018426e-01,3.74805629e-01,2.15715942e+01
2.00000003e-01,5.49040914e-01,7.19124615e-01,3.80433440e-01,2.15930977e+01
2.39999995e-01,6.18230700e-01,8.11232924e-01,4.26109046e-01,2.16776276e+01
2.80000001e-01,6.68731391e-01,8.78477931e-01,4.49141264e-01,2.16981983e+01
3.19999993e-01,7.26059437e-01,9.55081999e-01,4.96027797e-01,2.17278748e+01
3.60000014e-01,7.68213451e-01,1.01175666e+00,5.21157146e-01,2.17338028e+01
4.00000006e-01,8.32167208e-01,1.09691536e+00,5.88282943e-01,2.17789593e+01
4.39999998e-01,8.72171998e-01,1.14958131e+00,6.14868581e-01,2.17682419e+01
4.79999989e-01,9.23878908e-01,1.21997774e+00,6.99904680e-01,2.18117256e+01
5.19999981e-01,9.61467385e-01,1.26853240e+00,7.34316945e-01,2.18134346e+01
5.60000002e-01,1.01497328e+00,1.34319067e+00,8.52494001e-01,2.18817768e+01
6.00000024e-01,1.04191041e+00,1.37789869e+00,9.04563546e-01,2.18899937e+01
6.41029537e-01,1.09018099e+00,1.44647372e+00,1.05164135e+00,2.19459877e+01
6.83115125e-01,1.10245001e+00,1.46181524e+00,1.13368690e+00,2.19384823e+01
7.26283848e-01,1.14225221e+00,1.51268089e+00,1.25054896e+00,2.19990501e+01
7.70563781e-01,1.14037204e+00,1.51369631e+00,1.41769671e+00,2.20882645e+01
8.15983355e-01,1.19570911e+00,1.59660447e+00,1.65377760e+00,2.21779213e+01
8.62571895e-01,1.17619920e+00,1.57023525e+00,1.79578483e+00,2.23560867e+01
9.10359621e-01,1.22528195e+00,1.64362729e+00,2.07075286e+00,2.22984524e+01
9.59377348e-01,1.19075716e+00,1.59659541e+00,2.27333999e+00,2.25632744e+01
1.00965667e+00,1.23948395e+00,1.66848612e+00,2.60733867e+00,2.24840355e+01
1.06123006e+00,1.32783949e+00,1.79197967e+00,2.98045230e+00,2.27554016e+01
1.11413085e+00,1.40904391e+00,1.90355456e+00,3.39639831e+00,2.29326744e+01
1.16839325e+00,1.47555757e+00,1.99379730e+00,3.86622858e+00,2.38928604e+01
1.22405231e+00,1.53911269e+00,2.07962728e+00,4.42002296e+00,2.33475399e+01
1.28114390e+00,1.66338646e+00,2.24961543e+00,5.16159201e+00,2.44585934e+01
1.33970511e+00,1.79170012e+00,2.43513536e+00,6.15401411e+00,2.48236656e+01
1.39977336e+00,1.69440176e+04,2.37130859e+04,1.54096934e+04,7.10905945e+02
1.46138775e+00,1.53605654e+04,2.14869375e+04,1.35266172e+04,8.54914307e+02
1.52458799e+00,1.92934883e+04,2.70012871e+04,1.76279160e+04,1.45932971e+03
1.58941495e+00,1.87148496e+04,2.61942578e+04,1.72093320e+04,1.47696460e+03
1.65591037e+00,1.79848066e+04,2.51706504e+04,1.64357832e+04,1.39714844e+03
1.72411728e+00,1.69171055e+04,2.36740098e+04,1.53400928e+04,1.29569629e+03
1.79407966e+00,1.56546611e+04,2.19054629e+04,1.41185859e+04,1.20882410e+03
1.86584306e+00,1.43535244e+04,2.00838613e+04,1.29210000e+04,1.12445862e+03
1.93945324e+00,1.31375098e+04,1.83821719e+04,1.18390684e+04,1.05652502e+03
2.01495814e+00,1.20529414e+04,1.68648828e+04,1.08886592e+04,9.95017578e+02
2.09240627e+00,1.10842666e+04,1.55099082e+04,1.00413340e+04,9.39103027e+02
2.17184782e+00,1.01907256e+04,1.42601230e+04,9.25917383e+03,8.84373047e+02
2.25333428e+00,9.34973828e+03,1.30838066e+04,8.52194043e+03,8.30689453e+02
2.33691788e+00,8.56252637e+03,1.19828369e+04,7.83579834e+03,7.81113770e+02
2.42265272e+00,7.84265234e+03,1.09760020e+04,7.20677246e+03,7.34307434e+02
2.51059437e+00,7.21355664e+03,1.00960586e+04,6.65596973e+03,6.99483521e+02
2.60079956e+00,6.69556104e+03,9.37140918e+03,6.19764111e+03,6.57877380e+02
2.69332647e+00,6.27226855e+03,8.77932324e+03,5.82483301e+03,6.31376648e+02
2.78823495e+00,5.89066699e+03,8.24541699e+03,5.48527588e+03,6.01628174e+02
2.88558602e+00,5.51075195e+03,7.71388428e+03,5.14693164e+03,5.74346069e+02
2.98544264e+00,5.10593213e+03,7.14756543e+03,4.78677051e+03,5.41388977e+02
3.08786964e+00,4.68866797e+03,6.56397510e+03,4.41807324e+03,5.09463287e+02
3.19293284e+00,4.31241699e+03,6.03767139e+03,4.08095874e+03,4.77721619e+02
3.30070019e+00,4.01267651e+03,5.61853809e+03,3.81687109e+03,4.55287964e+02
3.41124129e+00,3.77885400e+03,5.29132129e+03,3.60502344e+03,4.34311127e+02
3.52462745e+00,3.59447144e+03,5.03356934e+03,3.44275854e+03,4.20341949e+02
3.64093208e+00,3.39946826e+03,4.76095508e+03,3.27369165e+03,4.04491730e+02
3.76023054e+00,3.24185889e+03,4.54060449e+03,3.13192920e+03,3.89618835e+02
