Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,3.75294962e-10,5.39487066e-10,9.87337767e-09,3.66623135e-05
7.99999982e-02,2.04265915e-09,3.04472847e-09,2.51627227e-07,2.87816103e-04
1.19999997e-01,7.70662290e-09,1.16739507e-08,3.08920607e-06,1.84337783e-03
1.59999996e-01,2.13851301e-08,3.25981873e-08,8.84198562e-06,8.65514390e-03
2.00000003e-01,4.61342076e-08,7.02600644e-08,1.27596331e-05,1.22449975e-02
2.39999995e-01,8.45963797e-08,1.30111971e-07,1.58297098e-05,2.04062164e-02
2.80000001e-01,1.33351023e-07,2.07043499e-07,1.90369283e-05,2.71288268e-02
3.19999993e-01,2.00688845e-07,3.15880897e-07,2.28912231e-05,5.07749841e-02
3.60000014e-01,3.02502542e-07,4.84467364e-07,2.73156384e-05,6.89591989e-02
4.00000006e-01,4.66654853e-07,7.61644969e-07,3.39660764e-05,1.32373795e-01
4.39999998e-01,7.39483994e-07,1.23500320e-06,4.66633719e-05,1.91216305e-01
4.79999989e-01,1.20397294e-06,2.04199341e-06,1.18286043e-04,2.86627978e-01
5.19999981e-01,2.04142043e-06,3.50511027e-06,1.41537370e-04,3.86503160e-01
5.60000002e-01,3.27057705e-06,5.67553707e-06,1.80870877e-04,5.39536834e-01
6.00000024e-01,5.89085266e-06,1.02586318e-05,3.16339487e-04,6.56902552e-01
6.41029537e-01,9.55471296e-06,1.64524681e-05,2.99832900e-03,8.72465372e-01
6.83115125e-01,1.57088762e-05,2.67152354e-05,3.67062469e-03,1.02006507e+00
7.26283848e-01,2.95765876e-05,4.99943344e-05,8.99902452e-03,1.34676850e+00
7.70563781e-01,4.30760592e-05,7.31364416e-05,1.66154318e-02,1.75693226e+00
8.15983355e-01,7.08778025e-05,1.20523211e-04,3.09248343e-02,2.43778110e+00
8.62571895e-01,1.15909177e-04,1.99470378e-04,3.93834040e-02,2.93401599e+00
9.10359621e-01,1.95383502e-04,3.43669963e-04,4.40539569e-02,3.71669531e+00
9.59377348e-01,4.07269195e-04,7.26285740e-04,4.42200974e-02,4.57869816e+00
1.00965667e+00,8.97655031e-04,1.67507154e-03,4.01806459e-02,5.43665504e+00
1.06123006e+00,3.16885533e-03,6.03998872e-03,3.83499302e-02,6.82452774e+00
1.11413085e+00,1.01397391e-02,1.85060836e-02,4.02882993e-02,7.76782608e+00
1.16839325e+00,2.24749669e-02,3.70069109e-02,3.81874815e-02,9.05022717e+00
1.22405231e+00,2.71945000e-02,4.09271196e-02,3.31433974e-02,1.02178030e+01
1.28114390e+00,2.45332792e-02,3.49012911e-02,3.08588054e-02,1.24208298e+01
1.33970511e+00,1.94849633e-02,2.67317183e-02,2.88767628e-02,1.35193253e+01
1.39977336e+00,2.02057930e+04,2.83048223e+04,2.00472031e+04,2.12272754e+03
1.46138775e+00,2.56306914e+04,3.58825156e+04,2.40526797e+04,1.98821069e+03
1.52458799e+00,1.54837920e+04,2.16744961e+04,1.45425420e+04,1.31210156e+03
1.58941495e+00,1.37550293e+04,1.92603594e+04,1.32156445e+04,1.39629114e+03
1.65591037e+00,1.32347461e+04,1.85357949e+04,1.29233516e+04,1.53649463e+03
1.72411728e+00,1.41659932e+04,1.98446875e+04,1.40670527e+04,1.86914478e+03
1.79407966e+00,1.65722324e+04,2.32200059e+04,1.66936875e+04,2.40828003e+03
1.86584306e+00,1.98135039e+04,2.77643906e+04,2.01339160e+04,2.99284546e+03
1.93945324e+00,2.25730234e+04,3.16307578e+04,2.29266074e+04,3.28874023e+03
2.01495814e+00,2.32039492e+04,3.25107617e+04,2.33507305e+04,3.10898486e+03
2.09240627e+00,2.15805664e+04,3.02320938e+04,2.14893750e+04,2.67007153e+03
2.17184782e+00,1.90714609e+04,2.67139336e+04,1.88069414e+04,2.19761572e+03
2.25333428e+00,1.64500430e+04,2.30394785e+04,1.60665859e+04,1.79189355e+03
2.33691788e+00,1.40218799e+04,1.96369707e+04,1.35895762e+04,1.47725537e+03
2.42265272e+00,1.21195322e+04,1.69722734e+04,1.17071562e+04,1.29988477e+03
2.51059437e+00,1.08479248e+04,1.51923711e+04,1.05180684e+04,1.23675854e+03
2.60079956e+00,1.03603174e+04,1.45113984e+04,1.01337812e+04,1.28431372e+03
2.69332647e+00,1.05750625e+04,1.48139043e+04,1.04217422e+04,1.39850684e+03
2.78823495e+00,1.09726953e+04,1.53724043e+04,1.08887744e+04,1.54271838e+03
2.88558602e+00,1.15460107e+04,1.61773369e+04,1.15503555e+04,1.72243066e+03
2.98544264e+00,1.26652002e+04,1.77469707e+04,1.27601152e+04,1.98848071e+03
3.08786964e+00,1.41893418e+04,1.98841094e+04,1.43954336e+04,2.33899121e+03
3.19293284e+00,1.61600293e+04,2.26472598e+04,1.65087695e+04,2.78557910e+03
3.30070019e+00,1.84223438e+04,2.58188711e+04,1.89185781e+04,3.25997632e+03
