Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,1.31635752e-27,1.82089589e-27,2.70310277e-27,6.21748924e+01
7.99999982e-02,7.86033270e-26,1.11546239e-25,2.76029136e-25,6.81511612e+01
1.19999997e-01,1.92564300e-25,2.78953591e-25,1.15295690e-24,7.08625336e+01
1.59999996e-01,3.36654403e-25,4.88304309e-25,2.07089536e-24,7.58893280e+01
2.00000003e-01,5.61278725e-25,8.14473148e-25,3.49804276e-24,7.68293076e+01
2.39999995e-01,9.18821894e-25,1.33375790e-24,5.81654440e-24,8.10942993e+01
2.80000001e-01,1.44656944e-24,2.10046049e-24,9.27805580e-24,8.27395935e+01
3.19999993e-01,2.18989207e-24,3.18073174e-24,1.42147466e-23,8.61711426e+01
3.60000014e-01,3.21836258e-24,4.67712278e-24,2.41112464e-23,8.76851349e+01
4.00000006e-01,4.63714607e-24,6.74881391e-24,6.03818812e-23,9.07025146e+01
4.39999998e-01,6.64538635e-24,9.70730499e-24,3.01585210e-22,9.19821625e+01
4.79999989e-01,1.26103123e-23,1.91291323e-23,1.62684148e-20,9.45831757e+01
5.19999981e-01,2.63520558e-21,4.82292220e-21,5.92254867e-18,9.57575989e+01
5.60000002e-01,1.55630969e-19,2.91455874e-19,4.46736505e-16,9.77534943e+01
6.00000024e-01,5.08299178e-18,8.73922107e-18,5.70693192e-14,9.89673309e+01
6.41029537e-01,5.61961510e-15,9.64997278e-15,2.15477757e-11,1.03530182e+02
6.83115125e-01,3.36956076e-13,5.88462113e-13,1.75060322e-09,1.01710091e+02
7.26283848e-01,1.65961425e-10,2.93606833e-10,9.69087992e-08,1.06029526e+02
7.70563781e-01,2.83082691e-09,5.10747800e-09,2.29509214e-06,1.04403503e+02
8.15983355e-01,2.37760830e-07,4.24216211e-07,1.56373262e-05,1.12988762e+02
