Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,1.38794538e-04,2.28961944e-04,1.71487732e-03,1.54549748e-01
7.99999982e-02,1.16992346e-03,1.80591037e-03,3.97814019e-03,2.58867592e-01
1.19999997e-01,3.03599867e-03,4.52536717e-03,5.19923121e-03,3.89006913e-01
1.59999996e-01,4.58028819e-03,6.62263017e-03,6.10918179e-03,5.24814367e-01
2.00000003e-01,4.97125834e-03,7.10304361e-03,7.28875818e-03,6.42205954e-01
2.39999995e-01,5.61737083e-03,7.97642395e-03,8.46889429e-03,7.28555202e-01
2.80000001e-01,6.20540138e-03,8.84778239e-03,9.79510043e-03,8.15974593e-01
3.19999993e-01,7.43346661e-03,1.06220376e-02,1.09904315e-02,9.00156736e-01
3.60000014e-01,8.21859576e-03,1.17729884e-02,1.22448066e-02,9.79837954e-01
4.00000006e-01,9.25453845e-03,1.32015515e-02,1.31581835e-02,1.04830146e+00
4.39999998e-01,9.20412317e-03,1.31169148e-02,1.38070965e-02,1.13536787e+00
4.79999989e-01,9.69829410e-03,1.37904994e-02,1.46827679e-02,1.20737553e+00
5.19999981e-01,1.02785118e-02,1.46725457e-02,1.56826396e-02,1.28206563e+00
5.60000002e-01,1.16044935e-02,1.64918676e-02,1.66751966e-02,1.35147917e+00
6.00000024e-01,1.18501820e-02,1.69079080e-02,1.80077441e-02,1.45176363e+00
6.41029537e-01,1.27539588e-02,1.81671754e-02,1.89019591e-02,1.53416038e+00
6.83115125e-01,1.23294247e-02,1.76457837e-02,1.95846353e-02,1.63561010e+00
7.26283848e-01,1.22062974e-02,1.75383873e-02,1.99335981e-02,1.75744033e+00
7.70563781e-01,1.20216552e-02,1.73265710e-02,1.99297406e-02,1.87007642e+00
8.15983355e-01,1.19777620e-02,1.73026361e-02,1.99018419e-02,2.03961468e+00
8.62571895e-01,1.16486009e-02,1.68621670e-02,1.99271701e-02,2.16601562e+00
9.10359621e-01,1.16224345e-02,1.68335624e-02,2.00505145e-02,2.34142351e+00
9.59377348e-01,1.14831114e-02,1.66397355e-02,2.02532392e-02,2.50016236e+00
1.00965667e+00,1.15570640e-02,1.67421009e-02,2.03716606e-02,2.67396712e+00
1.06123006e+00,1.17718838e-02,1.70494486e-02,2.08389014e-02,2.90817809e+00
1.11413085e+00,1.21492669e-02,1.75951868e-02,2.13546436e-02,3.16562128e+00
1.16839325e+00,1.26472618e-02,1.83085762e-02,2.16440130e-02,3.43622470e+00
1.22405231e+00,1.31795853e-02,1.90634672e-02,2.19753385e-02,3.73498154e+00
1.28114390e+00,1.39391944e-02,2.01470237e-02,2.27019396e-02,4.08479881e+00
1.33970511e+00,1.49444025e-02,2.15773433e-02,2.35757604e-02,4.52081728e+00
1.39977336e+00,2.02083027e+04,2.83084395e+04,2.00534609e+04,2.10019141e+03
1.46138775e+00,2.59685781e+04,3.63565234e+04,2.44108984e+04,2.02526880e+03
1.52458799e+00,1.56359043e+04,2.18882168e+04,1.47435410e+04,1.34307117e+03
1.58941495e+00,1.47263105e+04,2.06216621e+04,1.42150752e+04,1.50708105e+03
1.65591037e+00,1.45583828e+04,2.03895410e+04,1.42067305e+04,1.61372400e+03
1.72411728e+00,1.45700117e+04,2.04076836e+04,1.43133066e+04,1.69687830e+03
1.79407966e+00,1.46548848e+04,2.05278555e+04,1.44627715e+04,1.76803662e+03
1.86584306e+00,1.47695840e+04,2.06894844e+04,1.46253564e+04,1.82997021e+03
1.93945324e+00,1.49000918e+04,2.08730352e+04,1.47928965e+04,1.88487378e+03
2.01495814e+00,1.50322783e+04,2.10588008e+04,1.49545586e+04,1.93333496e+03
2.09240627e+00,1.51997949e+04,2.12939648e+04,1.51470254e+04,1.98308362e+03
2.17184782e+00,1.54191562e+04,2.16016836e+04,1.53871602e+04,2.03453687e+03
2.25333428e+00,1.56418164e+04,2.19138984e+04,1.56249463e+04,2.08139355e+03
2.33691788e+00,1.57959893e+04,2.21300117e+04,1.57872676e+04,2.11308276e+03
2.42265272e+00,1.58255156e+04,2.21713770e+04,1.58187051e+04,2.12092041e+03
2.51059437e+00,1.57083105e+04,2.20071250e+04,1.56996504e+04,2.10671704e+03
2.60079956e+00,1.54695068e+04,2.16725039e+04,1.54575273e+04,2.07398193e+03
2.69332647e+00,1.51783877e+04,2.12646348e+04,1.51644395e+04,2.03636475e+03
2.78823495e+00,1.49354961e+04,2.09244355e+04,1.49241484e+04,2.00999707e+03
2.88558602e+00,1.48502988e+04,2.08052812e+04,1.48479795e+04,2.01154761e+03
2.98544264e+00,1.49546270e+04,2.09517070e+04,1.49649639e+04,2.04167847e+03
3.08786964e+00,1.51814893e+04,2.12697812e+04,1.52048066e+04,2.08854639e+03
3.19293284e+00,1.54731494e+04,2.16785977e+04,1.55091104e+04,2.14415210e+03
3.30070019e+00,1.57890293e+04,2.21212930e+04,1.58362021e+04,2.20203662e+03
3.41124129e+00,1.60509219e+04,2.24882832e+04,1.61058848e+04,2.24848511e+03
3.52462745e+00,1.62094561e+04,2.27103984e+04,1.62683145e+04,2.27811108e+03
3.64093208e+00,1.62980146e+04,2.28344375e+04,1.63584199e+04,2.29630273e+03
3.76023054e+00,1.63329092e+04,2.28832461e+04,1.63915469e+04,2.30426514e+03
