Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,1.96983407e-09,4.18175361e-09,3.61901584e-08,2.16444988e+01
7.99999982e-02,7.09204917e-09,1.56522830e-08,2.66109100e-06,2.23692455e+01
1.19999997e-01,1.72298265e-08,3.88655685e-08,1.82746480e-05,2.26004791e+01
1.59999996e-01,3.02425924e-08,7.06548846e-08,6.17839614e-05,2.31904812e+01
2.00000003e-01,4.36563710e-08,1.04889267e-07,1.75430076e-04,2.34479656e+01
2.39999995e-01,6.00111818e-08,1.46748590e-07,3.49311769e-04,2.38462944e+01
2.80000001e-01,8.26262792e-08,2.05069142e-07,6.96593197e-04,2.40777779e+01
3.19999993e-01,1.16393942e-07,2.93026318e-07,1.24896236e-03,2.44209671e+01
3.60000014e-01,1.69543725e-07,4.35715123e-07,2.30664387e-03,2.47059174e+01
4.00000006e-01,2.55330377e-07,6.87765009e-07,3.86276073e-03,2.50380325e+01
4.39999998e-01,4.56638134e-07,1.30336787e-06,5.46096824e-03,2.53813934e+01
4.79999989e-01,7.96993902e-07,2.45022738e-06,7.79880071e-03,2.57300987e+01
5.19999981e-01,2.07233916e-06,6.53499501e-06,1.14292111e-02,2.60553074e+01
5.60000002e-01,3.22376400e-06,1.06733332e-05,1.64940488e-02,2.64145241e+01
6.00000024e-01,7.74522869e-06,2.34727777e-05,2.57861800e-02,2.67858105e+01
6.41029537e-01,2.53357921e-05,6.20998107e-05,3.48098502e-02,2.72023621e+01
6.83115125e-01,4.89044032e-05,1.17312054e-04,4.73666191e-02,2.76312561e+01
7.26283848e-01,9.33865376e-05,2.16227141e-04,6.66075051e-02,2.81314354e+01
7.70563781e-01,1.42779769e-04,3.50487651e-04,8.98094550e-02,2.86747875e+01
8.15983355e-01,2.42007547e-04,5.90378244e-04,1.18352160e-01,2.92407265e+01
8.62571895e-01,5.56627579e-04,1.37588172e-03,1.64427444e-01,2.99028721e+01
9.10359621e-01,1.78114069e-03,4.24566679e-03,2.29243696e-01,3.05607300e+01
9.59377348e-01,5.05385455e-03,9.42857563e-03,3.22046340e-01,3.11729603e+01
1.00965667e+00,8.73917621e-03,1.41452299e-02,4.42195088e-01,3.19954033e+01
1.06123006e+00,1.47959674e-02,2.12948844e-02,6.51771665e-01,3.26658173e+01
1.11413085e+00,1.76955406e-02,2.28102431e-02,9.48739052e-01,3.35440063e+01
1.16839325e+00,1.77947246e-02,2.07776818e-02,1.24843991e+00,3.41008987e+01
1.22405231e+00,1.58819705e-02,1.76047478e-02,1.53260398e+00,3.44057045e+01
1.28114390e+00,1.49640366e-02,1.62199996e-02,1.84922552e+00,3.43485718e+01
1.33970511e+00,1.52233616e-02,1.64787099e-02,2.13361979e+00,3.54618301e+01
1.39977336e+00,2.07098242e+04,2.89956426e+04,1.95159648e+04,1.27845837e+03
