Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,2.43597031e-09,3.41269901e-09,1.60998843e-05,2.96138052e-04
7.99999982e-02,1.34430858e-08,1.93408596e-08,7.65656659e-05,6.12755539e-04
1.19999997e-01,3.57359404e-08,5.20582262e-08,1.43914513e-04,6.36598794e-04
1.59999996e-01,6.51835137e-08,9.64305613e-08,2.59380904e-04,8.34731676e-04
2.00000003e-01,1.19529872e-07,1.78943736e-07,7.65821431e-04,8.70837888e-04
2.39999995e-01,1.93610703e-07,2.93472226e-07,1.69388810e-03,1.29163521e-03
2.80000001e-01,3.79443406e-07,5.76852926e-07,3.04920017e-03,1.90191763e-03
3.19999993e-01,7.88240641e-07,1.22650499e-06,5.93200885e-03,2.40122620e-03
3.60000014e-01,1.61222692e-06,2.48870447e-06,1.00436267e-02,4.04581288e-03
4.00000006e-01,3.25258611e-06,4.96192524e-06,1.55868335e-02,5.60986763e-03
4.39999998e-01,4.90808270e-06,7.47911054e-06,2.29415521e-02,9.10843350e-03
4.79999989e-01,9.92820969e-06,1.52547709e-05,3.38719785e-02,1.45159243e-02
5.19999981e-01,2.13607291e-05,3.20283943e-05,4.62574139e-02,1.84507892e-02
5.60000002e-01,4.01045945e-05,5.91793359e-05,5.97599372e-02,3.59032303e-02
6.00000024e-01,6.87972788e-05,1.00017445e-04,7.85635188e-02,4.23910655e-02
6.41029537e-01,1.15336981e-04,1.64940633e-04,9.52987149e-02,8.30257311e-02
6.83115125e-01,1.75267181e-04,2.49106146e-04,1.06514476e-01,9.56707373e-02
7.26283848e-01,2.60477362e-04,3.69065529e-04,1.09905824e-01,1.10148795e-01
7.70563781e-01,3.64017789e-04,5.15985535e-04,1.11400366e-01,1.86826780e-01
8.15983355e-01,5.05452219e-04,7.16741895e-04,1.15514129e-01,3.08580101e-01
8.62571895e-01,6.82327896e-04,9.70950001e-04,1.29985943e-01,3.29487264e-01
9.10359621e-01,9.26554319e-04,1.33638759e-03,1.41009048e-01,5.01219213e-01
9.59377348e-01,1.44999893e-03,2.13347189e-03,1.51054785e-01,5.37474632e-01
1.00965667e+00,2.40990892e-03,3.67447757e-03,1.64912716e-01,7.43642271e-01
1.06123006e+00,4.29436564e-03,7.09487312e-03,1.83564931e-01,9.66669500e-01
1.11413085e+00,1.02131274e-02,1.80985704e-02,2.05194533e-01,1.16342616e+00
1.16839325e+00,2.13255528e-02,3.62547599e-02,2.39692703e-01,1.32881641e+00
1.22405231e+00,3.09929010e-02,4.98692393e-02,2.90734768e-01,1.49563253e+00
1.28114390e+00,3.50880921e-02,5.34689799e-02,3.55191648e-01,1.78502202e+00
1.33970511e+00,3.28270756e-02,4.87532653e-02,4.19718325e-01,2.02042317e+00
1.39977336e+00,2.01355273e+04,2.82065000e+04,1.99862754e+04,2.12381787e+03
1.46138775e+00,2.53542930e+04,3.54984219e+04,2.39899863e+04,2.07034448e+03
1.52458799e+00,1.57039414e+04,2.19861387e+04,1.49293662e+04,1.42606030e+03
1.58941495e+00,1.57648867e+04,2.20793633e+04,1.53803525e+04,1.72899353e+03
1.65591037e+00,1.68789570e+04,2.36428359e+04,1.66264980e+04,1.94468481e+03
1.72411728e+00,1.74446172e+04,2.44345664e+04,1.71513555e+04,1.95155444e+03
1.79407966e+00,1.64380234e+04,2.30223164e+04,1.60399473e+04,1.74082422e+03
1.86584306e+00,1.42895273e+04,2.00114648e+04,1.38489072e+04,1.46070117e+03
1.93945324e+00,1.21314531e+04,1.69889648e+04,1.17345078e+04,1.25322900e+03
2.01495814e+00,1.07770664e+04,1.50935938e+04,1.04766631e+04,1.18551917e+03
2.09240627e+00,1.05853496e+04,1.48273691e+04,1.03908115e+04,1.27934204e+03
2.17184782e+00,1.13816172e+04,1.59456074e+04,1.13166191e+04,1.52737036e+03
2.25333428e+00,1.32272119e+04,1.85343262e+04,1.33214697e+04,1.94857312e+03
2.33691788e+00,1.63045352e+04,2.28489492e+04,1.65962344e+04,2.59385254e+03
2.42265272e+00,1.98125742e+04,2.77665195e+04,2.03041562e+04,3.27161060e+03
2.51059437e+00,2.23379883e+04,3.13055918e+04,2.29274473e+04,3.68973462e+03
2.60079956e+00,2.34592773e+04,3.28761250e+04,2.40575898e+04,3.81646606e+03
2.69332647e+00,2.35404141e+04,3.29884766e+04,2.40818984e+04,3.71712891e+03
2.78823495e+00,2.27401660e+04,3.18646602e+04,2.31327539e+04,3.40949683e+03
2.88558602e+00,2.10287500e+04,2.94641113e+04,2.12511914e+04,2.98586157e+03
2.98544264e+00,1.92508984e+04,2.69714062e+04,1.93477578e+04,2.61286060e+03
3.08786964e+00,1.78876250e+04,2.50602930e+04,1.78965098e+04,2.34848218e+03
3.19293284e+00,1.68617793e+04,2.36224453e+04,1.68104746e+04,2.16693994e+03
3.30070019e+00,1.61169014e+04,2.25783320e+04,1.60182793e+04,2.05218555e+03
3.41124129e+00,1.62700107e+04,2.27934844e+04,1.61828086e+04,2.11059277e+03
3.52462745e+00,1.71190938e+04,2.39830840e+04,1.70193359e+04,2.23930225e+03
3.64093208e+00,1.71884238e+04,2.40796055e+04,1.70648223e+04,2.26601953e+03
3.76023054e+00,1.70644863e+04,2.39055117e+04,1.69227637e+04,2.26098608e+03
3.88259912e+00,1.66112285e+04,2.32696191e+04,1.64291133e+04,2.19828711e+03
4.00811720e+00,1.55209951e+04,2.17419883e+04,1.53320293e+04,2.08406738e+03
4.13686609e+00,1.41497988e+04,1.98214141e+04,1.39881328e+04,1.96227686e+03
4.26892853e+00,1.29346016e+04,1.81201758e+04,1.28371270e+04,1.88954846e+03
4.40439081e+00,1.22839375e+04,1.72098184e+04,1.22485586e+04,1.88412756e+03
4.54333878e+00,1.23009727e+04,1.72345430e+04,1.23100557e+04,1.95847400e+03
4.68586397e+00,1.28388135e+04,1.79891465e+04,1.29068594e+04,2.12903833e+03
4.83205652e+00,1.41628398e+04,1.98463301e+04,1.43448438e+04,2.45695728e+03
4.98201227e+00,1.69200098e+04,2.37116914e+04,1.72377988e+04,2.98556885e+03
5.13582754e+00,1.95516641e+04,2.73988926e+04,1.99080332e+04,3.40520166e+03
5.29360199e+00,2.04009395e+04,2.85877812e+04,2.07493867e+04,3.54702661e+03
5.45543718e+00,2.08669395e+04,2.92402305e+04,2.12240195e+04,3.61642944e+03
5.62143755e+00,2.10283828e+04,2.94650000e+04,2.13240723e+04,3.56410986e+03
5.79171038e+00,2.02703457e+04,2.84010898e+04,2.04594902e+04,3.34700757e+03
5.96636629e+00,1.89126914e+04,2.64969609e+04,1.89771777e+04,3.04707031e+03
6.14551687e+00,1.70636973e+04,2.39049141e+04,1.70268730e+04,2.72717407e+03
6.32927942e+00,1.53942236e+04,2.15656680e+04,1.53207559e+04,2.49444312e+03
6.51777077e+00,1.45702773e+04,2.04111914e+04,1.44754795e+04,2.39350586e+03
6.71111441e+00,1.39472988e+04,1.95379902e+04,1.38291357e+04,2.32005078e+03
6.90943432e+00,1.32871123e+04,1.86133770e+04,1.31835205e+04,2.27835059e+03
7.11285782e+00,1.30550342e+04,1.82888691e+04,1.29766602e+04,2.29864990e+03
7.32151794e+00,1.30595781e+04,1.82955684e+04,1.29917480e+04,2.33327881e+03
7.53554821e+00,1.31204141e+04,1.83808066e+04,1.30532910e+04,2.38613037e+03
7.75508738e+00,1.30439863e+04,1.82749062e+04,1.30386621e+04,2.46040991e+03
7.98027754e+00,1.38667344e+04,1.94293086e+04,1.39457910e+04,2.65953223e+03
