Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,5.41997451e-07,9.80363893e-07,7.38527817e-09,2.27001686e+01
7.99999982e-02,5.45843204e-06,1.00360903e-05,8.33714537e-08,2.57136192e+01
1.19999997e-01,2.97237966e-05,5.05324897e-05,3.73484170e-07,2.70451546e+01
1.59999996e-01,9.89534747e-05,1.54768175e-04,1.07948597e-06,2.91439266e+01
2.00000003e-01,1.57792078e-04,2.34611085e-04,2.06530967e-06,3.01921902e+01
2.39999995e-01,2.66531162e-04,3.84841405e-04,2.88683850e-06,3.18585796e+01
2.80000001e-01,3.72141891e-04,5.16570290e-04,3.94930385e-06,3.30374908e+01
3.19999993e-01,4.56357491e-04,6.14083721e-04,4.57874557e-06,3.44691849e+01
3.60000014e-01,5.06263692e-04,6.59450539e-04,4.79989740e-06,3.55397339e+01
4.00000006e-01,5.15269581e-04,6.62816281e-04,4.43035105e-06,3.67456665e+01
4.39999998e-01,4.90840001e-04,6.31487230e-04,4.10199664e-06,3.77860336e+01
4.79999989e-01,5.48348064e-04,7.12500711e-04,3.92076072e-06,3.90294876e+01
5.19999981e-01,5.35521365e-04,6.88983942e-04,4.07701737e-06,4.01964378e+01
5.60000002e-01,6.41080318e-04,8.22533737e-04,4.06828576e-06,4.14625626e+01
6.00000024e-01,6.00759406e-04,7.58818700e-04,4.46842341e-06,4.26634369e+01
6.41029537e-01,7.42042088e-04,9.31181363e-04,4.92276604e-06,4.39563675e+01
6.83115125e-01,6.51789189e-04,7.96864915e-04,1.76729845e-05,4.53005219e+01
7.26283848e-01,6.80827012e-04,8.20365676e-04,6.09207236e-05,4.68132210e+01
7.70563781e-01,6.43663225e-04,7.39231938e-04,2.55460240e-04,4.84111862e+01
8.15983355e-01,6.85941544e-04,7.68409227e-04,1.05202873e-03,4.97676468e+01
8.62571895e-01,4.05170460e-04,4.33547655e-04,3.24199372e-03,5.17391129e+01
9.10359621e-01,4.48379666e-04,4.85064491e-04,6.62456546e-03,5.33445129e+01
9.59377348e-01,3.14209406e-04,3.49642971e-04,1.28501281e-02,5.59382744e+01
1.00965667e+00,3.67887871e-04,4.18948039e-04,2.15639472e-02,5.92964478e+01
1.06123006e+00,4.38973017e-04,5.12731320e-04,3.38346027e-02,5.96460228e+01
1.11413085e+00,5.28538367e-04,6.38058991e-04,5.26349694e-02,6.19473495e+01
1.16839325e+00,7.15872506e-04,9.01587075e-04,8.30124170e-02,6.31996918e+01
1.22405231e+00,1.02411839e-03,1.31549791e-03,1.27199203e-01,6.70018234e+01
1.28114390e+00,1.48582831e-03,1.91824988e-03,1.98258162e-01,6.73624954e+01
