Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,1.08736238e-08,1.82850446e-08,2.27960199e-03,4.70109701e-01
7.99999982e-02,2.72563003e-08,4.86183076e-08,3.54779791e-03,5.32721996e-01
1.19999997e-01,4.76157176e-08,8.61045564e-08,4.36148420e-03,5.59372723e-01
1.59999996e-01,8.04134075e-08,1.45220113e-07,5.40129235e-03,5.94707131e-01
2.00000003e-01,1.52194886e-07,2.74407341e-07,7.14247255e-03,6.72636509e-01
2.39999995e-01,3.60798367e-07,6.38472102e-07,9.53309890e-03,6.99420452e-01
2.80000001e-01,1.80803261e-06,3.42636463e-06,1.60879865e-02,8.24452877e-01
3.19999993e-01,9.58808596e-06,1.68411134e-05,2.58035176e-02,8.64326954e-01
3.60000014e-01,2.42632123e-05,4.25165563e-05,3.83186154e-02,1.01780701e+00
4.00000006e-01,1.17209391e-04,1.93562300e-04,6.05712608e-02,1.05450749e+00
4.39999998e-01,1.81649899e-04,2.98065832e-04,7.47152716e-02,1.14014792e+00
4.79999989e-01,2.79186585e-04,4.55463043e-04,9.61775482e-02,1.23386765e+00
5.19999981e-01,4.90885926e-04,7.87144061e-04,1.12833902e-01,1.26160789e+00
5.60000002e-01,6.57514203e-04,1.06925925e-03,1.35916084e-01,1.39638770e+00
6.00000024e-01,9.46614251e-04,1.55549473e-03,1.58226654e-01,1.39880323e+00
6.41029537e-01,1.47708354e-03,2.43366323e-03,1.92155316e-01,1.54512739e+00
6.83115125e-01,2.17770925e-03,3.61090619e-03,2.25523219e-01,1.56173611e+00
7.26283848e-01,3.86756798e-03,6.30735466e-03,2.68832803e-01,1.70861459e+00
7.70563781e-01,5.56234969e-03,9.10935923e-03,3.24509919e-01,1.70620012e+00
8.15983355e-01,8.39890912e-03,1.37305288e-02,4.07932997e-01,1.91388941e+00
8.62571895e-01,1.24036111e-02,2.02049725e-02,4.66147423e-01,1.87447047e+00
9.10359621e-01,1.85622945e-02,2.99972426e-02,5.34439921e-01,2.12125492e+00
9.59377348e-01,2.67652236e-02,4.29399461e-02,5.65808892e-01,2.18640900e+00
1.00965667e+00,3.86678986e-02,6.15055859e-02,5.97254395e-01,2.39910698e+00
1.06123006e+00,5.88810295e-02,9.27201509e-02,5.92657030e-01,2.64411736e+00
1.11413085e+00,8.96652937e-02,1.38387352e-01,5.66746891e-01,2.88205409e+00
1.16839325e+00,1.29457355e-01,1.95071518e-01,5.94712734e-01,3.38212419e+00
1.22405231e+00,1.74597114e-01,2.58440673e-01,6.30337119e-01,3.48830581e+00
1.28114390e+00,2.32409999e-01,3.39284420e-01,6.73017621e-01,3.78234315e+00
1.33970511e+00,3.09544295e-01,4.46505129e-01,7.44363427e-01,4.20238304e+00
1.39977336e+00,2.01839531e+04,2.82746504e+04,2.00505898e+04,2.14025903e+03
1.46138775e+00,2.59087051e+04,3.62737812e+04,2.44388418e+04,2.08178027e+03
1.52458799e+00,1.57217734e+04,2.20097461e+04,1.48909355e+04,1.41365991e+03
1.58941495e+00,1.53119668e+04,2.14444375e+04,1.49183359e+04,1.70233936e+03
1.65591037e+00,1.63683613e+04,2.29285801e+04,1.61886484e+04,2.00362915e+03
1.72411728e+00,1.79735156e+04,2.51794492e+04,1.78993281e+04,2.26162012e+03
1.79407966e+00,1.91791719e+04,2.68676992e+04,1.90554727e+04,2.33288940e+03
