Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,8.01450106e-09,1.57530913e-08,1.86356664e-01,3.52855453e+01
7.99999982e-02,1.38675542e-08,3.04525472e-08,2.75730312e-01,4.15040588e+01
1.19999997e-01,1.97370760e-08,4.59073490e-08,3.21008325e-01,4.63673019e+01
1.59999996e-01,2.96947000e-08,7.09355987e-08,3.82916033e-01,5.11640396e+01
2.00000003e-01,4.43985471e-08,1.08821880e-07,4.54095364e-01,5.24020805e+01
2.39999995e-01,7.10283672e-08,1.77840349e-07,5.37162185e-01,5.56410065e+01
2.80000001e-01,1.22594727e-07,3.11808208e-07,6.50250137e-01,5.69654846e+01
3.19999993e-01,2.20425989e-07,5.70417910e-07,7.86220789e-01,5.96553383e+01
3.60000014e-01,3.93570872e-07,1.00987961e-06,9.89425898e-01,6.12770920e+01
4.00000006e-01,6.53591769e-07,1.66541668e-06,1.24359989e+00,6.42294464e+01
4.39999998e-01,1.10554492e-06,2.77844333e-06,1.58196056e+00,6.70119781e+01
4.79999989e-01,1.94285667e-06,4.73741375e-06,1.98631215e+00,6.86376495e+01
5.19999981e-01,3.48653475e-06,8.34566163e-06,2.28183794e+00,7.28137970e+01
5.60000002e-01,5.81000040e-06,1.32820942e-05,2.56041908e+00,7.33334656e+01
6.00000024e-01,1.15221583e-05,2.66084317e-05,2.51213932e+00,7.37648468e+01
6.41029537e-01,2.46029886e-05,6.39881036e-05,2.41004610e+00,7.54825592e+01
6.83115125e-01,6.55806725e-05,1.65283127e-04,2.17506075e+00,7.74257660e+01
7.26283848e-01,1.68605882e-04,4.03261889e-04,2.12439990e+00,7.78369751e+01
7.70563781e-01,3.32493073e-04,7.73570442e-04,2.16860723e+00,8.08246460e+01
8.15983355e-01,6.41735154e-04,1.59300235e-03,2.03807116e+00,7.89874802e+01
8.62571895e-01,1.14071323e-03,2.69781030e-03,2.15398836e+00,8.56371307e+01
9.10359621e-01,2.18254793e-03,5.26886014e-03,2.24685311e+00,8.29447632e+01
9.59377348e-01,3.99452401e-03,8.99098068e-03,2.45161748e+00,9.25931168e+01
