Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,7.49971659e-05,1.30073284e-04,2.89411731e-02,8.27551540e-03
7.99999982e-02,1.21259742e-04,2.09060599e-04,3.31119448e-02,2.35165134e-02
1.19999997e-01,1.53342320e-04,2.64417380e-04,3.38048488e-02,4.95027825e-02
1.59999996e-01,1.87121652e-04,3.23528278e-04,3.43602113e-02,6.97612017e-02
2.00000003e-01,2.35115731e-04,4.06592677e-04,3.42991911e-02,9.63145271e-02
2.39999995e-01,2.99106643e-04,5.12862287e-04,3.48403826e-02,1.39390066e-01
2.80000001e-01,3.74150230e-04,6.33491145e-04,3.43475863e-02,1.62544385e-01
3.19999993e-01,4.57036716e-04,7.62857904e-04,3.50046605e-02,2.38019764e-01
3.60000014e-01,5.50667988e-04,9.07402427e-04,3.69237959e-02,2.76966333e-01
4.00000006e-01,6.68106368e-04,1.08790142e-03,3.83216292e-02,3.74392092e-01
4.39999998e-01,8.16265238e-04,1.31298159e-03,4.11461368e-02,4.39513832e-01
4.79999989e-01,9.73269460e-04,1.54835754e-03,4.58962172e-02,4.93658692e-01
5.19999981e-01,1.13835628e-03,1.79581321e-03,5.00707850e-02,6.24214530e-01
5.60000002e-01,1.39107404e-03,2.17074808e-03,5.56770265e-02,6.92218304e-01
6.00000024e-01,1.69216283e-03,2.62373686e-03,6.84040934e-02,7.94724762e-01
6.41029537e-01,2.16491777e-03,3.33635998e-03,8.03617015e-02,9.61637676e-01
6.83115125e-01,2.83840462e-03,4.36105300e-03,9.66034681e-02,1.05666471e+00
7.26283848e-01,3.80825181e-03,5.86959533e-03,1.19740821e-01,1.33713138e+00
7.70563781e-01,5.18677756e-03,8.04112758e-03,1.50478959e-01,1.54596877e+00
8.15983355e-01,7.26839714e-03,1.14140268e-02,2.08780050e-01,2.00233912e+00
8.62571895e-01,1.07443556e-02,1.70010217e-02,2.57657945e-01,2.19448757e+00
9.10359621e-01,1.71730630e-02,2.74764672e-02,3.10647607e-01,2.73765230e+00
9.59377348e-01,2.68997774e-02,4.38693278e-02,3.53687674e-01,2.98527694e+00
1.00965667e+00,4.61253896e-02,7.83133805e-02,4.04844522e-01,3.51103067e+00
1.06123006e+00,8.87222290e-02,1.54224306e-01,4.55398947e-01,4.12905216e+00
1.11413085e+00,1.57544225e-01,2.64959216e-01,5.07269859e-01,4.56235170e+00
1.16839325e+00,2.47085541e-01,3.97716135e-01,5.16488433e-01,4.89867735e+00
1.22405231e+00,3.56299937e-01,5.56929946e-01,4.94261801e-01,5.25061893e+00
1.28114390e+00,5.01667023e-01,7.58217812e-01,4.45144415e-01,5.38427734e+00
1.33970511e+00,6.22487962e-01,9.04268503e-01,4.27801937e-01,5.93435001e+00
1.39977336e+00,2.00572070e+04,2.80961836e+04,1.98624570e+04,2.09516040e+03
1.46138775e+00,2.45208770e+04,3.43307930e+04,2.31867539e+04,1.98974536e+03
1.52458799e+00,1.61964590e+04,2.26752012e+04,1.53430967e+04,1.43575476e+03
1.58941495e+00,1.54740547e+04,2.16701836e+04,1.49835801e+04,1.63038831e+03
1.65591037e+00,1.54825781e+04,2.16850312e+04,1.51504395e+04,1.75891931e+03
1.72411728e+00,1.55399902e+04,2.17669414e+04,1.52871133e+04,1.83393896e+03
1.79407966e+00,1.52491484e+04,2.13603789e+04,1.50439551e+04,1.84551770e+03
1.86584306e+00,1.50244688e+04,2.10468535e+04,1.48814414e+04,1.88291016e+03
1.93945324e+00,1.55220117e+04,2.17454531e+04,1.54546973e+04,2.02660962e+03
2.01495814e+00,1.67646699e+04,2.34876992e+04,1.67683672e+04,2.26265308e+03
2.09240627e+00,1.82181758e+04,2.55246035e+04,1.82643984e+04,2.49078906e+03
2.17184782e+00,1.88780566e+04,2.64483750e+04,1.89001875e+04,2.54413916e+03
2.25333428e+00,1.83402090e+04,2.56935703e+04,1.82995000e+04,2.41300049e+03
2.33691788e+00,1.70971152e+04,2.39510938e+04,1.70046367e+04,2.20503809e+03
2.42265272e+00,1.57049082e+04,2.20001309e+04,1.55784150e+04,1.99601660e+03
2.51059437e+00,1.44207676e+04,2.02008574e+04,1.42757227e+04,1.82041821e+03
2.60079956e+00,1.33376436e+04,1.86836836e+04,1.31998076e+04,1.69751855e+03
2.69332647e+00,1.27211406e+04,1.78207188e+04,1.26133750e+04,1.65633472e+03
2.78823495e+00,1.27306348e+04,1.78349082e+04,1.26602793e+04,1.70720544e+03
2.88558602e+00,1.31994482e+04,1.84926582e+04,1.31736465e+04,1.82770984e+03
2.98544264e+00,1.40229697e+04,1.96473223e+04,1.40453105e+04,1.99827173e+03
3.08786964e+00,1.51278789e+04,2.11961094e+04,1.51997031e+04,2.20985815e+03
3.19293284e+00,1.63359238e+04,2.28893320e+04,1.64596895e+04,2.44079541e+03
3.30070019e+00,1.75215117e+04,2.45509766e+04,1.76943398e+04,2.66660229e+03
3.41124129e+00,1.86107539e+04,2.60774531e+04,1.88257383e+04,2.86768896e+03
3.52462745e+00,1.94442129e+04,2.72452109e+04,1.96813633e+04,3.00970776e+03
3.64093208e+00,1.99176855e+04,2.79081250e+04,2.01453398e+04,3.06169019e+03
3.76023054e+00,2.00940586e+04,2.81544062e+04,2.02851523e+04,3.05217871e+03
3.88259912e+00,1.98928887e+04,2.78716367e+04,2.00342402e+04,2.97774097e+03
4.00811720e+00,1.94694062e+04,2.72774355e+04,1.95549492e+04,2.87483691e+03
4.13686609e+00,1.89104688e+04,2.64933730e+04,1.89317031e+04,2.75210718e+03
4.26892853e+00,1.80270332e+04,2.52547656e+04,1.79884258e+04,2.59613818e+03
4.40439081e+00,1.70230977e+04,2.38476133e+04,1.69407656e+04,2.44702588e+03
4.54333878e+00,1.60797939e+04,2.25257227e+04,1.59712393e+04,2.32475732e+03
4.68586397e+00,1.51642031e+04,2.12429199e+04,1.50437754e+04,2.21828882e+03
4.83205652e+00,1.42944521e+04,2.00246016e+04,1.41749668e+04,2.12767139e+03
4.98201227e+00,1.35912139e+04,1.90398535e+04,1.34903281e+04,2.07019604e+03
5.13582754e+00,1.32650000e+04,1.85834141e+04,1.31880117e+04,2.06134570e+03
5.29360199e+00,1.32410977e+04,1.85503730e+04,1.31849258e+04,2.08788672e+03
5.45543718e+00,1.34704629e+04,1.88722559e+04,1.34456318e+04,2.15761914e+03
5.62143755e+00,1.41317842e+04,1.97992070e+04,1.41340879e+04,2.28005835e+03
5.79171038e+00,1.49535859e+04,2.09507559e+04,1.49730537e+04,2.42182324e+03
5.96636629e+00,1.56658457e+04,2.19488555e+04,1.57073730e+04,2.55773999e+03
6.14551687e+00,1.62374844e+04,2.27498359e+04,1.62968945e+04,2.67585791e+03
6.32927942e+00,1.65603848e+04,2.32024219e+04,1.66417031e+04,2.75686011e+03
6.51777077e+00,1.67357656e+04,2.34483262e+04,1.68373418e+04,2.82315112e+03
6.71111441e+00,1.66343672e+04,2.33063398e+04,1.67490371e+04,2.83325244e+03
6.90943432e+00,1.64124980e+04,2.29958301e+04,1.65487988e+04,2.83509131e+03
7.11285782e+00,1.65681699e+04,2.32140176e+04,1.67107188e+04,2.85478735e+03
7.32151794e+00,1.66086309e+04,2.32703379e+04,1.67316602e+04,2.83555322e+03
7.53554821e+00,1.66637285e+04,2.33471387e+04,1.67615859e+04,2.81347729e+03
7.75508738e+00,1.68676387e+04,2.36318320e+04,1.69117695e+04,2.78946216e+03
7.98027754e+00,1.66563105e+04,2.33351270e+04,1.66618789e+04,2.72929663e+03
8.21126270e+00,1.66370801e+04,2.33077461e+04,1.66123086e+04,2.71027173e+03
8.44819450e+00,1.64072559e+04,2.29852129e+04,1.63493154e+04,2.66871509e+03
8.69122219e+00,1.60380957e+04,2.24677969e+04,1.59608730e+04,2.63429932e+03
8.94050789e+00,1.50533369e+04,2.10875488e+04,1.49475381e+04,2.50578955e+03
9.19620800e+00,1.40959072e+04,1.97473613e+04,1.40482920e+04,2.47075244e+03
9.45849037e+00,1.56632168e+04,2.19433125e+04,1.56206211e+04,2.70436499e+03
9.72752285e+00,1.49232412e+04,2.09060703e+04,1.48631621e+04,2.60602832e+03
1.00034800e+01,1.46176387e+04,2.04792500e+04,1.46285908e+04,2.62979492e+03
1.02865391e+01,1.65436953e+04,2.31775078e+04,1.65675273e+04,2.89350830e+03
1.05768833e+01,1.73260723e+04,2.42729023e+04,1.73465332e+04,2.97475195e+03
1.08747025e+01,1.60623965e+04,2.25027188e+04,1.61244990e+04,2.80700024e+03
1.11801853e+01,1.47064893e+04,2.06036758e+04,1.48196797e+04,2.62121997e+03
1.14935322e+01,1.35620410e+04,1.89998223e+04,1.36756172e+04,2.43739795e+03
1.18149433e+01,1.39356162e+04,1.95244336e+04,1.41368193e+04,2.52735620e+03
1.21446266e+01,1.57003184e+04,2.19957988e+04,1.58923965e+04,2.72224927e+03
1.24827967e+01,1.54405664e+04,2.16315234e+04,1.56953164e+04,2.68021704e+03
1.28296700e+01,1.51032051e+04,2.11605801e+04,1.55676211e+04,2.67285059e+03
1.31854706e+01,1.56590059e+04,2.19423926e+04,1.63975156e+04,2.78010400e+03
1.35504293e+01,1.74856055e+04,2.45059805e+04,1.85303535e+04,3.05101025e+03
1.39247818e+01,1.89811504e+04,2.66015781e+04,2.02873906e+04,3.16669482e+03
1.43087692e+01,1.50534590e+04,2.11051934e+04,1.69762832e+04,2.70373511e+03
1.47026405e+01,1.36693994e+04,1.91825684e+04,1.65638770e+04,2.76578809e+03
1.51066484e+01,1.80850527e+04,2.53879082e+04,2.17844473e+04,3.53063525e+03
1.55210552e+01,2.44865059e+04,3.43668281e+04,2.84090137e+04,4.37745215e+03
1.59461288e+01,2.55143867e+04,3.58069180e+04,2.91485488e+04,4.26073682e+03
1.63821430e+01,2.12357695e+04,2.98147441e+04,2.46870840e+04,3.67420410e+03
1.68293781e+01,1.90920508e+04,2.68243789e+04,2.29875781e+04,3.69867993e+03
1.72881241e+01,2.24132539e+04,3.14894258e+04,2.67691270e+04,4.21295068e+03
1.77586803e+01,2.43093008e+04,3.41436836e+04,2.88103242e+04,4.19410889e+03
1.82413464e+01,2.37342520e+04,3.33224492e+04,2.79629180e+04,3.93123877e+03
1.87364349e+01,2.57430176e+04,3.61257305e+04,2.92846836e+04,3.90588647e+03
1.92442665e+01,2.83983652e+04,3.98339492e+04,3.13518203e+04,3.82507056e+03
1.97651691e+01,2.97042656e+04,4.16865703e+04,3.18692812e+04,3.78205615e+03
2.02994785e+01,3.38461016e+04,4.74987656e+04,3.37324180e+04,4.01143115e+03
2.08475418e+01,3.91320078e+04,5.48256953e+04,3.60402695e+04,4.24036279e+03
2.14097099e+01,3.83656016e+04,5.36920508e+04,3.43518008e+04,4.05257007e+03
2.19863453e+01,3.96479688e+04,5.54282031e+04,3.50164453e+04,4.02293311e+03
2.25778236e+01,4.00231953e+04,5.59427617e+04,3.58357266e+04,4.04817578e+03
2.31845264e+01,3.95001250e+04,5.52279844e+04,3.64711641e+04,4.17719482e+03
2.38068466e+01,4.15356016e+04,5.81313242e+04,4.01496953e+04,4.32924512e+03
2.44451809e+01,4.64802188e+04,6.50572344e+04,4.38900352e+04,4.09441626e+03
2.50999470e+01,4.63713594e+04,6.48954258e+04,4.26674453e+04,3.59538013e+03
2.57715645e+01,4.56261602e+04,6.38240117e+04,4.05355391e+04,3.17033862e+03
2.64604683e+01,3.80457305e+04,5.32012344e+04,3.29289766e+04,2.21959668e+03
2.71671047e+01,2.58634648e+04,3.61350312e+04,2.10551562e+04,9.06891235e+02
2.78919277e+01,1.71640703e+04,2.39565977e+04,1.28495000e+04,2.98636292e+02
2.86354065e+01,1.40873320e+04,1.96398906e+04,9.68887598e+03,1.47133484e+02
2.93980217e+01,7.06394531e+03,9.83329785e+03,4.43344775e+03,6.92529221e+01
3.01802654e+01,6.26959326e+03,8.72239648e+03,3.59692798e+03,1.37681437e+01
3.09826431e+01,3.68749854e+03,5.12241797e+03,1.89897925e+03,3.59198952e+00
3.18056717e+01,2.20026758e+03,3.05954321e+03,1.24979114e+03,2.09770584e+00
3.26498833e+01,1.85257678e+03,2.57745142e+03,1.07998511e+03,4.92037803e-01
3.35158234e+01,1.14115430e+03,1.58619971e+03,6.28980530e+02,2.57266201e-02
3.44040565e+01,4.29244446e+02,5.95844360e+02,2.33587402e+02,4.33314592e-03
3.53151436e+01,3.72544800e+02,5.17935913e+02,2.07394424e+02,4.14899178e-03
3.62496834e+01,3.15297516e+02,4.36861816e+02,1.31279800e+02,2.80193635e-03
3.72082787e+01,1.50014374e+02,2.07612305e+02,5.75445137e+01,3.21184838e-04
3.81915474e+01,6.18155746e+01,8.53264847e+01,1.80254459e+01,1.71402586e-04
3.92001228e+01,2.92031345e+01,4.02028122e+01,7.07239723e+00,5.63231879e-05
4.02346535e+01,1.85681438e+01,2.55475388e+01,4.57670498e+00,1.07398328e-05
4.12958107e+01,7.77651834e+00,1.06996317e+01,2.14061832e+00,8.56784209e-06
4.23842850e+01,7.96749592e+00,1.09802313e+01,2.06315517e+00,3.41009127e-06
4.35007744e+01,3.53495002e+00,4.84050894e+00,5.27927101e-01,2.20174479e-06
4.46459999e+01,1.26705432e+00,1.72287774e+00,1.00294396e-01,1.02973956e-06
4.58207016e+01,4.08861339e-01,5.51547825e-01,1.60332434e-02,4.86423858e-07
4.70256386e+01,1.17057949e-01,1.57401010e-01,4.62230295e-03,1.22524483e-07
4.82615852e+01,1.65600069e-02,2.21712403e-02,5.38761611e-04,1.36549847e-08
4.95293465e+01,2.28724629e-03,3.05025000e-03,5.45274015e-05,1.64199010e-09
5.08297386e+01,2.30564066e-04,3.05659545e-04,3.98555267e-06,1.57253391e-10
5.21635971e+01,1.57587092e-05,2.07159173e-05,3.41926466e-07,1.08433375e-11
5.35317917e+01,6.76106424e-07,8.83642770e-07,3.54867282e-08,4.94631463e-13
5.49351997e+01,1.50455950e-08,1.96577190e-08,3.82191656e-09,1.23272093e-14
5.63747253e+01,9.55150195e-11,1.24375524e-10,2.46628745e-10,9.88122299e-17
5.78513031e+01,1.07506506e-13,1.40540709e-13,6.26393642e-12,7.30030576e-19
5.93278885e+01,1.65405894e-15,2.52979476e-15,4.94427700e-14,1.86825171e-20
6.08044662e+01,3.48299849e-17,4.05009135e-17,1.50861359e-16,2.72044805e-22
6.22810478e+01,1.52757822e-18,2.09754723e-18,6.25435562e-18,6.68005364e-24
6.37576256e+01,4.74886490e-20,5.52735656e-20,6.00440563e-18,5.82407625e-25
6.52341995e+01,1.21779394e-21,1.61984905e-21,2.91364596e-21,1.03399843e-26
6.67107849e+01,6.98955879e-23,8.69175718e-23,6.76010367e-21,1.33390524e-27
6.81873703e+01,1.26014386e-24,1.68368969e-24,2.08862422e-24,2.39027978e-29
6.96639481e+01,9.56847664e-26,1.24487317e-25,7.95876087e-24,2.08448401e-30
7.11405258e+01,1.61281678e-27,2.28863763e-27,3.47983987e-26,4.35428939e-32
7.26171036e+01,2.05281382e-28,2.82769416e-28,7.73201785e-27,5.67389597e-33
7.40936813e+01,7.38194353e-30,1.05136508e-29,1.16194327e-28,4.98796049e-34
7.55702591e+01,4.61215412e-31,6.17521413e-31,9.56077440e-30,1.74695852e-35
7.70468445e+01,1.47339856e-32,1.51254972e-32,1.35643150e-31,4.99373716e-37
7.85234222e+01,3.88094740e-34,4.48825692e-34,4.61749903e-33,9.89456846e-39
8.00000000e+01,4.75370547e-35,5.27146366e-35,7.01239135e-34,1.12664397e-39
