Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,1.42071771e-11,1.85666864e-11,5.29681611e-11,3.71535629e-04
7.99999982e-02,2.01994255e-10,2.71196093e-10,8.20682522e-10,6.97381236e-03
1.19999997e-01,1.44876311e-09,1.99597427e-09,5.80075721e-09,4.72913310e-02
1.59999996e-01,8.95725361e-09,1.24891493e-08,2.47452476e-08,2.05298126e-01
2.00000003e-01,4.35646506e-08,6.16547169e-08,8.19855615e-08,5.38803577e-01
2.39999995e-01,1.47543517e-07,2.13566565e-07,1.96422462e-07,1.07940888e+00
2.80000001e-01,4.47741286e-07,6.71943667e-07,3.66289839e-07,1.88104284e+00
3.19999993e-01,1.17628019e-06,1.86578791e-06,5.83144868e-07,2.73118353e+00
3.60000014e-01,3.29704653e-06,5.33719867e-06,8.10777465e-07,4.07763243e+00
4.00000006e-01,7.97348639e-06,1.26392197e-05,1.05450056e-06,5.48956585e+00
4.39999998e-01,1.67504459e-05,2.57417687e-05,1.26474310e-06,6.92258167e+00
4.79999989e-01,2.96260332e-05,4.48061910e-05,1.48372487e-06,9.19128132e+00
5.19999981e-01,4.59611147e-05,6.89220542e-05,1.77587435e-06,1.06936970e+01
5.60000002e-01,6.57414057e-05,9.78886965e-05,2.18089986e-06,1.40954571e+01
6.00000024e-01,9.55081123e-05,1.41694298e-04,2.97200268e-06,1.64704285e+01
6.41029537e-01,1.21349745e-04,1.79056267e-04,5.68244695e-06,2.12425900e+01
6.83115125e-01,1.48029125e-04,2.18824192e-04,1.03707480e-05,2.37020073e+01
7.26283848e-01,1.79115043e-04,2.67430383e-04,1.69027116e-05,2.78177605e+01
7.70563781e-01,2.16618166e-04,3.26236244e-04,2.91511769e-05,3.21412277e+01
8.15983355e-01,2.62490707e-04,3.96903110e-04,5.68102587e-05,3.88580132e+01
8.62571895e-01,3.13576718e-04,4.73351654e-04,1.19071745e-04,4.31281509e+01
9.10359621e-01,3.69098241e-04,5.55218663e-04,2.47416639e-04,5.11390076e+01
9.59377348e-01,4.27593506e-04,6.35951525e-04,4.82013973e-04,5.74540863e+01
1.00965667e+00,5.28796343e-04,7.80705421e-04,1.11079891e-03,6.70450592e+01
1.06123006e+00,6.86305109e-04,9.99267213e-04,2.43418710e-03,7.93941040e+01
1.11413085e+00,9.19884071e-04,1.32298609e-03,5.07827615e-03,9.26357498e+01
1.16839325e+00,1.36814313e-03,1.96465757e-03,9.73219890e-03,1.07708252e+02
1.22405231e+00,2.37986213e-03,3.46593978e-03,1.92677192e-02,1.25294312e+02
1.28114390e+00,4.92272666e-03,7.37219583e-03,4.44731675e-02,1.48853195e+02
1.33970511e+00,1.02872681e-02,1.55708566e-02,8.05411935e-02,1.80779816e+02
1.39977336e+00,2.07149570e+04,2.90032617e+04,1.95390312e+04,1.52621240e+03
1.46138775e+00,2.66785469e+04,3.73079609e+04,2.25746680e+04,1.68979749e+03
1.52458799e+00,1.64240430e+04,2.29641562e+04,1.40988457e+04,1.39102808e+03
1.58941495e+00,1.55480918e+04,2.17537617e+04,1.39869883e+04,1.65238110e+03
1.65591037e+00,1.54382168e+04,2.16068145e+04,1.41972949e+04,1.80352930e+03
1.72411728e+00,1.55330127e+04,2.17436133e+04,1.44765996e+04,1.92669287e+03
1.79407966e+00,1.56954414e+04,2.19737422e+04,1.47559258e+04,2.03012109e+03
1.86584306e+00,1.58425635e+04,2.21815508e+04,1.49792959e+04,2.11502759e+03
1.93945324e+00,1.59404453e+04,2.23198613e+04,1.51304092e+04,2.18406885e+03
2.01495814e+00,1.59903350e+04,2.23906289e+04,1.52194805e+04,2.24108032e+03
2.09240627e+00,1.60265283e+04,2.24420586e+04,1.52877393e+04,2.29429639e+03
2.17184782e+00,1.60685703e+04,2.25015703e+04,1.53572441e+04,2.34488672e+03
2.25333428e+00,1.61004482e+04,2.25467227e+04,1.54128750e+04,2.39246802e+03
2.33691788e+00,1.60834678e+04,2.25233281e+04,1.54171533e+04,2.43158618e+03
2.42265272e+00,1.60105000e+04,2.24215234e+04,1.53660996e+04,2.46741870e+03
2.51059437e+00,1.59472061e+04,2.23333281e+04,1.53264092e+04,2.49812622e+03
2.60079956e+00,1.59925723e+04,2.23973984e+04,1.53960332e+04,2.55202539e+03
2.69332647e+00,1.61821504e+04,2.26634648e+04,1.56065918e+04,2.62251416e+03
2.78823495e+00,1.64888750e+04,2.30935195e+04,1.59282354e+04,2.69523193e+03
2.88558602e+00,1.68690684e+04,2.36263066e+04,1.63155703e+04,2.78174927e+03
2.98544264e+00,1.72339004e+04,2.41373906e+04,1.66810977e+04,2.85885156e+03
3.08786964e+00,1.74809648e+04,2.44833359e+04,1.69222422e+04,2.92223242e+03
3.19293284e+00,1.75594844e+04,2.45930234e+04,1.69884824e+04,2.93754077e+03
3.30070019e+00,1.75031016e+04,2.45137051e+04,1.69186016e+04,2.96383740e+03
3.41124129e+00,1.73515859e+04,2.43010801e+04,1.67513086e+04,2.93392334e+03
3.52462745e+00,1.71037812e+04,2.39535352e+04,1.64853906e+04,2.92566357e+03
3.64093208e+00,1.68100820e+04,2.35417852e+04,1.61775576e+04,2.88110352e+03
3.76023054e+00,1.65408398e+04,2.31644551e+04,1.59010449e+04,2.88878198e+03
3.88259912e+00,1.62927422e+04,2.28168281e+04,1.56499570e+04,2.84692847e+03
4.00811720e+00,1.60752803e+04,2.25122090e+04,1.54340859e+04,2.87168213e+03
4.13686609e+00,1.58955117e+04,2.22605312e+04,1.52630391e+04,2.84751123e+03
4.26892853e+00,1.57512061e+04,2.20586270e+04,1.51314365e+04,2.88922314e+03
4.40439081e+00,1.56306621e+04,2.18900664e+04,1.50267861e+04,2.87332178e+03
4.54333878e+00,1.55863105e+04,2.18282969e+04,1.50004668e+04,2.93565210e+03
4.68586397e+00,1.56287695e+04,2.18881152e+04,1.50591836e+04,2.96768799e+03
4.83205652e+00,1.57559238e+04,2.20665391e+04,1.52008398e+04,3.05099756e+03
4.98201227e+00,1.60020244e+04,2.24114336e+04,1.54531689e+04,3.08564355e+03
5.13582754e+00,1.63030010e+04,2.28331406e+04,1.57588213e+04,3.21060767e+03
5.29360199e+00,1.66744102e+04,2.33534961e+04,1.61338887e+04,3.24244287e+03
5.45543718e+00,1.70639551e+04,2.38990430e+04,1.65172773e+04,3.39525342e+03
5.62143755e+00,1.73463438e+04,2.42942852e+04,1.67875547e+04,3.40018115e+03
5.79171038e+00,1.75650020e+04,2.46002031e+04,1.69908477e+04,3.49386108e+03
5.96636629e+00,1.77320742e+04,2.48337227e+04,1.71342578e+04,3.49159521e+03
6.14551687e+00,1.77373477e+04,2.48405000e+04,1.71133008e+04,3.50007642e+03
