Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,1.95807650e-12,2.88395718e-12,6.11503296e-12,1.97782461e-02
7.99999982e-02,4.60268542e-12,6.83308271e-12,1.85010895e-11,5.41035086e-02
1.19999997e-01,9.60529312e-12,1.42565265e-11,3.92877397e-11,1.13467380e-01
1.59999996e-01,2.01776963e-11,2.99057515e-11,8.25646634e-11,1.91354573e-01
2.00000003e-01,3.46287686e-11,5.14223525e-11,1.58946176e-10,2.89463013e-01
2.39999995e-01,5.86153209e-11,8.67884653e-11,2.79212042e-10,3.87396872e-01
2.80000001e-01,1.08994688e-10,1.61178820e-10,5.65909042e-10,5.54638743e-01
3.19999993e-01,1.72752687e-10,2.55427929e-10,1.11274845e-09,6.62335277e-01
3.60000014e-01,2.90030583e-10,4.27589963e-10,2.31306441e-09,9.02059555e-01
4.00000006e-01,4.48299536e-10,6.61622368e-10,5.21249444e-09,1.06443787e+00
4.39999998e-01,7.26405713e-10,1.07116038e-09,1.27714852e-08,1.32084751e+00
4.79999989e-01,1.12736076e-09,1.66300840e-09,3.36126895e-08,1.43781102e+00
5.19999981e-01,1.63399561e-09,2.41269005e-09,9.04926196e-08,1.73801160e+00
5.60000002e-01,2.61800892e-09,3.87171006e-09,2.59000899e-07,1.88239920e+00
6.00000024e-01,4.22611546e-09,6.25268015e-09,7.32974286e-07,2.14588189e+00
6.41029537e-01,6.01290484e-09,8.90528096e-09,2.02563956e-06,2.33540964e+00
6.83115125e-01,8.94302765e-09,1.32643878e-08,4.47866796e-06,2.49320269e+00
7.26283848e-01,1.28978250e-08,1.91441867e-08,8.07731340e-06,2.66138864e+00
7.70563781e-01,1.99734433e-08,2.97105629e-08,1.28287484e-05,2.83400774e+00
8.15983355e-01,2.98453600e-08,4.44002310e-08,1.91448471e-05,2.93021727e+00
8.62571895e-01,4.10459364e-08,6.10835542e-08,2.77416329e-05,3.07584643e+00
9.10359621e-01,5.96820300e-08,8.88597427e-08,3.90842215e-05,3.16835785e+00
9.59377348e-01,8.35362570e-08,1.24371624e-07,5.36607949e-05,3.21303654e+00
1.00965667e+00,1.10028637e-07,1.63891741e-07,7.16910654e-05,3.28459620e+00
1.06123006e+00,1.47397316e-07,2.19944454e-07,9.60649340e-05,3.34040499e+00
1.11413085e+00,2.00838329e-07,3.00363553e-07,1.26214611e-04,3.39772463e+00
1.16839325e+00,2.74994960e-07,4.12207385e-07,1.65527425e-04,3.46166396e+00
1.22405231e+00,3.77802394e-07,5.67799930e-07,2.13553314e-04,3.54271221e+00
1.28114390e+00,5.12803695e-07,7.73008992e-07,2.77243729e-04,3.64086628e+00
1.33970511e+00,6.94379253e-07,1.05131357e-06,3.66874912e-04,3.73964787e+00
