Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,2.35890543e-11,3.62255469e-11,2.18966529e-01,5.25218735e+01
7.99999982e-02,5.50444190e-10,8.33522029e-10,2.49602363e-01,5.57346230e+01
1.19999997e-01,4.81882978e-09,7.57264473e-09,2.71967620e-01,5.54449310e+01
1.59999996e-01,2.20805294e-08,3.69333861e-08,3.19180489e-01,5.87228394e+01
2.00000003e-01,9.54143715e-08,1.64325556e-07,3.63973200e-01,6.17753983e+01
2.39999995e-01,3.11671272e-07,5.52881659e-07,4.55235660e-01,6.59224396e+01
2.80000001e-01,9.05518050e-07,1.67184282e-06,5.28660357e-01,6.50955048e+01
3.19999993e-01,1.72922489e-06,3.28334204e-06,6.71875060e-01,7.06242142e+01
3.60000014e-01,3.84592840e-06,7.36760830e-06,8.07003736e-01,6.86608582e+01
4.00000006e-01,8.00954513e-06,1.64419471e-05,1.00215602e+00,7.60745926e+01
4.39999998e-01,1.58169623e-05,3.29029972e-05,1.17366111e+00,7.43663712e+01
4.79999989e-01,2.51374295e-05,5.30798789e-05,1.38442588e+00,7.57712326e+01
5.19999981e-01,4.38401039e-05,9.12242031e-05,1.55075216e+00,7.42123566e+01
5.60000002e-01,7.27461666e-05,1.49389540e-04,1.72664225e+00,7.75702362e+01
6.00000024e-01,9.72843191e-05,2.00079143e-04,1.84015715e+00,8.94792023e+01
6.41029537e-01,1.37427734e-04,2.87482340e-04,1.93429482e+00,7.79081116e+01
6.83115125e-01,2.04970711e-04,4.25218692e-04,2.09410334e+00,1.01392380e+02
7.26283848e-01,3.41720239e-04,7.06733670e-04,2.24716091e+00,8.83365479e+01
7.70563781e-01,5.61442226e-04,1.13591645e-03,2.52921653e+00,1.01464310e+02
8.15983355e-01,9.33739939e-04,1.85491389e-03,2.91166162e+00,9.31298523e+01
8.62571895e-01,1.35493279e-03,2.64696497e-03,3.38050556e+00,1.06762955e+02
9.10359621e-01,1.97678967e-03,3.81346280e-03,3.98422599e+00,1.00069649e+02
9.59377348e-01,2.76796799e-03,5.22164768e-03,4.58791590e+00,1.18903458e+02
