Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,4.27052574e-20,6.86633579e-20,7.86696080e-14,6.22071981e-01
7.99999982e-02,3.11263598e-18,4.97682811e-18,7.27449915e-12,6.93801343e-01
1.19999997e-01,5.46304421e-17,9.30177437e-17,2.08010248e-10,6.91201746e-01
1.59999996e-01,5.73934067e-16,9.94134724e-16,2.65068145e-09,7.09390342e-01
2.00000003e-01,5.33707710e-15,9.28784417e-15,2.37837146e-08,7.29705811e-01
2.39999995e-01,3.33733590e-14,5.83283964e-14,2.16512689e-07,7.63315320e-01
2.80000001e-01,2.18051705e-13,3.83014529e-13,2.86916975e-06,7.96124399e-01
3.19999993e-01,1.07934993e-12,1.91491614e-12,2.32677266e-05,8.37662458e-01
3.60000014e-01,5.78539300e-12,1.02567434e-11,1.26792569e-04,8.91470671e-01
4.00000006e-01,2.51362767e-11,4.47909244e-11,4.98125679e-04,9.48320627e-01
4.39999998e-01,6.20010918e-11,1.11170836e-10,1.56042224e-03,9.66031730e-01
4.79999989e-01,1.49260354e-10,2.66278000e-10,4.13422612e-03,1.00598216e+00
5.19999981e-01,3.73597348e-10,6.64569011e-10,9.05339047e-03,1.09061408e+00
5.60000002e-01,9.27171728e-10,1.65313863e-09,1.78212151e-02,1.06212664e+00
6.00000024e-01,2.41208564e-09,4.29696900e-09,3.00778635e-02,1.12756085e+00
6.41029537e-01,4.45536186e-09,7.97876609e-09,4.85913679e-02,1.12004483e+00
6.83115125e-01,8.00252842e-09,1.43245389e-08,6.88402057e-02,1.19354415e+00
7.26283848e-01,1.60108513e-08,2.85606170e-08,9.36079770e-02,1.13574409e+00
7.70563781e-01,2.84712929e-08,5.06938456e-08,1.16027959e-01,1.22058475e+00
8.15983355e-01,4.60890348e-08,8.20781736e-08,1.34127259e-01,1.17880428e+00
8.62571895e-01,8.62203891e-08,1.55691623e-07,1.44989461e-01,1.32442069e+00
9.10359621e-01,1.87640083e-07,3.44167489e-07,1.47599354e-01,1.24236941e+00
9.59377348e-01,3.43993918e-07,6.35626520e-07,1.43328041e-01,1.40970457e+00
1.00965667e+00,8.34269144e-07,1.58277066e-06,1.36652172e-01,1.32399321e+00
1.06123006e+00,2.33262153e-06,4.36873688e-06,1.27009884e-01,1.48778629e+00
1.11413085e+00,1.35347564e-05,2.58337950e-05,1.22164600e-01,1.37967718e+00
1.16839325e+00,9.10859744e-05,1.66560581e-04,1.19657449e-01,1.63143134e+00
1.22405231e+00,2.18626781e-04,3.83887033e-04,1.18310452e-01,1.52588212e+00
1.28114390e+00,6.10695046e-04,1.03260879e-03,1.34529099e-01,1.81214297e+00
1.33970511e+00,1.41890906e-03,2.31892872e-03,1.42103508e-01,1.84021187e+00
1.39977336e+00,2.02321797e+04,2.83414590e+04,2.00483750e+04,2.04403979e+03
1.46138775e+00,2.58295742e+04,3.61601797e+04,2.41803672e+04,1.94032336e+03
1.52458799e+00,1.54866230e+04,2.16774277e+04,1.45064980e+04,1.26127954e+03
1.58941495e+00,1.36181641e+04,1.90676250e+04,1.30274941e+04,1.31073083e+03
1.65591037e+00,1.26514043e+04,1.77172891e+04,1.22729785e+04,1.36977832e+03
1.72411728e+00,1.27174434e+04,1.78132051e+04,1.25119541e+04,1.54756592e+03
1.79407966e+00,1.38287812e+04,1.93735664e+04,1.38000977e+04,1.87440015e+03
1.86584306e+00,1.59217422e+04,2.23091992e+04,1.60795645e+04,2.32899463e+03
1.93945324e+00,1.85052812e+04,2.59313750e+04,1.88156406e+04,2.78130127e+03
2.01495814e+00,2.07893984e+04,2.91320664e+04,2.11439609e+04,3.06201270e+03
2.09240627e+00,2.20497227e+04,3.08962051e+04,2.23234727e+04,3.09520020e+03
2.17184782e+00,2.21517715e+04,3.10364023e+04,2.22756562e+04,2.93547778e+03
2.25333428e+00,2.13613516e+04,2.99259043e+04,2.13119375e+04,2.65717773e+03
2.33691788e+00,1.98025684e+04,2.77391348e+04,1.95875664e+04,2.31158496e+03
2.42265272e+00,1.78214570e+04,2.49615117e+04,1.74854062e+04,1.97259277e+03
2.51059437e+00,1.57757598e+04,2.20945000e+04,1.53801562e+04,1.68879443e+03
2.60079956e+00,1.38909336e+04,1.94538691e+04,1.34907305e+04,1.46937207e+03
2.69332647e+00,1.23076953e+04,1.72364180e+04,1.19379229e+04,1.31450049e+03
2.78823495e+00,1.10146367e+04,1.54259785e+04,1.06994756e+04,1.20850513e+03
2.88558602e+00,1.00982988e+04,1.41435723e+04,9.84861523e+03,1.15855396e+03
2.98544264e+00,9.56426953e+03,1.33967617e+04,9.37833203e+03,1.15260693e+03
