Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,3.95497605e-02,6.76482841e-02,4.99044918e-02,5.50300264e+00
7.99999982e-02,4.84080985e-02,8.10855106e-02,4.30730283e-02,5.76693821e+00
1.19999997e-01,4.94755097e-02,8.14441741e-02,4.11971733e-02,5.79989576e+00
1.59999996e-01,5.03982343e-02,8.16341639e-02,3.77235226e-02,6.01496220e+00
2.00000003e-01,5.13659418e-02,8.18522424e-02,3.56407054e-02,6.10535002e+00
2.39999995e-01,5.06282821e-02,7.95245022e-02,3.36381719e-02,6.29746342e+00
2.80000001e-01,5.10344207e-02,7.88595676e-02,3.21955681e-02,6.42626476e+00
3.19999993e-01,4.89120632e-02,7.45375901e-02,3.12440172e-02,6.61666346e+00
3.60000014e-01,4.78437729e-02,7.19734952e-02,3.06928828e-02,6.78427887e+00
4.00000006e-01,4.48131934e-02,6.67119101e-02,3.01948451e-02,6.96996450e+00
4.39999998e-01,4.33547758e-02,6.38697445e-02,3.03482320e-02,7.18014240e+00
4.79999989e-01,4.08712402e-02,5.97053319e-02,3.09094191e-02,7.39799356e+00
5.19999981e-01,3.89409102e-02,5.62941022e-02,3.20095718e-02,7.62678194e+00
5.60000002e-01,3.87859568e-02,5.51975295e-02,3.38419713e-02,7.86993265e+00
6.00000024e-01,3.60580310e-02,5.09346277e-02,4.05787341e-02,8.14969254e+00
6.41029537e-01,3.70604992e-02,5.09408675e-02,5.27208745e-02,8.42989635e+00
6.83115125e-01,3.39216329e-02,4.64815646e-02,7.06865937e-02,8.72245693e+00
7.26283848e-01,3.49377207e-02,4.68816012e-02,9.57541689e-02,9.03627396e+00
7.70563781e-01,3.29876617e-02,4.44876514e-02,1.25802726e-01,9.34912300e+00
8.15983355e-01,3.48988324e-02,4.66601737e-02,1.55685574e-01,9.66863155e+00
8.62571895e-01,3.53245251e-02,4.78034168e-02,1.89918458e-01,9.99757671e+00
9.10359621e-01,3.91824394e-02,5.30148707e-02,2.13633224e-01,1.03426447e+01
9.59377348e-01,4.21984792e-02,5.77822998e-02,2.32807413e-01,1.06828289e+01
1.00965667e+00,4.78991941e-02,6.57375902e-02,2.43715674e-01,1.10768852e+01
1.06123006e+00,5.58548942e-02,7.66333193e-02,2.54520893e-01,1.15032196e+01
1.11413085e+00,6.56433180e-02,9.00179744e-02,2.63131201e-01,1.19693871e+01
