Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,1.15946805e-05,1.78220671e-05,5.96328080e-03,4.18447828e+00
7.99999982e-02,1.78224673e-05,2.79302039e-05,7.95918331e-03,4.06498766e+00
1.19999997e-01,2.48519209e-05,3.91469403e-05,9.44510102e-03,3.93647838e+00
1.59999996e-01,3.19194369e-05,5.03579395e-05,1.04848528e-02,3.79151535e+00
2.00000003e-01,3.90555288e-05,6.16568432e-05,1.12220254e-02,3.64957929e+00
2.39999995e-01,4.64571167e-05,7.33429479e-05,1.17799714e-02,3.51712728e+00
2.80000001e-01,5.40157926e-05,8.52232188e-05,1.20822070e-02,3.39899898e+00
3.19999993e-01,6.15251483e-05,9.69653265e-05,1.22626247e-02,3.29906845e+00
3.60000014e-01,6.91286768e-05,1.08784501e-04,1.23532964e-02,3.21389151e+00
4.00000006e-01,7.67335514e-05,1.20612713e-04,1.23542994e-02,3.14692163e+00
4.39999998e-01,8.44222595e-05,1.32610701e-04,1.23585081e-02,3.09175253e+00
4.79999989e-01,9.19162558e-05,1.44262856e-04,1.23457238e-02,3.05258155e+00
5.19999981e-01,9.93648428e-05,1.55966060e-04,1.23578440e-02,3.02271414e+00
5.60000002e-01,1.06904714e-04,1.67833176e-04,1.23764668e-02,3.00478649e+00
6.00000024e-01,1.15166280e-04,1.81022639e-04,1.24695180e-02,2.99767089e+00
6.41029537e-01,1.24155806e-04,1.95449800e-04,1.26144486e-02,2.99381614e+00
6.83115125e-01,1.34397196e-04,2.11829305e-04,1.28755476e-02,3.00164986e+00
7.26283848e-01,1.46025472e-04,2.30530903e-04,1.32618723e-02,3.01487303e+00
7.70563781e-01,1.59015224e-04,2.51295161e-04,1.37734804e-02,3.03632498e+00
8.15983355e-01,1.73741413e-04,2.75161961e-04,1.44574372e-02,3.06445146e+00
8.62571895e-01,1.90076331e-04,3.01638647e-04,1.53622292e-02,3.09959388e+00
9.10359621e-01,2.07784149e-04,3.30421841e-04,1.63898785e-02,3.14206672e+00
9.59377348e-01,2.25987751e-04,3.59981845e-04,1.76036377e-02,3.19206452e+00
1.00965667e+00,2.46427924e-04,3.93131806e-04,1.90189369e-02,3.25080872e+00
1.06123006e+00,2.77906540e-04,4.42394317e-04,2.03915574e-02,3.31797028e+00
1.11413085e+00,3.20683263e-04,5.05808857e-04,2.15782095e-02,3.39339018e+00
1.16839325e+00,3.40929662e-04,5.35622879e-04,2.26910636e-02,3.47899127e+00
1.22405231e+00,3.54756543e-04,5.58080268e-04,2.38241646e-02,3.57769227e+00
1.28114390e+00,3.69230052e-04,5.82069042e-04,2.49845348e-02,3.70063043e+00
1.33970511e+00,3.90095025e-04,6.15009689e-04,2.63049863e-02,3.84591460e+00
1.39977336e+00,2.01539297e+04,2.82325273e+04,2.00165508e+04,2.16609668e+03
1.46138775e+00,2.56108203e+04,3.58573672e+04,2.42366836e+04,2.12585449e+03
1.52458799e+00,1.70582441e+04,2.38824141e+04,1.62141611e+04,1.56318323e+03
1.58941495e+00,1.65625957e+04,2.31956836e+04,1.61026895e+04,1.80055481e+03
1.65591037e+00,1.66844277e+04,2.33692207e+04,1.63726045e+04,1.93039929e+03
1.72411728e+00,1.66831719e+04,2.33687227e+04,1.64390449e+04,1.98517395e+03
1.79407966e+00,1.63751270e+04,2.29377402e+04,1.61627441e+04,1.97601392e+03
1.86584306e+00,1.58307969e+04,2.21756523e+04,1.56436289e+04,1.93726025e+03
1.93945324e+00,1.53519404e+04,2.15056328e+04,1.52053203e+04,1.92461157e+03
2.01495814e+00,1.53329355e+04,2.14802930e+04,1.52480176e+04,1.99406299e+03
2.09240627e+00,1.60099648e+04,2.24303887e+04,1.60040469e+04,2.16975659e+03
2.17184782e+00,1.72153438e+04,2.41206641e+04,1.72924082e+04,2.41493848e+03
2.25333428e+00,1.88372617e+04,2.63941133e+04,1.89839629e+04,2.70049609e+03
2.33691788e+00,2.05019082e+04,2.87266758e+04,2.06888320e+04,2.95284912e+03
2.42265272e+00,2.14000312e+04,2.99841426e+04,2.15616406e+04,3.03340527e+03
2.51059437e+00,2.10466191e+04,2.94872891e+04,2.11210801e+04,2.89792017e+03
2.60079956e+00,1.95614688e+04,2.74053516e+04,1.95659922e+04,2.63870850e+03
2.69332647e+00,1.80065938e+04,2.52269727e+04,1.79980312e+04,2.42204810e+03
2.78823495e+00,1.68035352e+04,2.35415312e+04,1.67803906e+04,2.24820923e+03
2.88558602e+00,1.58225332e+04,2.21677363e+04,1.58138145e+04,2.13668384e+03
2.98544264e+00,1.62068184e+04,2.27073770e+04,1.62498438e+04,2.24766846e+03
3.08786964e+00,1.82315938e+04,2.55460117e+04,1.83640254e+04,2.59953174e+03
3.19293284e+00,1.98472812e+04,2.78082422e+04,1.99166289e+04,2.74816553e+03
3.30070019e+00,2.02002109e+04,2.83017383e+04,2.02396445e+04,2.78024536e+03
3.41124129e+00,2.11687578e+04,2.96582617e+04,2.11972656e+04,2.89926221e+03
3.52462745e+00,2.13114785e+04,2.98570723e+04,2.12802070e+04,2.87383789e+03
3.64093208e+00,1.96827520e+04,2.75745234e+04,1.96100352e+04,2.62368750e+03
3.76023054e+00,1.73240898e+04,2.42705781e+04,1.72689004e+04,2.32782935e+03
3.88259912e+00,1.62365801e+04,2.27484961e+04,1.62449287e+04,2.23890088e+03
4.00811720e+00,1.65441543e+04,2.31801074e+04,1.65873223e+04,2.30696387e+03
4.13686609e+00,1.70489863e+04,2.38875176e+04,1.71118398e+04,2.39391455e+03
4.26892853e+00,1.83052148e+04,2.56480625e+04,1.83939844e+04,2.57635156e+03
4.40439081e+00,2.05739570e+04,2.88253633e+04,2.05993770e+04,2.81343994e+03
4.54333878e+00,2.04113105e+04,2.85948945e+04,2.03291797e+04,2.72937866e+03
4.68586397e+00,1.84561094e+04,2.58562148e+04,1.84099746e+04,2.53938281e+03
4.83205652e+00,1.81693066e+04,2.54556758e+04,1.81739961e+04,2.55296680e+03
4.98201227e+00,1.79515469e+04,2.51506855e+04,1.79513359e+04,2.50339893e+03
5.13582754e+00,1.69024531e+04,2.36802480e+04,1.68730820e+04,2.32574170e+03
5.29360199e+00,1.64436055e+04,2.30381191e+04,1.64448281e+04,2.28868066e+03
5.45543718e+00,1.74998301e+04,2.45184453e+04,1.75282324e+04,2.44145508e+03
5.62143755e+00,1.79179844e+04,2.51029688e+04,1.79030234e+04,2.45554517e+03
5.79171038e+00,1.65830117e+04,2.32323750e+04,1.65631621e+04,2.28116553e+03
5.96636629e+00,1.57846787e+04,2.21147539e+04,1.57935557e+04,2.20040186e+03
6.14551687e+00,1.60629668e+04,2.25043359e+04,1.60507402e+04,2.22203149e+03
6.32927942e+00,1.59437031e+04,2.23358516e+04,1.58718809e+04,2.17196338e+03
6.51777077e+00,1.47261309e+04,2.06296680e+04,1.46464082e+04,2.02937793e+03
6.71111441e+00,1.40565146e+04,1.96911719e+04,1.39666172e+04,1.94462927e+03
6.90943432e+00,1.38940508e+04,1.94622246e+04,1.37569277e+04,1.89660791e+03
