Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,2.47935188e-19,4.44955548e-19,4.22705889e-05,4.15127869e+01
7.99999982e-02,6.81984855e-18,1.30405445e-17,3.43424239e-04,4.36220856e+01
1.19999997e-01,1.23285831e-16,2.42091995e-16,1.19913055e-03,4.61078415e+01
1.59999996e-01,6.67348884e-16,1.35826635e-15,2.87378696e-03,4.62906761e+01
2.00000003e-01,6.23259040e-15,1.10461601e-14,5.19577740e-03,4.76478767e+01
2.39999995e-01,2.73384966e-14,4.83896878e-14,7.97443371e-03,4.72992897e+01
2.80000001e-01,3.13127725e-13,4.71550045e-13,1.12295980e-02,4.84558334e+01
3.19999993e-01,1.70902572e-12,2.62557337e-12,1.47790182e-02,5.07685661e+01
3.60000014e-01,6.86448641e-12,1.04090061e-11,1.91089604e-02,5.11364670e+01
4.00000006e-01,3.44412276e-11,5.47259599e-11,2.31501907e-02,5.17709007e+01
4.39999998e-01,9.75412390e-11,1.64809777e-10,2.83431057e-02,5.35657425e+01
4.79999989e-01,4.10973977e-10,7.07593484e-10,3.28582972e-02,5.52286377e+01
5.19999981e-01,1.34243883e-09,2.63344568e-09,3.96006815e-02,5.19482765e+01
5.60000002e-01,4.14242862e-09,8.48132586e-09,4.44388539e-02,5.80160484e+01
6.00000024e-01,1.11586793e-08,2.74616845e-08,5.30645922e-02,5.61974907e+01
6.41029537e-01,5.23431751e-08,1.38487977e-07,6.08401671e-02,6.44870682e+01
6.83115125e-01,9.47489980e-08,3.05302734e-07,7.35227391e-02,6.72779770e+01
7.26283848e-01,1.99825379e-07,7.21641413e-07,8.08532089e-02,7.25344849e+01
7.70563781e-01,6.58372755e-07,2.58051841e-06,9.09660906e-02,6.63234863e+01
8.15983355e-01,1.58373393e-06,4.82797077e-06,1.01081438e-01,6.96256104e+01
8.62571895e-01,5.75625563e-06,1.75542227e-05,1.19814090e-01,7.13018341e+01
9.10359621e-01,1.13176520e-05,3.14992976e-05,1.29887849e-01,7.67939835e+01
9.59377348e-01,3.34842189e-05,9.28322479e-05,1.43786028e-01,7.45042648e+01
1.00965667e+00,5.94826270e-05,1.80641844e-04,1.54114485e-01,7.45445404e+01
1.06123006e+00,1.62834229e-04,5.03217510e-04,1.65094897e-01,7.16524353e+01
1.11413085e+00,5.11939346e-04,1.22441654e-03,1.85534149e-01,7.09993668e+01
1.16839325e+00,1.23950688e-03,2.20042560e-03,1.96881160e-01,8.40200043e+01
1.22405231e+00,1.97512237e-03,2.73825438e-03,2.22685397e-01,7.35546722e+01
1.28114390e+00,2.26877560e-03,2.82564270e-03,2.25712553e-01,8.37099533e+01
1.33970511e+00,2.58559803e-03,2.99993088e-03,3.01918477e-01,8.33450623e+01
1.39977336e+00,2.06986426e+04,2.89796016e+04,1.94591074e+04,1.27940503e+03
1.46138775e+00,2.62047383e+04,3.66442969e+04,2.20737227e+04,1.37926868e+03
1.52458799e+00,1.56146543e+04,2.18308223e+04,1.33271738e+04,9.90557983e+02
1.58941495e+00,1.47940566e+04,2.06981250e+04,1.32774082e+04,1.23487903e+03
1.65591037e+00,1.50050410e+04,2.10006406e+04,1.38082627e+04,1.40107495e+03
1.72411728e+00,1.56176211e+04,2.18623242e+04,1.45665059e+04,1.52554358e+03
1.79407966e+00,1.60150557e+04,2.24200273e+04,1.49895039e+04,1.57590649e+03
1.86584306e+00,1.58386982e+04,2.21724668e+04,1.47808174e+04,1.52648145e+03
1.93945324e+00,1.51569297e+04,2.12166465e+04,1.40648672e+04,1.43032971e+03
2.01495814e+00,1.41322539e+04,1.97810430e+04,1.30441582e+04,1.32449377e+03
2.09240627e+00,1.29769863e+04,1.81635508e+04,1.19497012e+04,1.23851343e+03
2.17184782e+00,1.19246934e+04,1.66911855e+04,1.09984609e+04,1.17019348e+03
2.25333428e+00,1.11217031e+04,1.55686230e+04,1.03172031e+04,1.16348120e+03
2.33691788e+00,1.07035430e+04,1.49857305e+04,1.00384727e+04,1.18737634e+03
2.42265272e+00,1.08914131e+04,1.52522715e+04,1.03771133e+04,1.32295337e+03
2.51059437e+00,1.18629141e+04,1.66167188e+04,1.15032393e+04,1.55397961e+03
2.60079956e+00,1.36320693e+04,1.90987344e+04,1.34414941e+04,1.91223901e+03
2.69332647e+00,1.61425498e+04,2.26192344e+04,1.61346670e+04,2.37070801e+03
2.78823495e+00,1.91708828e+04,2.68642812e+04,1.93195273e+04,2.87321753e+03
2.88558602e+00,2.20424102e+04,3.08876211e+04,2.22574902e+04,3.24752637e+03
