Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,3.31809645e-07,5.47533091e-07,7.85077736e-03,1.44829154e+00
7.99999982e-02,1.74220224e-06,3.12722523e-06,1.69209279e-02,2.55960751e+00
1.19999997e-01,6.85506438e-06,1.26108325e-05,2.68694069e-02,3.67204142e+00
1.59999996e-01,1.73506451e-05,3.16275909e-05,3.92437130e-02,4.67809057e+00
2.00000003e-01,2.47427870e-05,4.67707869e-05,5.55353314e-02,4.79892063e+00
2.39999995e-01,4.00494646e-05,7.88016405e-05,7.40686655e-02,5.51973343e+00
2.80000001e-01,8.13411316e-05,1.65585516e-04,9.83569175e-02,5.63723755e+00
3.19999993e-01,1.79696377e-04,3.61823826e-04,1.23729266e-01,6.11038399e+00
3.60000014e-01,3.51756200e-04,6.75624236e-04,1.58086210e-01,6.21162653e+00
4.00000006e-01,6.04486500e-04,1.11005921e-03,1.99693620e-01,6.55243683e+00
4.39999998e-01,9.37730947e-04,1.64729124e-03,2.68736124e-01,6.56937313e+00
4.79999989e-01,1.45657849e-03,2.44242023e-03,3.50341171e-01,6.92325544e+00
5.19999981e-01,2.24066712e-03,3.61536932e-03,4.28875953e-01,6.92608404e+00
5.60000002e-01,3.18426033e-03,5.07394504e-03,5.04863560e-01,7.31027079e+00
6.00000024e-01,5.02910186e-03,8.12614523e-03,5.06805956e-01,7.36534119e+00
6.41029537e-01,1.06709786e-02,1.73997357e-02,5.78311324e-01,7.71650791e+00
6.83115125e-01,2.24989429e-02,3.63773555e-02,6.13015771e-01,7.82537937e+00
7.26283848e-01,3.93558517e-02,6.26435876e-02,6.50247395e-01,8.07813263e+00
7.70563781e-01,6.02279156e-02,9.43498015e-02,6.81271791e-01,8.37426090e+00
8.15983355e-01,8.58434364e-02,1.32808372e-01,7.32832611e-01,8.51442337e+00
8.62571895e-01,1.18694961e-01,1.82152227e-01,7.41653681e-01,8.53697109e+00
9.10359621e-01,1.63077399e-01,2.49803901e-01,7.55765438e-01,8.95106125e+00
9.59377348e-01,2.22097725e-01,3.36156249e-01,7.36719847e-01,9.14529228e+00
1.00965667e+00,3.01197320e-01,4.48225439e-01,7.71909893e-01,9.20527840e+00
1.06123006e+00,3.82517278e-01,5.61795592e-01,8.02119136e-01,9.23627281e+00
1.11413085e+00,4.39320475e-01,6.39551342e-01,8.29862833e-01,9.34966850e+00
1.16839325e+00,4.58915412e-01,6.63892448e-01,8.37506294e-01,9.50279713e+00
1.22405231e+00,4.68836427e-01,6.73806369e-01,8.61227632e-01,9.84264755e+00
1.28114390e+00,5.26847363e-01,7.51796007e-01,9.50751781e-01,1.00469074e+01
1.33970511e+00,6.09778047e-01,8.65230560e-01,1.09220529e+00,1.08481884e+01
1.39977336e+00,2.01233594e+04,2.81881875e+04,1.98875117e+04,2.01814307e+03
1.46138775e+00,2.41154766e+04,3.37617656e+04,2.27152871e+04,1.90200464e+03
1.52458799e+00,1.52797031e+04,2.13907852e+04,1.44319443e+04,1.30800391e+03
1.58941495e+00,1.38299453e+04,1.93660703e+04,1.33163926e+04,1.39099597e+03
1.65591037e+00,1.33943477e+04,1.87594336e+04,1.30698389e+04,1.50480249e+03
1.72411728e+00,1.38937656e+04,1.94622129e+04,1.37241113e+04,1.72139917e+03
1.79407966e+00,1.53131738e+04,2.14537168e+04,1.52908232e+04,2.05410059e+03
1.86584306e+00,1.74685684e+04,2.44759473e+04,1.75837598e+04,2.46446069e+03
1.93945324e+00,1.99024805e+04,2.78874727e+04,2.01213984e+04,2.84943555e+03
2.01495814e+00,2.19811016e+04,3.07987070e+04,2.21615078e+04,3.02970215e+03
2.09240627e+00,2.22643027e+04,3.11913223e+04,2.22307207e+04,2.86236255e+03
2.17184782e+00,2.01066309e+04,2.81656289e+04,1.99249688e+04,2.45556787e+03
2.25333428e+00,1.71669375e+04,2.40462207e+04,1.69111309e+04,2.01008496e+03
2.33691788e+00,1.44096338e+04,2.01825625e+04,1.40934238e+04,1.62802734e+03
2.42265272e+00,1.21598936e+04,1.70323164e+04,1.19110225e+04,1.42816760e+03
2.51059437e+00,1.18602520e+04,1.66147773e+04,1.17050537e+04,1.48375635e+03
2.60079956e+00,1.33427529e+04,1.86936445e+04,1.32712139e+04,1.80013770e+03
2.69332647e+00,1.57848408e+04,2.21173105e+04,1.58257061e+04,2.23438403e+03
2.78823495e+00,1.72946328e+04,2.42321367e+04,1.73313965e+04,2.44878882e+03
2.88558602e+00,1.83397930e+04,2.56970801e+04,1.84393496e+04,2.68753979e+03
2.98544264e+00,1.96447070e+04,2.75258652e+04,1.97990898e+04,2.95109595e+03
3.08786964e+00,1.99827148e+04,2.79999023e+04,2.01855000e+04,3.08344287e+03
3.19293284e+00,1.91280293e+04,2.68020625e+04,1.93341543e+04,2.95944580e+03
3.30070019e+00,1.73416562e+04,2.42992676e+04,1.75606719e+04,2.71867114e+03
3.41124129e+00,1.65816914e+04,2.32358047e+04,1.68520762e+04,2.61819482e+03
3.52462745e+00,1.66735879e+04,2.33633945e+04,1.68837715e+04,2.55876611e+03
3.64093208e+00,1.64613887e+04,2.30657363e+04,1.66590566e+04,2.50990430e+03
3.76023054e+00,1.68938047e+04,2.36723945e+04,1.71274082e+04,2.59409180e+03
3.88259912e+00,1.82889375e+04,2.56283887e+04,1.85651094e+04,2.82243311e+03
4.00811720e+00,2.18834570e+04,3.06652461e+04,2.21534668e+04,3.25679419e+03
4.13686609e+00,2.34896211e+04,3.29122734e+04,2.36099043e+04,3.35745605e+03
4.26892853e+00,2.29205918e+04,3.21128164e+04,2.29400098e+04,3.23431982e+03
4.40439081e+00,2.25856035e+04,3.16408086e+04,2.24689453e+04,3.16508960e+03
4.54333878e+00,2.05891270e+04,2.88410000e+04,2.03468750e+04,2.82578320e+03
4.68586397e+00,1.72772285e+04,2.41994863e+04,1.69727852e+04,2.42576929e+03
4.83205652e+00,1.40970498e+04,1.97439707e+04,1.37986465e+04,2.08045312e+03
4.98201227e+00,1.18185596e+04,1.65535488e+04,1.16051250e+04,1.94917578e+03
