Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,1.82951467e-08,4.12877732e-08,1.84798008e-03,1.72924557e+01
7.99999982e-02,7.15240049e-07,1.80648715e-06,4.71495371e-03,2.71545925e+01
1.19999997e-01,2.17007960e-06,5.54841927e-06,7.07427226e-03,3.50679970e+01
1.59999996e-01,1.17327027e-05,2.60556244e-05,8.33937805e-03,4.42392769e+01
2.00000003e-01,8.61263543e-05,1.63944846e-04,1.24759711e-02,4.72869034e+01
2.39999995e-01,1.84925681e-04,3.44286003e-04,1.43876206e-02,5.53487511e+01
2.80000001e-01,5.37912536e-04,9.50480578e-04,1.86876096e-02,5.89725266e+01
3.19999993e-01,1.02807535e-03,1.77700829e-03,2.07084566e-02,6.74257507e+01
3.60000014e-01,1.94277044e-03,3.25850397e-03,2.43251175e-02,7.27803650e+01
4.00000006e-01,3.80670419e-03,6.15342893e-03,2.49069538e-02,8.27288666e+01
4.39999998e-01,6.25615893e-03,9.80905630e-03,2.64414363e-02,8.57208099e+01
4.79999989e-01,1.00636985e-02,1.53399613e-02,2.44609751e-02,9.80988007e+01
5.19999981e-01,1.37589676e-02,2.05663312e-02,2.40414403e-02,1.05455956e+02
5.60000002e-01,1.91073474e-02,2.80447211e-02,2.25464795e-02,1.14591812e+02
6.00000024e-01,2.30945293e-02,3.36353295e-02,2.19770465e-02,1.21939438e+02
6.41029537e-01,2.96108127e-02,4.30124998e-02,2.25401428e-02,1.35167526e+02
6.83115125e-01,3.51533182e-02,5.08750379e-02,2.30894331e-02,1.52485718e+02
7.26283848e-01,4.17727157e-02,6.05306476e-02,2.54750028e-02,1.55597427e+02
7.70563781e-01,5.43971434e-02,7.81557560e-02,2.76816636e-02,1.76793671e+02
8.15983355e-01,7.00111613e-02,9.96945277e-02,3.18302251e-02,2.03997833e+02
8.62571895e-01,7.82123283e-02,1.11356296e-01,3.55621353e-02,2.00060547e+02
9.10359621e-01,9.56577584e-02,1.36016950e-01,4.06288356e-02,2.23443817e+02
9.59377348e-01,1.03328250e-01,1.48464143e-01,4.43693325e-02,2.26440445e+02
1.00965667e+00,1.18111655e-01,1.69800177e-01,4.85747010e-02,2.43142517e+02
1.06123006e+00,1.36779636e-01,1.95896834e-01,5.32019585e-02,2.67510223e+02
1.11413085e+00,1.64057389e-01,2.33249247e-01,6.16339929e-02,2.85341492e+02
1.16839325e+00,1.96768388e-01,2.77107418e-01,7.41913840e-02,3.14293182e+02
1.22405231e+00,2.26666257e-01,3.16517323e-01,9.30104330e-02,3.33135864e+02
1.28114390e+00,2.68793792e-01,3.72704625e-01,1.24185279e-01,3.73044006e+02
1.33970511e+00,3.04575682e-01,4.22454596e-01,1.83295339e-01,4.07532593e+02
1.39977336e+00,2.05129414e+04,2.87178066e+04,1.91772559e+04,1.61241040e+03
1.46138775e+00,2.45574824e+04,3.43413047e+04,2.07864746e+04,1.71901221e+03
1.52458799e+00,1.50453828e+04,2.10371719e+04,1.28852783e+04,1.41767847e+03
1.58941495e+00,1.39585918e+04,1.95303828e+04,1.25557178e+04,1.64288770e+03
1.65591037e+00,1.43890859e+04,2.01416328e+04,1.33695820e+04,1.90800928e+03
1.72411728e+00,1.57527734e+04,2.20568652e+04,1.49444912e+04,2.15811865e+03
1.79407966e+00,1.73478203e+04,2.42934141e+04,1.66135195e+04,2.36067725e+03
1.86584306e+00,1.85311016e+04,2.59490312e+04,1.76571094e+04,2.35765771e+03
1.93945324e+00,1.82392852e+04,2.55346484e+04,1.70766680e+04,2.18856201e+03
