Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,9.88207520e-34,1.44065631e-33,4.79437690e-31,1.33526054e-19
7.99999982e-02,1.10225823e-31,1.61141197e-31,7.71624254e-29,2.00094130e-17
1.19999997e-01,5.65557491e-30,8.28083747e-30,6.13486225e-27,4.93931305e-14
1.59999996e-01,1.68387714e-28,2.46538894e-28,3.00404839e-25,3.92144521e-08
2.00000003e-01,1.69983867e-27,2.49222056e-27,8.37548769e-24,1.58600396e-05
2.39999995e-01,1.40819760e-26,2.06074026e-26,1.03055571e-22,1.37702242e-04
2.80000001e-01,1.45075083e-25,2.12554134e-25,1.65463618e-21,8.84902780e-04
3.19999993e-01,8.45786094e-25,1.24507406e-24,2.41284190e-20,9.35916975e-03
3.60000014e-01,7.15067464e-24,1.04655037e-23,2.82271920e-19,3.88541557e-02
4.00000006e-01,4.13916737e-23,6.08143537e-23,4.06268476e-18,6.93765208e-02
4.39999998e-01,2.64247199e-22,3.87271054e-22,4.97538584e-17,1.16505213e-01
4.79999989e-01,1.19368443e-21,1.75667333e-21,4.15831158e-16,2.17239261e-01
5.19999981e-01,6.90922721e-21,1.00824294e-20,3.95741628e-15,3.27538788e-01
5.60000002e-01,2.89920956e-20,4.24033332e-20,2.97544378e-14,4.35815692e-01
6.00000024e-01,1.31724260e-19,1.91883025e-19,3.05072726e-13,6.12674356e-01
6.41029537e-01,5.81577040e-19,8.46659424e-19,2.95670563e-12,8.01410735e-01
6.83115125e-01,2.26640291e-18,3.30004181e-18,2.49110003e-11,1.09932220e+00
7.26283848e-01,8.11328937e-18,1.19638590e-17,3.15849458e-10,1.69021392e+00
7.70563781e-01,3.16028357e-17,4.61627034e-17,3.75156084e-09,1.92739582e+00
8.15983355e-01,1.15283725e-16,1.68073413e-16,3.72474389e-08,3.17935896e+00
8.62571895e-01,4.06081359e-16,5.91279713e-16,3.68913391e-07,3.82405496e+00
9.10359621e-01,1.06594872e-15,1.55659414e-15,2.47533990e-06,6.10397387e+00
9.59377348e-01,3.15434477e-15,4.54018427e-15,5.52594656e-06,6.25983143e+00
1.00965667e+00,7.52192786e-15,1.08149904e-14,1.02300446e-05,8.29691696e+00
1.06123006e+00,1.64874574e-14,2.35282205e-14,1.62005090e-05,9.50885963e+00
1.11413085e+00,3.32193278e-14,4.72292256e-14,1.61662902e-05,1.05119448e+01
1.16839325e+00,7.73397866e-14,1.07822781e-13,1.91212985e-05,1.36096611e+01
1.22405231e+00,1.98718266e-13,2.62983320e-13,2.05926426e-05,1.51085968e+01
1.28114390e+00,5.75239563e-13,7.08857615e-13,3.81241480e-05,1.79409752e+01
1.33970511e+00,1.52199434e-12,1.84460910e-12,8.94742770e-05,2.14855766e+01
1.39977336e+00,2.01489648e+04,2.82248750e+04,1.99645762e+04,2.09035376e+03
1.46138775e+00,2.49958613e+04,3.49946367e+04,2.34922344e+04,1.94728723e+03
1.52458799e+00,1.44259326e+04,2.01945820e+04,1.35993213e+04,1.25795239e+03
1.58941495e+00,1.37996875e+04,1.93247344e+04,1.33528574e+04,1.46150439e+03
1.65591037e+00,1.45007451e+04,2.03101602e+04,1.42165547e+04,1.68163696e+03
1.72411728e+00,1.53402891e+04,2.14876465e+04,1.51206631e+04,1.83229053e+03
1.79407966e+00,1.56872988e+04,2.19737500e+04,1.54633672e+04,1.86255066e+03
1.86584306e+00,1.53530410e+04,2.15047500e+04,1.50912832e+04,1.79005896e+03
1.93945324e+00,1.44469502e+04,2.02345820e+04,1.41463809e+04,1.65444727e+03
2.01495814e+00,1.32229707e+04,1.85195000e+04,1.29051250e+04,1.50418140e+03
2.09240627e+00,1.19655410e+04,1.67580977e+04,1.16589062e+04,1.37764844e+03
2.17184782e+00,1.08936025e+04,1.52570625e+04,1.06229600e+04,1.29427747e+03
2.25333428e+00,1.01432734e+04,1.42068320e+04,9.91841113e+03,1.25338818e+03
2.33691788e+00,9.69649805e+03,1.35819238e+04,9.51934570e+03,1.25891138e+03
2.42265272e+00,9.52377539e+03,1.33410723e+04,9.40084766e+03,1.30854431e+03
2.51059437e+00,9.78432324e+03,1.37074277e+04,9.72631348e+03,1.42345544e+03
2.60079956e+00,1.05382969e+04,1.47650625e+04,1.05487979e+04,1.60694189e+03
2.69332647e+00,1.17058887e+04,1.64022188e+04,1.17920430e+04,1.85973901e+03
2.78823495e+00,1.32720371e+04,1.85978184e+04,1.34441221e+04,2.18739233e+03
2.88558602e+00,1.51881064e+04,2.12835664e+04,1.54485820e+04,2.53070215e+03
2.98544264e+00,1.73096074e+04,2.42568242e+04,1.76502031e+04,2.94176904e+03
3.08786964e+00,1.93492070e+04,2.71147812e+04,1.97439883e+04,3.23001367e+03
3.19293284e+00,2.08738926e+04,2.92505215e+04,2.12751211e+04,3.46275146e+03
3.30070019e+00,2.17528203e+04,3.04807227e+04,2.21049922e+04,3.48540625e+03
3.41124129e+00,2.18398867e+04,3.06007676e+04,2.20883066e+04,3.39207642e+03
3.52462745e+00,2.10911016e+04,2.95493906e+04,2.12022461e+04,3.14724414e+03
3.64093208e+00,1.97726875e+04,2.77000898e+04,1.97477773e+04,2.86547168e+03
3.76023054e+00,1.81563555e+04,2.54339062e+04,1.80214395e+04,2.57688867e+03
3.88259912e+00,1.64615410e+04,2.30584238e+04,1.62541035e+04,2.33555347e+03
4.00811720e+00,1.48502402e+04,2.08005801e+04,1.46071973e+04,2.13722461e+03
4.13686609e+00,1.34344707e+04,1.88171914e+04,1.31859785e+04,2.00022864e+03
4.26892853e+00,1.22746055e+04,1.71926641e+04,1.20410879e+04,1.91476855e+03
4.40439081e+00,1.13845244e+04,1.59463193e+04,1.11791768e+04,1.88324817e+03
4.54333878e+00,1.07745342e+04,1.50924756e+04,1.06046406e+04,1.89974304e+03
4.68586397e+00,1.04320234e+04,1.46134082e+04,1.03008750e+04,1.95854761e+03
4.83205652e+00,1.03067441e+04,1.44386904e+04,1.02165684e+04,2.05075586e+03
4.98201227e+00,1.03965020e+04,1.45652461e+04,1.03490596e+04,2.18488062e+03
5.13582754e+00,1.06814590e+04,1.49652412e+04,1.06768613e+04,2.34315479e+03
5.29360199e+00,1.11510498e+04,1.56239062e+04,1.11907109e+04,2.53316455e+03
5.45543718e+00,1.17956035e+04,1.65276406e+04,1.18788516e+04,2.73577905e+03
5.62143755e+00,1.25851094e+04,1.76344258e+04,1.27125098e+04,2.95478809e+03
5.79171038e+00,1.35677031e+04,1.90116738e+04,1.37386025e+04,3.18031934e+03
5.96636629e+00,1.46607852e+04,2.05435312e+04,1.48684600e+04,3.39907251e+03
6.14551687e+00,1.58333125e+04,2.21866484e+04,1.60774766e+04,3.60567627e+03
6.32927942e+00,1.71241211e+04,2.39952773e+04,1.73967695e+04,3.80143604e+03
6.51777077e+00,1.82260098e+04,2.55389746e+04,1.85136406e+04,3.94933691e+03
6.71111441e+00,1.93429980e+04,2.71035312e+04,1.96256484e+04,4.07652954e+03
6.90943432e+00,2.00311719e+04,2.80666797e+04,2.02692109e+04,4.11441895e+03
7.11285782e+00,2.02518164e+04,2.83747383e+04,2.04275898e+04,4.09306860e+03
7.32151794e+00,2.02442852e+04,2.83626172e+04,2.03241406e+04,4.03275513e+03
7.53554821e+00,1.94432344e+04,2.72389297e+04,1.94329141e+04,3.89831421e+03
7.75508738e+00,1.87861641e+04,2.63175156e+04,1.87103359e+04,3.80543457e+03
7.98027754e+00,1.81018516e+04,2.53578125e+04,1.79575938e+04,3.70910059e+03
8.21126270e+00,1.67698477e+04,2.34913203e+04,1.65959512e+04,3.53531201e+03
8.44819450e+00,1.62683047e+04,2.27887266e+04,1.60929785e+04,3.47354688e+03
8.69122219e+00,1.56848867e+04,2.19712070e+04,1.55052061e+04,3.38929150e+03
8.94050789e+00,1.38627988e+04,1.94195547e+04,1.37429131e+04,3.18194775e+03
9.19620800e+00,1.36358965e+04,1.91032578e+04,1.36016992e+04,3.20785254e+03
9.45849037e+00,1.43550459e+04,2.01113516e+04,1.43663027e+04,3.33496875e+03
9.72752285e+00,1.38468984e+04,1.93996465e+04,1.38888682e+04,3.28468994e+03
1.00034800e+01,1.35231328e+04,1.89465000e+04,1.36147295e+04,3.26782446e+03
1.02865391e+01,1.38942461e+04,1.94675312e+04,1.40802969e+04,3.39487329e+03
1.05768833e+01,1.55595498e+04,2.18031484e+04,1.59091621e+04,3.71943701e+03
1.08747025e+01,1.68961406e+04,2.36741602e+04,1.72489883e+04,3.82670850e+03
1.11801853e+01,1.59279512e+04,2.23182539e+04,1.64098711e+04,3.77631030e+03
1.14935322e+01,2.12827480e+04,2.98242344e+04,2.21003281e+04,4.64755566e+03
1.18149433e+01,2.95589102e+04,4.14164297e+04,3.05209160e+04,5.61658594e+03
1.21446266e+01,2.50479375e+04,3.50922500e+04,2.61545117e+04,5.09210010e+03
1.24827967e+01,2.10118496e+04,2.94409590e+04,2.25252441e+04,4.84291309e+03
1.28296700e+01,2.37213555e+04,3.32403125e+04,2.56639492e+04,5.24140723e+03
1.31854706e+01,1.93034297e+04,2.70575469e+04,2.20089492e+04,4.87940430e+03
1.35504293e+01,1.21756699e+04,1.70910137e+04,1.61390742e+04,4.43711816e+03
1.39247818e+01,1.09368184e+04,1.53830771e+04,1.58565186e+04,4.47048438e+03
1.43087692e+01,1.19268379e+04,1.67924238e+04,1.73402617e+04,4.63179346e+03
1.47026405e+01,1.15531250e+04,1.62752012e+04,1.77130293e+04,4.64472461e+03
1.51066484e+01,1.15401201e+04,1.62643828e+04,1.97970312e+04,4.67243994e+03
1.55210552e+01,1.63654824e+04,2.30500781e+04,2.70896797e+04,5.12924707e+03
1.59461288e+01,2.53246289e+04,3.56627031e+04,3.66024844e+04,5.95398926e+03
1.63821430e+01,3.19714668e+04,4.50132266e+04,4.18104844e+04,6.10728613e+03
1.68293781e+01,3.45194609e+04,4.85788711e+04,4.14275078e+04,5.63544043e+03
1.72881241e+01,3.76050781e+04,5.28564961e+04,4.09331484e+04,5.42658105e+03
1.77586803e+01,4.05276016e+04,5.68881055e+04,4.13116484e+04,5.27579688e+03
1.82413464e+01,4.42949414e+04,6.20629648e+04,4.26046641e+04,5.35020020e+03
1.87364349e+01,4.96396953e+04,6.94781953e+04,4.66730352e+04,5.88339355e+03
1.92442665e+01,5.54538594e+04,7.76018125e+04,5.11021172e+04,6.42705713e+03
1.97651691e+01,5.90768555e+04,8.26197500e+04,5.23219570e+04,6.66348779e+03
2.02994785e+01,5.88785781e+04,8.22990391e+04,5.21111680e+04,6.70644678e+03
2.08475418e+01,5.31765039e+04,7.43157500e+04,4.69032188e+04,5.99392090e+03
2.14097099e+01,4.61457969e+04,6.44667812e+04,4.06248984e+04,5.20629004e+03
2.19863453e+01,4.31720156e+04,6.03520391e+04,3.92996719e+04,5.10446680e+03
2.25778236e+01,3.91448828e+04,5.47573867e+04,3.65621875e+04,4.57869824e+03
2.31845264e+01,3.62421016e+04,5.07100000e+04,3.39908555e+04,4.18940430e+03
2.38068466e+01,3.60615156e+04,5.04714844e+04,3.44854961e+04,4.38012939e+03
2.44451809e+01,3.97692188e+04,5.56640859e+04,3.80452578e+04,4.83514893e+03
2.50999470e+01,3.88366211e+04,5.43795898e+04,3.81954766e+04,5.01882129e+03
2.57715645e+01,2.31861445e+04,3.24361289e+04,2.09722500e+04,1.55471521e+03
2.64604683e+01,4.13289844e+03,5.75136621e+03,2.56280176e+03,2.29623737e+01
2.71671047e+01,1.12728796e+03,1.56083691e+03,4.81407043e+02,3.15745890e-01
2.78919277e+01,4.90762238e+02,6.78362488e+02,1.96231644e+02,6.60897195e-02
2.86354065e+01,2.90800598e+02,4.01158783e+02,9.71180801e+01,2.47422159e-02
2.93980217e+01,1.93945312e+02,2.67501007e+02,6.72844543e+01,1.48369360e-03
3.01802654e+01,1.85020569e+02,2.55210495e+02,5.73921928e+01,9.41441394e-04
3.09826431e+01,9.61549606e+01,1.32104568e+02,2.20031185e+01,9.18751903e-05
3.18056717e+01,3.85769806e+01,5.28388977e+01,7.75037909e+00,2.63793336e-04
3.26498833e+01,2.03511829e+01,2.78641720e+01,3.86936784e+00,6.14600231e-06
3.35158234e+01,7.10995293e+00,9.69789410e+00,1.03582227e+00,4.51499000e-06
3.44040565e+01,1.38213730e+00,1.87136495e+00,8.23946148e-02,2.61706282e-06
3.53151436e+01,5.35088301e-01,7.19700396e-01,1.00810854e-02,1.10854376e-06
3.62496834e+01,2.19210774e-01,2.91046917e-01,2.04531173e-03,4.32300396e-07
3.72082787e+01,2.82905605e-02,3.67064625e-02,1.85823097e-04,9.84165212e-08
3.81915474e+01,8.21899623e-03,1.07709020e-02,1.17096541e-04,3.15318438e-08
3.92001228e+01,1.57051696e-03,2.05561612e-03,2.02670071e-05,6.10463502e-09
4.02346535e+01,6.83712278e-05,8.84784822e-05,1.52254620e-06,3.69737380e-10
4.12958107e+01,1.70807471e-05,2.24659070e-05,9.02215277e-07,8.73189507e-11
4.23842850e+01,2.13903149e-06,2.73762657e-06,1.54065475e-07,8.09025156e-12
4.35007744e+01,3.90176439e-07,5.14747683e-07,4.00131794e-09,2.20380268e-12
4.46459999e+01,2.60894897e-08,3.39176438e-08,2.26381136e-09,2.53709353e-13
4.58207016e+01,8.31136715e-10,1.07032649e-09,1.49931838e-11,3.56224322e-15
4.70256386e+01,2.29998146e-10,3.01650677e-10,4.78793828e-12,1.37882511e-15
4.82615852e+01,1.69758456e-12,2.19469581e-12,5.37628481e-14,9.00494954e-18
4.95293465e+01,1.58388575e-13,2.06312330e-13,3.59635324e-15,3.41043713e-18
5.08297386e+01,1.12880767e-15,1.53886744e-15,1.83509291e-17,1.32835658e-20
5.21635971e+01,1.15068450e-17,1.42842346e-17,4.14341221e-18,9.91068599e-22
5.35317917e+01,3.17866877e-18,3.65913022e-18,1.56769984e-20,3.76293554e-24
5.49351997e+01,9.65901467e-21,2.57656195e-20,1.47541405e-21,2.42880116e-25
