Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,3.67872347e-03,5.54647716e-03,1.32994633e-02,6.29700327e+00
7.99999982e-02,5.93834231e-03,8.83174036e-03,2.54120342e-02,8.82862854e+00
1.19999997e-01,7.64653133e-03,1.13437371e-02,4.16386500e-02,1.05927982e+01
1.59999996e-01,9.98624042e-03,1.46105699e-02,6.16051033e-02,1.24064503e+01
2.00000003e-01,1.25131384e-02,1.81364398e-02,6.95535615e-02,1.41378088e+01
2.39999995e-01,1.45666096e-02,2.10362729e-02,8.40121359e-02,1.56795292e+01
2.80000001e-01,1.66711658e-02,2.39283144e-02,9.15236622e-02,1.68985882e+01
3.19999993e-01,1.88085474e-02,2.68576965e-02,9.76963043e-02,1.80865841e+01
3.60000014e-01,2.05297060e-02,2.91758981e-02,9.92994010e-02,1.90756073e+01
4.00000006e-01,2.16968991e-02,3.08151431e-02,9.92231518e-02,2.00165539e+01
4.39999998e-01,2.28770301e-02,3.25562097e-02,9.62660462e-02,2.10812626e+01
4.79999989e-01,2.42588017e-02,3.45472954e-02,9.72836763e-02,2.18421841e+01
5.19999981e-01,2.59488691e-02,3.68380658e-02,9.41507667e-02,2.29213047e+01
5.60000002e-01,2.76622940e-02,3.89960185e-02,9.48549658e-02,2.37414608e+01
6.00000024e-01,2.98246983e-02,4.17677797e-02,9.34231132e-02,2.48608646e+01
6.41029537e-01,3.19009796e-02,4.42571193e-02,9.60895717e-02,2.62335262e+01
6.83115125e-01,3.34318280e-02,4.61246483e-02,9.49116498e-02,2.72569332e+01
7.26283848e-01,3.47050838e-02,4.77760173e-02,9.67365205e-02,2.90301628e+01
7.70563781e-01,3.60376574e-02,4.97021936e-02,9.75860059e-02,3.03592720e+01
8.15983355e-01,3.77002880e-02,5.22000007e-02,1.02432579e-01,3.22193832e+01
8.62571895e-01,4.02923711e-02,5.61125018e-02,1.08147882e-01,3.42711983e+01
9.10359621e-01,4.47614379e-02,6.25790730e-02,1.17727131e-01,3.60752411e+01
9.59377348e-01,4.99836467e-02,7.01584071e-02,1.27455845e-01,3.79302673e+01
1.00965667e+00,5.71235679e-02,8.03231522e-02,1.44401789e-01,4.14243317e+01
1.06123006e+00,6.57952353e-02,9.24438760e-02,1.64828107e-01,4.34973755e+01
1.11413085e+00,7.67128319e-02,1.07644774e-01,1.93202019e-01,4.68143005e+01
1.16839325e+00,9.07031298e-02,1.27095044e-01,2.38615036e-01,4.70166664e+01
1.22405231e+00,1.08384088e-01,1.51788235e-01,2.89591670e-01,5.15098991e+01
1.28114390e+00,1.30441472e-01,1.82704419e-01,3.61259460e-01,5.09394493e+01
1.33970511e+00,1.56504691e-01,2.19674528e-01,4.51381594e-01,5.43666725e+01
1.39977336e+00,2.07082812e+04,2.89940078e+04,1.95345664e+04,1.36297510e+03
1.46138775e+00,2.65903203e+04,3.71852070e+04,2.25174336e+04,1.43736938e+03
1.52458799e+00,1.63824668e+04,2.29061641e+04,1.40795293e+04,1.06427783e+03
1.58941495e+00,1.57921807e+04,2.20955938e+04,1.42132930e+04,1.30663794e+03
1.65591037e+00,1.58244004e+04,2.21462324e+04,1.44806816e+04,1.40330347e+03
1.72411728e+00,1.55767383e+04,2.18012383e+04,1.43171309e+04,1.41113379e+03
1.79407966e+00,1.47830449e+04,2.06903594e+04,1.35777051e+04,1.36245178e+03
1.86584306e+00,1.36777305e+04,1.91436992e+04,1.25704336e+04,1.34388208e+03
1.93945324e+00,1.28239609e+04,1.79509102e+04,1.18813311e+04,1.31852759e+03
2.01495814e+00,1.28599414e+04,1.80055625e+04,1.21116855e+04,1.49737427e+03
2.09240627e+00,1.39026768e+04,1.94705840e+04,1.33354160e+04,1.73148828e+03
2.17184782e+00,1.58995957e+04,2.22722090e+04,1.55314170e+04,2.22270752e+03
2.25333428e+00,1.86961133e+04,2.61936074e+04,1.85414668e+04,2.69302100e+03
2.33691788e+00,2.09104102e+04,2.92958145e+04,2.07869062e+04,3.01553809e+03
2.42265272e+00,2.14292305e+04,3.00198047e+04,2.11677539e+04,2.91148242e+03
2.51059437e+00,2.07925547e+04,2.91251055e+04,2.03887812e+04,2.78639648e+03
2.60079956e+00,1.96223730e+04,2.74835820e+04,1.91058203e+04,2.50415332e+03
2.69332647e+00,1.80105059e+04,2.52242461e+04,1.74190508e+04,2.27326489e+03
2.78823495e+00,1.67446758e+04,2.34502695e+04,1.60880938e+04,2.02192017e+03
2.88558602e+00,1.59571836e+04,2.23467520e+04,1.52619707e+04,1.95209863e+03
2.98544264e+00,1.59584404e+04,2.23495410e+04,1.52978848e+04,1.98675732e+03
3.08786964e+00,1.72087188e+04,2.41036660e+04,1.66286016e+04,2.23028735e+03
3.19293284e+00,1.86634023e+04,2.61405430e+04,1.79779062e+04,2.37953296e+03
3.30070019e+00,1.90910234e+04,2.67371406e+04,1.83016816e+04,2.41862354e+03
3.41124129e+00,1.91248242e+04,2.67833242e+04,1.82960000e+04,2.43639819e+03
3.52462745e+00,1.86546426e+04,2.61226621e+04,1.77474648e+04,2.38206494e+03
3.64093208e+00,1.76025625e+04,2.46487930e+04,1.67218164e+04,2.31209937e+03
3.76023054e+00,1.64104473e+04,2.29801855e+04,1.56240859e+04,2.22024683e+03
3.88259912e+00,1.52143535e+04,2.13066367e+04,1.45548330e+04,2.15766675e+03
4.00811720e+00,1.43237676e+04,2.00612754e+04,1.37971465e+04,2.11314941e+03
4.13686609e+00,1.42467969e+04,1.99551133e+04,1.38092754e+04,2.15448608e+03
4.26892853e+00,1.46984844e+04,2.05890547e+04,1.43196777e+04,2.25781738e+03
4.40439081e+00,1.53076455e+04,2.14441602e+04,1.50161016e+04,2.41346216e+03
4.54333878e+00,1.70521602e+04,2.38907695e+04,1.68654375e+04,2.71506494e+03
4.68586397e+00,1.93847422e+04,2.71586836e+04,1.91722930e+04,2.98981836e+03
4.83205652e+00,1.97455430e+04,2.76607891e+04,1.94014531e+04,2.98869922e+03
4.98201227e+00,1.96600820e+04,2.75398496e+04,1.93008965e+04,2.97547021e+03
5.13582754e+00,2.00924609e+04,2.81448047e+04,1.97013340e+04,2.99170068e+03
5.29360199e+00,2.01523047e+04,2.82270117e+04,1.96637148e+04,2.91453662e+03
5.45543718e+00,1.94874805e+04,2.72927754e+04,1.88433086e+04,2.72133203e+03
5.62143755e+00,1.79824609e+04,2.51826641e+04,1.72523496e+04,2.49572754e+03
