Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,4.65188565e-12,6.36529111e-12,1.47151232e-11,1.49157842e-08
7.99999982e-02,1.36417683e-11,1.91109437e-11,6.61852656e-11,8.02749071e-07
1.19999997e-01,2.88114341e-11,4.10333711e-11,1.68380018e-10,1.67482038e-04
1.59999996e-01,6.90019777e-11,9.99415689e-11,4.21125135e-10,6.40066864e-04
2.00000003e-01,1.29553396e-10,1.91507421e-10,9.53532808e-10,1.09985133e-03
2.39999995e-01,2.64157946e-10,3.93996419e-10,2.04189532e-09,2.00616149e-03
2.80000001e-01,4.42129777e-10,6.66120492e-10,3.91252719e-09,3.11102509e-03
3.19999993e-01,6.98589742e-10,1.05701081e-09,6.25922869e-09,4.29352466e-03
3.60000014e-01,1.07545040e-09,1.63438274e-09,9.66327196e-09,5.93992556e-03
4.00000006e-01,1.88760607e-09,2.87646462e-09,1.63196319e-08,8.00558366e-03
4.39999998e-01,2.90062019e-09,4.43954251e-09,2.45689424e-08,1.06383059e-02
4.79999989e-01,4.60857841e-09,7.05916081e-09,3.74418647e-08,1.44959055e-02
5.19999981e-01,7.25097493e-09,1.11546141e-08,6.14915407e-08,1.87206604e-02
5.60000002e-01,1.15180043e-08,1.77171877e-08,9.23970873e-08,2.54251044e-02
6.00000024e-01,1.74992607e-08,2.70035798e-08,1.34549495e-07,3.27847004e-02
6.41029537e-01,3.03277261e-08,4.68106727e-08,2.79835035e-07,4.38260362e-02
6.83115125e-01,4.67290135e-08,7.24197946e-08,4.81410837e-07,5.67277186e-02
7.26283848e-01,8.07463110e-08,1.25291606e-07,1.75663820e-06,7.48450607e-02
7.70563781e-01,1.28789580e-07,2.00421269e-07,3.48962863e-06,1.00449853e-01
8.15983355e-01,2.56887773e-07,4.00690283e-07,1.21922485e-05,1.35827199e-01
8.62571895e-01,3.78749149e-07,5.95520646e-07,1.62916458e-05,1.84457660e-01
