Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,1.46794719e-30,2.07049694e-30,4.40008432e-26,1.10296612e+01
7.99999982e-02,5.83834974e-28,8.52682083e-28,6.29582286e-20,1.70893078e+01
1.19999997e-01,1.03532275e-25,1.51641968e-25,6.49191528e-17,2.13443222e+01
1.59999996e-01,4.55630518e-24,6.72483885e-24,1.79265524e-15,2.62534809e+01
2.00000003e-01,3.32358270e-23,5.01403557e-23,1.04877356e-13,2.94000854e+01
2.39999995e-01,1.45187181e-21,2.08561737e-21,1.88751250e-12,3.25079880e+01
2.80000001e-01,1.72089304e-20,2.52061804e-20,1.61850151e-11,3.48501854e+01
3.19999993e-01,8.34283406e-19,1.22347540e-18,2.20190630e-10,3.75920906e+01
3.60000014e-01,7.69840287e-18,1.14758638e-17,9.58269464e-10,3.99071999e+01
4.00000006e-01,2.46937871e-16,3.61836699e-16,5.03094721e-09,4.26707268e+01
4.39999998e-01,1.55861251e-15,2.33723982e-15,2.04825081e-08,4.42549744e+01
4.79999989e-01,2.44007746e-14,3.58387738e-14,1.08130777e-07,4.72870522e+01
5.19999981e-01,9.54040517e-14,1.43942855e-13,7.34792252e-07,4.84642639e+01
5.60000002e-01,3.00056231e-13,4.49470024e-13,2.09566952e-06,5.17683372e+01
6.00000024e-01,7.72317540e-13,1.17284654e-12,2.45089086e-06,5.38799477e+01
6.41029537e-01,1.83495515e-12,2.79429973e-12,2.17534603e-06,5.83005524e+01
6.83115125e-01,4.49452324e-12,6.86483596e-12,2.91882156e-06,6.25556412e+01
7.26283848e-01,1.12194594e-11,1.71316399e-11,2.49751020e-06,6.72675705e+01
7.70563781e-01,3.05461698e-11,4.65611438e-11,2.56926160e-06,7.14465637e+01
8.15983355e-01,9.58892826e-11,1.43436388e-10,2.10586313e-06,7.68257828e+01
8.62571895e-01,2.76981604e-10,4.16464502e-10,2.71212616e-06,8.18838730e+01
9.10359621e-01,9.75261871e-10,1.41122491e-09,7.71458599e-06,8.65519104e+01
9.59377348e-01,2.96946157e-09,4.14593471e-09,2.42287952e-05,9.17309799e+01
1.00965667e+00,1.04028750e-08,1.36678402e-08,3.72010545e-05,9.86821976e+01
1.06123006e+00,4.91436225e-08,6.08197155e-08,4.29939755e-05,1.06202553e+02
1.11413085e+00,2.54102474e-07,3.05227161e-07,6.84152692e-05,1.14931053e+02
1.16839325e+00,9.85484235e-07,1.17398736e-06,6.54731703e-05,1.20690720e+02
1.22405231e+00,2.07759763e-06,2.58655837e-06,8.63370660e-05,1.29248291e+02
1.28114390e+00,3.18972388e-06,3.96936139e-06,1.29355889e-04,1.34977295e+02
1.33970511e+00,4.19336266e-06,5.11643975e-06,1.52795808e-04,1.43310303e+02
1.39977336e+00,2.07135742e+04,2.90003770e+04,1.94720918e+04,1.33955823e+03
1.46138775e+00,2.63570312e+04,3.68587891e+04,2.22797500e+04,1.47464160e+03
1.52458799e+00,1.60442412e+04,2.24342266e+04,1.38023301e+04,1.10123169e+03
1.58941495e+00,1.62746611e+04,2.27706133e+04,1.46023066e+04,1.35162500e+03
1.65591037e+00,1.61409883e+04,2.25846758e+04,1.45082334e+04,1.32493945e+03
1.72411728e+00,1.47928945e+04,2.06962871e+04,1.31797852e+04,1.20353247e+03
1.79407966e+00,1.28619043e+04,1.79934043e+04,1.13951836e+04,1.07428308e+03
1.86584306e+00,1.12079102e+04,1.56804648e+04,9.97000781e+03,1.01552350e+03
1.93945324e+00,1.01663535e+04,1.42256357e+04,9.15007031e+03,1.01738721e+03
2.01495814e+00,9.68820508e+03,1.35597754e+04,8.86741309e+03,1.08824292e+03
2.09240627e+00,9.80969434e+03,1.37343076e+04,9.19285645e+03,1.24026978e+03
2.17184782e+00,1.08304199e+04,1.51691533e+04,1.04406250e+04,1.54211865e+03
2.25333428e+00,1.28262256e+04,1.79698867e+04,1.26727061e+04,1.98054504e+03
2.33691788e+00,1.55211963e+04,2.17500117e+04,1.56229473e+04,2.52344849e+03
2.42265272e+00,1.85990078e+04,2.60658164e+04,1.89429238e+04,3.06620483e+03
2.51059437e+00,2.16422188e+04,3.03315449e+04,2.21528164e+04,3.50445215e+03
2.60079956e+00,2.41704258e+04,3.38726641e+04,2.46592520e+04,3.67785156e+03
2.69332647e+00,2.54937539e+04,3.57213906e+04,2.56891797e+04,3.51391162e+03
2.78823495e+00,2.52519102e+04,3.53746953e+04,2.49834629e+04,3.08978467e+03
2.88558602e+00,2.39163164e+04,3.34954961e+04,2.31674961e+04,2.59920801e+03
2.98544264e+00,2.18993828e+04,3.06631523e+04,2.07582930e+04,2.14997852e+03
3.08786964e+00,1.96321816e+04,2.74825410e+04,1.82445781e+04,1.78956982e+03
3.19293284e+00,1.74858262e+04,2.44735156e+04,1.59910449e+04,1.53299731e+03
3.30070019e+00,1.55867676e+04,2.18128203e+04,1.40969121e+04,1.36370166e+03
3.41124129e+00,1.39576221e+04,1.95317305e+04,1.25550938e+04,1.26468066e+03
3.52462745e+00,1.26315254e+04,1.76761348e+04,1.13630635e+04,1.20017603e+03
3.64093208e+00,1.15580234e+04,1.61749434e+04,1.04463516e+04,1.17609058e+03
3.76023054e+00,1.07092734e+04,1.49887920e+04,9.75635352e+03,1.16894678e+03
3.88259912e+00,1.00873652e+04,1.41203555e+04,9.28363770e+03,1.18330225e+03
4.00811720e+00,9.71203613e+03,1.35971797e+04,9.04459570e+03,1.22647168e+03
4.13686609e+00,9.60301367e+03,1.34468877e+04,9.05802734e+03,1.28633948e+03
4.26892853e+00,9.79358008e+03,1.37161230e+04,9.35908398e+03,1.39238574e+03
4.40439081e+00,1.03436416e+04,1.44887969e+04,1.00094336e+04,1.53429626e+03
4.54333878e+00,1.12665801e+04,1.57837480e+04,1.10299814e+04,1.73338647e+03
4.68586397e+00,1.25752588e+04,1.76190684e+04,1.24377588e+04,1.97974316e+03
4.83205652e+00,1.42913633e+04,2.00250430e+04,1.42521387e+04,2.29386963e+03
4.98201227e+00,1.63126768e+04,2.28582031e+04,1.63641289e+04,2.65761230e+03
5.13582754e+00,1.84625039e+04,2.58709336e+04,1.86006094e+04,3.04335596e+03
5.29360199e+00,2.06440723e+04,2.89276172e+04,2.08601660e+04,3.40397363e+03
5.45543718e+00,2.25989434e+04,3.16655312e+04,2.28338398e+04,3.64409229e+03
5.62143755e+00,2.40112285e+04,3.36416133e+04,2.41499902e+04,3.67911182e+03
5.79171038e+00,2.45657539e+04,3.44140625e+04,2.44558965e+04,3.48851514e+03
5.96636629e+00,2.39277227e+04,3.35141523e+04,2.34404785e+04,3.09997681e+03
6.14551687e+00,2.24575645e+04,3.14487773e+04,2.15968242e+04,2.68732837e+03
6.32927942e+00,2.08069141e+04,2.91319648e+04,1.96594219e+04,2.34450366e+03
6.51777077e+00,1.90350117e+04,2.66471406e+04,1.77265781e+04,2.10377881e+03
6.71111441e+00,1.73701992e+04,2.43144375e+04,1.60301084e+04,1.93819763e+03
6.90943432e+00,1.60526816e+04,2.24691758e+04,1.47433027e+04,1.84340454e+03
