Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,1.56197374e-10,3.22288224e-10,1.57747371e-03,6.19982624e+00
7.99999982e-02,1.54160573e-09,3.34921779e-09,4.30703303e-03,6.78255129e+00
1.19999997e-01,7.84184717e-09,1.74275598e-08,6.61623711e-03,6.79152775e+00
1.59999996e-01,2.40531630e-08,5.37018430e-08,7.90530257e-03,7.74512339e+00
2.00000003e-01,6.16879987e-08,1.36724921e-07,8.98849685e-03,9.01138020e+00
2.39999995e-01,1.26473452e-07,2.80956613e-07,9.84985754e-03,8.68857956e+00
2.80000001e-01,2.16297494e-07,4.82578287e-07,1.07230162e-02,1.16556025e+01
3.19999993e-01,3.63654436e-07,8.08405446e-07,1.17212245e-02,1.09533587e+01
3.60000014e-01,5.83734732e-07,1.29619002e-06,1.28253298e-02,1.21151285e+01
4.00000006e-01,8.44045871e-07,1.89721516e-06,1.43435821e-02,1.23719292e+01
4.39999998e-01,1.19508650e-06,2.72840407e-06,1.61841866e-02,1.38880835e+01
4.79999989e-01,1.60835464e-06,3.68147494e-06,1.80062018e-02,1.43011084e+01
5.19999981e-01,2.00551426e-06,4.58527666e-06,2.00508106e-02,1.50993595e+01
5.60000002e-01,2.54294991e-06,5.71547616e-06,2.22291723e-02,1.61014709e+01
6.00000024e-01,3.24478719e-06,7.13673762e-06,2.43629459e-02,1.78274956e+01
6.41029537e-01,4.41227576e-06,9.59509362e-06,2.61112843e-02,1.94251556e+01
6.83115125e-01,6.61594322e-06,1.39818594e-05,2.84981579e-02,2.04664707e+01
7.26283848e-01,1.42295576e-05,2.80754848e-05,3.00761349e-02,2.32856064e+01
7.70563781e-01,3.48380199e-05,6.72483438e-05,3.28402296e-02,2.28454933e+01
8.15983355e-01,1.34644361e-04,2.36462132e-04,3.43125351e-02,2.55012093e+01
8.62571895e-01,2.72981008e-04,4.69891791e-04,3.90647426e-02,2.63355064e+01
9.10359621e-01,7.59965973e-04,1.23769790e-03,4.48815413e-02,2.79275723e+01
9.59377348e-01,1.28461805e-03,2.05779751e-03,5.37886210e-02,3.07625790e+01
1.00965667e+00,2.41704914e-03,3.77783575e-03,6.58325180e-02,3.17889843e+01
1.06123006e+00,4.09788080e-03,6.31215889e-03,7.69641548e-02,3.32822914e+01
1.11413085e+00,6.07590470e-03,9.21284873e-03,8.46348181e-02,3.60916748e+01
1.16839325e+00,7.61381583e-03,1.12861563e-02,9.14462432e-02,3.57334671e+01
1.22405231e+00,8.02239496e-03,1.16608692e-02,1.05408035e-01,3.95777092e+01
1.28114390e+00,8.25257599e-03,1.19583681e-02,1.26335651e-01,3.75575638e+01
1.33970511e+00,8.85540806e-03,1.30166775e-02,1.56423241e-01,4.22523689e+01
1.39977336e+00,2.01973203e+04,2.82922637e+04,1.99900000e+04,2.06087500e+03
1.46138775e+00,2.53503828e+04,3.54903672e+04,2.37857617e+04,1.95932007e+03
1.52458799e+00,1.55221172e+04,2.17281797e+04,1.45758867e+04,1.29873230e+03
1.58941495e+00,1.43239043e+04,2.00554805e+04,1.36656230e+04,1.35142407e+03
1.65591037e+00,1.28500684e+04,1.79929102e+04,1.23187812e+04,1.26395081e+03
1.72411728e+00,1.13535215e+04,1.58983984e+04,1.09361953e+04,1.18579370e+03
1.79407966e+00,1.03828633e+04,1.45407090e+04,1.00759990e+04,1.16686230e+03
1.86584306e+00,1.01919834e+04,1.42755449e+04,9.99547070e+03,1.25936340e+03
1.93945324e+00,1.09603564e+04,1.53546377e+04,1.08931211e+04,1.49801599e+03
2.01495814e+00,1.28156719e+04,1.79568633e+04,1.29078330e+04,1.91753503e+03
2.09240627e+00,1.55538027e+04,2.17961211e+04,1.58321035e+04,2.47723682e+03
2.17184782e+00,1.86599062e+04,2.61504180e+04,1.91093496e+04,3.03974683e+03
2.25333428e+00,2.14353789e+04,3.00398789e+04,2.19677988e+04,3.43291431e+03
2.33691788e+00,2.31937070e+04,3.25020762e+04,2.36750195e+04,3.52962231e+03
2.42265272e+00,2.35469941e+04,3.29936953e+04,2.38449219e+04,3.33286475e+03
2.51059437e+00,2.24461055e+04,3.14470078e+04,2.24934980e+04,2.92274951e+03
2.60079956e+00,2.04033926e+04,2.85813926e+04,2.02289551e+04,2.46692432e+03
2.69332647e+00,1.80460156e+04,2.52763066e+04,1.77269004e+04,2.05919751e+03
2.78823495e+00,1.57786055e+04,2.20986172e+04,1.53907930e+04,1.74369519e+03
2.88558602e+00,1.38155176e+04,1.93482812e+04,1.34150059e+04,1.50869177e+03
2.98544264e+00,1.22318174e+04,1.71300957e+04,1.18535742e+04,1.35338879e+03
3.08786964e+00,1.10549844e+04,1.54822471e+04,1.07168984e+04,1.25494263e+03
3.19293284e+00,1.02088486e+04,1.42979053e+04,9.92351758e+03,1.21485059e+03
3.30070019e+00,9.67851074e+03,1.35561895e+04,9.45576953e+03,1.21192114e+03
3.41124129e+00,9.51286719e+03,1.33253086e+04,9.34840625e+03,1.25792297e+03
3.52462745e+00,9.51709863e+03,1.33322715e+04,9.40635645e+03,1.31972559e+03
3.64093208e+00,9.57150391e+03,1.34095918e+04,9.51993750e+03,1.39201965e+03
3.76023054e+00,9.71281934e+03,1.36086953e+04,9.72136133e+03,1.47766553e+03
3.88259912e+00,1.00419707e+04,1.40711875e+04,1.01225859e+04,1.59988696e+03
4.00811720e+00,1.07900918e+04,1.51206895e+04,1.09451641e+04,1.77458313e+03
4.13686609e+00,1.20146670e+04,1.68377344e+04,1.22458379e+04,2.01549719e+03
4.26892853e+00,1.42234043e+04,1.99340137e+04,1.45628184e+04,2.43406152e+03
4.40439081e+00,1.75089805e+04,2.45390898e+04,1.79850820e+04,3.01244629e+03
4.54333878e+00,2.15231426e+04,3.01640547e+04,2.21065039e+04,3.64162549e+03
4.68586397e+00,2.49675352e+04,3.49893516e+04,2.55917266e+04,4.09801758e+03
4.83205652e+00,2.71063848e+04,3.79839766e+04,2.76543770e+04,4.22958936e+03
4.98201227e+00,2.65963027e+04,3.72652891e+04,2.69042227e+04,3.85402979e+03
5.13582754e+00,2.41394746e+04,3.38191445e+04,2.41750840e+04,3.24525977e+03
5.29360199e+00,2.09893906e+04,2.94030508e+04,2.08413887e+04,2.68029346e+03
5.45543718e+00,1.84299434e+04,2.58159980e+04,1.82063457e+04,2.31266284e+03
5.62143755e+00,1.71391484e+04,2.40071445e+04,1.68765098e+04,2.13634961e+03
5.79171038e+00,1.60888750e+04,2.25360430e+04,1.58189209e+04,2.02359448e+03
5.96636629e+00,1.45440527e+04,2.03725859e+04,1.43047588e+04,1.88010303e+03
6.14551687e+00,1.25766367e+04,1.76173809e+04,1.23946699e+04,1.68618408e+03
6.32927942e+00,1.08739473e+04,1.52333994e+04,1.07673994e+04,1.53525903e+03
6.51777077e+00,1.04407393e+04,1.46283848e+04,1.04302939e+04,1.56669861e+03
