Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,1.79074186e-06,3.93313940e-06,2.98099983e-02,2.09708748e+01
7.99999982e-02,8.72244345e-05,1.64367535e-04,5.73044494e-02,2.44972363e+01
1.19999997e-01,1.18641101e-03,2.00278475e-03,6.80460930e-02,2.70553513e+01
1.59999996e-01,5.35029592e-03,8.55962746e-03,7.54306316e-02,3.00139847e+01
2.00000003e-01,1.24589950e-02,1.85716022e-02,8.19011480e-02,3.17096596e+01
2.39999995e-01,1.58834774e-02,2.31071003e-02,8.76256526e-02,3.34232635e+01
2.80000001e-01,2.06157565e-02,2.95219049e-02,9.29582790e-02,3.48576736e+01
3.19999993e-01,2.10297480e-02,3.02654151e-02,9.72030684e-02,3.64107780e+01
3.60000014e-01,2.27150451e-02,3.25476304e-02,1.01032495e-01,3.76484489e+01
4.00000006e-01,2.31114831e-02,3.37415598e-02,1.03740901e-01,3.87778931e+01
4.39999998e-01,2.26068087e-02,3.29376832e-02,1.05999187e-01,3.96500626e+01
4.79999989e-01,2.29782276e-02,3.37132365e-02,1.08221166e-01,4.04036713e+01
5.19999981e-01,2.09758095e-02,3.05195320e-02,1.10390380e-01,4.10487175e+01
5.60000002e-01,2.06026994e-02,2.97957342e-02,1.12729356e-01,4.16168938e+01
6.00000024e-01,1.82148162e-02,2.60504633e-02,1.16017044e-01,4.22067337e+01
6.41029537e-01,1.72206871e-02,2.44076438e-02,1.19062230e-01,4.28436012e+01
6.83115125e-01,1.52221732e-02,2.14580670e-02,1.22967929e-01,4.34119911e+01
7.26283848e-01,1.46433171e-02,2.05940157e-02,1.27405554e-01,4.40063286e+01
7.70563781e-01,1.39788706e-02,1.96637865e-02,1.31385893e-01,4.45983505e+01
8.15983355e-01,1.43130068e-02,2.01487783e-02,1.35479063e-01,4.52226105e+01
8.62571895e-01,1.50863742e-02,2.12384537e-02,1.39466286e-01,4.58490791e+01
9.10359621e-01,1.60211027e-02,2.25686487e-02,1.43196926e-01,4.66055031e+01
9.59377348e-01,1.78866461e-02,2.51617637e-02,1.48508266e-01,4.73416672e+01
1.00965667e+00,1.99147202e-02,2.79635154e-02,1.54154256e-01,4.82539825e+01
1.06123006e+00,2.27319114e-02,3.17911804e-02,1.60027772e-01,4.91062431e+01
1.11413085e+00,2.66596861e-02,3.71265747e-02,1.67226791e-01,5.04516525e+01
1.16839325e+00,3.23219895e-02,4.48316857e-02,1.76729381e-01,5.10889015e+01
1.22405231e+00,3.93586643e-02,5.43798432e-02,1.88461229e-01,5.26822014e+01
1.28114390e+00,5.11566252e-02,7.03868642e-02,2.02600598e-01,5.31439323e+01
1.33970511e+00,7.14999065e-02,9.83251110e-02,2.27873683e-01,5.48822250e+01
1.39977336e+00,2.07254863e+04,2.90163555e+04,1.94287031e+04,1.20022437e+03
1.46138775e+00,2.60920137e+04,3.64843984e+04,2.18681172e+04,1.31869214e+03
1.52458799e+00,1.55385332e+04,2.17226934e+04,1.31809570e+04,9.37721313e+02
1.58941495e+00,1.43423906e+04,2.00634023e+04,1.27224014e+04,1.11498889e+03
1.65591037e+00,1.38185430e+04,1.93362852e+04,1.25257256e+04,1.20577197e+03
1.72411728e+00,1.35884395e+04,1.90186777e+04,1.25214141e+04,1.29937891e+03
1.79407966e+00,1.37741973e+04,1.92828008e+04,1.28897383e+04,1.42943909e+03
1.86584306e+00,1.45375293e+04,2.03556445e+04,1.38107148e+04,1.62602295e+03
1.93945324e+00,1.58690879e+04,2.22240938e+04,1.52815840e+04,1.86935767e+03
2.01495814e+00,1.73961836e+04,2.43647109e+04,1.68559512e+04,2.05810962e+03
2.09240627e+00,1.82894336e+04,2.56142207e+04,1.76397852e+04,2.08541821e+03
2.17184782e+00,1.80542930e+04,2.52822480e+04,1.72809102e+04,1.98494507e+03
2.25333428e+00,1.70656094e+04,2.38958613e+04,1.62278164e+04,1.81704126e+03
2.33691788e+00,1.56311699e+04,2.18853906e+04,1.47306875e+04,1.59980884e+03
2.42265272e+00,1.41767637e+04,1.98476309e+04,1.32586387e+04,1.43338391e+03
2.51059437e+00,1.33544189e+04,1.86972773e+04,1.25181533e+04,1.40233386e+03
2.60079956e+00,1.35358516e+04,1.89539180e+04,1.27993301e+04,1.51181689e+03
