Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,1.05774272e-02,1.55362915e-02,2.83559691e-02,1.85681763e-03
7.99999982e-02,1.46652367e-02,2.13892628e-02,3.44133303e-02,5.14286943e-03
1.19999997e-01,1.86058246e-02,2.69862227e-02,3.85833979e-02,1.05232745e-02
1.59999996e-01,2.28483118e-02,3.30515802e-02,4.26152349e-02,1.77640263e-02
2.00000003e-01,2.69391425e-02,3.88106145e-02,4.54181582e-02,2.65513361e-02
2.39999995e-01,3.13059539e-02,4.49389666e-02,4.81174812e-02,3.40700634e-02
2.80000001e-01,3.62787917e-02,5.18938750e-02,5.18996902e-02,4.69158925e-02
3.19999993e-01,4.10697535e-02,5.85439540e-02,5.54165691e-02,5.86482100e-02
3.60000014e-01,4.66320366e-02,6.62428513e-02,6.02415875e-02,7.65448511e-02
4.00000006e-01,5.36941737e-02,7.62213320e-02,6.73177317e-02,9.44563001e-02
4.39999998e-01,5.96586913e-02,8.44666585e-02,7.29626268e-02,1.18030831e-01
4.79999989e-01,6.74769878e-02,9.57132578e-02,8.24019536e-02,1.40328914e-01
5.19999981e-01,7.23950714e-02,1.02565020e-01,8.90324414e-02,1.73845559e-01
5.60000002e-01,8.03484023e-02,1.14000171e-01,9.89016593e-02,2.10741088e-01
6.00000024e-01,8.36242139e-02,1.18479431e-01,1.03721134e-01,2.57763952e-01
6.41029537e-01,9.29631591e-02,1.31726101e-01,1.15167052e-01,3.31619591e-01
6.83115125e-01,9.50409099e-02,1.34338304e-01,1.16372913e-01,3.95116866e-01
7.26283848e-01,1.02996595e-01,1.45241529e-01,1.25167429e-01,5.15014052e-01
7.70563781e-01,1.10127568e-01,1.55140623e-01,1.33372709e-01,6.42740488e-01
8.15983355e-01,1.27510786e-01,1.79363117e-01,1.52305737e-01,8.89644861e-01
8.62571895e-01,1.27797469e-01,1.79394960e-01,1.53643459e-01,1.10088599e+00
9.10359621e-01,1.43936127e-01,2.01972619e-01,1.72469005e-01,1.50958765e+00
9.59377348e-01,1.46034688e-01,2.04911903e-01,1.80619776e-01,1.90140641e+00
1.00965667e+00,1.62479237e-01,2.28061229e-01,2.01360151e-01,2.47304034e+00
1.06123006e+00,1.82745010e-01,2.56710351e-01,2.31206223e-01,3.28731298e+00
1.11413085e+00,2.03075215e-01,2.85468727e-01,2.64096498e-01,4.23875093e+00
1.16839325e+00,2.24168897e-01,3.15285325e-01,2.96466410e-01,5.32672644e+00
1.22405231e+00,2.45270878e-01,3.45089018e-01,3.28100532e-01,6.57297897e+00
1.28114390e+00,2.92880505e-01,4.12530750e-01,3.97355676e-01,8.21750832e+00
1.33970511e+00,3.52599561e-01,4.96733904e-01,4.75465387e-01,1.01009636e+01
1.39977336e+00,2.00540527e+04,2.80915547e+04,1.98501328e+04,2.07093750e+03
1.46138775e+00,2.45676406e+04,3.43954102e+04,2.31458711e+04,1.95092749e+03
1.52458799e+00,1.55330869e+04,2.17452578e+04,1.46682490e+04,1.34478870e+03
1.58941495e+00,1.45110850e+04,2.03202227e+04,1.39851299e+04,1.47052075e+03
1.65591037e+00,1.43035801e+04,2.00324102e+04,1.39294463e+04,1.56997510e+03
1.72411728e+00,1.43173984e+04,2.00535957e+04,1.40376211e+04,1.66055151e+03
1.79407966e+00,1.45053154e+04,2.03182559e+04,1.42958555e+04,1.75765967e+03
1.86584306e+00,1.48710430e+04,2.08318125e+04,1.47187812e+04,1.87035193e+03
1.93945324e+00,1.54704443e+04,2.16725977e+04,1.53678105e+04,2.01023718e+03
2.01495814e+00,1.63298633e+04,2.28774375e+04,1.62687500e+04,2.17845459e+03
2.09240627e+00,1.72495742e+04,2.41662539e+04,1.72086953e+04,2.33259595e+03
2.17184782e+00,1.77218398e+04,2.48273750e+04,1.76603906e+04,2.39364062e+03
2.25333428e+00,1.72460469e+04,2.41600078e+04,1.71483145e+04,2.32831104e+03
2.33691788e+00,1.60063242e+04,2.24230039e+04,1.58954453e+04,2.18726025e+03
2.42265272e+00,1.46479951e+04,2.05201172e+04,1.45315059e+04,2.03735522e+03
