Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,5.60519386e-41,7.42688186e-41,2.51824481e-30,4.21055679e+01
7.99999982e-02,1.13112812e-38,1.51592468e-38,3.58179598e-27,4.40714111e+01
1.19999997e-01,1.50791481e-36,2.10814139e-36,1.31336782e-24,4.45960007e+01
1.59999996e-01,1.11291764e-34,1.58665553e-34,2.68294926e-22,4.56880493e+01
2.00000003e-01,4.38812519e-33,6.44208153e-33,3.45035645e-20,4.50625381e+01
2.39999995e-01,6.04865900e-32,8.99921858e-32,3.30456380e-18,4.68660240e+01
2.80000001e-01,3.03420276e-30,4.42942371e-30,1.59937939e-16,4.62673569e+01
3.19999993e-01,5.58806226e-29,8.50493974e-29,4.45978602e-15,4.89988823e+01
3.60000014e-01,9.39465160e-28,1.39972072e-27,1.80338329e-13,4.82423248e+01
4.00000006e-01,2.94237352e-26,4.38102193e-26,8.66995451e-12,5.03612556e+01
4.39999998e-01,2.77189156e-25,4.37860943e-25,2.21950666e-10,5.14035301e+01
4.79999989e-01,4.16541514e-24,6.29458188e-24,9.86822002e-09,5.35107727e+01
5.19999981e-01,4.13796167e-23,6.64311759e-23,6.31815340e-07,5.34652863e+01
5.60000002e-01,5.37031412e-22,8.31108660e-22,3.70509906e-06,5.81779518e+01
6.00000024e-01,5.00077128e-21,7.88293673e-21,2.06454642e-05,5.73181839e+01
6.41029537e-01,8.19320910e-20,1.25949919e-19,4.84264820e-05,6.38668251e+01
6.83115125e-01,1.02511480e-18,1.56503533e-18,1.33527778e-04,6.47784882e+01
7.26283848e-01,1.27907062e-17,1.91572896e-17,3.23756743e-04,7.14130554e+01
7.70563781e-01,1.38177543e-16,2.06963924e-16,6.10307674e-04,7.29232483e+01
8.15983355e-01,1.38062051e-15,2.05191444e-15,1.06371357e-03,7.73483734e+01
8.62571895e-01,1.05463818e-14,1.56491827e-14,1.76725956e-03,7.66529388e+01
9.10359621e-01,5.04030072e-14,7.52962214e-14,2.78450549e-03,8.00748444e+01
9.59377348e-01,2.67454651e-13,3.91412109e-13,3.71678220e-03,8.42978745e+01
1.00965667e+00,1.03797092e-12,1.52718441e-12,5.16922399e-03,9.53390961e+01
1.06123006e+00,3.08496609e-12,4.51077673e-12,6.87370822e-03,9.13571091e+01
1.11413085e+00,8.02477702e-12,1.15280554e-11,8.87498539e-03,1.04588737e+02
1.16839325e+00,2.07739260e-11,2.88995997e-11,1.10477600e-02,1.05662239e+02
1.22405231e+00,4.50085524e-11,6.15097903e-11,1.33959502e-02,1.21688614e+02
1.28114390e+00,8.06388983e-11,1.07437378e-10,1.66099817e-02,1.17892548e+02
1.33970511e+00,1.27254096e-10,1.61346367e-10,2.00931560e-02,1.31982422e+02
1.39977336e+00,2.06566875e+04,2.89194004e+04,1.93224512e+04,1.28092053e+03
1.46138775e+00,2.49602656e+04,3.49042734e+04,2.10066602e+04,1.31835901e+03
1.52458799e+00,1.49892383e+04,2.09542090e+04,1.26319629e+04,9.09331055e+02
1.58941495e+00,1.31900371e+04,1.84476094e+04,1.14857266e+04,9.94398376e+02
1.65591037e+00,1.18265264e+04,1.65443398e+04,1.04784238e+04,9.86807251e+02
1.72411728e+00,1.09680488e+04,1.53470127e+04,9.89238281e+03,1.05576599e+03
1.79407966e+00,1.07742891e+04,1.50800918e+04,9.92358203e+03,1.15624756e+03
