Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,2.77590112e-14,3.84911084e-14,9.20395148e-15,3.26805353e+00
7.99999982e-02,1.95525193e-12,2.70865643e-12,6.28450796e-13,4.62451458e+00
1.19999997e-01,2.81853863e-11,3.92682657e-11,1.08599492e-11,5.65595818e+00
1.59999996e-01,1.62607927e-10,2.26888799e-10,2.49836685e-09,6.19002485e+00
2.00000003e-01,2.96983549e-10,4.22885088e-10,2.74721668e-08,6.45777845e+00
2.39999995e-01,7.60001950e-10,1.06129616e-09,2.16488331e-07,6.85963917e+00
2.80000001e-01,2.08208450e-09,2.87598945e-09,2.69332804e-06,7.09308529e+00
3.19999993e-01,4.94409980e-09,6.80384460e-09,2.92103650e-05,7.52038288e+00
3.60000014e-01,1.16222667e-08,1.58280145e-08,6.41220395e-05,7.76837540e+00
4.00000006e-01,2.50805758e-08,3.40521815e-08,2.17398512e-04,8.71028519e+00
4.39999998e-01,4.18512585e-08,5.89590385e-08,2.99786858e-04,8.90674782e+00
4.79999989e-01,9.30306499e-08,1.32135909e-07,7.05373765e-04,9.49846077e+00
5.19999981e-01,2.27841682e-07,3.25069777e-07,7.24398764e-04,1.06674480e+01
5.60000002e-01,4.93817140e-07,7.32436547e-07,1.14833505e-03,1.14838915e+01
6.00000024e-01,1.35783353e-06,2.11516385e-06,9.21981235e-04,1.37088814e+01
6.41029537e-01,3.51256676e-06,5.74743763e-06,1.24626141e-03,1.67172203e+01
6.83115125e-01,8.31040052e-06,1.43302941e-05,9.36289318e-04,1.80611000e+01
7.26283848e-01,6.46624976e-05,9.78700555e-05,1.15154020e-03,1.94759083e+01
7.70563781e-01,8.73133467e-05,1.44334306e-04,1.21098256e-03,2.06375847e+01
8.15983355e-01,2.25398951e-04,3.67913919e-04,1.56416639e-03,2.27316341e+01
8.62571895e-01,4.49906627e-04,7.33613619e-04,1.45193329e-03,2.42730083e+01
9.10359621e-01,9.61893995e-04,1.51064061e-03,1.47216569e-03,2.48758144e+01
9.59377348e-01,1.47229852e-03,2.28294986e-03,1.16911263e-03,2.69812832e+01
