Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,4.02037176e-06,8.34456932e-06,8.26596562e-03,6.53080444e+01
7.99999982e-02,2.65898707e-05,5.25533578e-05,2.08082758e-02,6.66269760e+01
1.19999997e-01,7.44268473e-05,1.38814692e-04,2.73655951e-02,6.77553635e+01
1.59999996e-01,1.54699519e-04,2.70395045e-04,3.02574821e-02,6.93956299e+01
2.00000003e-01,2.39407411e-04,4.05141560e-04,3.35289761e-02,6.95131149e+01
2.39999995e-01,3.20933381e-04,5.31063881e-04,3.46882530e-02,7.06375122e+01
2.80000001e-01,4.32022149e-04,6.92678732e-04,3.55965123e-02,7.09219437e+01
3.19999993e-01,5.45565388e-04,8.52286292e-04,3.68208364e-02,7.17019653e+01
3.60000014e-01,6.66317763e-04,1.01445359e-03,3.85926627e-02,7.20671539e+01
4.00000006e-01,7.59434304e-04,1.13487593e-03,4.08404544e-02,7.28225937e+01
4.39999998e-01,8.73385929e-04,1.28822436e-03,4.34211455e-02,7.30843735e+01
4.79999989e-01,9.52133560e-04,1.38970779e-03,4.56818268e-02,7.41043243e+01
5.19999981e-01,1.00823352e-03,1.46870955e-03,4.95836139e-02,7.36296844e+01
5.60000002e-01,1.05994428e-03,1.54517195e-03,5.24861999e-02,7.65488586e+01
6.00000024e-01,1.17047282e-03,1.71407149e-03,5.75223491e-02,7.79938354e+01
6.41029537e-01,1.26816670e-03,1.86560187e-03,6.22566603e-02,7.99735565e+01
6.83115125e-01,1.42300781e-03,2.09885649e-03,6.81912601e-02,7.92762299e+01
7.26283848e-01,1.62136508e-03,2.38360022e-03,7.47158974e-02,8.06314850e+01
7.70563781e-01,1.83069368e-03,2.68294662e-03,8.35266709e-02,8.16404419e+01
8.15983355e-01,2.08122516e-03,3.04787909e-03,9.13912356e-02,8.02595978e+01
8.62571895e-01,2.44659861e-03,3.57966498e-03,1.01178631e-01,7.96705093e+01
9.10359621e-01,2.85031181e-03,4.15967498e-03,1.12692982e-01,7.93282928e+01
9.59377348e-01,3.40129994e-03,4.95498721e-03,1.24960393e-01,7.92073822e+01
1.00965667e+00,3.97620350e-03,5.80694154e-03,1.42702714e-01,7.70709686e+01
1.06123006e+00,4.78488021e-03,7.03728106e-03,1.65139139e-01,7.93337860e+01
1.11413085e+00,6.05037156e-03,8.97678547e-03,1.92238659e-01,7.73377609e+01
1.16839325e+00,8.13203026e-03,1.21452240e-02,2.26760119e-01,7.64882965e+01
1.22405231e+00,1.11178374e-02,1.67040192e-02,2.74789989e-01,7.79411240e+01
1.28114390e+00,1.61974188e-02,2.44851578e-02,3.47312182e-01,7.80881271e+01
1.33970511e+00,2.40868330e-02,3.64005081e-02,4.50415254e-01,7.90207062e+01
1.39977336e+00,2.06493555e+04,2.89075586e+04,1.92170000e+04,1.12811523e+03
1.46138775e+00,2.45530000e+04,3.43327305e+04,2.06312422e+04,1.24856567e+03
1.52458799e+00,1.48239453e+04,2.07252969e+04,1.25720635e+04,8.94232910e+02
1.58941495e+00,1.36710781e+04,1.91245117e+04,1.21057129e+04,1.05975574e+03
1.65591037e+00,1.33698848e+04,1.87089473e+04,1.21084707e+04,1.16646094e+03
1.72411728e+00,1.33373359e+04,1.86673496e+04,1.22683594e+04,1.26721082e+03
1.79407966e+00,1.35163633e+04,1.89211289e+04,1.25885947e+04,1.36504858e+03
1.86584306e+00,1.39265117e+04,1.94979551e+04,1.31020703e+04,1.47896704e+03
1.93945324e+00,1.44803252e+04,2.02752695e+04,1.37203936e+04,1.58016138e+03
2.01495814e+00,1.50046699e+04,2.10104629e+04,1.42710762e+04,1.66322266e+03
2.09240627e+00,1.53272168e+04,2.14622871e+04,1.45912305e+04,1.70012939e+03
2.17184782e+00,1.53234102e+04,2.14565234e+04,1.45681377e+04,1.68618213e+03
2.25333428e+00,1.49605215e+04,2.09476641e+04,1.41857041e+04,1.63377124e+03
2.33691788e+00,1.43450498e+04,2.00853086e+04,1.35689014e+04,1.55529285e+03
2.42265272e+00,1.36688838e+04,1.91383203e+04,1.29102910e+04,1.48630090e+03
2.51059437e+00,1.30709922e+04,1.83011895e+04,1.23359863e+04,1.43556201e+03
2.60079956e+00,1.26403564e+04,1.76985898e+04,1.19394434e+04,1.40730371e+03
2.69332647e+00,1.25438379e+04,1.75642734e+04,1.18828252e+04,1.43320972e+03
2.78823495e+00,1.28153828e+04,1.79454727e+04,1.21872578e+04,1.49333813e+03
2.88558602e+00,1.32609238e+04,1.85702734e+04,1.26618281e+04,1.58887268e+03
2.98544264e+00,1.37625488e+04,1.92735742e+04,1.31943438e+04,1.67729663e+03
3.08786964e+00,1.42115098e+04,1.99029980e+04,1.36729170e+04,1.77352686e+03
3.19293284e+00,1.44779189e+04,2.02766523e+04,1.39704316e+04,1.82709094e+03
3.30070019e+00,1.46074746e+04,2.04585703e+04,1.41312959e+04,1.87455994e+03
3.41124129e+00,1.46750020e+04,2.05534629e+04,1.42222900e+04,1.88770581e+03
3.52462745e+00,1.46961846e+04,2.05831660e+04,1.42505303e+04,1.89476123e+03
3.64093208e+00,1.47344688e+04,2.06366035e+04,1.42813018e+04,1.88810693e+03
3.76023054e+00,1.49262734e+04,2.09049746e+04,1.44555020e+04,1.91068335e+03
3.88259912e+00,1.52768281e+04,2.13955625e+04,1.47761553e+04,1.92966138e+03
4.00811720e+00,1.56080137e+04,2.18588340e+04,1.50689404e+04,1.95948486e+03
4.13686609e+00,1.58805645e+04,2.22399160e+04,1.53021992e+04,1.96885535e+03
4.26892853e+00,1.60227480e+04,2.24383379e+04,1.54051328e+04,1.97196448e+03
4.40439081e+00,1.58361426e+04,2.21763516e+04,1.51931836e+04,1.93325171e+03
4.54333878e+00,1.53612383e+04,2.15107871e+04,1.47102197e+04,1.87359668e+03
4.68586397e+00,1.46977412e+04,2.05811562e+04,1.40469551e+04,1.78257886e+03
4.83205652e+00,1.39695244e+04,1.95610156e+04,1.33263936e+04,1.68579602e+03
4.98201227e+00,1.33626699e+04,1.87110137e+04,1.27332354e+04,1.61567004e+03
5.13582754e+00,1.29831533e+04,1.81796699e+04,1.23715684e+04,1.57709131e+03
5.29360199e+00,1.29339229e+04,1.81110918e+04,1.23363350e+04,1.58028088e+03
5.45543718e+00,1.31236182e+04,1.83771680e+04,1.25348086e+04,1.61696399e+03
5.62143755e+00,1.33469414e+04,1.86903555e+04,1.27730898e+04,1.64887073e+03
5.79171038e+00,1.36141367e+04,1.90649805e+04,1.30567109e+04,1.70597144e+03
5.96636629e+00,1.38125977e+04,1.93433359e+04,1.32702480e+04,1.73631140e+03
6.14551687e+00,1.38211201e+04,1.93556113e+04,1.33027598e+04,1.75087036e+03
6.32927942e+00,1.37017549e+04,1.91887344e+04,1.32153711e+04,1.75176135e+03
6.51777077e+00,1.35972568e+04,1.90425391e+04,1.31381611e+04,1.74710193e+03
6.71111441e+00,1.35005205e+04,1.89071445e+04,1.30671094e+04,1.75080688e+03
6.90943432e+00,1.36295459e+04,1.90878906e+04,1.32061777e+04,1.76085413e+03
7.11285782e+00,1.41156953e+04,1.97687754e+04,1.36838027e+04,1.82388684e+03
7.32151794e+00,1.47519502e+04,2.06602500e+04,1.43202383e+04,1.89646997e+03
7.53554821e+00,1.55121387e+04,2.17247734e+04,1.50463271e+04,1.97318677e+03
7.75508738e+00,1.58526631e+04,2.22009395e+04,1.53470781e+04,1.99101050e+03
7.98027754e+00,1.59500625e+04,2.23371738e+04,1.54399502e+04,2.00032739e+03
8.21126270e+00,1.57077373e+04,2.19974258e+04,1.51858750e+04,1.94848523e+03
8.44819450e+00,1.45513359e+04,2.03773223e+04,1.40325693e+04,1.79122766e+03
8.69122219e+00,1.26557188e+04,1.77234238e+04,1.22263506e+04,1.58111829e+03
8.94050789e+00,1.13451924e+04,1.58898633e+04,1.10365752e+04,1.46411987e+03
9.19620800e+00,1.06112021e+04,1.48616758e+04,1.03449844e+04,1.39275806e+03
9.45849037e+00,9.72080469e+03,1.36166387e+04,9.57706836e+03,1.34039185e+03
9.72752285e+00,1.05957090e+04,1.48433848e+04,1.05056133e+04,1.46990747e+03
1.00034800e+01,1.22499473e+04,1.71579824e+04,1.20688223e+04,1.64613318e+03
1.02865391e+01,1.25793652e+04,1.76219590e+04,1.25435195e+04,1.76308289e+03
1.05768833e+01,1.63590723e+04,2.29164199e+04,1.62897539e+04,2.22344067e+03
1.08747025e+01,1.85981250e+04,2.60486914e+04,1.83409258e+04,2.43691211e+03
1.11801853e+01,1.87034258e+04,2.62022930e+04,1.86997676e+04,2.58014307e+03
1.14935322e+01,2.19403242e+04,3.07314785e+04,2.16797656e+04,2.87609448e+03
1.18149433e+01,1.92949590e+04,2.70247402e+04,1.91067207e+04,2.57077148e+03
1.21446266e+01,1.64622539e+04,2.30613457e+04,1.65940625e+04,2.29338281e+03
1.24827967e+01,1.58527480e+04,2.22078516e+04,1.61029512e+04,2.16409448e+03
1.28296700e+01,1.46882490e+04,2.05771562e+04,1.51803105e+04,1.99152502e+03
1.31854706e+01,1.38909316e+04,1.94654121e+04,1.46187500e+04,1.90351343e+03
1.35504293e+01,1.49253330e+04,2.09214609e+04,1.56950840e+04,2.01483850e+03
1.39247818e+01,1.80982539e+04,2.53649434e+04,1.84778301e+04,2.24868799e+03
1.43087692e+01,1.99977852e+04,2.80219707e+04,2.00914688e+04,2.37843359e+03
1.47026405e+01,1.91675645e+04,2.68516094e+04,1.93663711e+04,2.35192529e+03
1.51066484e+01,1.79269844e+04,2.51123262e+04,1.84417441e+04,2.40799683e+03
1.55210552e+01,1.89105723e+04,2.65067031e+04,1.98888086e+04,2.70489795e+03
1.59461288e+01,2.11058438e+04,2.96008457e+04,2.23973320e+04,2.96834814e+03
1.63821430e+01,2.20029395e+04,3.08698652e+04,2.32275117e+04,2.93671582e+03
1.68293781e+01,2.21128086e+04,3.10316875e+04,2.27974375e+04,2.82613916e+03
1.72881241e+01,2.42763008e+04,3.40179141e+04,2.45006211e+04,2.91758887e+03
1.77586803e+01,2.68853125e+04,3.76596953e+04,2.69925703e+04,2.88379248e+03
1.82413464e+01,2.75032930e+04,3.85297383e+04,2.72441797e+04,2.74306299e+03
1.87364349e+01,2.73683086e+04,3.83401055e+04,2.66996602e+04,2.66556592e+03
1.92442665e+01,2.48809336e+04,3.48671016e+04,2.46093906e+04,2.47490991e+03
1.97651691e+01,2.50699160e+04,3.51396406e+04,2.45513906e+04,2.37021680e+03
2.02994785e+01,2.66309961e+04,3.73052891e+04,2.47758789e+04,2.13346631e+03
2.08475418e+01,2.76177891e+04,3.86616406e+04,2.47476875e+04,2.13337158e+03
2.14097099e+01,2.76847969e+04,3.87366289e+04,2.35658047e+04,1.99917090e+03
2.19863453e+01,2.83701055e+04,3.96639062e+04,2.21955508e+04,1.84148657e+03
2.25778236e+01,2.92912148e+04,4.09011875e+04,2.20482500e+04,2.02877612e+03
2.31845264e+01,3.13031172e+04,4.36960234e+04,2.47132656e+04,2.41190479e+03
2.38068466e+01,3.28384375e+04,4.58560625e+04,2.75507676e+04,2.78396289e+03
2.44451809e+01,2.90844746e+04,4.06042500e+04,2.42917266e+04,2.01541382e+03
2.50999470e+01,2.60758047e+04,3.63959805e+04,2.05676016e+04,1.31577551e+03
2.57715645e+01,2.58386094e+04,3.60804414e+04,2.09027852e+04,1.40169324e+03
2.64604683e+01,2.49525156e+04,3.48535742e+04,2.02063574e+04,1.04790503e+03
2.71671047e+01,9.16834180e+03,1.27485664e+04,5.53599707e+03,1.63405426e+02
2.78919277e+01,2.00970923e+03,2.77866187e+03,8.27599976e+02,2.86285257e+00
2.86354065e+01,8.18514526e+02,1.12606995e+03,2.18086273e+02,5.95596293e-03
2.93980217e+01,5.53943909e+02,7.56248230e+02,7.84412842e+01,4.65317251e-04
3.01802654e+01,2.98855621e+02,4.07957642e+02,5.39039001e+01,6.00173225e-05
3.09826431e+01,2.71584564e+02,3.71154816e+02,3.76387901e+01,1.48141653e-05
3.18056717e+01,1.58911880e+02,2.17511154e+02,2.55676842e+01,1.01804853e-05
3.26498833e+01,1.47852356e+02,2.01393936e+02,2.04989452e+01,1.30103108e-05
3.35158234e+01,6.58581543e+01,8.87412872e+01,8.11267948e+00,4.49970321e-06
3.44040565e+01,1.58046560e+01,2.07588272e+01,6.70767963e-01,1.66749919e-06
