Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
7.99999982e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.82168800e-41
1.19999997e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.63182034e-35
1.59999996e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.36354762e-26
2.00000003e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,5.49508831e-23
2.39999995e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.86519641e-16
2.80000001e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,5.93458671e-10
3.19999993e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,5.08234052e-06
3.60000014e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,4.82596188e-05
4.00000006e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.20602366e-04
4.39999998e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.95906735e-04
4.79999989e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,6.67662069e-04
5.19999981e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.46502047e-03
5.60000002e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,3.09796701e-03
6.00000024e-01,1.12103877e-41,1.12103877e-41,1.40129846e-42,7.64472550e-03
6.41029537e-01,1.11963747e-39,1.39989717e-39,2.10194770e-40,1.57078318e-02
6.83115125e-01,1.49896897e-38,1.90884877e-38,4.41829406e-39,4.37780209e-02
7.26283848e-01,8.68128120e-37,1.07992319e-36,1.60950339e-37,1.51560798e-01
7.70563781e-01,1.41791610e-35,1.76305398e-35,3.60837807e-36,2.59639293e-01
8.15983355e-01,4.75383002e-34,5.89048163e-34,8.47450382e-35,3.93101513e-01
8.62571895e-01,1.38501505e-32,1.72154322e-32,2.33949200e-33,5.52066326e-01
9.10359621e-01,3.06081896e-31,3.77692048e-31,5.39257387e-32,6.76471591e-01
9.59377348e-01,1.02047911e-29,1.25758004e-29,1.41925351e-30,7.96658278e-01
1.00965667e+00,3.18048504e-28,3.89960177e-28,4.14197174e-29,9.21453536e-01
1.06123006e+00,9.52633282e-27,1.16334997e-26,1.13504662e-27,1.06720626e+00
1.11413085e+00,2.61033630e-25,3.18436474e-25,2.69771971e-26,1.24711239e+00
1.16839325e+00,5.73283758e-24,7.01618884e-24,5.94053726e-25,1.42165673e+00
1.22405231e+00,1.03027045e-22,1.22043926e-22,1.04926854e-23,1.72545302e+00
1.28114390e+00,1.44392626e-21,1.70608526e-21,2.18679917e-22,2.06568408e+00
1.33970511e+00,1.86019106e-20,2.19465444e-20,9.38622601e-21,2.72962499e+00
1.39977336e+00,2.01140859e+04,2.81756133e+04,1.99002383e+04,2.01801697e+03
1.46138775e+00,2.43720234e+04,3.41213086e+04,2.29072637e+04,1.84822668e+03
1.52458799e+00,1.40282793e+04,1.96372344e+04,1.31863281e+04,1.15986304e+03
1.58941495e+00,1.29245859e+04,1.80978496e+04,1.24244395e+04,1.27095337e+03
1.65591037e+00,1.27838203e+04,1.79035449e+04,1.24337637e+04,1.37640771e+03
1.72411728e+00,1.29661777e+04,1.81607930e+04,1.27075752e+04,1.47675330e+03
1.79407966e+00,1.33490566e+04,1.86983633e+04,1.31509023e+04,1.57854639e+03
1.86584306e+00,1.38034746e+04,1.93356641e+04,1.36401416e+04,1.67047705e+03
1.93945324e+00,1.40940879e+04,1.97429766e+04,1.39404844e+04,1.71554395e+03
2.01495814e+00,1.40286758e+04,1.96511328e+04,1.38662363e+04,1.70510596e+03
2.09240627e+00,1.35699375e+04,1.90081172e+04,1.33915361e+04,1.63313220e+03
2.17184782e+00,1.28034043e+04,1.79339922e+04,1.26133848e+04,1.53976501e+03
2.25333428e+00,1.18844688e+04,1.66466133e+04,1.16949492e+04,1.42429517e+03
2.33691788e+00,1.09916914e+04,1.53961660e+04,1.08159639e+04,1.33836768e+03
2.42265272e+00,1.02654082e+04,1.43792012e+04,1.01143096e+04,1.27116772e+03
2.51059437e+00,9.80224609e+03,1.37310430e+04,9.68411816e+03,1.25298535e+03
2.60079956e+00,9.69703906e+03,1.35845449e+04,9.62011133e+03,1.28437329e+03
2.69332647e+00,1.00549785e+04,1.40870459e+04,1.00276133e+04,1.39053833e+03
2.78823495e+00,1.09431719e+04,1.53325293e+04,1.09737891e+04,1.56939966e+03
2.88558602e+00,1.23407773e+04,1.72917168e+04,1.24369805e+04,1.83136377e+03
2.98544264e+00,1.41304453e+04,1.98000898e+04,1.42949658e+04,2.14129102e+03
3.08786964e+00,1.60665625e+04,2.25133164e+04,1.62899141e+04,2.46155273e+03
3.19293284e+00,1.77885195e+04,2.49259453e+04,1.80440879e+04,2.71702783e+03
3.30070019e+00,1.89550840e+04,2.65597734e+04,1.92024141e+04,2.86067139e+03
3.41124129e+00,1.93678457e+04,2.71368867e+04,1.95641992e+04,2.85630420e+03
3.52462745e+00,1.89999297e+04,2.66198984e+04,1.91147246e+04,2.72160303e+03
3.64093208e+00,1.80036602e+04,2.52225566e+04,1.80275801e+04,2.50491309e+03
3.76023054e+00,1.66424922e+04,2.33142969e+04,1.65868945e+04,2.26146826e+03
3.88259912e+00,1.51830117e+04,2.12687520e+04,1.50706455e+04,2.02848718e+03
4.00811720e+00,1.38103379e+04,1.93452695e+04,1.36661562e+04,1.84090942e+03
4.13686609e+00,1.26377656e+04,1.77024980e+04,1.24831250e+04,1.69632031e+03
4.26892853e+00,1.17096963e+04,1.64025410e+04,1.15605977e+04,1.60434473e+03
4.40439081e+00,1.10371582e+04,1.54607510e+04,1.09045098e+04,1.55034680e+03
4.54333878e+00,1.06078223e+04,1.48597881e+04,1.04986094e+04,1.53696021e+03
4.68586397e+00,1.03988428e+04,1.45675986e+04,1.03178799e+04,1.55468481e+03
4.83205652e+00,1.04076348e+04,1.45805400e+04,1.03583516e+04,1.60580884e+03
4.98201227e+00,1.06241562e+04,1.48845195e+04,1.06086592e+04,1.68188379e+03
5.13582754e+00,1.10253623e+04,1.54472363e+04,1.10454512e+04,1.78629626e+03
5.29360199e+00,1.16320156e+04,1.62977637e+04,1.16887461e+04,1.91707043e+03
5.45543718e+00,1.24278984e+04,1.74133281e+04,1.25200840e+04,2.07231152e+03
5.62143755e+00,1.33474629e+04,1.87020625e+04,1.34720908e+04,2.24308936e+03
5.79171038e+00,1.43502080e+04,2.01071914e+04,1.45026201e+04,2.42283179e+03
5.96636629e+00,1.53504766e+04,2.15086855e+04,1.55232852e+04,2.59579346e+03
6.14551687e+00,1.62500527e+04,2.27688828e+04,1.64313926e+04,2.74730469e+03
6.32927942e+00,1.69832168e+04,2.37957402e+04,1.71603418e+04,2.86407349e+03
6.51777077e+00,1.74806543e+04,2.44921348e+04,1.76379336e+04,2.93260840e+03
6.71111441e+00,1.76348691e+04,2.47074648e+04,1.77549609e+04,2.93355127e+03
6.90943432e+00,1.74915059e+04,2.45058516e+04,1.75665117e+04,2.88186719e+03
7.11285782e+00,1.71164492e+04,2.39796270e+04,1.71412734e+04,2.78738550e+03
7.32151794e+00,1.65181582e+04,2.31407812e+04,1.64971621e+04,2.65649805e+03
7.53554821e+00,1.58465283e+04,2.21994473e+04,1.57931562e+04,2.52032764e+03
7.75508738e+00,1.52304170e+04,2.13360840e+04,1.51562217e+04,2.39571460e+03
7.98027754e+00,1.47095967e+04,2.06064434e+04,1.46285332e+04,2.29748193e+03
8.21126270e+00,1.42192627e+04,1.99197266e+04,1.41455352e+04,2.22613965e+03
8.44819450e+00,1.39870439e+04,1.95947852e+04,1.39320010e+04,2.21795483e+03
8.69122219e+00,1.39052168e+04,1.94806094e+04,1.38748652e+04,2.25382568e+03
8.94050789e+00,1.39611895e+04,1.95596445e+04,1.39655850e+04,2.33910449e+03
9.19620800e+00,1.43641895e+04,2.01248320e+04,1.44037998e+04,2.48404004e+03
9.45849037e+00,1.45673359e+04,2.04099062e+04,1.46371484e+04,2.60249316e+03
9.72752285e+00,1.50177236e+04,2.10414844e+04,1.51261562e+04,2.76625244e+03
1.00034800e+01,1.57847041e+04,2.21165625e+04,1.59337266e+04,2.96831738e+03
1.02865391e+01,1.60251162e+04,2.24537441e+04,1.61985762e+04,3.06542358e+03
1.05768833e+01,1.69605469e+04,2.37647383e+04,1.71629609e+04,3.24841016e+03
1.08747025e+01,1.83609238e+04,2.57266719e+04,1.85931953e+04,3.47076367e+03
1.11801853e+01,2.01023242e+04,2.81658887e+04,2.03467656e+04,3.71558765e+03
1.14935322e+01,2.16736348e+04,3.03670820e+04,2.19235391e+04,3.94788013e+03
1.18149433e+01,2.21489727e+04,3.10323809e+04,2.23722832e+04,4.00632202e+03
1.21446266e+01,2.11107188e+04,2.95770820e+04,2.13105898e+04,3.88785938e+03
1.24827967e+01,1.91906172e+04,2.68880039e+04,1.94819238e+04,3.76876904e+03
1.28296700e+01,1.84062695e+04,2.57921016e+04,1.89024980e+04,3.86999170e+03
1.31854706e+01,1.92365742e+04,2.69579375e+04,1.99809297e+04,4.14079443e+03
1.35504293e+01,2.14227598e+04,3.00223125e+04,2.25487109e+04,4.49015576e+03
1.39247818e+01,2.21332871e+04,3.10215078e+04,2.37597500e+04,4.62159766e+03
1.43087692e+01,2.36122598e+04,3.30987734e+04,2.59057246e+04,4.96068018e+03
1.47026405e+01,2.73967539e+04,3.84058164e+04,3.04126855e+04,5.44122852e+03
1.51066484e+01,2.94457305e+04,4.12873125e+04,3.31889844e+04,5.77764307e+03
1.55210552e+01,3.16614414e+04,4.44078789e+04,3.63365000e+04,6.10322705e+03
1.59461288e+01,3.74341680e+04,5.25143008e+04,4.32710078e+04,6.61392725e+03
1.63821430e+01,4.29651562e+04,6.02869531e+04,4.94601172e+04,6.86238867e+03
1.68293781e+01,4.17414531e+04,5.85972344e+04,4.83450625e+04,6.30948047e+03
1.72881241e+01,3.98041055e+04,5.59229414e+04,4.60373906e+04,5.69526660e+03
1.77586803e+01,4.03248086e+04,5.66614648e+04,4.55358555e+04,5.27927148e+03
1.82413464e+01,4.23794102e+04,5.94917109e+04,4.58046797e+04,4.85865234e+03
1.87364349e+01,4.23500703e+04,5.93987812e+04,4.41599375e+04,4.72039990e+03
1.92442665e+01,4.37463789e+04,6.13096133e+04,4.37914688e+04,4.55120996e+03
1.97651691e+01,4.63753242e+04,6.49313828e+04,4.44269414e+04,4.39258789e+03
2.02994785e+01,4.78690234e+04,6.69946562e+04,4.42600547e+04,4.23473828e+03
2.08475418e+01,4.82131953e+04,6.74537969e+04,4.19534688e+04,4.04849072e+03
2.14097099e+01,4.70824609e+04,6.58378906e+04,3.87063281e+04,4.11201758e+03
2.19863453e+01,4.50221953e+04,6.29114531e+04,3.66914375e+04,3.85627100e+03
2.25778236e+01,4.17391016e+04,5.83047500e+04,3.38616016e+04,3.37927686e+03
2.31845264e+01,3.97598516e+04,5.55250039e+04,3.20925625e+04,3.55211743e+03
2.38068466e+01,3.61010820e+04,5.03929531e+04,2.91178730e+04,3.14174561e+03
2.44451809e+01,2.92934668e+04,4.08977617e+04,2.42480293e+04,2.45139185e+03
2.50999470e+01,1.97424043e+04,2.75628691e+04,1.61912070e+04,1.61737402e+03
2.57715645e+01,1.41294668e+04,1.97388281e+04,1.21496201e+04,1.76901709e+03
2.64604683e+01,1.66363906e+04,2.32750449e+04,1.58008877e+04,2.73986963e+03
2.71671047e+01,2.52127734e+04,3.53101680e+04,2.51170195e+04,3.24558154e+03
2.78919277e+01,3.13619414e+04,4.39062148e+04,2.99525820e+04,2.46178467e+03
