Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,7.14050187e-03,1.07168537e-02,7.68706528e-03,2.86849442e+01
7.99999982e-02,1.00326147e-02,1.47623802e-02,1.01927202e-02,3.98530693e+01
1.19999997e-01,1.15591735e-02,1.68629028e-02,1.26147233e-02,5.08367615e+01
1.59999996e-01,1.28863901e-02,1.87316276e-02,1.53024634e-02,6.25842438e+01
2.00000003e-01,1.39809102e-02,2.02909783e-02,1.79935247e-02,6.64449615e+01
2.39999995e-01,1.46994237e-02,2.12382078e-02,2.02494003e-02,7.61769714e+01
2.80000001e-01,1.51901487e-02,2.18423326e-02,2.24019475e-02,8.09558334e+01
3.19999993e-01,1.54287722e-02,2.21086740e-02,2.42749173e-02,8.71977692e+01
3.60000014e-01,1.59152467e-02,2.26718560e-02,2.64408365e-02,9.04182739e+01
4.00000006e-01,1.60675235e-02,2.28039175e-02,2.86862589e-02,9.47613220e+01
4.39999998e-01,1.61547083e-02,2.28322782e-02,3.08692791e-02,9.65314865e+01
4.79999989e-01,1.66592728e-02,2.34256536e-02,3.34347077e-02,9.90915756e+01
5.19999981e-01,1.68671384e-02,2.36357693e-02,3.66419218e-02,1.00277725e+02
5.60000002e-01,1.69169437e-02,2.35745758e-02,4.04244438e-02,1.01800781e+02
6.00000024e-01,1.77363418e-02,2.46081389e-02,4.56695631e-02,1.02743866e+02
6.41029537e-01,1.79365817e-02,2.47859955e-02,5.06096706e-02,1.03759079e+02
6.83115125e-01,1.83506068e-02,2.52513066e-02,5.62872663e-02,1.04519356e+02
7.26283848e-01,1.90302487e-02,2.61128955e-02,6.33448884e-02,1.05532242e+02
7.70563781e-01,1.98210310e-02,2.71393266e-02,6.99893460e-02,1.06016846e+02
8.15983355e-01,2.09775269e-02,2.87009813e-02,7.76286051e-02,1.07181335e+02
8.62571895e-01,2.28045601e-02,3.12341601e-02,8.61365944e-02,1.07189911e+02
9.10359621e-01,2.48994194e-02,3.41114551e-02,9.41601992e-02,1.08325531e+02
9.59377348e-01,2.74350382e-02,3.77492532e-02,1.05367422e-01,1.08309830e+02
1.00965667e+00,3.04678455e-02,4.20294032e-02,1.16475470e-01,1.09660500e+02
1.06123006e+00,3.40905674e-02,4.71372828e-02,1.29408747e-01,1.09757172e+02
1.11413085e+00,3.79756466e-02,5.25431931e-02,1.42352790e-01,1.11191475e+02
1.16839325e+00,4.28226963e-02,5.92601299e-02,1.59440115e-01,1.10976547e+02
1.22405231e+00,4.90815416e-02,6.77418634e-02,1.77819252e-01,1.12384354e+02
1.28114390e+00,6.22475781e-02,8.49730968e-02,2.00562045e-01,1.11117546e+02
