Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,7.64984032e-03,1.09429210e-02,1.40537461e-02,2.88303822e-01
7.99999982e-02,1.09270848e-02,1.55065907e-02,1.62574463e-02,6.45215750e-01
1.19999997e-01,1.29884277e-02,1.83333308e-02,1.76077895e-02,9.11515832e-01
1.59999996e-01,1.46107860e-02,2.05461979e-02,1.86423492e-02,1.08570981e+00
2.00000003e-01,1.63104534e-02,2.28684619e-02,2.01439299e-02,1.24021840e+00
2.39999995e-01,1.78748909e-02,2.49863565e-02,2.13052779e-02,1.39801466e+00
2.80000001e-01,1.90574303e-02,2.65806280e-02,2.23118272e-02,1.58022761e+00
3.19999993e-01,2.00724117e-02,2.79750861e-02,2.38317959e-02,1.78643787e+00
3.60000014e-01,2.11611614e-02,2.94400509e-02,2.50634588e-02,2.02111816e+00
4.00000006e-01,2.21149214e-02,3.07696015e-02,2.66303271e-02,2.25472474e+00
4.39999998e-01,2.31193639e-02,3.21632288e-02,2.90277936e-02,2.50520563e+00
4.79999989e-01,2.46772487e-02,3.43119502e-02,3.08935288e-02,2.76824832e+00
5.19999981e-01,2.63757575e-02,3.67093123e-02,3.38016227e-02,3.04241133e+00
5.60000002e-01,2.79369392e-02,3.88600864e-02,3.60862054e-02,3.32263708e+00
6.00000024e-01,3.12042013e-02,4.34181541e-02,4.01970185e-02,3.64886379e+00
6.41029537e-01,3.33782881e-02,4.64496426e-02,4.39090319e-02,3.98262548e+00
6.83115125e-01,3.59765291e-02,5.00456989e-02,4.75197993e-02,4.35165405e+00
7.26283848e-01,3.83235961e-02,5.33424951e-02,5.20334877e-02,4.74581385e+00
7.70563781e-01,4.12017778e-02,5.73664494e-02,5.71618415e-02,5.18508196e+00
8.15983355e-01,4.39399853e-02,6.12464249e-02,6.27299473e-02,5.65687656e+00
8.62571895e-01,4.82205153e-02,6.72814548e-02,7.00065643e-02,6.18640947e+00
9.10359621e-01,5.22131026e-02,7.30014592e-02,7.75437653e-02,6.76129913e+00
9.59377348e-01,5.84195927e-02,8.17539096e-02,8.53657722e-02,7.39625359e+00
1.00965667e+00,6.37545511e-02,8.93708691e-02,9.31790397e-02,8.10321903e+00
1.06123006e+00,7.35438392e-02,1.03239357e-01,1.03719220e-01,8.89745140e+00
1.11413085e+00,8.66964832e-02,1.21697903e-01,1.15061909e-01,9.78545380e+00
1.16839325e+00,1.02959760e-01,1.44396812e-01,1.28121793e-01,1.08029518e+01
1.22405231e+00,1.20312132e-01,1.68550417e-01,1.42049149e-01,1.19591017e+01
1.28114390e+00,1.43507123e-01,2.00979412e-01,1.65512115e-01,1.32700977e+01
1.33970511e+00,1.74954757e-01,2.44882166e-01,1.99030042e-01,1.48012886e+01
1.39977336e+00,1.99808594e+04,2.79885898e+04,1.97451406e+04,1.99740784e+03
1.46138775e+00,2.40445352e+04,3.36621328e+04,2.25863906e+04,1.84613525e+03
1.52458799e+00,1.44926729e+04,2.02876582e+04,1.36259141e+04,1.21275269e+03
1.58941495e+00,1.33930801e+04,1.87537812e+04,1.28609785e+04,1.31754382e+03
1.65591037e+00,1.31526406e+04,1.84197617e+04,1.27671289e+04,1.40721826e+03
1.72411728e+00,1.31963438e+04,1.84826816e+04,1.28978818e+04,1.49157800e+03
1.79407966e+00,1.33148877e+04,1.86498711e+04,1.30739805e+04,1.56356982e+03
1.86584306e+00,1.34318555e+04,1.88145547e+04,1.32326953e+04,1.62442529e+03
1.93945324e+00,1.35763398e+04,1.90176445e+04,1.34105107e+04,1.68299658e+03
2.01495814e+00,1.37349219e+04,1.92403555e+04,1.35960781e+04,1.73879883e+03
2.09240627e+00,1.38729336e+04,1.94341289e+04,1.37555703e+04,1.78777368e+03
2.17184782e+00,1.39495449e+04,1.95418047e+04,1.38494219e+04,1.82614990e+03
2.25333428e+00,1.40110713e+04,1.96283301e+04,1.39266094e+04,1.86282959e+03
