Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,6.80592647e-29,1.79344522e-28,1.65867586e-05,5.95086060e+01
7.99999982e-02,1.00425506e-26,2.73925478e-26,2.05701639e-04,6.13813858e+01
1.19999997e-01,1.56423229e-24,4.45707398e-24,5.68467658e-04,6.21275406e+01
1.59999996e-01,3.21533091e-22,1.01466364e-21,1.72226899e-03,6.19845581e+01
2.00000003e-01,1.32778088e-19,4.55519988e-19,4.27392730e-03,6.15573959e+01
2.39999995e-01,7.26555001e-18,2.29596436e-17,7.17600528e-03,6.18298416e+01
2.80000001e-01,1.61469012e-15,4.82637425e-15,1.45200612e-02,6.31824341e+01
3.19999993e-01,1.35411862e-14,4.27365696e-14,2.22944282e-02,6.62476349e+01
3.60000014e-01,1.34688539e-13,4.20324501e-13,3.01607773e-02,6.69138031e+01
4.00000006e-01,2.36340938e-12,7.45432709e-12,4.88069355e-02,6.83203506e+01
4.39999998e-01,1.90351658e-11,6.30011876e-11,5.65295294e-02,6.80194702e+01
4.79999989e-01,1.92490537e-10,6.01882100e-10,6.65009171e-02,6.83689194e+01
5.19999981e-01,1.13256715e-09,3.70686015e-09,6.68452829e-02,7.27577591e+01
5.60000002e-01,5.54535751e-09,1.87327878e-08,6.82033449e-02,7.23513489e+01
6.00000024e-01,2.68889480e-08,9.40384979e-08,6.72126710e-02,7.04756317e+01
6.41029537e-01,1.14354890e-07,4.12835561e-07,6.63639158e-02,7.41262970e+01
6.83115125e-01,3.50415235e-07,1.32835976e-06,6.71692938e-02,7.87889404e+01
7.26283848e-01,7.76325408e-07,3.11725853e-06,6.91080093e-02,8.07457733e+01
7.70563781e-01,1.35271762e-06,5.44454633e-06,7.26784915e-02,8.17594757e+01
8.15983355e-01,2.04971957e-06,7.66606172e-06,7.86535665e-02,8.40587769e+01
8.62571895e-01,2.83958025e-06,1.00067200e-05,8.49482119e-02,8.72915421e+01
9.10359621e-01,3.72697878e-06,1.24063263e-05,9.51986015e-02,8.99353333e+01
9.59377348e-01,4.54576866e-06,1.45620479e-05,1.07221648e-01,9.61676025e+01
1.00965667e+00,5.94867743e-06,1.75751138e-05,1.21412992e-01,9.34483032e+01
1.06123006e+00,9.17230864e-06,2.45823721e-05,1.38412178e-01,9.68442993e+01
1.11413085e+00,1.86137604e-05,4.59687581e-05,1.59425050e-01,9.90522156e+01
1.16839325e+00,4.80927301e-05,9.94695947e-05,1.87445477e-01,1.06639435e+02
1.22405231e+00,1.00422068e-04,1.84876873e-04,2.26399869e-01,1.03509521e+02
