Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,8.56764881e-09,1.33293518e-08,2.05416302e-03,4.34400463e+00
7.99999982e-02,2.61779547e-07,4.11343649e-07,5.96411899e-03,4.88779259e+00
1.19999997e-01,1.91345839e-06,3.17458762e-06,1.10211261e-02,5.04367208e+00
1.59999996e-01,7.12574047e-06,1.21466173e-05,1.72475614e-02,5.56270695e+00
2.00000003e-01,2.46263498e-05,4.09315398e-05,2.21373588e-02,5.76241827e+00
2.39999995e-01,6.11581927e-05,9.96326125e-05,2.83301324e-02,6.15460396e+00
2.80000001e-01,1.38461299e-04,2.22348521e-04,3.34895700e-02,6.34237480e+00
3.19999993e-01,3.15272104e-04,4.94271459e-04,3.80405113e-02,6.71397161e+00
3.60000014e-01,6.46009867e-04,9.93131311e-04,4.31333259e-02,6.91062021e+00
4.00000006e-01,1.14420895e-03,1.73160876e-03,5.00130728e-02,7.37418556e+00
4.39999998e-01,1.92298158e-03,2.86415778e-03,5.80264442e-02,7.62503624e+00
4.79999989e-01,3.23235756e-03,4.71779797e-03,6.66357279e-02,8.30399036e+00
5.19999981e-01,4.71099745e-03,6.78846426e-03,7.48302788e-02,8.40622044e+00
5.60000002e-01,6.37017703e-03,9.08647478e-03,8.15794617e-02,8.92425728e+00
6.00000024e-01,9.23057646e-03,1.30488873e-02,8.58673975e-02,9.39339066e+00
6.41029537e-01,1.20149162e-02,1.69279613e-02,8.93700719e-02,1.02625914e+01
6.83115125e-01,1.65052507e-02,2.32185125e-02,9.25632641e-02,1.01712475e+01
7.26283848e-01,2.38214042e-02,3.34188864e-02,9.70221758e-02,1.11265917e+01
7.70563781e-01,2.93901749e-02,4.11282219e-02,1.02590509e-01,1.14961472e+01
8.15983355e-01,3.70116681e-02,5.18007427e-02,1.14682525e-01,1.23693953e+01
8.62571895e-01,4.51637283e-02,6.38357028e-02,1.31291389e-01,1.30153713e+01
9.10359621e-01,5.79194650e-02,8.22025388e-02,1.50699794e-01,1.40869598e+01
9.59377348e-01,7.07575083e-02,1.00581042e-01,1.73441350e-01,1.44473515e+01
1.00965667e+00,9.99976397e-02,1.41933769e-01,2.16401324e-01,1.57799702e+01
1.06123006e+00,1.54059693e-01,2.17854261e-01,2.85835266e-01,1.59505501e+01
1.11413085e+00,2.25632370e-01,3.18238497e-01,3.75669241e-01,1.72899113e+01
1.16839325e+00,2.85497457e-01,4.02119815e-01,4.66233969e-01,1.72902050e+01
1.22405231e+00,3.07309270e-01,4.32589412e-01,5.32012045e-01,1.88372498e+01
1.28114390e+00,3.08654726e-01,4.34827149e-01,5.91869056e-01,1.87705708e+01
1.33970511e+00,3.08094442e-01,4.34719563e-01,6.36461735e-01,2.13578587e+01
1.39977336e+00,2.00714766e+04,2.81155664e+04,1.98354453e+04,2.01550122e+03
1.46138775e+00,2.39422461e+04,3.35195234e+04,2.25245879e+04,1.84773657e+03
1.52458799e+00,1.40955049e+04,1.97325352e+04,1.32915996e+04,1.18720581e+03
1.58941495e+00,1.35151660e+04,1.89254941e+04,1.30138262e+04,1.33317346e+03
1.65591037e+00,1.36300381e+04,1.90883535e+04,1.32267441e+04,1.41578833e+03
1.72411728e+00,1.33589629e+04,1.87089375e+04,1.29761055e+04,1.39836646e+03
1.79407966e+00,1.22603896e+04,1.71699609e+04,1.18874492e+04,1.27238293e+03
1.86584306e+00,1.07706182e+04,1.50835117e+04,1.04323320e+04,1.12622339e+03
1.93945324e+00,9.69026074e+03,1.35713828e+04,9.41726172e+03,1.05730334e+03
2.01495814e+00,9.59110449e+03,1.34342012e+04,9.39522754e+03,1.12637549e+03
2.09240627e+00,1.03838809e+04,1.45465938e+04,1.02678223e+04,1.31458081e+03
2.17184782e+00,1.18246074e+04,1.65666875e+04,1.17935312e+04,1.59489771e+03
2.25333428e+00,1.42827051e+04,2.00123359e+04,1.43679922e+04,2.05013208e+03
2.33691788e+00,1.69684102e+04,2.37758418e+04,1.71304180e+04,2.47487451e+03
2.42265272e+00,1.77625859e+04,2.48878164e+04,1.79140566e+04,2.57460498e+03
2.51059437e+00,1.70023652e+04,2.38223828e+04,1.71410039e+04,2.45614795e+03
2.60079956e+00,1.60822197e+04,2.25332910e+04,1.62186719e+04,2.32771460e+03
2.69332647e+00,1.52613018e+04,2.13830312e+04,1.53778848e+04,2.18073315e+03
2.78823495e+00,1.44328965e+04,2.02220488e+04,1.45164824e+04,2.03558704e+03
2.88558602e+00,1.42083330e+04,1.99074219e+04,1.42852832e+04,1.99727466e+03
2.98544264e+00,1.45199404e+04,2.03442539e+04,1.46047129e+04,2.04804077e+03
3.08786964e+00,1.59470693e+04,2.23446387e+04,1.60609395e+04,2.25868896e+03
3.19293284e+00,1.80290332e+04,2.52612891e+04,1.81158320e+04,2.50158740e+03
3.30070019e+00,1.81610703e+04,2.54445391e+04,1.81702500e+04,2.45830322e+03
3.41124129e+00,1.80944414e+04,2.53501426e+04,1.80556582e+04,2.40796582e+03
3.52462745e+00,1.74141426e+04,2.43955430e+04,1.73010195e+04,2.26221094e+03
3.64093208e+00,1.58337012e+04,2.21806562e+04,1.56847998e+04,2.03435913e+03
3.76023054e+00,1.38773584e+04,1.94396211e+04,1.37198936e+04,1.77959619e+03
3.88259912e+00,1.21180176e+04,1.69757793e+04,1.20062559e+04,1.59908862e+03
4.00811720e+00,1.18095664e+04,1.65450898e+04,1.17637432e+04,1.62360938e+03
4.13686609e+00,1.23329316e+04,1.72786895e+04,1.23139336e+04,1.72185522e+03
4.26892853e+00,1.22572441e+04,1.71732500e+04,1.22786445e+04,1.76350513e+03
4.40439081e+00,1.26056875e+04,1.76632188e+04,1.27072490e+04,1.89343994e+03
4.54333878e+00,1.44835205e+04,2.02953867e+04,1.46372490e+04,2.18646851e+03
4.68586397e+00,1.50853955e+04,2.11377617e+04,1.52085410e+04,2.23927783e+03
4.83205652e+00,1.45827490e+04,2.04334023e+04,1.47114219e+04,2.19000000e+03
4.98201227e+00,1.49564043e+04,2.09568184e+04,1.50910059e+04,2.24964404e+03
5.13582754e+00,1.49539238e+04,2.09527812e+04,1.50717734e+04,2.23020630e+03
5.29360199e+00,1.41560664e+04,1.98340879e+04,1.42383496e+04,2.08030786e+03
5.45543718e+00,1.29883857e+04,1.81975215e+04,1.30444561e+04,1.89851050e+03
5.62143755e+00,1.23065137e+04,1.72421953e+04,1.23604541e+04,1.80878967e+03
5.79171038e+00,1.22362705e+04,1.71436035e+04,1.22792266e+04,1.79486011e+03
5.96636629e+00,1.20660625e+04,1.69048008e+04,1.20916855e+04,1.77093921e+03
6.14551687e+00,1.19844629e+04,1.67906074e+04,1.20120410e+04,1.77722302e+03
6.32927942e+00,1.23788545e+04,1.73430449e+04,1.23950430e+04,1.83113318e+03
6.51777077e+00,1.24393555e+04,1.74273008e+04,1.24294111e+04,1.83521301e+03
6.71111441e+00,1.20446670e+04,1.68740898e+04,1.20231074e+04,1.79872375e+03
6.90943432e+00,1.15814424e+04,1.62247773e+04,1.15480312e+04,1.75375671e+03
7.11285782e+00,1.09629668e+04,1.53581543e+04,1.09249355e+04,1.69225146e+03
7.32151794e+00,1.04179404e+04,1.45946152e+04,1.03833369e+04,1.64628845e+03
7.53554821e+00,1.01604434e+04,1.42339258e+04,1.01329404e+04,1.64106812e+03
7.75508738e+00,1.01418564e+04,1.42078818e+04,1.01230537e+04,1.66413623e+03
7.98027754e+00,1.01405020e+04,1.42060352e+04,1.01367285e+04,1.68769312e+03
8.21126270e+00,1.01847598e+04,1.42683438e+04,1.02064668e+04,1.71900305e+03
8.44819450e+00,1.00608154e+04,1.40950205e+04,1.01071299e+04,1.72162219e+03
8.69122219e+00,9.33627441e+03,1.30804395e+04,9.41651074e+03,1.64795422e+03
8.94050789e+00,8.41900879e+03,1.17965400e+04,8.56692188e+03,1.55790283e+03
9.19620800e+00,7.85596826e+03,1.10089287e+04,8.08265283e+03,1.50231995e+03
9.45849037e+00,7.49776660e+03,1.05085166e+04,7.81317139e+03,1.46633362e+03
9.72752285e+00,8.06316260e+03,1.13022646e+04,8.48364551e+03,1.55871985e+03
1.00034800e+01,9.39876855e+03,1.31751611e+04,9.93335547e+03,1.75478821e+03
1.02865391e+01,1.14792900e+04,1.60913955e+04,1.20977227e+04,2.02142578e+03
1.05768833e+01,1.28677090e+04,1.80385566e+04,1.35364336e+04,2.17903394e+03
1.08747025e+01,1.31066143e+04,1.83775312e+04,1.37495039e+04,2.19216968e+03
1.11801853e+01,1.33974502e+04,1.87879336e+04,1.39291230e+04,2.22306885e+03
1.14935322e+01,1.40537402e+04,1.97044316e+04,1.44612627e+04,2.27072974e+03
1.18149433e+01,1.29697393e+04,1.81783027e+04,1.32632598e+04,2.10767603e+03
1.21446266e+01,1.12255234e+04,1.57303838e+04,1.16518340e+04,1.95625415e+03
1.24827967e+01,1.05924180e+04,1.48506035e+04,1.13531123e+04,2.00433264e+03
1.28296700e+01,1.02714805e+04,1.44046797e+04,1.14544629e+04,2.07954712e+03
1.31854706e+01,1.05809873e+04,1.48435283e+04,1.22166758e+04,2.25624707e+03
1.35504293e+01,1.31721543e+04,1.84798125e+04,1.51706230e+04,2.66723340e+03
1.39247818e+01,1.66976992e+04,2.34286094e+04,1.91437227e+04,3.09399414e+03
1.43087692e+01,2.08574062e+04,2.92606328e+04,2.35575781e+04,3.50247607e+03
1.47026405e+01,2.41031973e+04,3.38231680e+04,2.75896230e+04,3.86760645e+03
1.51066484e+01,2.73676602e+04,3.84175547e+04,3.18798848e+04,4.18374805e+03
1.55210552e+01,3.26257363e+04,4.58202383e+04,3.81511914e+04,4.54750977e+03
1.59461288e+01,3.68541719e+04,5.17517539e+04,4.08736445e+04,4.36202002e+03
1.63821430e+01,3.51234336e+04,4.92858906e+04,3.63452344e+04,3.54849268e+03
1.68293781e+01,3.35986484e+04,4.70923633e+04,3.21956543e+04,3.15501709e+03
1.72881241e+01,3.66587500e+04,5.13276953e+04,3.27111973e+04,3.15800635e+03
1.77586803e+01,3.58154297e+04,5.00863320e+04,3.02538281e+04,3.07874780e+03
1.82413464e+01,3.41886953e+04,4.77568281e+04,2.84563320e+04,2.94918774e+03
1.87364349e+01,3.10844180e+04,4.34012695e+04,2.65822012e+04,2.97877393e+03
1.92442665e+01,3.08387422e+04,4.30966328e+04,2.77148633e+04,3.14687500e+03
1.97651691e+01,2.90702637e+04,4.06393359e+04,2.60843379e+04,2.86741016e+03
2.02994785e+01,2.50684883e+04,3.50600273e+04,2.30306758e+04,2.93581836e+03
2.08475418e+01,2.63924512e+04,3.69298438e+04,2.48553320e+04,3.21538232e+03
2.14097099e+01,2.78272656e+04,3.89436406e+04,2.64822539e+04,3.38237988e+03
2.19863453e+01,2.91933105e+04,4.08644688e+04,2.80163770e+04,3.45206836e+03
2.25778236e+01,2.90708125e+04,4.06952539e+04,2.78482461e+04,3.08288721e+03
2.31845264e+01,2.78329375e+04,3.89488672e+04,2.57656465e+04,2.32479980e+03
