Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,7.38687379e-26,8.69768082e-26,1.38179543e-23,1.69954891e+01
7.99999982e-02,1.15967207e-24,1.59321524e-24,1.81432846e-22,2.00673618e+01
1.19999997e-01,1.51007083e-23,1.50217891e-23,2.76291694e-21,2.14870510e+01
1.59999996e-01,1.14032292e-22,1.83539559e-22,1.96366134e-20,2.38409443e+01
2.00000003e-01,1.90079158e-21,1.85226015e-21,2.10374700e-19,2.56282616e+01
2.39999995e-01,1.11520733e-20,9.97479006e-21,8.04735894e-18,2.77724133e+01
2.80000001e-01,4.66495938e-20,5.91662776e-20,4.83663171e-16,2.94329453e+01
3.19999993e-01,3.62708540e-19,3.75914814e-19,9.34497705e-14,3.12776051e+01
3.60000014e-01,2.41964826e-18,2.65304823e-18,3.48832898e-12,3.27378197e+01
4.00000006e-01,8.24878900e-18,1.05197050e-17,3.53660053e-11,3.43429222e+01
4.39999998e-01,8.11732187e-17,8.30165345e-17,2.02271155e-09,3.57167130e+01
4.79999989e-01,2.70972193e-16,3.13943339e-16,3.30940679e-08,3.75053864e+01
5.19999981e-01,9.83558353e-16,1.19701743e-15,2.46956063e-07,3.91687660e+01
5.60000002e-01,3.55231875e-15,4.69862855e-15,2.93701441e-06,4.11511078e+01
6.00000024e-01,1.07771814e-14,1.79477083e-14,1.26191480e-06,4.29920044e+01
6.41029537e-01,2.36932246e-13,4.56556451e-13,4.61696663e-06,4.62482147e+01
6.83115125e-01,1.25062482e-12,2.45707512e-12,9.86480882e-06,4.66435471e+01
7.26283848e-01,6.39093769e-12,1.24190606e-11,3.71364622e-05,5.15874825e+01
7.70563781e-01,4.27356657e-11,8.38377701e-11,9.16126810e-05,5.10549927e+01
8.15983355e-01,1.44581333e-10,2.88149449e-10,2.52777594e-04,5.90194931e+01
8.62571895e-01,7.00245306e-10,1.40734446e-09,6.14743214e-04,5.74060211e+01
9.10359621e-01,2.04044515e-09,4.19396251e-09,1.07926223e-03,6.83481293e+01
9.59377348e-01,5.45049783e-09,1.14798251e-08,1.59023795e-03,7.73941498e+01
1.00965667e+00,1.56644759e-08,3.37053478e-08,2.21417542e-03,8.99102631e+01
1.06123006e+00,4.40748558e-08,9.71724390e-08,3.49375745e-03,9.63367615e+01
1.11413085e+00,1.57565083e-07,3.52463957e-07,3.76373343e-03,9.81648865e+01
1.16839325e+00,7.36481525e-07,1.72016530e-06,4.33505699e-03,1.14886429e+02
1.22405231e+00,3.22770029e-06,8.53705933e-06,5.65159321e-03,1.24420395e+02
1.28114390e+00,9.91020261e-06,3.55899974e-05,4.04244941e-03,1.39829147e+02
1.33970511e+00,1.75931764e-05,5.25717624e-05,5.62198460e-03,1.38843094e+02
1.39977336e+00,2.07195215e+04,2.90084414e+04,1.94507461e+04,1.35548120e+03
1.46138775e+00,2.59428223e+04,3.62751094e+04,2.16716855e+04,1.38072632e+03
1.52458799e+00,1.50388398e+04,2.10220508e+04,1.26569600e+04,9.94723389e+02
1.58941495e+00,1.30925918e+04,1.83134551e+04,1.15672793e+04,1.14177173e+03
1.65591037e+00,1.27932676e+04,1.79037637e+04,1.17350430e+04,1.36767554e+03
1.72411728e+00,1.39387852e+04,1.95164961e+04,1.32522461e+04,1.71392432e+03
1.79407966e+00,1.62517061e+04,2.27633672e+04,1.58728691e+04,2.16230054e+03
1.86584306e+00,1.89401250e+04,2.65328418e+04,1.86881914e+04,2.46721973e+03
1.93945324e+00,2.08701328e+04,2.92345352e+04,2.04657852e+04,2.54372754e+03
2.01495814e+00,2.13819922e+04,2.99461211e+04,2.06679434e+04,2.38115991e+03
2.09240627e+00,2.06316836e+04,2.88891250e+04,1.95989766e+04,2.09964136e+03
2.17184782e+00,1.89878848e+04,2.65812656e+04,1.76951348e+04,1.77885730e+03
2.25333428e+00,1.69212871e+04,2.36830684e+04,1.54848320e+04,1.49739465e+03
2.33691788e+00,1.48566982e+04,2.07898848e+04,1.33981748e+04,1.29931628e+03
2.42265272e+00,1.29976582e+04,1.81863809e+04,1.16079922e+04,1.14950256e+03
2.51059437e+00,1.14263535e+04,1.59874570e+04,1.01818574e+04,1.05291479e+03
2.60079956e+00,1.02608730e+04,1.43582334e+04,9.20978906e+03,1.03013281e+03
2.69332647e+00,9.63467090e+03,1.34846816e+04,8.76684375e+03,1.05704333e+03
2.78823495e+00,9.46683008e+03,1.32524805e+04,8.73602637e+03,1.11744080e+03
2.88558602e+00,9.46093262e+03,1.32468359e+04,8.85847461e+03,1.20095398e+03
2.98544264e+00,9.63187402e+03,1.34891602e+04,9.17232227e+03,1.30783691e+03
3.08786964e+00,1.01707578e+04,1.42469160e+04,9.85204492e+03,1.48103589e+03
3.19293284e+00,1.11006846e+04,1.55524922e+04,1.09262754e+04,1.70522351e+03
3.30070019e+00,1.24405137e+04,1.74323105e+04,1.24144941e+04,2.00906006e+03
3.41124129e+00,1.42236885e+04,1.99331133e+04,1.43467158e+04,2.35599780e+03
3.52462745e+00,1.65885020e+04,2.32482871e+04,1.68476602e+04,2.77823486e+03
3.64093208e+00,1.93660059e+04,2.71409102e+04,1.97468789e+04,3.22768042e+03
3.76023054e+00,2.21968496e+04,3.11073418e+04,2.26713750e+04,3.62205371e+03
3.88259912e+00,2.46971172e+04,3.46088555e+04,2.51586387e+04,3.81619946e+03
4.00811720e+00,2.62513770e+04,3.67820117e+04,2.64847656e+04,3.70382520e+03
4.13686609e+00,2.63115156e+04,3.68590156e+04,2.61064980e+04,3.30435645e+03
4.26892853e+00,2.48957695e+04,3.48675859e+04,2.41930527e+04,2.77911035e+03
4.40439081e+00,2.27365195e+04,3.18359961e+04,2.16270781e+04,2.28537329e+03
4.54333878e+00,2.03261016e+04,2.84551172e+04,1.89745840e+04,1.92098315e+03
4.68586397e+00,1.80165391e+04,2.52181719e+04,1.65834648e+04,1.64240735e+03
4.83205652e+00,1.60664336e+04,2.24866016e+04,1.46576973e+04,1.46891736e+03
4.98201227e+00,1.44612510e+04,2.02394746e+04,1.31503789e+04,1.36336902e+03
5.13582754e+00,1.32945410e+04,1.86073203e+04,1.21184102e+04,1.31434778e+03
5.29360199e+00,1.25693086e+04,1.75938008e+04,1.15336064e+04,1.32232007e+03
5.45543718e+00,1.21555391e+04,1.70165938e+04,1.12589941e+04,1.36347681e+03
5.62143755e+00,1.19764834e+04,1.67681074e+04,1.12113359e+04,1.41955981e+03
5.79171038e+00,1.19843086e+04,1.67809922e+04,1.13260566e+04,1.48766309e+03
