Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,3.68027630e-13,5.13505579e-13,1.17081377e-12,8.46111178e-01
7.99999982e-02,9.14259120e-12,1.28067366e-11,1.99011935e-11,9.79547858e-01
1.19999997e-01,9.13841433e-11,1.28359767e-10,2.17225141e-10,1.05634081e+00
1.59999996e-01,4.57688054e-10,6.47069953e-10,1.55443636e-09,1.16348648e+00
2.00000003e-01,1.79203385e-09,2.55128696e-09,9.35630595e-09,1.23837936e+00
2.39999995e-01,4.35267511e-09,6.26986330e-09,3.69161945e-08,1.32624519e+00
2.80000001e-01,1.28184929e-08,1.83893825e-08,1.09194005e-07,1.39416635e+00
3.19999993e-01,2.82966646e-08,4.14022061e-08,3.53555151e-07,1.48225987e+00
3.60000014e-01,7.65950432e-08,1.11497329e-07,1.08296774e-06,1.57165134e+00
4.00000006e-01,1.64098225e-07,2.45089666e-07,2.76299488e-06,1.67742252e+00
4.39999998e-01,3.63316474e-07,5.56338705e-07,4.93796324e-06,1.77472603e+00
4.79999989e-01,8.25776397e-07,1.35975858e-06,8.23179471e-06,1.89281309e+00
5.19999981e-01,1.73521846e-06,2.85340843e-06,1.29441569e-05,2.00633740e+00
5.60000002e-01,4.18123818e-06,6.71525413e-06,1.78623031e-05,2.12071943e+00
6.00000024e-01,9.24313736e-06,1.46027824e-05,2.84906619e-05,2.23583889e+00
6.41029537e-01,1.81514879e-05,2.78852986e-05,4.79226946e-05,2.34135079e+00
6.83115125e-01,3.99512828e-05,5.91323296e-05,6.68179127e-05,2.44542933e+00
7.26283848e-01,8.29086275e-05,1.19668373e-04,9.43738851e-05,2.55633450e+00
7.70563781e-01,1.60508003e-04,2.27506855e-04,1.29825989e-04,2.66880584e+00
8.15983355e-01,3.12050688e-04,4.44465491e-04,1.67791586e-04,2.78833961e+00
8.62571895e-01,5.18527580e-04,7.39547657e-04,2.36659602e-04,2.94450545e+00
9.10359621e-01,8.76254751e-04,1.26441126e-03,2.92096200e-04,3.17707753e+00
9.59377348e-01,1.32855761e-03,1.89720606e-03,3.83906387e-04,3.22626734e+00
