Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,1.05373673e-02,1.73323303e-02,1.41724050e-01,4.43507004e+01
7.99999982e-02,1.45194698e-02,2.30676979e-02,1.45868406e-01,4.66331444e+01
1.19999997e-01,1.69781875e-02,2.62760110e-02,1.47566244e-01,4.70704308e+01
1.59999996e-01,1.87377222e-02,2.85038128e-02,1.47303790e-01,4.90695648e+01
2.00000003e-01,2.02070475e-02,3.04000936e-02,1.47146031e-01,4.98055344e+01
2.39999995e-01,2.11764053e-02,3.15705985e-02,1.49293900e-01,5.13743935e+01
2.80000001e-01,2.22985558e-02,3.29631977e-02,1.53387517e-01,5.23589859e+01
3.19999993e-01,2.28360165e-02,3.35741304e-02,1.58761978e-01,5.36237831e+01
3.60000014e-01,2.35762931e-02,3.43909934e-02,1.64902821e-01,5.46350822e+01
4.00000006e-01,2.43069027e-02,3.52250673e-02,1.70568839e-01,5.61311302e+01
4.39999998e-01,2.47833245e-02,3.56541611e-02,1.75649345e-01,5.68256721e+01
4.79999989e-01,2.63642445e-02,3.74064706e-02,1.80653006e-01,5.78024788e+01
5.19999981e-01,2.62176134e-02,3.70086692e-02,1.85598910e-01,5.90285988e+01
5.60000002e-01,2.74745431e-02,3.82965580e-02,1.91675484e-01,5.96931763e+01
6.00000024e-01,2.65746135e-02,3.71025689e-02,1.99421659e-01,6.05420113e+01
6.41029537e-01,2.74556205e-02,3.80499773e-02,2.08145291e-01,6.12968864e+01
6.83115125e-01,2.56148092e-02,3.60001735e-02,2.18876407e-01,6.32294044e+01
7.26283848e-01,2.54516788e-02,3.60212773e-02,2.32596815e-01,6.34555435e+01
7.70563781e-01,2.61071995e-02,3.70070711e-02,2.47729644e-01,6.43044128e+01
8.15983355e-01,2.75992658e-02,3.88514251e-02,2.64096141e-01,6.42218857e+01
8.62571895e-01,2.72363424e-02,3.86831686e-02,2.80485392e-01,6.66012955e+01
9.10359621e-01,2.87143961e-02,4.05087173e-02,2.93231040e-01,6.71603012e+01
9.59377348e-01,2.82013007e-02,4.03457694e-02,3.04526776e-01,6.96151047e+01
1.00965667e+00,2.91282833e-02,4.18657660e-02,3.10995430e-01,7.10582657e+01
1.06123006e+00,3.02629173e-02,4.37334962e-02,3.14493895e-01,7.45281525e+01
1.11413085e+00,3.25966068e-02,4.69463095e-02,3.15872848e-01,7.52372742e+01
1.16839325e+00,3.60645466e-02,5.14917597e-02,3.17872882e-01,7.76565552e+01
1.22405231e+00,3.98618877e-02,5.62908873e-02,3.21701616e-01,7.98790665e+01
1.28114390e+00,4.62342799e-02,6.44497201e-02,3.33345443e-01,8.15150833e+01
1.33970511e+00,5.58819063e-02,7.69421086e-02,3.58993828e-01,8.47490158e+01
1.39977336e+00,2.06986328e+04,2.89805840e+04,1.95278398e+04,1.38457056e+03
1.46138775e+00,2.68061523e+04,3.74864766e+04,2.26742441e+04,1.48427087e+03
1.52458799e+00,1.65961797e+04,2.32039414e+04,1.42399785e+04,1.11427515e+03
1.58941495e+00,1.55775029e+04,2.17944180e+04,1.40075146e+04,1.35775146e+03
1.65591037e+00,1.52862969e+04,2.13941055e+04,1.40726045e+04,1.49690454e+03
1.72411728e+00,1.54381191e+04,2.16120312e+04,1.44678076e+04,1.64805518e+03
1.79407966e+00,1.61205430e+04,2.25722539e+04,1.53417412e+04,1.83823962e+03
1.86584306e+00,1.72657793e+04,2.41798633e+04,1.66273984e+04,2.04303357e+03
1.93945324e+00,1.85302930e+04,2.59522109e+04,1.79056836e+04,2.18359155e+03
2.01495814e+00,1.92429258e+04,2.69485996e+04,1.85055371e+04,2.18755176e+03
2.09240627e+00,1.89531387e+04,2.65401250e+04,1.80939336e+04,2.07880151e+03
2.17184782e+00,1.77709512e+04,2.48816016e+04,1.67825039e+04,1.84946582e+03
2.25333428e+00,1.58867920e+04,2.22407441e+04,1.48319727e+04,1.62081531e+03
2.33691788e+00,1.42735195e+04,1.99828496e+04,1.33323633e+04,1.50423706e+03
2.42265272e+00,1.39999531e+04,1.96029375e+04,1.31966016e+04,1.58504590e+03
2.51059437e+00,1.47267676e+04,2.06241680e+04,1.40505176e+04,1.77046606e+03
2.60079956e+00,1.60033340e+04,2.24148203e+04,1.54056133e+04,1.99822791e+03
2.69332647e+00,1.78762344e+04,2.50394355e+04,1.73290527e+04,2.34167773e+03
2.78823495e+00,1.99710215e+04,2.79761211e+04,1.95713125e+04,2.71620898e+03
2.88558602e+00,2.13598594e+04,2.99208379e+04,2.09405703e+04,2.91264087e+03
2.98544264e+00,2.13025449e+04,2.98394141e+04,2.08726523e+04,2.94396802e+03
3.08786964e+00,2.03908281e+04,2.85659258e+04,2.01620820e+04,2.85701831e+03
3.19293284e+00,1.94309004e+04,2.72197773e+04,1.90760410e+04,2.56738623e+03
3.30070019e+00,1.79636582e+04,2.51619785e+04,1.75126250e+04,2.30229077e+03
3.41124129e+00,1.74801113e+04,2.44871445e+04,1.71439180e+04,2.27367065e+03
3.52462745e+00,1.88294258e+04,2.63804297e+04,1.85646094e+04,2.47288599e+03
3.64093208e+00,2.28160059e+04,3.19655039e+04,2.23822910e+04,2.83797241e+03
3.76023054e+00,2.46057754e+04,3.44656328e+04,2.38038477e+04,2.87343555e+03
3.88259912e+00,2.43767812e+04,3.41411562e+04,2.34258359e+04,2.79755151e+03
4.00811720e+00,2.39542090e+04,3.35432969e+04,2.27493125e+04,2.68087207e+03
4.13686609e+00,2.16066523e+04,3.02513320e+04,2.03209707e+04,2.37979297e+03
4.26892853e+00,1.79796660e+04,2.51711152e+04,1.68244102e+04,1.98963623e+03
4.40439081e+00,1.49890352e+04,2.09862617e+04,1.41040498e+04,1.73934045e+03
4.54333878e+00,1.41800498e+04,1.98588926e+04,1.35586670e+04,1.75226416e+03
4.68586397e+00,1.51085488e+04,2.11626035e+04,1.46056689e+04,1.91609082e+03
4.83205652e+00,1.58929688e+04,2.22627969e+04,1.54633711e+04,2.07002100e+03
4.98201227e+00,1.62381523e+04,2.27497090e+04,1.59580586e+04,2.20235327e+03
5.13582754e+00,1.73450273e+04,2.43021211e+04,1.70979023e+04,2.33481738e+03
5.29360199e+00,1.82688047e+04,2.55938633e+04,1.79040098e+04,2.38485718e+03
5.45543718e+00,1.80581035e+04,2.52965625e+04,1.76402305e+04,2.35648926e+03
5.62143755e+00,1.76069883e+04,2.46637930e+04,1.71877852e+04,2.30539258e+03
5.79171038e+00,1.75139648e+04,2.45316289e+04,1.70219922e+04,2.23097021e+03
5.96636629e+00,1.74417461e+04,2.44277891e+04,1.68370996e+04,2.13165112e+03
6.14551687e+00,1.72373496e+04,2.41392969e+04,1.65435820e+04,2.04080420e+03
6.32927942e+00,1.68979668e+04,2.36622637e+04,1.61463594e+04,1.97180432e+03
6.51777077e+00,1.61854531e+04,2.26638164e+04,1.54383232e+04,1.89686731e+03
6.71111441e+00,1.52517930e+04,2.13560312e+04,1.45261348e+04,1.80046545e+03
6.90943432e+00,1.43095195e+04,2.00358887e+04,1.35934521e+04,1.69684534e+03
7.11285782e+00,1.34209658e+04,1.87911016e+04,1.27238379e+04,1.60032458e+03
7.32151794e+00,1.26847402e+04,1.77597637e+04,1.20099580e+04,1.52280676e+03
7.53554821e+00,1.21276748e+04,1.69795410e+04,1.14833311e+04,1.47618970e+03
7.75508738e+00,1.15796875e+04,1.62129482e+04,1.10070996e+04,1.44880493e+03
7.98027754e+00,1.11632520e+04,1.56312109e+04,1.06774521e+04,1.43726416e+03
8.21126270e+00,1.08864434e+04,1.52448906e+04,1.04728867e+04,1.42654944e+03
8.44819450e+00,1.03986543e+04,1.45627490e+04,1.00521748e+04,1.38225122e+03
8.69122219e+00,1.01279639e+04,1.41839990e+04,9.81071289e+03,1.34668713e+03
8.94050789e+00,1.01052393e+04,1.41521348e+04,9.78925586e+03,1.33189563e+03
9.19620800e+00,1.00459531e+04,1.40692871e+04,9.74718848e+03,1.33175122e+03
9.45849037e+00,1.13907441e+04,1.59511523e+04,1.09894609e+04,1.46019604e+03
9.72752285e+00,1.20272803e+04,1.68397363e+04,1.14977959e+04,1.48274487e+03
1.00034800e+01,1.14456523e+04,1.60248506e+04,1.09401357e+04,1.42543542e+03
1.02865391e+01,1.15176182e+04,1.61244062e+04,1.09656631e+04,1.42244678e+03
1.05768833e+01,1.02014424e+04,1.42824590e+04,9.75356641e+03,1.31231152e+03
1.08747025e+01,8.75817676e+03,1.22643193e+04,8.48848145e+03,1.19907971e+03
1.11801853e+01,8.66467969e+03,1.21335391e+04,8.41658301e+03,1.18940125e+03
1.14935322e+01,9.42035352e+03,1.31911709e+04,9.14051953e+03,1.26650415e+03
1.18149433e+01,1.03363604e+04,1.44739648e+04,1.00703779e+04,1.38139368e+03
1.21446266e+01,1.13951816e+04,1.59574736e+04,1.11765039e+04,1.52234180e+03
1.24827967e+01,1.25442480e+04,1.75682422e+04,1.24046641e+04,1.67279919e+03
1.28296700e+01,1.44807158e+04,2.02798633e+04,1.43061357e+04,1.86899548e+03
1.31854706e+01,1.65671934e+04,2.32016230e+04,1.63400625e+04,2.06140283e+03
1.35504293e+01,1.88674004e+04,2.64204043e+04,1.85323477e+04,2.24040527e+03
1.39247818e+01,1.84159648e+04,2.57808281e+04,1.79686387e+04,2.04700732e+03
1.43087692e+01,1.16944150e+04,1.63727412e+04,1.19723613e+04,1.38054785e+03
1.47026405e+01,6.93529199e+03,9.71982129e+03,8.18217383e+03,9.77366211e+02
1.51066484e+01,6.50776416e+03,9.12476465e+03,8.17456738e+03,9.31553406e+02
1.55210552e+01,6.91601904e+03,9.69890332e+03,8.87293164e+03,9.77021545e+02
1.59461288e+01,6.53748096e+03,9.17345898e+03,8.74564258e+03,9.32624023e+02
1.63821430e+01,5.87289160e+03,8.24925098e+03,8.19893066e+03,8.69494629e+02
1.68293781e+01,6.31436426e+03,8.87916406e+03,8.71283496e+03,9.35078735e+02
1.72881241e+01,7.79541943e+03,1.09698311e+04,1.01186816e+04,1.08381104e+03
1.77586803e+01,9.69590918e+03,1.36428994e+04,1.17506230e+04,1.22520776e+03
1.82413464e+01,1.14628223e+04,1.61352139e+04,1.28381494e+04,1.24609619e+03
1.87364349e+01,1.34886357e+04,1.90052578e+04,1.36818750e+04,1.25775439e+03
1.92442665e+01,1.67406270e+04,2.35471855e+04,1.55819297e+04,1.38912659e+03
1.97651691e+01,1.95884160e+04,2.74740996e+04,1.77270781e+04,1.53778369e+03
2.02994785e+01,2.16904609e+04,3.03627109e+04,2.01413828e+04,1.67173987e+03
2.08475418e+01,2.29706738e+04,3.21534629e+04,2.05089121e+04,1.55016504e+03
2.14097099e+01,2.51586934e+04,3.51928516e+04,2.08970000e+04,1.47960852e+03
2.19863453e+01,2.60618574e+04,3.63830898e+04,1.93558770e+04,1.46556226e+03
2.25778236e+01,2.55662988e+04,3.56401875e+04,1.90761582e+04,1.39444153e+03
2.31845264e+01,2.36973691e+04,3.30000781e+04,1.69089395e+04,1.15794873e+03
2.38068466e+01,2.20537285e+04,3.07218086e+04,1.67023555e+04,1.22743188e+03
2.44451809e+01,2.19080879e+04,3.05466719e+04,1.67367227e+04,1.08078345e+03
2.50999470e+01,2.18638359e+04,3.04775586e+04,1.56136348e+04,9.24654358e+02
2.57715645e+01,1.58656445e+04,2.20846680e+04,1.05242949e+04,6.40471069e+02
2.64604683e+01,9.35386328e+03,1.30138779e+04,6.31849121e+03,4.71442047e+02
2.71671047e+01,7.58184033e+03,1.05580811e+04,5.71817041e+03,5.07609222e+02
2.78919277e+01,8.46819141e+03,1.18090820e+04,6.82373145e+03,5.14604004e+02
2.86354065e+01,8.17295166e+03,1.14020332e+04,6.46700635e+03,3.23978394e+02
2.93980217e+01,6.59216895e+03,9.18795020e+03,4.65175293e+03,8.16333008e+01
3.01802654e+01,3.47942236e+03,4.83337158e+03,1.74209668e+03,1.18659592e+00
3.09826431e+01,8.39436768e+02,1.15303162e+03,1.49887970e+02,1.80452585e-01
3.18056717e+01,3.41994934e+02,4.69805420e+02,8.11073990e+01,1.52861914e-02
3.26498833e+01,2.52717789e+02,3.47434021e+02,4.87156525e+01,1.69527275e-03
3.35158234e+01,1.78528397e+02,2.43987930e+02,2.22664547e+01,3.20357177e-03
3.44040565e+01,1.32901367e+02,1.80497360e+02,1.60082741e+01,1.05114537e-03
3.53151436e+01,6.69111557e+01,8.99715881e+01,6.12791252e+00,1.59544186e-04
3.62496834e+01,3.05692005e+01,4.09319458e+01,2.75790071e+00,2.26197590e-05
3.72082787e+01,1.67518616e+01,2.25433674e+01,1.80201888e+00,3.11982294e-05
3.81915474e+01,8.76614094e+00,1.18222246e+01,8.25100422e-01,3.52824281e-06
3.92001228e+01,2.94748211e+00,3.96192741e+00,1.88919798e-01,2.30626938e-06
4.02346535e+01,1.00989807e+00,1.35127258e+00,4.96052541e-02,1.90232777e-06
4.12958107e+01,2.42267519e-01,3.22093397e-01,7.65619846e-03,1.14337399e-06
4.23842850e+01,1.81254279e-02,2.33202633e-02,4.50375665e-05,2.11360344e-07
