Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,2.36154273e-01,3.34475577e-01,5.46840429e-01,3.56266141e+00
7.99999982e-02,2.42224112e-01,3.41851950e-01,5.40552378e-01,3.72826505e+00
1.19999997e-01,2.47701347e-01,3.48429650e-01,5.32098889e-01,3.80251336e+00
1.59999996e-01,2.50911355e-01,3.51526588e-01,5.18756270e-01,3.91555095e+00
2.00000003e-01,2.42148519e-01,3.38023275e-01,4.98672605e-01,3.97621417e+00
2.39999995e-01,2.35742375e-01,3.27909321e-01,4.79044437e-01,4.08765459e+00
2.80000001e-01,2.24884346e-01,3.12347144e-01,4.63336021e-01,4.17503071e+00
3.19999993e-01,2.14858338e-01,2.98154861e-01,4.50677216e-01,4.26687670e+00
3.60000014e-01,2.02350482e-01,2.80738831e-01,4.40147549e-01,4.34771538e+00
4.00000006e-01,1.96475819e-01,2.72517681e-01,4.32115376e-01,4.42852354e+00
4.39999998e-01,1.84642628e-01,2.56283730e-01,4.25659090e-01,4.48378134e+00
4.79999989e-01,1.85608014e-01,2.57430285e-01,4.22009110e-01,4.55896711e+00
5.19999981e-01,1.75571948e-01,2.43770495e-01,4.20196772e-01,4.59772444e+00
5.60000002e-01,1.79174751e-01,2.48537481e-01,4.21049654e-01,4.66836119e+00
6.00000024e-01,1.71009034e-01,2.37509161e-01,4.24058497e-01,4.69951010e+00
6.41029537e-01,1.76437452e-01,2.44880810e-01,4.29702640e-01,4.77868795e+00
6.83115125e-01,1.68866932e-01,2.34784782e-01,4.37602997e-01,4.81456566e+00
7.26283848e-01,1.70220137e-01,2.36903533e-01,4.47925985e-01,4.86993980e+00
7.70563781e-01,1.68428272e-01,2.34723181e-01,4.61098313e-01,4.92975855e+00
8.15983355e-01,1.71290621e-01,2.38918036e-01,4.76342499e-01,5.01388407e+00
8.62571895e-01,1.69715315e-01,2.37401262e-01,4.93966967e-01,5.04560900e+00
9.10359621e-01,1.72309056e-01,2.41443768e-01,5.13079762e-01,5.12933207e+00
9.59377348e-01,1.75639972e-01,2.46495306e-01,5.34128547e-01,5.15315104e+00
1.00965667e+00,1.77607268e-01,2.49542683e-01,5.57842493e-01,5.22388315e+00
1.06123006e+00,1.83081061e-01,2.57333547e-01,5.85202396e-01,5.28895998e+00
1.11413085e+00,1.91463515e-01,2.69030899e-01,6.16166711e-01,5.33552170e+00
1.16839325e+00,2.03995720e-01,2.86308497e-01,6.48841918e-01,5.39528179e+00
1.22405231e+00,2.22164422e-01,3.10994655e-01,6.78568840e-01,5.42523766e+00
1.28114390e+00,2.49146700e-01,3.47050071e-01,7.02351809e-01,5.47040224e+00
1.33970511e+00,2.81463742e-01,3.89909625e-01,7.19298005e-01,5.53379250e+00
1.39977336e+00,2.00457344e+04,2.80795977e+04,1.98272695e+04,2.07162061e+03
1.46138775e+00,2.46234453e+04,3.44736289e+04,2.32621953e+04,2.01222839e+03
1.52458799e+00,1.83286914e+04,2.56617598e+04,1.74423555e+04,1.65992847e+03
1.58941495e+00,1.74535918e+04,2.44430938e+04,1.69321113e+04,1.84239258e+03
1.65591037e+00,1.75170508e+04,2.45351738e+04,1.71624883e+04,1.98921594e+03
1.72411728e+00,1.78534375e+04,2.50082852e+04,1.75930859e+04,2.11416748e+03
1.79407966e+00,1.81865469e+04,2.54760098e+04,1.79800391e+04,2.20696313e+03
1.86584306e+00,1.84675898e+04,2.58703906e+04,1.82929883e+04,2.27396240e+03
1.93945324e+00,1.86288145e+04,2.60965371e+04,1.84679375e+04,2.31228662e+03
2.01495814e+00,1.86862227e+04,2.61770762e+04,1.85319648e+04,2.32904883e+03
2.09240627e+00,1.86577695e+04,2.61372070e+04,1.85033125e+04,2.32902588e+03
2.17184782e+00,1.85256953e+04,2.59520273e+04,1.83655176e+04,2.31145850e+03
2.25333428e+00,1.82923047e+04,2.56249004e+04,1.81257969e+04,2.27867944e+03
2.33691788e+00,1.79676445e+04,2.51698848e+04,1.77927539e+04,2.23328833e+03
2.42265272e+00,1.75562266e+04,2.45933613e+04,1.73746562e+04,2.17742920e+03
2.51059437e+00,1.70869766e+04,2.39358535e+04,1.69006445e+04,2.11598926e+03
2.60079956e+00,1.65888672e+04,2.32379531e+04,1.63999863e+04,2.05245312e+03
2.69332647e+00,1.60812266e+04,2.25267637e+04,1.58925078e+04,1.99117090e+03
2.78823495e+00,1.55924561e+04,2.18420586e+04,1.54063086e+04,1.93386621e+03
2.88558602e+00,1.51287246e+04,2.11924492e+04,1.49463066e+04,1.88167358e+03
2.98544264e+00,1.46871982e+04,2.05739629e+04,1.45101289e+04,1.83418127e+03
3.08786964e+00,1.42833457e+04,2.00082031e+04,1.41097607e+04,1.79015991e+03
3.19293284e+00,1.39129111e+04,1.94892383e+04,1.37436201e+04,1.75146021e+03
3.30070019e+00,1.36447197e+04,1.91134844e+04,1.34777441e+04,1.72517773e+03
3.41124129e+00,1.34615664e+04,1.88567598e+04,1.32931660e+04,1.70460889e+03
3.52462745e+00,1.32216113e+04,1.85203320e+04,1.30460000e+04,1.67048877e+03
3.64093208e+00,1.26616484e+04,1.77355215e+04,1.24783018e+04,1.58672803e+03
3.76023054e+00,1.14888623e+04,1.60925410e+04,1.13158018e+04,1.43822925e+03
3.88259912e+00,1.00652754e+04,1.40989160e+04,9.93014355e+03,1.27403052e+03
4.00811720e+00,8.57984375e+03,1.20186865e+04,8.48464844e+03,1.10392871e+03
4.13686609e+00,7.25220996e+03,1.01599385e+04,7.20961719e+03,9.74042480e+02
4.26892853e+00,7.67935059e+03,1.07592139e+04,7.65540625e+03,1.03924268e+03
4.40439081e+00,9.10253906e+03,1.27520479e+04,9.02234766e+03,1.17312085e+03
4.54333878e+00,9.37339258e+03,1.31298555e+04,9.24026660e+03,1.18674854e+03
4.68586397e+00,9.31408789e+03,1.30467559e+04,9.19050781e+03,1.21152039e+03
4.83205652e+00,1.02571484e+04,1.43677637e+04,1.01190859e+04,1.34030566e+03
4.98201227e+00,1.09294180e+04,1.53094844e+04,1.07779941e+04,1.40102856e+03
5.13582754e+00,9.12307031e+03,1.27791289e+04,8.99925000e+03,1.15653345e+03
5.29360199e+00,6.36801953e+03,8.92038770e+03,6.30506689e+03,8.46913940e+02
5.45543718e+00,5.75849854e+03,8.06825879e+03,5.74943750e+03,7.98315308e+02
5.62143755e+00,7.70224316e+03,1.07879375e+04,7.54781934e+03,9.31223022e+02
