Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,3.69378398e-07,1.51462984e-06,2.50959098e-01,2.88617496e+01
7.99999982e-02,1.58992680e-06,6.56983593e-06,2.87328213e-01,3.22511024e+01
1.19999997e-01,3.98390966e-06,1.50416054e-05,2.96511352e-01,3.27733459e+01
1.59999996e-01,7.97282792e-06,2.78240404e-05,3.20378840e-01,3.80025787e+01
2.00000003e-01,1.29096679e-05,4.27983177e-05,3.46293479e-01,3.85314674e+01
2.39999995e-01,1.91781874e-05,6.06477042e-05,3.90384614e-01,4.32940140e+01
2.80000001e-01,2.67745163e-05,8.09127087e-05,4.20811355e-01,4.56199074e+01
3.19999993e-01,3.74666270e-05,1.08811168e-04,5.00182986e-01,5.48796921e+01
3.60000014e-01,5.56585110e-05,1.55350412e-04,7.14613497e-01,6.67766266e+01
4.00000006e-01,8.72311939e-05,2.36340944e-04,9.15361762e-01,6.70756836e+01
4.39999998e-01,1.42730918e-04,3.70884052e-04,8.22401702e-01,6.99146957e+01
4.79999989e-01,2.13916996e-04,5.42377587e-04,9.81074691e-01,9.26233521e+01
5.19999981e-01,3.40107828e-04,8.42064328e-04,9.84596729e-01,9.19703217e+01
5.60000002e-01,5.05040691e-04,1.24018569e-03,1.02793491e+00,8.63111725e+01
6.00000024e-01,8.30737699e-04,2.02759076e-03,9.56500590e-01,8.89414825e+01
6.41029537e-01,1.70318526e-03,3.92766437e-03,1.13506937e+00,8.54775467e+01
6.83115125e-01,3.64868599e-03,7.68492697e-03,1.22117329e+00,8.44981613e+01
7.26283848e-01,7.04783155e-03,1.36337485e-02,1.44882691e+00,7.92864838e+01
7.70563781e-01,1.25841005e-02,2.23708469e-02,1.69258964e+00,8.20820541e+01
8.15983355e-01,1.99148450e-02,3.31870504e-02,2.06762600e+00,7.69005585e+01
8.62571895e-01,2.91267689e-02,4.60413583e-02,2.53431988e+00,8.47131195e+01
9.10359621e-01,3.54419239e-02,5.46731688e-02,3.18536496e+00,7.84934998e+01
9.59377348e-01,3.85651626e-02,5.92930429e-02,3.92529941e+00,7.60157013e+01
1.00965667e+00,4.19280268e-02,6.49967343e-02,4.76519918e+00,7.43855591e+01
1.06123006e+00,4.93462272e-02,7.75625706e-02,5.65028000e+00,7.11815338e+01
1.11413085e+00,6.56737983e-02,1.04242839e-01,6.43631744e+00,7.19816589e+01
1.16839325e+00,9.37570408e-02,1.48609191e-01,7.03783321e+00,7.16547165e+01
1.22405231e+00,1.32560641e-01,2.07064509e-01,7.30355167e+00,7.68268051e+01
1.28114390e+00,1.72976300e-01,2.65851736e-01,7.28342152e+00,7.47631302e+01
1.33970511e+00,2.10469380e-01,3.20112616e-01,7.08935785e+00,8.03808060e+01
1.39977336e+00,2.07515762e+04,2.90542109e+04,1.95487656e+04,1.28066187e+03
1.46138775e+00,2.70243125e+04,3.77903984e+04,2.27892969e+04,1.44940405e+03
1.52458799e+00,1.64273652e+04,2.29689414e+04,1.41163086e+04,1.06552527e+03
1.58941495e+00,1.62777549e+04,2.27751016e+04,1.46424355e+04,1.33393811e+03
1.65591037e+00,1.62756191e+04,2.27754688e+04,1.47606523e+04,1.34882739e+03
1.72411728e+00,1.53509688e+04,2.14803652e+04,1.38531729e+04,1.26608447e+03
1.79407966e+00,1.37019629e+04,1.91718320e+04,1.23111582e+04,1.14590051e+03
1.86584306e+00,1.22091309e+04,1.70842227e+04,1.10272129e+04,1.11182910e+03
1.93945324e+00,1.15711855e+04,1.61945820e+04,1.05846367e+04,1.15732227e+03
2.01495814e+00,1.16261621e+04,1.62765078e+04,1.08622441e+04,1.34772571e+03
2.09240627e+00,1.28353643e+04,1.79768672e+04,1.23740137e+04,1.72118994e+03
2.17184782e+00,1.55365117e+04,2.17668809e+04,1.53729951e+04,2.31144995e+03
2.25333428e+00,1.84493672e+04,2.58505508e+04,1.84700410e+04,2.78409839e+03
2.33691788e+00,2.01430938e+04,2.82243691e+04,2.02622305e+04,3.04069580e+03
2.42265272e+00,2.07902051e+04,2.91303750e+04,2.08826211e+04,3.02772681e+03
2.51059437e+00,2.04590547e+04,2.86638926e+04,2.04171113e+04,2.85994263e+03
2.60079956e+00,1.93874453e+04,2.71603242e+04,1.92111641e+04,2.53825635e+03
2.69332647e+00,1.87466309e+04,2.62605605e+04,1.84053105e+04,2.32299707e+03
2.78823495e+00,1.84461719e+04,2.58381426e+04,1.79683965e+04,2.18300977e+03
2.88558602e+00,1.89994160e+04,2.66133223e+04,1.84664922e+04,2.26994141e+03
2.98544264e+00,2.07247793e+04,2.90291172e+04,2.00514922e+04,2.41297583e+03
