Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,9.56371521e-30,1.61423082e-29,4.00808065e-19,5.03489399e+00
7.99999982e-02,1.68170855e-27,2.77442014e-27,2.18320744e-16,6.17904568e+00
1.19999997e-01,8.06396051e-26,1.37317585e-25,9.30610535e-15,5.96871901e+00
1.59999996e-01,1.44527936e-24,2.47713171e-24,1.46719469e-13,7.64576721e+00
2.00000003e-01,2.21017716e-23,3.84170401e-23,1.61670688e-12,7.30078220e+00
2.39999995e-01,1.80586001e-22,3.16892065e-22,1.33759861e-11,9.74521065e+00
2.80000001e-01,1.05536109e-21,1.84821149e-21,7.74987019e-11,8.82324982e+00
3.19999993e-01,6.98098270e-21,1.22595187e-20,4.03608424e-10,1.17867994e+01
3.60000014e-01,3.88729425e-20,6.83606163e-20,2.08266604e-09,1.08439379e+01
4.00000006e-01,2.02361245e-19,3.55945278e-19,8.74726958e-09,1.22812958e+01
4.39999998e-01,9.73247681e-19,1.72306447e-18,3.77072169e-08,1.25808163e+01
4.79999989e-01,4.26519677e-18,7.58043947e-18,1.55795476e-07,1.32299423e+01
5.19999981e-01,1.75925798e-17,3.22819046e-17,6.05252183e-07,1.34603748e+01
5.60000002e-01,4.81994603e-17,9.09752296e-17,2.17724596e-06,1.39858398e+01
6.00000024e-01,2.15415579e-16,4.13333311e-16,6.55602253e-06,1.59430075e+01
6.41029537e-01,7.36704047e-16,1.43719193e-15,1.66900099e-05,1.56880112e+01
6.83115125e-01,2.63417082e-15,5.17905421e-15,4.27938539e-05,1.65441170e+01
7.26283848e-01,1.02827750e-14,2.03142963e-14,1.11184003e-04,1.84325275e+01
7.70563781e-01,3.44723470e-14,6.88835585e-14,2.32724313e-04,2.01333237e+01
8.15983355e-01,1.13634613e-13,2.28759448e-13,5.45449671e-04,2.15488491e+01
8.62571895e-01,4.36130136e-13,8.86475409e-13,1.14314887e-03,2.12200603e+01
9.10359621e-01,1.34771296e-12,2.81591720e-12,2.15427042e-03,2.50100403e+01
9.59377348e-01,3.77665607e-12,7.82671063e-12,4.17560432e-03,2.71739616e+01
1.00965667e+00,1.20308867e-11,2.45433431e-11,7.58891366e-03,3.04652042e+01
1.06123006e+00,3.65812554e-11,7.51530504e-11,1.32104158e-02,2.95761089e+01
1.11413085e+00,9.91452337e-11,2.03052769e-10,2.13552415e-02,3.20362625e+01
1.16839325e+00,2.82382701e-10,5.91389104e-10,3.25327739e-02,3.30559998e+01
1.22405231e+00,1.08122689e-09,2.21563434e-09,4.78642881e-02,3.51330795e+01
1.28114390e+00,4.32784208e-09,7.90585020e-09,6.72540963e-02,3.82107620e+01
1.33970511e+00,2.57124455e-08,3.83008860e-08,9.29193348e-02,4.06895676e+01
1.39977336e+00,2.01880820e+04,2.82798770e+04,2.00203145e+04,2.10927539e+03
1.46138775e+00,2.55271406e+04,3.57396250e+04,2.40607832e+04,2.05610034e+03
1.52458799e+00,1.53347441e+04,2.14679883e+04,1.45260117e+04,1.39651904e+03
1.58941495e+00,1.56352705e+04,2.18968281e+04,1.52056416e+04,1.70922827e+03
1.65591037e+00,1.65649473e+04,2.32012793e+04,1.62290371e+04,1.86866748e+03
1.72411728e+00,1.65295156e+04,2.31508516e+04,1.61519883e+04,1.81116687e+03
1.79407966e+00,1.52712285e+04,2.13869043e+04,1.48362783e+04,1.61358716e+03
1.86584306e+00,1.34766367e+04,1.88724844e+04,1.30298164e+04,1.40056177e+03
1.93945324e+00,1.17128652e+04,1.64021953e+04,1.13038320e+04,1.23075171e+03
2.01495814e+00,1.03081738e+04,1.44356211e+04,9.96738574e+03,1.13270154e+03
2.09240627e+00,9.41800293e+03,1.31901465e+04,9.15602930e+03,1.09741724e+03
2.17184782e+00,9.10135449e+03,1.27483320e+04,8.92349609e+03,1.15393384e+03
2.25333428e+00,9.45429297e+03,1.32449141e+04,9.37733496e+03,1.30821521e+03
2.33691788e+00,1.07082656e+04,1.50042305e+04,1.07589287e+04,1.61994275e+03
2.42265272e+00,1.29592285e+04,1.81606523e+04,1.31666172e+04,2.09469702e+03
2.51059437e+00,1.60323574e+04,2.24691992e+04,1.64297812e+04,2.72662891e+03
2.60079956e+00,1.96395312e+04,2.75259902e+04,2.02531641e+04,3.44075854e+03
2.69332647e+00,2.32986328e+04,3.26546895e+04,2.40957031e+04,4.09294653e+03
2.78823495e+00,2.60741484e+04,3.65429805e+04,2.69056562e+04,4.40327002e+03
2.88558602e+00,2.69259902e+04,3.77331641e+04,2.75916875e+04,4.24729736e+03
2.98544264e+00,2.60151660e+04,3.64523164e+04,2.64002773e+04,3.76164868e+03
3.08786964e+00,2.40834512e+04,3.37412070e+04,2.41749609e+04,3.20152075e+03
3.19293284e+00,2.16336211e+04,3.03051504e+04,2.14835820e+04,2.66146533e+03
3.30070019e+00,1.91300391e+04,2.67951602e+04,1.88203320e+04,2.22859717e+03
3.41124129e+00,1.68204766e+04,2.35582910e+04,1.64293008e+04,1.89518726e+03
3.52462745e+00,1.48365000e+04,2.07785781e+04,1.44245723e+04,1.66479749e+03
3.64093208e+00,1.32171807e+04,1.85104258e+04,1.28259766e+04,1.50488062e+03
3.76023054e+00,1.19224697e+04,1.66974922e+04,1.15780410e+04,1.40597998e+03
3.88259912e+00,1.09340947e+04,1.53140088e+04,1.06509365e+04,1.35061536e+03
4.00811720e+00,1.02759346e+04,1.43932031e+04,1.00565234e+04,1.33504126e+03
4.13686609e+00,9.89527148e+03,1.38611348e+04,9.73827539e+03,1.35496155e+03
4.26892853e+00,9.80901367e+03,1.37414609e+04,9.71138477e+03,1.40598413e+03
4.40439081e+00,1.00445127e+04,1.40724941e+04,1.00036709e+04,1.50210315e+03
4.54333878e+00,1.06015078e+04,1.48539805e+04,1.06225508e+04,1.64401562e+03
4.68586397e+00,1.15334307e+04,1.61607637e+04,1.16205664e+04,1.84284863e+03
4.83205652e+00,1.27553594e+04,1.78738555e+04,1.29129199e+04,2.08293286e+03
4.98201227e+00,1.42032090e+04,1.99035000e+04,1.44373145e+04,2.36019482e+03
5.13582754e+00,1.59431055e+04,2.23421875e+04,1.62522363e+04,2.67864868e+03
5.29360199e+00,1.78074121e+04,2.49551113e+04,1.81969727e+04,3.02786011e+03
5.45543718e+00,1.95109258e+04,2.73425898e+04,1.99807148e+04,3.34171240e+03
5.62143755e+00,2.12448945e+04,2.97722480e+04,2.17716875e+04,3.61531763e+03
5.79171038e+00,2.25122324e+04,3.15473945e+04,2.30485840e+04,3.75025806e+03
5.96636629e+00,2.26903926e+04,3.17954141e+04,2.31508633e+04,3.62511865e+03
6.14551687e+00,2.25624727e+04,3.16136484e+04,2.28705293e+04,3.39496753e+03
6.32927942e+00,2.18582070e+04,3.06239473e+04,2.19868203e+04,3.08945654e+03
6.51777077e+00,2.04395059e+04,2.86348047e+04,2.04497656e+04,2.77187012e+03
6.71111441e+00,2.11531328e+04,2.96319375e+04,2.09787461e+04,2.70064771e+03
6.90943432e+00,1.90442363e+04,2.66755586e+04,1.87703203e+04,2.37578076e+03
7.11285782e+00,1.82189023e+04,2.55198223e+04,1.79434863e+04,2.29468066e+03
7.32151794e+00,2.01846055e+04,2.82709180e+04,1.97471406e+04,2.45959229e+03
7.53554821e+00,1.81163418e+04,2.53725410e+04,1.76558262e+04,2.21323633e+03
7.75508738e+00,1.26998555e+04,1.77865117e+04,1.23909717e+04,1.63759192e+03
7.98027754e+00,8.57744824e+03,1.20150830e+04,8.47226465e+03,1.25381580e+03
8.21126270e+00,8.68037695e+03,1.21622295e+04,8.71316309e+03,1.39062427e+03
8.44819450e+00,1.06679639e+04,1.49478984e+04,1.07621172e+04,1.73025940e+03
8.69122219e+00,1.18140029e+04,1.65539824e+04,1.19512080e+04,1.93287427e+03
8.94050789e+00,1.17439844e+04,1.64563848e+04,1.19273242e+04,1.96929028e+03
9.19620800e+00,1.15675205e+04,1.62108750e+04,1.18411025e+04,2.00292505e+03
9.45849037e+00,1.39407549e+04,1.95367402e+04,1.42724746e+04,2.34626001e+03
9.72752285e+00,1.62020820e+04,2.27039922e+04,1.65167598e+04,2.61449365e+03
