Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,1.62396103e-01,2.43983552e-01,2.28676856e-01,1.69912224e+01
7.99999982e-02,1.58822432e-01,2.33730286e-01,2.11287767e-01,2.10024624e+01
1.19999997e-01,1.50602996e-01,2.18871623e-01,2.05439061e-01,2.28424759e+01
1.59999996e-01,1.41549513e-01,2.04548016e-01,1.95587754e-01,2.52264767e+01
2.00000003e-01,1.27046868e-01,1.82598576e-01,1.87644228e-01,2.66759930e+01
2.39999995e-01,1.18779466e-01,1.70711577e-01,1.79567724e-01,2.84298649e+01
2.80000001e-01,1.08367309e-01,1.55471161e-01,1.72666132e-01,2.97712212e+01
3.19999993e-01,1.01698451e-01,1.45813942e-01,1.66918769e-01,3.12337532e+01
3.60000014e-01,9.47249532e-02,1.35304451e-01,1.62244156e-01,3.25659790e+01
4.00000006e-01,9.04986560e-02,1.28578335e-01,1.58949047e-01,3.39685516e+01
4.39999998e-01,8.46776590e-02,1.19859137e-01,1.56410620e-01,3.52961845e+01
4.79999989e-01,8.29947889e-02,1.17570207e-01,1.54563263e-01,3.67179756e+01
5.19999981e-01,7.95661360e-02,1.12678006e-01,1.54085606e-01,3.81135330e+01
5.60000002e-01,8.20361525e-02,1.16461828e-01,1.53603882e-01,3.95123749e+01
6.00000024e-01,8.08212608e-02,1.14368558e-01,1.54405758e-01,4.09509354e+01
6.41029537e-01,8.58162493e-02,1.20661810e-01,1.56233445e-01,4.24102135e+01
6.83115125e-01,8.39286745e-02,1.17297664e-01,1.58696547e-01,4.39353104e+01
7.26283848e-01,8.49786848e-02,1.17969140e-01,1.62618756e-01,4.54318008e+01
7.70563781e-01,8.44354033e-02,1.16157755e-01,1.67311832e-01,4.70846405e+01
8.15983355e-01,8.41974393e-02,1.14975482e-01,1.71052575e-01,4.87137642e+01
8.62571895e-01,7.85929188e-02,1.08033709e-01,1.73518673e-01,5.04831886e+01
9.10359621e-01,7.73906261e-02,1.06127352e-01,1.76533446e-01,5.22504234e+01
9.59377348e-01,7.28000328e-02,1.00242250e-01,1.76520318e-01,5.39915581e+01
1.00965667e+00,6.96096122e-02,9.54131261e-02,1.79815963e-01,5.57372055e+01
1.06123006e+00,6.52313679e-02,8.88991654e-02,1.84452221e-01,5.74129410e+01
1.11413085e+00,6.01676106e-02,8.16298127e-02,1.91818818e-01,5.91144485e+01
1.16839325e+00,5.58225587e-02,7.56004080e-02,2.03771546e-01,6.09393082e+01
1.22405231e+00,5.22736460e-02,7.09668919e-02,2.21536398e-01,6.27763824e+01
1.28114390e+00,5.21765910e-02,7.13991746e-02,2.55525857e-01,6.47529755e+01
1.33970511e+00,5.80647849e-02,8.05476457e-02,3.04693043e-01,6.70545578e+01
1.39977336e+00,2.07210977e+04,2.90108281e+04,1.94667148e+04,1.24638489e+03
1.46138775e+00,2.63852695e+04,3.68959336e+04,2.22242617e+04,1.39112280e+03
1.52458799e+00,1.59792520e+04,2.23412148e+04,1.36585742e+04,1.02204541e+03
1.58941495e+00,1.51977441e+04,2.12632773e+04,1.36408477e+04,1.26468896e+03
1.65591037e+00,1.53641641e+04,2.15027734e+04,1.40896055e+04,1.40353589e+03
1.72411728e+00,1.56069795e+04,2.18456914e+04,1.44485488e+04,1.48070874e+03
1.79407966e+00,1.54783926e+04,2.16662734e+04,1.43480566e+04,1.47908936e+03
1.86584306e+00,1.47262637e+04,2.06129180e+04,1.36153770e+04,1.41105420e+03
1.93945324e+00,1.36419629e+04,1.90953047e+04,1.26038223e+04,1.34643823e+03
