Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,5.89169450e-02,8.44380409e-02,4.38367948e-02,1.22951590e-01
7.99999982e-02,7.15681165e-02,1.00214034e-01,4.09841947e-02,2.44640321e-01
1.19999997e-01,7.45248795e-02,1.02888077e-01,3.85876521e-02,3.24381262e-01
1.59999996e-01,7.48727620e-02,1.02407940e-01,3.55836451e-02,3.75707746e-01
2.00000003e-01,7.59251416e-02,1.03146851e-01,3.21363732e-02,4.08283561e-01
2.39999995e-01,7.24565536e-02,9.78773385e-02,2.87667811e-02,4.27362084e-01
2.80000001e-01,7.45866895e-02,1.00402310e-01,2.55178548e-02,4.42699015e-01
3.19999993e-01,6.97181970e-02,9.33910310e-02,2.26480477e-02,4.58301246e-01
3.60000014e-01,7.20241591e-02,9.61626843e-02,2.00055614e-02,4.74617660e-01
4.00000006e-01,6.77249804e-02,9.02739614e-02,1.79155041e-02,4.87468064e-01
4.39999998e-01,6.62495494e-02,8.79096836e-02,1.57640297e-02,5.01087606e-01
4.79999989e-01,6.26927018e-02,8.33079517e-02,1.40596973e-02,5.20644665e-01
5.19999981e-01,5.86612709e-02,7.77135491e-02,1.24819120e-02,5.36849022e-01
5.60000002e-01,5.41271269e-02,7.19033480e-02,1.12543181e-02,5.55789471e-01
6.00000024e-01,4.86239642e-02,6.46015480e-02,1.02823507e-02,5.82183003e-01
6.41029537e-01,4.34674881e-02,5.79285659e-02,9.43680294e-03,6.07088983e-01
6.83115125e-01,3.82142998e-02,5.09877466e-02,8.77626054e-03,6.37157679e-01
7.26283848e-01,3.43654081e-02,4.59067337e-02,8.34643375e-03,6.75960839e-01
7.70563781e-01,3.05585060e-02,4.07534912e-02,8.05014651e-03,7.17487454e-01
8.15983355e-01,2.75000948e-02,3.66605036e-02,8.05263221e-03,7.69916296e-01
8.62571895e-01,2.46027466e-02,3.27510163e-02,8.36213678e-03,8.32394242e-01
9.10359621e-01,2.22810786e-02,2.96734218e-02,8.96140561e-03,9.07527447e-01
9.59377348e-01,2.06225608e-02,2.75034327e-02,1.00234542e-02,9.86494660e-01
1.00965667e+00,1.95231289e-02,2.61128880e-02,1.18502490e-02,1.09094143e+00
1.06123006e+00,1.93234757e-02,2.59174705e-02,1.46753453e-02,1.20722175e+00
1.11413085e+00,2.01982129e-02,2.71804594e-02,1.91893764e-02,1.34453344e+00
1.16839325e+00,2.29970049e-02,3.11744045e-02,2.74398159e-02,1.49838161e+00
1.22405231e+00,2.81715505e-02,3.86004448e-02,4.07327600e-02,1.67736983e+00
1.28114390e+00,3.84997725e-02,5.33989370e-02,6.28937408e-02,1.90007269e+00
1.33970511e+00,5.52328490e-02,7.70256817e-02,8.74955729e-02,2.16390514e+00
1.39977336e+00,2.01825508e+04,2.82722695e+04,2.00216133e+04,2.10244727e+03
1.46138775e+00,2.56488203e+04,3.59086406e+04,2.41224141e+04,2.00311646e+03
1.52458799e+00,1.55798008e+04,2.18098848e+04,1.46876816e+04,1.32922437e+03
1.58941495e+00,1.45725527e+04,2.04061406e+04,1.40464648e+04,1.46928979e+03
1.65591037e+00,1.42902910e+04,2.00137793e+04,1.39230273e+04,1.56183179e+03
1.72411728e+00,1.42791719e+04,2.00001777e+04,1.40142383e+04,1.65232495e+03
1.79407966e+00,1.45316992e+04,2.03555039e+04,1.43457617e+04,1.76064697e+03
1.86584306e+00,1.50461572e+04,2.10775195e+04,1.49250996e+04,1.89009924e+03
1.93945324e+00,1.57119941e+04,2.20111758e+04,1.56335830e+04,2.01742590e+03
2.01495814e+00,1.62169062e+04,2.27187617e+04,1.61524873e+04,2.09780078e+03
2.09240627e+00,1.62567012e+04,2.27743457e+04,1.61869404e+04,2.09860913e+03
2.17184782e+00,1.57123281e+04,2.20113438e+04,1.56242031e+04,2.01109497e+03
2.25333428e+00,1.47704004e+04,2.06915156e+04,1.46643848e+04,1.87732996e+03
2.33691788e+00,1.40823672e+04,1.97279570e+04,1.39857705e+04,1.80677417e+03
2.42265272e+00,1.42359863e+04,1.99440469e+04,1.41765195e+04,1.87180615e+03
2.51059437e+00,1.51145205e+04,2.11757109e+04,1.50931426e+04,2.03418774e+03
2.60079956e+00,1.61945547e+04,2.26893555e+04,1.62046621e+04,2.21972998e+03
2.69332647e+00,1.71116387e+04,2.39744258e+04,1.71457793e+04,2.37465991e+03
2.78823495e+00,1.74555410e+04,2.44560586e+04,1.74918125e+04,2.43200439e+03
2.88558602e+00,1.71811777e+04,2.40715430e+04,1.72165117e+04,2.40966235e+03
2.98544264e+00,1.66100781e+04,2.32716836e+04,1.66575195e+04,2.35460693e+03
3.08786964e+00,1.58874082e+04,2.22590234e+04,1.59200332e+04,2.24950781e+03
3.19293284e+00,1.53325713e+04,2.14817090e+04,1.53624316e+04,2.18588794e+03
3.30070019e+00,1.58511650e+04,2.22089219e+04,1.59079570e+04,2.29264697e+03
3.41124129e+00,1.71021992e+04,2.39620078e+04,1.71730137e+04,2.48518262e+03
3.52462745e+00,1.80545898e+04,2.52958047e+04,1.81040156e+04,2.61029541e+03
3.64093208e+00,1.85238945e+04,2.59527227e+04,1.85532324e+04,2.67517578e+03
3.76023054e+00,1.84487656e+04,2.58467031e+04,1.84457773e+04,2.65768750e+03
3.88259912e+00,1.74400156e+04,2.44328867e+04,1.74099922e+04,2.53075317e+03
4.00811720e+00,1.63342236e+04,2.28842812e+04,1.63238926e+04,2.43097607e+03
4.13686609e+00,1.54067969e+04,2.15847207e+04,1.53776289e+04,2.31206128e+03
4.26892853e+00,1.38288379e+04,1.93738242e+04,1.37937842e+04,2.13254688e+03
4.40439081e+00,1.40234668e+04,1.96480000e+04,1.40530293e+04,2.25506860e+03
4.54333878e+00,1.64146172e+04,2.29991914e+04,1.64886094e+04,2.64274976e+03
4.68586397e+00,1.79327598e+04,2.51249766e+04,1.79608184e+04,2.83846582e+03
4.83205652e+00,1.77218926e+04,2.48289922e+04,1.77396836e+04,2.84988184e+03
4.98201227e+00,1.78597695e+04,2.50222949e+04,1.78889004e+04,2.92062305e+03
5.13582754e+00,1.75832715e+04,2.46342578e+04,1.75856680e+04,2.89428491e+03
5.29360199e+00,1.58703252e+04,2.22338066e+04,1.58475762e+04,2.67570654e+03
5.45543718e+00,1.42440234e+04,1.99566602e+04,1.42717812e+04,2.52254858e+03
5.62143755e+00,1.48304180e+04,2.07783633e+04,1.48584648e+04,2.61983423e+03
5.79171038e+00,1.49782090e+04,2.09838887e+04,1.49499492e+04,2.62276050e+03
5.96636629e+00,1.41636094e+04,1.98442109e+04,1.42104766e+04,2.62161060e+03
6.14551687e+00,1.57627900e+04,2.20867461e+04,1.58875146e+04,2.91350635e+03
6.32927942e+00,1.80586738e+04,2.53021484e+04,1.81266387e+04,3.18845337e+03
6.51777077e+00,1.75880469e+04,2.46416719e+04,1.76172480e+04,3.14140308e+03
6.71111441e+00,1.75087227e+04,2.45299727e+04,1.75164883e+04,3.17327734e+03
6.90943432e+00,1.69081094e+04,2.36868711e+04,1.68468848e+04,3.07090771e+03
7.11285782e+00,1.47450762e+04,2.06552090e+04,1.46328965e+04,2.77091089e+03
7.32151794e+00,1.22266387e+04,1.71266934e+04,1.21094248e+04,2.44307568e+03
7.53554821e+00,1.03210781e+04,1.44580430e+04,1.02488359e+04,2.23365674e+03
7.75508738e+00,9.55839746e+03,1.33907422e+04,9.53742480e+03,2.16745508e+03
7.98027754e+00,9.54096680e+03,1.33669355e+04,9.54908203e+03,2.17794946e+03
8.21126270e+00,9.66644434e+03,1.35433916e+04,9.70656836e+03,2.21195459e+03
8.44819450e+00,1.05116143e+04,1.47280645e+04,1.05799258e+04,2.33587207e+03
8.69122219e+00,1.18122070e+04,1.65496074e+04,1.18600039e+04,2.48086035e+03
