Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,1.35547943e-16,1.69852155e-16,3.73073507e-13,2.40918694e+01
7.99999982e-02,1.59359561e-15,2.03101348e-15,7.89097780e-12,3.24380951e+01
1.19999997e-01,1.37628658e-14,1.75663334e-14,8.34196462e-11,3.86193466e+01
1.59999996e-01,1.06435002e-13,1.36624246e-13,7.04316661e-10,4.53326302e+01
2.00000003e-01,4.10320947e-13,5.43784256e-13,3.76781362e-09,4.84222565e+01
2.39999995e-01,1.96727335e-12,2.60311109e-12,1.14499903e-08,5.41563263e+01
2.80000001e-01,1.02293772e-11,1.38695990e-11,4.50302728e-08,5.73535347e+01
3.19999993e-01,6.32388655e-11,8.72988140e-11,1.55871390e-07,6.29018173e+01
3.60000014e-01,2.80987705e-10,3.96362998e-10,7.24382176e-07,6.61006165e+01
4.00000006e-01,1.68894687e-09,2.36218511e-09,5.67412826e-06,7.11899567e+01
4.39999998e-01,5.10329068e-09,7.31246663e-09,1.08555632e-05,7.39549561e+01
4.79999989e-01,2.09044888e-08,2.91927051e-08,1.55896232e-05,7.88397980e+01
5.19999981e-01,4.52257574e-08,6.46631761e-08,3.81468089e-05,8.16776886e+01
5.60000002e-01,1.34644452e-07,1.86484215e-07,5.45658113e-05,8.64125366e+01
6.00000024e-01,2.26750331e-07,3.22214817e-07,1.12105030e-04,8.94639587e+01
6.41029537e-01,5.25812311e-07,7.23809194e-07,1.80762640e-04,9.36279907e+01
6.83115125e-01,7.32480430e-07,1.03785271e-06,3.02013417e-04,9.65265656e+01
7.26283848e-01,1.15964508e-06,1.61598416e-06,4.56608599e-04,1.00284065e+02
7.70563781e-01,1.87411342e-06,2.62998083e-06,7.38138624e-04,1.03642471e+02
8.15983355e-01,3.46984825e-06,4.90487037e-06,1.04095379e-03,1.07000916e+02
8.62571895e-01,4.19989510e-06,6.26312521e-06,1.52949162e-03,1.10359879e+02
9.10359621e-01,7.05960792e-06,1.08337726e-05,2.13966193e-03,1.13617523e+02
9.59377348e-01,8.73671797e-06,1.34516413e-05,3.00530763e-03,1.16848503e+02
1.00965667e+00,1.26449841e-05,1.96503934e-05,4.16733325e-03,1.20230591e+02
1.06123006e+00,1.73511617e-05,2.72748148e-05,5.85985091e-03,1.23784035e+02
1.11413085e+00,2.19425092e-05,3.42413041e-05,8.36342201e-03,1.27413162e+02
1.16839325e+00,2.50133162e-05,3.82669969e-05,1.15043093e-02,1.31084747e+02
1.22405231e+00,2.73091136e-05,4.15442701e-05,1.59384664e-02,1.34915085e+02
1.28114390e+00,3.29895956e-05,5.10410609e-05,2.39302944e-02,1.38752411e+02
1.33970511e+00,4.15044706e-05,6.57573109e-05,3.42096910e-02,1.43101547e+02
1.39977336e+00,2.06645273e+04,2.89320020e+04,1.94418711e+04,1.41539185e+03
1.46138775e+00,2.58690977e+04,3.61770586e+04,2.18927852e+04,1.45826184e+03
1.52458799e+00,1.56610156e+04,2.18963828e+04,1.33808203e+04,1.06925525e+03
1.58941495e+00,1.45692676e+04,2.03823906e+04,1.30059072e+04,1.26096179e+03
1.65591037e+00,1.43315547e+04,2.00560566e+04,1.30780938e+04,1.38057471e+03
1.72411728e+00,1.43375820e+04,2.00684453e+04,1.32675850e+04,1.47795337e+03
1.79407966e+00,1.44214941e+04,2.01886484e+04,1.34749336e+04,1.55775635e+03
1.86584306e+00,1.45563164e+04,2.03794648e+04,1.36996211e+04,1.62790381e+03
1.93945324e+00,1.47310391e+04,2.06256797e+04,1.39403408e+04,1.69096558e+03
2.01495814e+00,1.49135752e+04,2.08824180e+04,1.41695039e+04,1.74410156e+03
2.09240627e+00,1.50807969e+04,2.11173828e+04,1.43680547e+04,1.78652795e+03
2.17184782e+00,1.52178730e+04,2.13098379e+04,1.45231836e+04,1.81751538e+03
2.25333428e+00,1.52765781e+04,2.13922617e+04,1.45903984e+04,1.83399707e+03
2.33691788e+00,1.52242881e+04,2.13190957e+04,1.45434229e+04,1.83627954e+03
2.42265272e+00,1.50775156e+04,2.11135801e+04,1.44029121e+04,1.82477637e+03
2.51059437e+00,1.48540195e+04,2.08005938e+04,1.41885684e+04,1.81254004e+03
2.60079956e+00,1.46092324e+04,2.04579492e+04,1.39591797e+04,1.79592590e+03
2.69332647e+00,1.44371396e+04,2.02173203e+04,1.38087061e+04,1.78983130e+03
2.78823495e+00,1.44087832e+04,2.01781055e+04,1.38043457e+04,1.80786597e+03
2.88558602e+00,1.45322979e+04,2.03516094e+04,1.39491875e+04,1.84410278e+03
2.98544264e+00,1.47475146e+04,2.06534551e+04,1.41811348e+04,1.88850378e+03
3.08786964e+00,1.49988340e+04,2.10057812e+04,1.44458984e+04,1.93395874e+03
3.19293284e+00,1.52421523e+04,2.13467949e+04,1.46983945e+04,1.98101807e+03
3.30070019e+00,1.54345781e+04,2.16164102e+04,1.48954043e+04,2.01326880e+03
3.41124129e+00,1.55589561e+04,2.17906094e+04,1.50214707e+04,2.03922681e+03
3.52462745e+00,1.56344629e+04,2.18963125e+04,1.50961299e+04,2.04641199e+03
3.64093208e+00,1.56768691e+04,2.19555977e+04,1.51340830e+04,2.06376221e+03
3.76023054e+00,1.56812910e+04,2.19616211e+04,1.51313848e+04,2.06502783e+03
3.88259912e+00,1.56423135e+04,2.19068184e+04,1.50840469e+04,2.06284839e+03
4.00811720e+00,1.55706934e+04,2.18062910e+04,1.50037539e+04,2.04992993e+03
4.13686609e+00,1.54666973e+04,2.16604316e+04,1.48921660e+04,2.04550635e+03
4.26892853e+00,1.53238896e+04,2.14602227e+04,1.47434668e+04,2.02769946e+03
4.40439081e+00,1.51605518e+04,2.12313301e+04,1.45769736e+04,2.02065088e+03
4.54333878e+00,1.50034531e+04,2.10112285e+04,1.44193604e+04,2.00713684e+03
4.68586397e+00,1.48697480e+04,2.08239355e+04,1.42871367e+04,2.00651465e+03
4.83205652e+00,1.47855527e+04,2.07060430e+04,1.42057285e+04,2.01984912e+03
4.98201227e+00,1.47727725e+04,2.06882188e+04,1.41969512e+04,2.03717847e+03
5.13582754e+00,1.48260498e+04,2.07629297e+04,1.42534180e+04,2.06468750e+03
5.29360199e+00,1.49238965e+04,2.09000449e+04,1.43537480e+04,2.08980591e+03
5.45543718e+00,1.50522539e+04,2.10799023e+04,1.44852031e+04,2.12562354e+03
5.62143755e+00,1.51855508e+04,2.12666289e+04,1.46196729e+04,2.14321045e+03
5.79171038e+00,1.53064365e+04,2.14359688e+04,1.47423232e+04,2.17273291e+03
