Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,2.42834459e-20,3.19283509e-20,7.92431676e-21,2.17056031e-17
7.99999982e-02,3.64956300e-19,4.83520621e-19,1.55812833e-19,4.59789728e-15
1.19999997e-01,4.77151485e-18,6.33037973e-18,2.27385395e-18,2.82294912e-13
1.59999996e-01,6.93425177e-17,9.24374004e-17,3.96686540e-17,9.14914151e-12
2.00000003e-01,5.89338526e-16,7.88645590e-16,4.06144675e-16,2.54370747e-10
2.39999995e-01,3.56464414e-15,4.84940465e-15,3.04669789e-15,8.57287130e-09
2.80000001e-01,4.54726453e-14,6.22431590e-14,4.24882196e-14,1.71021966e-05
3.19999993e-01,2.71806178e-13,3.78411115e-13,3.26937777e-13,3.87585933e-05
3.60000014e-01,1.95194663e-12,2.71461868e-12,2.19776909e-12,2.38701527e-04
4.00000006e-01,1.19874978e-11,1.67596301e-11,1.37528487e-11,6.56895747e-04
4.39999998e-01,5.11550940e-11,7.20100785e-11,6.58775257e-11,1.75707357e-03
4.79999989e-01,2.86998897e-10,4.00725425e-10,2.93045060e-10,5.70604391e-03
5.19999981e-01,9.56005164e-10,1.34907441e-09,1.17169618e-09,1.01158302e-02
5.60000002e-01,3.97104571e-09,5.53619905e-09,3.67727160e-09,2.89490409e-02
6.00000024e-01,9.90340165e-09,1.39592862e-08,1.08642908e-08,4.89904657e-02
6.41029537e-01,3.05029708e-08,4.24069739e-08,2.51895784e-08,1.16911054e-01
6.83115125e-01,5.63287230e-08,7.92292880e-08,5.52428290e-08,1.66087672e-01
7.26283848e-01,1.10600915e-07,1.54221240e-07,9.20942682e-08,3.29040647e-01
7.70563781e-01,1.91264178e-07,2.66868710e-07,1.59797565e-07,4.88147020e-01
8.15983355e-01,3.78594081e-07,5.24329607e-07,2.74097971e-07,9.48365569e-01
8.62571895e-01,4.84245049e-07,6.80287826e-07,4.28014204e-07,1.28314400e+00
9.10359621e-01,9.07618926e-07,1.25979102e-06,6.30499017e-07,2.05393386e+00
9.59377348e-01,1.24618964e-06,1.75212449e-06,1.00626880e-06,2.96590877e+00
1.00965667e+00,2.09913378e-06,2.92968753e-06,1.45780609e-06,4.17593718e+00
1.06123006e+00,3.63225740e-06,5.07703726e-06,2.40341160e-06,6.00667572e+00
1.11413085e+00,5.59071987e-06,7.87040517e-06,3.77980632e-06,8.13059330e+00
1.16839325e+00,7.57120597e-06,1.06858624e-05,5.27369684e-06,1.06585293e+01
1.22405231e+00,9.43612667e-06,1.32908526e-05,6.82798600e-06,1.34122496e+01
1.28114390e+00,1.36739527e-05,1.93357409e-05,1.18200051e-05,1.69032974e+01
1.33970511e+00,2.17413854e-05,3.09900061e-05,2.28679110e-05,2.06397190e+01
1.39977336e+00,2.01837734e+04,2.82738203e+04,2.00104766e+04,2.10006812e+03
1.46138775e+00,2.54958828e+04,3.56941680e+04,2.39288828e+04,1.97862549e+03
1.52458799e+00,1.49198730e+04,2.08855938e+04,1.40485957e+04,1.28686633e+03
1.58941495e+00,1.39796133e+04,1.95756211e+04,1.34672988e+04,1.43313013e+03
1.65591037e+00,1.38171230e+04,1.93509824e+04,1.34573682e+04,1.53718835e+03
1.72411728e+00,1.38341689e+04,1.93766211e+04,1.35647012e+04,1.61966699e+03
1.79407966e+00,1.39048906e+04,1.94768633e+04,1.36957529e+04,1.68605200e+03
1.86584306e+00,1.39887510e+04,1.95951777e+04,1.38227207e+04,1.74076526e+03
1.93945324e+00,1.40687402e+04,1.97078594e+04,1.39349355e+04,1.78522852e+03
2.01495814e+00,1.41314434e+04,1.97961582e+04,1.40216152e+04,1.82017444e+03
2.09240627e+00,1.41267266e+04,1.97898691e+04,1.40343535e+04,1.84200061e+03
2.17184782e+00,1.40812422e+04,1.97264199e+04,1.40033604e+04,1.85325635e+03
2.25333428e+00,1.40230547e+04,1.96451328e+04,1.39578037e+04,1.86231958e+03
2.33691788e+00,1.39601904e+04,1.95573008e+04,1.39078691e+04,1.87118262e+03
2.42265272e+00,1.39683301e+04,1.95689961e+04,1.39308389e+04,1.89021143e+03
2.51059437e+00,1.40889346e+04,1.97382617e+04,1.40670938e+04,1.92650037e+03
2.60079956e+00,1.43018398e+04,2.00367969e+04,1.42944043e+04,1.97574255e+03
2.69332647e+00,1.45552227e+04,2.03919785e+04,1.45598652e+04,2.02521118e+03
2.78823495e+00,1.47789189e+04,2.07054844e+04,1.47922188e+04,2.06519897e+03
2.88558602e+00,1.49418184e+04,2.09337578e+04,1.49605088e+04,2.10106470e+03
2.98544264e+00,1.50195762e+04,2.10426895e+04,1.50401709e+04,2.11570801e+03
3.08786964e+00,1.50025938e+04,2.10188477e+04,1.50223350e+04,2.11890039e+03
