Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,6.45914182e-12,1.60301963e-11,6.83266819e-02,3.88189173e+00
7.99999982e-02,1.82263482e-10,5.07059339e-10,7.24247396e-02,4.53305578e+00
1.19999997e-01,2.08306039e-09,7.07379666e-09,7.46283680e-02,4.81457567e+00
1.59999996e-01,1.85412894e-08,7.12434627e-08,7.76364952e-02,5.30557728e+00
2.00000003e-01,1.52050603e-07,6.70961981e-07,8.08694437e-02,5.55198669e+00
2.39999995e-01,6.39815028e-07,2.73405703e-06,9.02993679e-02,5.98407030e+00
2.80000001e-01,2.01912849e-06,7.74400269e-06,8.89465734e-02,6.23561859e+00
3.19999993e-01,4.38470261e-06,1.57302002e-05,9.69637781e-02,6.65069675e+00
3.60000014e-01,8.56652423e-06,2.90157914e-05,1.02896228e-01,6.96449280e+00
4.00000006e-01,1.35376140e-05,4.48441606e-05,1.21437103e-01,7.33955956e+00
4.39999998e-01,2.48020333e-05,8.08925033e-05,1.36176273e-01,7.63635063e+00
4.79999989e-01,3.54400181e-05,1.19638222e-04,1.78308204e-01,8.05148888e+00
5.19999981e-01,5.50399272e-05,1.91077153e-04,1.90934107e-01,8.33201313e+00
5.60000002e-01,1.07015214e-04,3.66290740e-04,2.28145972e-01,8.63615036e+00
6.00000024e-01,2.18283632e-04,7.37285707e-04,2.21089870e-01,8.97899246e+00
6.41029537e-01,4.92100371e-04,1.60787231e-03,2.26012453e-01,9.30509758e+00
6.83115125e-01,1.11421500e-03,3.38254962e-03,2.10559532e-01,9.63795757e+00
7.26283848e-01,3.44118383e-03,9.34155099e-03,2.04861835e-01,1.00634518e+01
7.70563781e-01,8.32102634e-03,1.99668203e-02,2.02888519e-01,1.04955502e+01
8.15983355e-01,2.46306360e-02,4.96493615e-02,1.99425146e-01,1.09941683e+01
8.62571895e-01,4.11805771e-02,7.43266344e-02,2.03732193e-01,1.17273073e+01
9.10359621e-01,6.00695238e-02,1.00668311e-01,2.23426268e-01,1.25468369e+01
9.59377348e-01,7.76349232e-02,1.25131905e-01,2.48712957e-01,1.31531143e+01
