Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,1.53094437e-02,2.23070066e-02,1.07286908e-01,8.28016281e-01
7.99999982e-02,2.24289112e-02,3.19337994e-02,1.49091989e-01,9.14295971e-01
1.19999997e-01,3.11215874e-02,4.40321863e-02,1.77071065e-01,9.87499237e-01
1.59999996e-01,3.84135358e-02,5.41091636e-02,2.14743972e-01,1.10288799e+00
2.00000003e-01,4.42297868e-02,6.25692308e-02,2.50159502e-01,1.14225888e+00
2.39999995e-01,5.03903106e-02,7.12256879e-02,2.94910371e-01,1.23657274e+00
2.80000001e-01,5.88208660e-02,8.35001543e-02,3.37086171e-01,1.31592846e+00
3.19999993e-01,6.55261800e-02,9.33457315e-02,3.89161170e-01,1.36942816e+00
3.60000014e-01,7.67126605e-02,1.09705806e-01,4.46090341e-01,1.42739999e+00
4.00000006e-01,8.84955078e-02,1.27046168e-01,5.23444712e-01,1.50745690e+00
4.39999998e-01,1.00228921e-01,1.44299746e-01,5.84324479e-01,1.51722264e+00
4.79999989e-01,1.17256075e-01,1.68973029e-01,6.62118316e-01,1.66886938e+00
5.19999981e-01,1.29583091e-01,1.86867118e-01,7.19264269e-01,1.65597224e+00
5.60000002e-01,1.51824474e-01,2.18928903e-01,8.01301956e-01,1.84915757e+00
6.00000024e-01,1.64092243e-01,2.36775473e-01,8.58200908e-01,1.81855869e+00
6.41029537e-01,1.90468282e-01,2.74735034e-01,9.47246909e-01,2.04997921e+00
6.83115125e-01,2.01296806e-01,2.90685087e-01,9.84246373e-01,2.00714421e+00
7.26283848e-01,2.21520096e-01,3.19860160e-01,1.03041410e+00,2.12743044e+00
7.70563781e-01,2.35808253e-01,3.40997159e-01,1.06591332e+00,2.20974517e+00
8.15983355e-01,2.61244506e-01,3.78776193e-01,1.13026762e+00,2.38553596e+00
8.62571895e-01,2.83657253e-01,4.12338465e-01,1.17346120e+00,2.42754078e+00
9.10359621e-01,3.26782465e-01,4.75559413e-01,1.25292933e+00,2.56772995e+00
9.59377348e-01,3.61746848e-01,5.27085066e-01,1.31508923e+00,2.59362602e+00
1.00965667e+00,4.10618871e-01,5.98435462e-01,1.39807749e+00,2.90031266e+00
1.06123006e+00,4.53189790e-01,6.60272300e-01,1.43223488e+00,3.03440857e+00
1.11413085e+00,4.82736319e-01,7.02908278e-01,1.40460670e+00,3.46326590e+00
1.16839325e+00,5.14102280e-01,7.48138309e-01,1.37029421e+00,3.25949097e+00
1.22405231e+00,5.68198323e-01,8.25503707e-01,1.35731387e+00,3.69011116e+00
1.28114390e+00,6.46322429e-01,9.36291277e-01,1.36253190e+00,3.76341677e+00
1.33970511e+00,7.42601275e-01,1.07237339e+00,1.38707662e+00,4.03812695e+00
1.39977336e+00,2.01527891e+04,2.82303125e+04,1.99741875e+04,2.09073511e+03
1.46138775e+00,2.50164805e+04,3.50238945e+04,2.35646641e+04,1.95984131e+03
1.52458799e+00,1.52654961e+04,2.13701270e+04,1.43902734e+04,1.28785156e+03
1.58941495e+00,1.40375244e+04,1.96563477e+04,1.34945391e+04,1.37581201e+03
1.65591037e+00,1.33537715e+04,1.87012910e+04,1.29597988e+04,1.41210718e+03
1.72411728e+00,1.30101025e+04,1.82218535e+04,1.27242812e+04,1.46970972e+03
1.79407966e+00,1.31627461e+04,1.84375566e+04,1.29733320e+04,1.58337292e+03
1.86584306e+00,1.38196504e+04,1.93596309e+04,1.37202529e+04,1.75707251e+03
1.93945324e+00,1.49251152e+04,2.09099199e+04,1.49046299e+04,1.98094495e+03
2.01495814e+00,1.63501660e+04,2.29076875e+04,1.64026387e+04,2.23865112e+03
2.09240627e+00,1.79677305e+04,2.51747051e+04,1.80728203e+04,2.48218750e+03
2.17184782e+00,1.91995234e+04,2.68995586e+04,1.92619336e+04,2.58644946e+03
2.25333428e+00,1.91510801e+04,2.68298926e+04,1.91251621e+04,2.50250513e+03
2.33691788e+00,1.79847070e+04,2.51950898e+04,1.79205762e+04,2.31213208e+03
2.42265272e+00,1.63747178e+04,2.29387090e+04,1.62510117e+04,2.03957483e+03
2.51059437e+00,1.42685146e+04,1.99875078e+04,1.41088945e+04,1.74454138e+03
2.60079956e+00,1.31740371e+04,1.84553320e+04,1.30567793e+04,1.64417139e+03
2.69332647e+00,1.37983574e+04,1.93310176e+04,1.37088906e+04,1.76838684e+03
2.78823495e+00,1.54328633e+04,2.16222363e+04,1.53914043e+04,2.03935913e+03
2.88558602e+00,1.63830645e+04,2.29528906e+04,1.63187568e+04,2.15738940e+03
2.98544264e+00,1.68074336e+04,2.35477969e+04,1.67870508e+04,2.28328516e+03
3.08786964e+00,1.88348320e+04,2.63889746e+04,1.88674688e+04,2.61832031e+03
3.19293284e+00,2.02156289e+04,2.83224590e+04,2.02125625e+04,2.79840820e+03
3.30070019e+00,1.82169121e+04,2.55215684e+04,1.82002129e+04,2.53317310e+03
3.41124129e+00,1.52987725e+04,2.14358867e+04,1.54035684e+04,2.24177734e+03
3.52462745e+00,1.53716758e+04,2.15396328e+04,1.55212402e+04,2.24383838e+03
3.64093208e+00,1.51591670e+04,2.12413535e+04,1.52715703e+04,2.16881055e+03
3.76023054e+00,1.59549023e+04,2.23592383e+04,1.62023936e+04,2.38560596e+03
3.88259912e+00,2.03144004e+04,2.84691172e+04,2.06431152e+04,3.00222729e+03
4.00811720e+00,2.44867461e+04,3.43113203e+04,2.46653203e+04,3.39656250e+03
4.13686609e+00,2.49295059e+04,3.49281719e+04,2.49700254e+04,3.35658716e+03
4.26892853e+00,2.34871328e+04,3.29040703e+04,2.33990312e+04,3.08953906e+03
4.40439081e+00,2.00685742e+04,2.81123574e+04,1.98901523e+04,2.58256885e+03
4.54333878e+00,1.59214443e+04,2.23016934e+04,1.57242705e+04,2.01400842e+03
4.68586397e+00,1.30883174e+04,1.83326191e+04,1.29009746e+04,1.64080103e+03
4.83205652e+00,1.22080469e+04,1.71001094e+04,1.20549941e+04,1.55000977e+03
4.98201227e+00,1.27852539e+04,1.79101680e+04,1.26906816e+04,1.67609802e+03
5.13582754e+00,1.36109277e+04,1.90685859e+04,1.35834990e+04,1.84363904e+03
5.29360199e+00,1.37936865e+04,1.93258281e+04,1.38145312e+04,1.91061548e+03
5.45543718e+00,1.33974180e+04,1.87712012e+04,1.34395234e+04,1.87964905e+03
5.62143755e+00,1.26737266e+04,1.77575840e+04,1.27283164e+04,1.79532117e+03
5.79171038e+00,1.17844854e+04,1.65114590e+04,1.18324531e+04,1.67367200e+03
5.96636629e+00,1.08387686e+04,1.51860576e+04,1.08747900e+04,1.53946790e+03
6.14551687e+00,9.81963086e+03,1.37579932e+04,9.85063477e+03,1.39319812e+03
6.32927942e+00,8.94737793e+03,1.25355488e+04,8.96555273e+03,1.25467200e+03
6.51777077e+00,8.40336328e+03,1.17727822e+04,8.40120996e+03,1.15652930e+03
6.71111441e+00,8.33773145e+03,1.16805928e+04,8.32803613e+03,1.13664355e+03
6.90943432e+00,8.78446680e+03,1.23058848e+04,8.75045703e+03,1.17410596e+03
7.11285782e+00,8.81106738e+03,1.23423740e+04,8.74388574e+03,1.15620178e+03
7.32151794e+00,8.44000781e+03,1.18223760e+04,8.36426074e+03,1.10685376e+03
7.53554821e+00,7.95726514e+03,1.11459277e+04,7.87377539e+03,1.04186304e+03
7.75508738e+00,7.32493213e+03,1.02602715e+04,7.25250732e+03,9.74279846e+02
7.98027754e+00,7.24443701e+03,1.01477100e+04,7.18402490e+03,9.74221130e+02
8.21126270e+00,7.65157324e+03,1.07172568e+04,7.56038623e+03,1.00795905e+03
8.44819450e+00,7.79851953e+03,1.09227451e+04,7.69876465e+03,1.03561707e+03
8.69122219e+00,8.47305176e+03,1.18686562e+04,8.41280469e+03,1.16886023e+03
8.94050789e+00,9.97583887e+03,1.39742236e+04,9.91848047e+03,1.36610388e+03
9.19620800e+00,9.23608887e+03,1.29368818e+04,9.13736133e+03,1.21488489e+03
9.45849037e+00,5.35527490e+03,7.50052051e+03,5.28533301e+03,7.09446594e+02
9.72752285e+00,3.02362280e+03,4.23566504e+03,3.02193994e+03,4.48580139e+02
1.00034800e+01,2.82685864e+03,3.96058325e+03,2.84789111e+03,4.42650970e+02
1.02865391e+01,3.38868555e+03,4.74760205e+03,3.40953906e+03,5.27096191e+02
1.05768833e+01,4.05612134e+03,5.68281201e+03,4.08824976e+03,6.35781738e+02
1.08747025e+01,4.47985791e+03,6.27704688e+03,4.54210449e+03,7.22139526e+02
1.11801853e+01,4.80204492e+03,6.72924707e+03,4.90601904e+03,8.00802368e+02
1.14935322e+01,5.27902197e+03,7.39857422e+03,5.44028564e+03,8.98457336e+02
1.18149433e+01,6.31691357e+03,8.85285254e+03,6.51434717e+03,1.04390820e+03
1.21446266e+01,7.76839160e+03,1.08855801e+04,7.98978320e+03,1.22477368e+03
1.24827967e+01,9.31718359e+03,1.30553916e+04,9.64613867e+03,1.40689307e+03
1.28296700e+01,1.13285576e+04,1.58777188e+04,1.18642256e+04,1.61304163e+03
1.31854706e+01,1.31679990e+04,1.84589160e+04,1.36138799e+04,1.72766125e+03
1.35504293e+01,1.33499717e+04,1.87092285e+04,1.35065742e+04,1.66886426e+03
1.39247818e+01,1.28264658e+04,1.79723281e+04,1.28730166e+04,1.59281335e+03
1.43087692e+01,1.09627910e+04,1.53610391e+04,1.10916963e+04,1.34872021e+03
1.47026405e+01,7.59622754e+03,1.06479297e+04,8.00595410e+03,9.17472412e+02
1.51066484e+01,6.41417334e+03,8.99837012e+03,7.09508154e+03,7.16294922e+02
1.55210552e+01,7.36699951e+03,1.03368799e+04,8.09723389e+03,7.47917114e+02
