Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,7.40684336e-04,1.11283083e-03,1.18747875e-02,2.88454151e+00
7.99999982e-02,3.40555236e-03,4.96465387e-03,4.03186455e-02,6.20651913e+00
1.19999997e-01,5.10803610e-03,7.64458021e-03,7.51757473e-02,8.90974140e+00
1.59999996e-01,6.94254227e-03,1.04495790e-02,9.70486253e-02,1.15428181e+01
2.00000003e-01,8.66042078e-03,1.29810506e-02,1.13031402e-01,1.35351086e+01
2.39999995e-01,1.04221599e-02,1.56895295e-02,1.32812753e-01,1.52572632e+01
2.80000001e-01,1.12498831e-02,1.67424474e-02,1.38469949e-01,1.68815002e+01
3.19999993e-01,1.37888808e-02,2.03943904e-02,1.48132935e-01,1.86141663e+01
3.60000014e-01,1.42881209e-02,2.09158994e-02,1.50068566e-01,2.05794506e+01
4.00000006e-01,1.61305591e-02,2.33769491e-02,1.52113885e-01,2.27966919e+01
4.39999998e-01,1.58828255e-02,2.29720082e-02,1.52122036e-01,2.48445244e+01
4.79999989e-01,1.73365492e-02,2.51476914e-02,1.51571751e-01,2.75035725e+01
5.19999981e-01,1.67393982e-02,2.43023131e-02,1.50546640e-01,2.96437702e+01
5.60000002e-01,1.73150171e-02,2.52619926e-02,1.49206400e-01,3.25027275e+01
6.00000024e-01,1.66446660e-02,2.43548695e-02,1.47516444e-01,3.50292473e+01
6.41029537e-01,1.61287524e-02,2.36919168e-02,1.45632386e-01,3.83913078e+01
6.83115125e-01,1.50057273e-02,2.20882669e-02,1.43521875e-01,4.09629822e+01
7.26283848e-01,1.40920850e-02,2.08239462e-02,1.41366437e-01,4.45584869e+01
7.70563781e-01,1.30963400e-02,1.93636548e-02,1.39290303e-01,4.82003632e+01
8.15983355e-01,1.22710150e-02,1.81544814e-02,1.37469739e-01,5.30441551e+01
