Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,2.55185092e-04,4.47243568e-04,1.12629123e-02,1.77144003e+00
7.99999982e-02,5.99954510e-04,1.03091192e-03,2.52566990e-02,1.83396327e+00
1.19999997e-01,1.04868738e-03,1.77482911e-03,4.18304503e-02,1.84318876e+00
1.59999996e-01,1.93637330e-03,3.21355835e-03,5.67647777e-02,1.88531280e+00
2.00000003e-01,3.87116941e-03,6.24626502e-03,6.81908578e-02,1.91336870e+00
2.39999995e-01,7.75441527e-03,1.20077822e-02,7.62939751e-02,1.95079875e+00
2.80000001e-01,1.29680298e-02,1.94061194e-02,8.28898698e-02,1.98832417e+00
3.19999993e-01,1.87087804e-02,2.73978449e-02,8.88270959e-02,2.02801800e+00
3.60000014e-01,2.34994963e-02,3.39699648e-02,9.36277211e-02,2.06953812e+00
4.00000006e-01,2.73981038e-02,3.94655764e-02,9.64805111e-02,2.11245847e+00
4.39999998e-01,3.14779356e-02,4.51213792e-02,9.75811332e-02,2.15670514e+00
4.79999989e-01,3.51901017e-02,5.02138287e-02,9.69731212e-02,2.20220709e+00
5.19999981e-01,3.81536596e-02,5.43686673e-02,9.51905623e-02,2.24885893e+00
5.60000002e-01,3.93510982e-02,5.58791384e-02,9.25487727e-02,2.29675102e+00
6.00000024e-01,4.04682793e-02,5.72596490e-02,8.98124948e-02,2.34628010e+00
6.41029537e-01,3.95774022e-02,5.58906496e-02,8.69379342e-02,2.39763212e+00
6.83115125e-01,3.86626050e-02,5.44576272e-02,8.43663812e-02,2.45151520e+00
7.26283848e-01,3.77072245e-02,5.29472455e-02,8.21421593e-02,2.50863743e+00
7.70563781e-01,3.61881144e-02,5.05887493e-02,8.02221149e-02,2.56749201e+00
8.15983355e-01,3.44737023e-02,4.79714014e-02,7.86919370e-02,2.63104582e+00
8.62571895e-01,3.22352834e-02,4.46700267e-02,7.76005834e-02,2.69821405e+00
9.10359621e-01,2.98343506e-02,4.12138663e-02,7.66753927e-02,2.76966619e+00
9.59377348e-01,2.77877487e-02,3.82958241e-02,7.63566494e-02,2.84483099e+00
1.00965667e+00,2.60734223e-02,3.58605199e-02,7.60438964e-02,2.92745018e+00
1.06123006e+00,2.44343504e-02,3.35740000e-02,7.60092884e-02,3.01754093e+00
1.11413085e+00,2.34128647e-02,3.21474709e-02,7.61617944e-02,3.11486936e+00
1.16839325e+00,2.31923293e-02,3.18195857e-02,7.68244490e-02,3.21981502e+00
1.22405231e+00,2.31142081e-02,3.17276232e-02,7.86694363e-02,3.33043051e+00
1.28114390e+00,2.58116126e-02,3.56041901e-02,8.53611678e-02,3.45971489e+00
1.33970511e+00,3.48950028e-02,4.84646894e-02,9.92339030e-02,3.60884547e+00
1.39977336e+00,2.01491680e+04,2.82254316e+04,1.99813848e+04,2.09203613e+03
1.46138775e+00,2.56062031e+04,3.58492188e+04,2.40761484e+04,1.99951685e+03
1.52458799e+00,1.55311846e+04,2.17416484e+04,1.46421094e+04,1.33223694e+03
1.58941495e+00,1.46887012e+04,2.05689492e+04,1.41705557e+04,1.49381030e+03
1.65591037e+00,1.46202061e+04,2.04760781e+04,1.42583164e+04,1.60855762e+03
1.72411728e+00,1.47251230e+04,2.06247734e+04,1.44510928e+04,1.69523157e+03
1.79407966e+00,1.47848916e+04,2.07095039e+04,1.45613027e+04,1.74841650e+03
1.86584306e+00,1.46550459e+04,2.05281680e+04,1.44607285e+04,1.76093579e+03
1.93945324e+00,1.43129385e+04,2.00493438e+04,1.41397656e+04,1.74230811e+03
2.01495814e+00,1.39407617e+04,1.95285430e+04,1.37960635e+04,1.72955420e+03
2.09240627e+00,1.38911094e+04,1.94599766e+04,1.37925508e+04,1.77469727e+03
2.17184782e+00,1.44482109e+04,2.02416758e+04,1.44069707e+04,1.90753528e+03
2.25333428e+00,1.55363701e+04,2.17672109e+04,1.55483076e+04,2.10841113e+03
2.33691788e+00,1.68545117e+04,2.36147402e+04,1.69185664e+04,2.33792334e+03
2.42265272e+00,1.81055723e+04,2.53677852e+04,1.82000820e+04,2.52674536e+03
2.51059437e+00,1.86243555e+04,2.60938711e+04,1.86922734e+04,2.56509277e+03
2.60079956e+00,1.80976230e+04,2.53551953e+04,1.81329570e+04,2.46741553e+03
2.69332647e+00,1.71974824e+04,2.40939219e+04,1.72160117e+04,2.32548730e+03
