Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,2.80263375e-05,7.73950742e-05,7.29806572e-02,1.19548578e+01
7.99999982e-02,6.58965801e-05,1.55657181e-04,8.44545960e-02,1.27524576e+01
1.19999997e-01,1.29428983e-04,2.76835635e-04,9.20071676e-02,1.29882727e+01
1.59999996e-01,2.32825783e-04,4.63346340e-04,1.03767052e-01,1.38451195e+01
2.00000003e-01,3.76864336e-04,7.06669118e-04,1.16409779e-01,1.42527456e+01
2.39999995e-01,5.38459048e-04,9.67742701e-04,1.30854025e-01,1.51536770e+01
2.80000001e-01,7.08792475e-04,1.24729425e-03,1.45140484e-01,1.57773266e+01
3.19999993e-01,9.14384960e-04,1.58433756e-03,1.60813570e-01,1.68276577e+01
3.60000014e-01,1.18878251e-03,2.03697989e-03,1.77809402e-01,1.70074463e+01
4.00000006e-01,1.55513920e-03,2.63937470e-03,1.96687400e-01,1.80791397e+01
4.39999998e-01,2.05225591e-03,3.44961137e-03,2.16099367e-01,1.89063454e+01
4.79999989e-01,2.69565755e-03,4.48146509e-03,2.38378555e-01,2.09005585e+01
5.19999981e-01,3.49637796e-03,5.75738447e-03,2.61729330e-01,2.10333138e+01
5.60000002e-01,4.55587404e-03,7.41614029e-03,2.92622507e-01,2.26212120e+01
6.00000024e-01,5.84955420e-03,9.37788375e-03,3.26767653e-01,2.36815567e+01
6.41029537e-01,7.37875374e-03,1.16614252e-02,3.67562622e-01,2.56421833e+01
6.83115125e-01,8.96362495e-03,1.40322298e-02,4.12859321e-01,2.62787838e+01
7.26283848e-01,1.09478701e-02,1.70526318e-02,4.56936508e-01,2.75949078e+01
7.70563781e-01,1.34563111e-02,2.09118389e-02,5.07596433e-01,3.01918640e+01
8.15983355e-01,1.68604907e-02,2.61561628e-02,5.61879635e-01,3.04538479e+01
8.62571895e-01,2.14319583e-02,3.31469029e-02,6.22584403e-01,3.21203957e+01
9.10359621e-01,2.70285159e-02,4.16310318e-02,7.00480342e-01,3.37787170e+01
9.59377348e-01,3.35695893e-02,5.12676463e-02,7.79524922e-01,3.52784233e+01
1.00965667e+00,4.12480831e-02,6.28171340e-02,8.82405519e-01,3.76067123e+01
1.06123006e+00,4.97528464e-02,7.54068494e-02,9.99997973e-01,3.93454857e+01
1.11413085e+00,6.04594052e-02,9.14760679e-02,1.12605083e+00,4.04706268e+01
1.16839325e+00,7.26374388e-02,1.09730713e-01,1.27817464e+00,4.49922523e+01
1.22405231e+00,8.73255283e-02,1.31657794e-01,1.44741976e+00,4.75674324e+01
1.28114390e+00,1.04282282e-01,1.57313138e-01,1.65404665e+00,4.48049469e+01
1.33970511e+00,1.26117378e-01,1.90361619e-01,1.89453375e+00,4.78918076e+01
1.39977336e+00,1.94025234e+04,2.71620156e+04,1.80836016e+04,1.11694727e+03
1.46138775e+00,2.20618164e+04,3.08564629e+04,1.90453496e+04,1.24104175e+03
1.52458799e+00,1.79218164e+04,2.50677285e+04,1.56806064e+04,1.17268823e+03
1.58941495e+00,1.68038535e+04,2.35130273e+04,1.51247480e+04,1.32739563e+03
1.65591037e+00,1.64933828e+04,2.30832617e+04,1.50698174e+04,1.41753345e+03
1.72411728e+00,1.63993418e+04,2.29544102e+04,1.51167295e+04,1.49413293e+03
