Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,8.18839483e-03,1.15438616e-02,2.01365650e-02,3.90532265e+01
7.99999982e-02,1.04152272e-02,1.46496110e-02,2.74638906e-02,4.11735306e+01
1.19999997e-01,1.28529258e-02,1.80699397e-02,3.25476192e-02,4.17533913e+01
1.59999996e-01,1.45968860e-02,2.05031801e-02,3.80784087e-02,4.34551392e+01
2.00000003e-01,1.63631253e-02,2.29716953e-02,4.66789268e-02,4.44865036e+01
2.39999995e-01,1.79802608e-02,2.52289139e-02,5.74664101e-02,4.61301727e+01
2.80000001e-01,1.93506572e-02,2.71571111e-02,7.00088665e-02,4.74338303e+01
3.19999993e-01,2.03006659e-02,2.85398047e-02,8.34610984e-02,4.90756226e+01
3.60000014e-01,2.12777052e-02,2.99949273e-02,9.76641849e-02,5.06870766e+01
4.00000006e-01,2.24858616e-02,3.18017416e-02,1.14082746e-01,5.19343834e+01
4.39999998e-01,2.41726562e-02,3.43027040e-02,1.35784835e-01,5.31723328e+01
4.79999989e-01,2.62722895e-02,3.74362208e-02,1.61180794e-01,5.45442352e+01
5.19999981e-01,2.91071795e-02,4.15941104e-02,1.87942699e-01,5.61877785e+01
5.60000002e-01,3.21013816e-02,4.59847748e-02,2.16015771e-01,5.93415451e+01
6.00000024e-01,3.55416983e-02,5.10125048e-02,2.49651551e-01,6.12295799e+01
6.41029537e-01,3.94543856e-02,5.67835309e-02,2.93921679e-01,6.15669098e+01
6.83115125e-01,4.42830808e-02,6.39266893e-02,3.48165780e-01,6.90065918e+01
7.26283848e-01,5.03623709e-02,7.29033500e-02,4.10892159e-01,6.47031937e+01
7.70563781e-01,5.76754101e-02,8.37239996e-02,4.81604606e-01,7.15391388e+01
8.15983355e-01,6.66025132e-02,9.68997478e-02,5.60597360e-01,7.17971191e+01
8.62571895e-01,7.70340785e-02,1.12280577e-01,6.50544465e-01,7.78026199e+01
9.10359621e-01,8.89585465e-02,1.29820004e-01,7.53999114e-01,7.56662903e+01
9.59377348e-01,1.02277353e-01,1.49401784e-01,8.66727889e-01,8.35188904e+01
1.00965667e+00,1.17034391e-01,1.71115994e-01,9.93188381e-01,8.13401184e+01
1.06123006e+00,1.33944139e-01,1.96069002e-01,1.13159060e+00,9.14670486e+01
1.11413085e+00,1.54735997e-01,2.26809308e-01,1.28821683e+00,8.87770538e+01
1.16839325e+00,1.81915447e-01,2.66982079e-01,1.46724737e+00,9.18266144e+01
1.22405231e+00,2.17091456e-01,3.18799555e-01,1.67174232e+00,9.25327072e+01
1.28114390e+00,2.61049986e-01,3.83611232e-01,1.90453124e+00,1.04509338e+02
1.33970511e+00,3.13239455e-01,4.60392594e-01,2.15946889e+00,1.04421875e+02
1.39977336e+00,1.90832148e+04,2.67297617e+04,1.87780176e+04,2.02487866e+03
1.46138775e+00,2.03893672e+04,2.85492539e+04,1.94949258e+04,1.90985132e+03
1.52458799e+00,1.80800391e+04,2.53184980e+04,1.74636152e+04,1.87177161e+03
1.58941495e+00,1.71608770e+04,2.40347227e+04,1.67368223e+04,1.94945276e+03
1.65591037e+00,1.68994941e+04,2.36703027e+04,1.65683770e+04,2.00135706e+03
1.72411728e+00,1.67697637e+04,2.34895879e+04,1.64907480e+04,2.04699121e+03
1.79407966e+00,1.66454668e+04,2.33160469e+04,1.63972227e+04,2.07656348e+03
1.86584306e+00,1.65569805e+04,2.31924316e+04,1.63278184e+04,2.09045386e+03
1.93945324e+00,1.64209531e+04,2.30019629e+04,1.61990312e+04,2.08549121e+03
2.01495814e+00,1.61856572e+04,2.26722441e+04,1.59628066e+04,2.06490918e+03
2.09240627e+00,1.58581172e+04,2.22132363e+04,1.56297354e+04,2.02292651e+03
2.17184782e+00,1.54023916e+04,2.15746074e+04,1.51686660e+04,1.96777332e+03
2.25333428e+00,1.48344570e+04,2.07788516e+04,1.45984258e+04,1.89731665e+03
2.33691788e+00,1.42068691e+04,1.98995645e+04,1.39717773e+04,1.82137549e+03
2.42265272e+00,1.35589404e+04,1.89917988e+04,1.33268301e+04,1.74212842e+03
2.51059437e+00,1.28636338e+04,1.80177031e+04,1.26374170e+04,1.67179517e+03
2.60079956e+00,1.20566953e+04,1.68873555e+04,1.18433076e+04,1.56921985e+03
2.69332647e+00,1.11601201e+04,1.56315820e+04,1.09666699e+04,1.47682959e+03
2.78823495e+00,1.02802598e+04,1.43993027e+04,1.01094561e+04,1.37135925e+03
2.88558602e+00,9.48926953e+03,1.32915713e+04,9.34104883e+03,1.28576782e+03
2.98544264e+00,8.81488379e+03,1.23471533e+04,8.68663672e+03,1.20715869e+03
3.08786964e+00,8.25139258e+03,1.15579863e+04,8.13815967e+03,1.14289307e+03
3.19293284e+00,7.73637549e+03,1.08367041e+04,7.63667822e+03,1.07884570e+03
3.30070019e+00,7.21930371e+03,1.01125430e+04,7.13316602e+03,1.02078601e+03
3.41124129e+00,6.63499365e+03,9.29424707e+03,6.56493066e+03,9.51193787e+02
3.52462745e+00,6.02197314e+03,8.43582812e+03,5.97147510e+03,8.85592651e+02
3.64093208e+00,5.45488232e+03,7.64177051e+03,5.42337207e+03,8.19814331e+02
3.76023054e+00,5.02269287e+03,7.03663037e+03,5.00572021e+03,7.72215759e+02
3.88259912e+00,4.74677002e+03,6.65027637e+03,4.73857520e+03,7.38332458e+02
4.00811720e+00,4.56165234e+03,6.39109619e+03,4.55944531e+03,7.13424194e+02
4.13686609e+00,4.38687891e+03,6.14624951e+03,4.38703320e+03,6.87448975e+02
4.26892853e+00,4.13917920e+03,5.79923145e+03,4.14296387e+03,6.54878418e+02
4.40439081e+00,3.77563086e+03,5.29011621e+03,3.79133887e+03,6.11159363e+02
4.54333878e+00,3.38081104e+03,4.73732129e+03,3.41461548e+03,5.68823853e+02
4.68586397e+00,3.04855713e+03,4.27233740e+03,3.10522583e+03,5.34195129e+02
4.83205652e+00,2.83369556e+03,3.97186279e+03,2.91240552e+03,5.09001465e+02
4.98201227e+00,2.74001196e+03,3.84098901e+03,2.83091382e+03,4.91817383e+02
5.13582754e+00,2.67705518e+03,3.75301880e+03,2.77340991e+03,4.80853027e+02
5.29360199e+00,2.56161646e+03,3.59145166e+03,2.65935425e+03,4.54675079e+02
5.45543718e+00,2.38567798e+03,3.34515601e+03,2.48503711e+03,4.36914856e+02
5.62143755e+00,2.19437427e+03,3.07736182e+03,2.29590625e+03,4.03041046e+02
5.79171038e+00,2.01668420e+03,2.82857642e+03,2.12129150e+03,3.82389557e+02
5.96636629e+00,1.86482385e+03,2.61590283e+03,1.97675598e+03,3.54508423e+02
6.14551687e+00,1.79538440e+03,2.51874976e+03,1.91747559e+03,3.44238281e+02
6.32927942e+00,1.80076074e+03,2.52644775e+03,1.93242419e+03,3.25773254e+02
6.51777077e+00,1.79792322e+03,2.52274561e+03,1.93982935e+03,3.14936066e+02
6.71111441e+00,1.70690491e+03,2.39572192e+03,1.86362866e+03,2.92842407e+02
6.90943432e+00,1.61833313e+03,2.27215967e+03,1.78907239e+03,2.75301697e+02
7.11285782e+00,1.65571631e+03,2.32477368e+03,1.83168396e+03,2.62459198e+02
7.32151794e+00,1.75946033e+03,2.47012793e+03,1.93418237e+03,2.52321579e+02
7.53554821e+00,1.73855627e+03,2.44084912e+03,1.91737317e+03,2.32331772e+02
7.75508738e+00,1.62959692e+03,2.28819238e+03,1.81688892e+03,2.08111969e+02
7.98027754e+00,1.60423657e+03,2.25202222e+03,1.77789478e+03,1.87915909e+02
8.21126270e+00,1.68566882e+03,2.36496875e+03,1.83396423e+03,1.78116196e+02
8.44819450e+00,1.73026489e+03,2.42664990e+03,1.87588159e+03,1.68614899e+02
8.69122219e+00,1.58612097e+03,2.22473169e+03,1.77860938e+03,1.51169434e+02
8.94050789e+00,1.38706372e+03,1.94647009e+03,1.68192480e+03,1.35581482e+02
9.19620800e+00,1.30647546e+03,1.83512842e+03,1.74386646e+03,1.26624275e+02
9.45849037e+00,1.37661523e+03,1.93557507e+03,1.97622632e+03,1.23431374e+02
9.72752285e+00,1.58052795e+03,2.22341260e+03,2.36919531e+03,1.25192024e+02
1.00034800e+01,1.84873486e+03,2.60097754e+03,2.83536572e+03,1.26208542e+02
1.02865391e+01,2.01018616e+03,2.83018896e+03,3.16510181e+03,1.15336449e+02
1.05768833e+01,2.09657031e+03,2.95645703e+03,3.32636865e+03,1.01039131e+02
1.08747025e+01,2.21664941e+03,3.13428882e+03,3.41438916e+03,8.99725647e+01
1.11801853e+01,2.41029541e+03,3.42094482e+03,3.38226343e+03,8.11567535e+01
1.14935322e+01,2.69397314e+03,3.82401489e+03,3.14867798e+03,7.07425766e+01
1.18149433e+01,2.99637695e+03,4.23972754e+03,2.72983301e+03,6.25624275e+01
1.21446266e+01,3.23904272e+03,4.55949316e+03,2.16449536e+03,5.66728706e+01
1.24827967e+01,3.28086084e+03,4.58836035e+03,1.56586865e+03,5.21309357e+01
1.28296700e+01,3.07118945e+03,4.26777344e+03,1.10592017e+03,4.76111488e+01
1.31854706e+01,2.69916040e+03,3.72914844e+03,8.03397461e+02,4.22122879e+01
1.35504293e+01,2.20214844e+03,3.02228809e+03,6.08464111e+02,3.58645935e+01
1.39247818e+01,1.56555542e+03,2.13352563e+03,4.80413330e+02,2.89433537e+01
1.43087692e+01,9.64305786e+02,1.31059717e+03,3.84344543e+02,2.22654285e+01
1.47026405e+01,6.03676514e+02,8.24857849e+02,2.96882874e+02,1.64777794e+01
1.51066484e+01,4.08510468e+02,5.60427063e+02,2.19813736e+02,1.15377302e+01
1.55210552e+01,2.69535889e+02,3.70746155e+02,1.52747635e+02,7.09403515e+00
1.59461288e+01,1.65995422e+02,2.28306183e+02,9.07775116e+01,3.22464848e+00
1.63821430e+01,7.83602448e+01,1.07097839e+02,3.38466682e+01,6.62107170e-01
1.68293781e+01,2.46004620e+01,3.30147247e+01,4.28653431e+00,1.58141945e-02
1.72881241e+01,9.85653305e+00,1.30310574e+01,4.75963384e-01,3.19689207e-05
1.77586803e+01,4.91390228e+00,6.47149754e+00,2.30323106e-01,6.68458551e-06
1.82413464e+01,2.39689136e+00,3.15784025e+00,1.39722228e-01,3.10811356e-06
1.87364349e+01,1.15177798e+00,1.51698720e+00,7.27720782e-02,2.02655201e-06
1.92442665e+01,4.72849667e-01,6.21364415e-01,3.18691358e-02,1.26208261e-06
1.97651691e+01,1.75311089e-01,2.29555830e-01,1.12594692e-02,1.04649530e-06
2.02994785e+01,4.52054776e-02,5.78423925e-02,8.39621178e-04,5.45165108e-07
2.08475418e+01,8.91058054e-03,1.09232850e-02,9.85450333e-06,2.53065650e-07
2.14097099e+01,2.23869109e-03,2.71603139e-03,3.55462953e-06,1.08902000e-07
2.19863453e+01,4.95052082e-04,5.97348553e-04,4.66912616e-06,4.64741454e-08
2.25778236e+01,1.02807746e-04,1.23630802e-04,1.10154826e-06,2.15673310e-08
2.31845264e+01,1.90493865e-05,2.28062709e-05,5.83228427e-07,9.80808323e-09
2.38068466e+01,3.18000980e-06,3.80039614e-06,1.91194999e-07,3.16693938e-09
2.44451809e+01,5.21330549e-07,6.36938012e-07,5.59420101e-08,9.49331058e-10
2.50999470e+01,7.84032963e-08,9.87908777e-08,1.45901771e-08,2.07813641e-10
