Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,1.14573437e-14,1.46351047e-14,2.32330214e-13,1.22014740e-02
7.99999982e-02,2.15292926e-13,2.80273932e-13,5.54797267e-12,1.13694519e-01
1.19999997e-01,2.54444274e-12,3.44017566e-12,7.09630549e-11,3.20755661e-01
1.59999996e-01,3.70193112e-11,5.16446330e-11,7.59525276e-10,6.56664073e-01
2.00000003e-01,5.47956958e-10,7.68649588e-10,6.67369093e-09,1.15881371e+00
2.39999995e-01,2.02633710e-09,2.92054225e-09,2.85637931e-08,1.66958487e+00
2.80000001e-01,1.31476989e-08,1.86268991e-08,7.28303888e-08,2.52587223e+00
3.19999993e-01,4.00334983e-08,5.81715796e-08,2.03869462e-07,3.30980039e+00
3.60000014e-01,1.61914983e-07,2.31167306e-07,3.67473888e-07,4.60090351e+00
4.00000006e-01,3.86254356e-07,5.65213725e-07,6.80401513e-07,6.07255459e+00
4.39999998e-01,9.54933057e-07,1.39297356e-06,1.01241233e-06,7.39037752e+00
4.79999989e-01,2.08152483e-06,3.11145095e-06,1.38712244e-06,9.96842670e+00
5.19999981e-01,3.87398632e-06,5.80938286e-06,1.81419159e-06,1.12299213e+01
5.60000002e-01,8.05551008e-06,1.18671178e-05,1.98871999e-06,1.44196377e+01
6.00000024e-01,1.20594232e-05,1.72427735e-05,2.13641920e-06,1.59162388e+01
6.41029537e-01,2.19086742e-05,3.09381285e-05,1.93484834e-06,1.98917198e+01
6.83115125e-01,2.81786561e-05,3.89415582e-05,2.03147761e-06,2.12388592e+01
7.26283848e-01,4.54310721e-05,6.29155111e-05,2.53685448e-06,2.44398365e+01
7.70563781e-01,6.31343719e-05,8.65014081e-05,5.40324072e-06,2.72153149e+01
8.15983355e-01,1.04442959e-04,1.43708705e-04,9.73789611e-06,3.14408112e+01
8.62571895e-01,1.51672284e-04,2.08240934e-04,1.42296294e-05,3.37013359e+01
9.10359621e-01,2.49561854e-04,3.43886262e-04,3.20693762e-05,3.86093788e+01
9.59377348e-01,3.88534187e-04,5.42921654e-04,6.49302456e-05,4.18124809e+01
1.00965667e+00,6.29631919e-04,8.82080931e-04,9.65488653e-05,4.64211082e+01
1.06123006e+00,1.08903192e-03,1.53976399e-03,2.21427908e-04,5.21573639e+01
1.11413085e+00,1.82815955e-03,2.59174313e-03,4.09235130e-04,5.86946754e+01
1.16839325e+00,2.77504185e-03,3.92385572e-03,6.75596471e-04,6.76008301e+01
1.22405231e+00,3.89639707e-03,5.49490843e-03,1.11234817e-03,7.78845139e+01
1.28114390e+00,5.92825748e-03,8.39089137e-03,2.51553440e-03,9.37931900e+01
1.33970511e+00,9.52547044e-03,1.35051114e-02,5.50440373e-03,1.16039192e+02
1.39977336e+00,2.06969121e+04,2.89781992e+04,1.95307734e+04,1.45638403e+03
1.46138775e+00,2.64139922e+04,3.69407266e+04,2.24468945e+04,1.59857458e+03
1.52458799e+00,1.64277285e+04,2.29692656e+04,1.41059268e+04,1.31483618e+03
1.58941495e+00,1.54681602e+04,2.16415430e+04,1.38959912e+04,1.56987231e+03
1.65591037e+00,1.52727266e+04,2.13744727e+04,1.40107188e+04,1.71432178e+03
