Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,1.35774799e-17,2.01864214e-17,4.03716152e-16,5.44072172e-05
7.99999982e-02,9.83403029e-13,1.45225455e-12,2.81364099e-11,9.25594755e-03
1.19999997e-01,4.68087895e-11,6.87341434e-11,1.42837275e-09,6.05382286e-02
1.59999996e-01,4.94737862e-10,7.21279758e-10,2.08517115e-08,1.61855131e-01
2.00000003e-01,3.13513215e-09,4.58065497e-09,3.65708303e-07,3.06297362e-01
2.39999995e-01,1.45189798e-08,2.14541540e-08,3.60558397e-06,4.83834475e-01
2.80000001e-01,5.80069326e-08,8.62913936e-08,1.46639395e-05,7.11717010e-01
3.19999993e-01,2.29267442e-07,3.43158860e-07,5.20376852e-05,9.73306239e-01
3.60000014e-01,6.68026246e-07,1.01125602e-06,1.33027788e-04,1.34820151e+00
4.00000006e-01,1.83061366e-06,2.78790822e-06,3.01820983e-04,1.68551588e+00
4.39999998e-01,4.21223149e-06,6.41437964e-06,6.28523587e-04,1.96116793e+00
4.79999989e-01,8.25336974e-06,1.25629977e-05,1.12877460e-03,2.25368524e+00
5.19999981e-01,1.62166471e-05,2.46216605e-05,1.96949393e-03,2.46639132e+00
5.60000002e-01,2.69406810e-05,4.08555788e-05,3.04310746e-03,2.64420652e+00
6.00000024e-01,4.98060035e-05,7.54001958e-05,5.08018723e-03,2.88566399e+00
6.41029537e-01,8.09131379e-05,1.22293073e-04,7.28601264e-03,2.97335029e+00
6.83115125e-01,1.15069728e-04,1.73625944e-04,9.39825084e-03,3.05356765e+00
7.26283848e-01,1.70512503e-04,2.56419153e-04,1.22018559e-02,3.10895658e+00
7.70563781e-01,2.24557312e-04,3.37053381e-04,1.44404722e-02,3.10528374e+00
8.15983355e-01,3.16456979e-04,4.72901884e-04,1.69929564e-02,3.08492327e+00
8.62571895e-01,3.86985048e-04,5.76309511e-04,1.87534392e-02,3.03897524e+00
9.10359621e-01,5.04160067e-04,7.46747828e-04,2.00087838e-02,2.96789551e+00
9.59377348e-01,5.83131390e-04,8.59549677e-04,2.03953590e-02,2.90426803e+00
1.00965667e+00,7.02455931e-04,1.03069167e-03,2.04117075e-02,2.83207536e+00
1.06123006e+00,8.85349698e-04,1.29198551e-03,2.01117024e-02,2.76939893e+00
1.11413085e+00,1.12419121e-03,1.63042091e-03,1.90966371e-02,2.71319294e+00
1.16839325e+00,1.40101940e-03,2.01798580e-03,1.73771903e-02,2.66812420e+00
1.22405231e+00,1.67297944e-03,2.39233533e-03,1.50145302e-02,2.62953949e+00
1.28114390e+00,2.05009221e-03,2.91183079e-03,1.25128543e-02,2.59915352e+00
1.33970511e+00,2.38026236e-03,3.35018476e-03,1.01571772e-02,2.57613420e+00
1.39977336e+00,2.02186641e+04,2.83232793e+04,2.00876328e+04,2.13369458e+03
1.46138775e+00,2.61318516e+04,3.65857500e+04,2.45996914e+04,2.06323682e+03
1.52458799e+00,1.59395508e+04,2.23136230e+04,1.50509219e+04,1.38367456e+03
1.58941495e+00,1.50867617e+04,2.11267246e+04,1.45833301e+04,1.55999036e+03
1.65591037e+00,1.49412383e+04,2.09260840e+04,1.46008770e+04,1.67137866e+03
1.72411728e+00,1.49786367e+04,2.09803711e+04,1.47349482e+04,1.75798535e+03
1.79407966e+00,1.50605039e+04,2.10963008e+04,1.48798330e+04,1.82565283e+03
1.86584306e+00,1.51369580e+04,2.12042734e+04,1.50008379e+04,1.87841553e+03
1.93945324e+00,1.52180859e+04,2.13185977e+04,1.51165400e+04,1.92394385e+03
2.01495814e+00,1.53292139e+04,2.14748223e+04,1.52555586e+04,1.96784399e+03
2.09240627e+00,1.54482080e+04,2.16419492e+04,1.53966582e+04,2.00757666e+03
2.17184782e+00,1.55746875e+04,2.18194844e+04,1.55410059e+04,2.04435010e+03
2.25333428e+00,1.57064531e+04,2.20043359e+04,1.56864180e+04,2.07755444e+03
