Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,7.53865015e-14,8.55517507e-14,3.93837363e-01,7.61807938e+01
7.99999982e-02,4.87851808e-11,5.66234178e-11,5.71620882e-01,7.78061981e+01
1.19999997e-01,9.68608305e-10,1.16052068e-09,6.16646409e-01,7.58694611e+01
1.59999996e-01,5.67565106e-09,7.00435265e-09,7.20063806e-01,7.75841827e+01
2.00000003e-01,2.97684117e-08,3.71273501e-08,7.39340901e-01,7.61150970e+01
2.39999995e-01,1.40255707e-07,1.75807514e-07,8.35427046e-01,7.71143188e+01
2.80000001e-01,4.53083572e-07,5.78942718e-07,8.49118233e-01,7.51829453e+01
3.19999993e-01,1.18316530e-06,1.56719261e-06,9.24912691e-01,7.62810135e+01
3.60000014e-01,3.09983420e-06,4.04856883e-06,9.38784957e-01,7.53337708e+01
4.00000006e-01,5.42842781e-06,6.96260622e-06,9.88046825e-01,7.70855789e+01
4.39999998e-01,1.10241581e-05,1.37556090e-05,1.01483226e+00,7.62698975e+01
4.79999989e-01,1.93551041e-05,2.33764222e-05,1.05663359e+00,7.65831985e+01
5.19999981e-01,3.35883851e-05,4.03601589e-05,1.10170531e+00,7.49379654e+01
5.60000002e-01,5.39100183e-05,6.60413207e-05,1.12879586e+00,7.64346161e+01
6.00000024e-01,9.18867809e-05,1.15665091e-04,1.18258357e+00,7.71790543e+01
6.41029537e-01,1.40787481e-04,1.83989701e-04,1.23128855e+00,8.02975540e+01
6.83115125e-01,2.05300661e-04,2.87307921e-04,1.29663420e+00,8.23457184e+01
7.26283848e-01,2.92535144e-04,4.47862782e-04,1.43186891e+00,8.04749222e+01
7.70563781e-01,4.11845860e-04,7.19575328e-04,1.56817639e+00,7.68268433e+01
8.15983355e-01,6.46930188e-04,1.22507010e-03,1.66355515e+00,8.52209320e+01
8.62571895e-01,1.06068153e-03,2.06315913e-03,1.80759501e+00,7.57145767e+01
9.10359621e-01,1.70505571e-03,3.31729883e-03,2.04747295e+00,8.73036880e+01
9.59377348e-01,2.48862524e-03,4.83445032e-03,2.03048420e+00,7.60651627e+01
1.00965667e+00,3.41925886e-03,6.56013237e-03,2.39791107e+00,9.41991043e+01
1.06123006e+00,4.34839306e-03,8.17472208e-03,2.42019558e+00,8.28578796e+01
1.11413085e+00,5.51372766e-03,1.02070384e-02,2.59557605e+00,1.02527916e+02
1.16839325e+00,6.90144394e-03,1.26655810e-02,2.58427095e+00,9.41170654e+01
1.22405231e+00,8.54543317e-03,1.56493764e-02,2.52667856e+00,9.33785172e+01
1.28114390e+00,1.08180158e-02,1.97320636e-02,2.81051397e+00,8.86512604e+01
1.33970511e+00,1.49156610e-02,2.72306055e-02,2.64293551e+00,1.26232040e+02
1.39977336e+00,2.07080703e+04,2.89935156e+04,1.95310156e+04,1.39267615e+03
1.46138775e+00,2.62501641e+04,3.67106875e+04,2.22537930e+04,1.50619275e+03
1.52458799e+00,1.57575684e+04,2.20306328e+04,1.34914209e+04,1.09314990e+03
1.58941495e+00,1.43783955e+04,2.01177031e+04,1.30083477e+04,1.39148682e+03
1.65591037e+00,1.48889639e+04,2.08436973e+04,1.40333594e+04,1.70376038e+03
1.72411728e+00,1.68884824e+04,2.36536914e+04,1.64399375e+04,2.16463525e+03
1.79407966e+00,1.96484434e+04,2.75251484e+04,1.93906270e+04,2.47924121e+03
1.86584306e+00,2.17271797e+04,3.04353887e+04,2.13064766e+04,2.51453003e+03
1.93945324e+00,2.21391699e+04,3.10055547e+04,2.13097578e+04,2.26032861e+03
2.01495814e+00,2.09190859e+04,2.92879102e+04,1.96363027e+04,1.88494580e+03
2.09240627e+00,1.85390566e+04,2.59474219e+04,1.69569355e+04,1.51794653e+03
2.17184782e+00,1.58347578e+04,2.21571719e+04,1.42106953e+04,1.25925647e+03
2.25333428e+00,1.35960586e+04,1.90230137e+04,1.21217148e+04,1.12744080e+03
2.33691788e+00,1.20712129e+04,1.68911387e+04,1.08351074e+04,1.08267578e+03
2.42265272e+00,1.12773916e+04,1.57835645e+04,1.02549453e+04,1.12225903e+03
2.51059437e+00,1.09970146e+04,1.53939473e+04,1.01154355e+04,1.19266333e+03
2.60079956e+00,1.09859639e+04,1.53820527e+04,1.02853594e+04,1.32948474e+03
