Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,2.48621262e-12,3.44695496e-12,5.02867817e-11,1.52023822e-01
7.99999982e-02,1.60087065e-11,2.28600507e-11,1.52967750e-09,2.00155199e-01
1.19999997e-01,7.23241120e-11,1.04166335e-10,4.40312107e-08,2.44292840e-01
1.59999996e-01,2.46607762e-10,3.57144536e-10,1.36357369e-06,2.72078186e-01
2.00000003e-01,1.02316033e-09,1.48023727e-09,7.32126455e-06,3.05672795e-01
2.39999995e-01,3.90482979e-09,5.78523141e-09,3.16515725e-05,3.28980237e-01
2.80000001e-01,7.55975282e-09,1.15425465e-08,1.01077385e-04,3.49958956e-01
3.19999993e-01,2.72842762e-08,4.19553601e-08,2.64114409e-04,3.66170764e-01
3.60000014e-01,7.60585408e-08,1.22186663e-07,5.90064388e-04,4.23483670e-01
4.00000006e-01,1.82687387e-07,3.13623786e-07,1.14353548e-03,4.50490475e-01
4.39999998e-01,4.87191130e-07,9.19840204e-07,1.74522237e-03,5.20638883e-01
4.79999989e-01,1.20794300e-06,2.44885314e-06,2.62834015e-03,5.19145429e-01
5.19999981e-01,2.47882281e-06,5.01965860e-06,3.85510526e-03,5.72885156e-01
5.60000002e-01,4.04245293e-06,8.10159781e-06,5.20659331e-03,6.35268331e-01
6.00000024e-01,1.03978282e-05,2.08865222e-05,6.83546253e-03,5.65857649e-01
6.41029537e-01,2.07933153e-05,4.15233553e-05,8.29209853e-03,7.54011035e-01
6.83115125e-01,4.32943853e-05,8.63770983e-05,9.57524031e-03,6.00387633e-01
7.26283848e-01,1.09400564e-04,2.14196873e-04,1.09641999e-02,1.27155662e+00
7.70563781e-01,2.36499254e-04,4.56652720e-04,1.23874536e-02,6.98847413e-01
8.15983355e-01,4.61531337e-04,8.83950386e-04,1.41528221e-02,1.48662019e+00
8.62571895e-01,9.28796129e-04,1.71019963e-03,1.68275312e-02,8.19924414e-01
9.10359621e-01,2.08821101e-03,3.89070064e-03,2.12655198e-02,1.69651675e+00
9.59377348e-01,4.99403477e-03,9.28706024e-03,2.77274009e-02,1.17838097e+00
1.00965667e+00,1.75251924e-02,3.16901021e-02,3.81583013e-02,1.73388207e+00
1.06123006e+00,5.41628301e-02,8.84067267e-02,5.29807545e-02,1.56240153e+00
1.11413085e+00,9.21036750e-02,1.33647591e-01,7.26522803e-02,1.89418840e+00
1.16839325e+00,8.99010748e-02,1.18197992e-01,9.67429653e-02,1.98959196e+00
1.22405231e+00,6.12690747e-02,7.56085292e-02,1.22009195e-01,2.06398344e+00
1.28114390e+00,3.81454676e-02,4.68753055e-02,1.43186629e-01,2.27372527e+00
1.33970511e+00,2.73319427e-02,3.42787206e-02,1.51280895e-01,2.22444320e+00
1.39977336e+00,2.02089727e+04,2.83093633e+04,2.00561719e+04,2.10161084e+03
1.46138775e+00,2.60550156e+04,3.64775312e+04,2.45146016e+04,2.04874902e+03
1.52458799e+00,1.60623496e+04,2.24859297e+04,1.51721523e+04,1.39217456e+03
1.58941495e+00,1.53711309e+04,2.15250176e+04,1.48574199e+04,1.58175098e+03
1.65591037e+00,1.51949785e+04,2.12810078e+04,1.48214844e+04,1.66289001e+03
1.72411728e+00,1.48801660e+04,2.08412070e+04,1.45705752e+04,1.67338428e+03
1.79407966e+00,1.43013262e+04,2.00309688e+04,1.40284707e+04,1.63716333e+03
1.86584306e+00,1.36185938e+04,1.90752676e+04,1.33862539e+04,1.59631848e+03
1.93945324e+00,1.31174512e+04,1.83742617e+04,1.29393877e+04,1.59401648e+03
2.01495814e+00,1.30128184e+04,1.82290664e+04,1.29036289e+04,1.65772046e+03
2.09240627e+00,1.34444033e+04,1.88353770e+04,1.34196738e+04,1.80578271e+03
2.17184782e+00,1.45167363e+04,2.03395371e+04,1.45891270e+04,2.04924951e+03
2.25333428e+00,1.61116191e+04,2.25757480e+04,1.62843145e+04,2.36136523e+03
2.33691788e+00,1.79726406e+04,2.51844727e+04,1.82346641e+04,2.68916602e+03
2.42265272e+00,1.97972559e+04,2.77415000e+04,2.01153125e+04,2.96383765e+03
2.51059437e+00,2.12348320e+04,2.97551895e+04,2.15478457e+04,3.11754590e+03
2.60079956e+00,2.19333242e+04,3.07322852e+04,2.21742500e+04,3.11029077e+03
2.69332647e+00,2.17891309e+04,3.05280078e+04,2.19099961e+04,2.95778857e+03
2.78823495e+00,2.06873398e+04,2.89819102e+04,2.06701719e+04,2.67228760e+03
2.88558602e+00,1.89273711e+04,2.65141523e+04,1.87897754e+04,2.33279688e+03
2.98544264e+00,1.69505938e+04,2.37433398e+04,1.67263555e+04,2.00658179e+03
3.08786964e+00,1.50003262e+04,2.10104375e+04,1.47318789e+04,1.73339551e+03
3.19293284e+00,1.33411309e+04,1.86861523e+04,1.30755195e+04,1.54009253e+03
3.30070019e+00,1.21481758e+04,1.70157461e+04,1.19228691e+04,1.43993384e+03
3.41124129e+00,1.14518301e+04,1.60413594e+04,1.12800137e+04,1.40664368e+03
3.52462745e+00,1.11312207e+04,1.55933047e+04,1.10113320e+04,1.42377222e+03
3.64093208e+00,1.10330586e+04,1.54568740e+04,1.09670918e+04,1.46711035e+03
3.76023054e+00,1.11764648e+04,1.56589072e+04,1.11682061e+04,1.55143237e+03
3.88259912e+00,1.15966191e+04,1.62487041e+04,1.16504258e+04,1.67015967e+03
4.00811720e+00,1.23163564e+04,1.72582734e+04,1.24375400e+04,1.84001465e+03
4.13686609e+00,1.33948887e+04,1.87706250e+04,1.35928027e+04,2.06483228e+03
4.26892853e+00,1.49763311e+04,2.09876406e+04,1.52605586e+04,2.36756421e+03
4.40439081e+00,1.70875898e+04,2.39467109e+04,1.74534453e+04,2.73404297e+03
4.54333878e+00,1.96938242e+04,2.75992578e+04,2.01554531e+04,3.18546436e+03
4.68586397e+00,2.27798906e+04,3.19238359e+04,2.33429395e+04,3.68432031e+03
4.83205652e+00,2.56154766e+04,3.58962656e+04,2.62112734e+04,4.04388452e+03
4.98201227e+00,2.73098398e+04,3.82677422e+04,2.77981035e+04,4.08751953e+03
5.13582754e+00,2.72692969e+04,3.82066406e+04,2.75178320e+04,3.79123755e+03
5.29360199e+00,2.54357695e+04,3.56335547e+04,2.54234688e+04,3.28036523e+03
5.45543718e+00,2.27444121e+04,3.18600000e+04,2.25346016e+04,2.75364990e+03
5.62143755e+00,1.97956367e+04,2.77270098e+04,1.94582266e+04,2.27901245e+03
5.79171038e+00,1.66106992e+04,2.32652773e+04,1.62691172e+04,1.89488306e+03
5.96636629e+00,1.51121719e+04,2.11671133e+04,1.48245410e+04,1.76816589e+03
6.14551687e+00,1.42953994e+04,2.00230781e+04,1.40260273e+04,1.70141418e+03
6.32927942e+00,1.41599521e+04,1.98344766e+04,1.39463945e+04,1.75125842e+03
6.51777077e+00,1.38530801e+04,1.94050645e+04,1.36786621e+04,1.76513220e+03
6.71111441e+00,1.29672080e+04,1.81652305e+04,1.28557891e+04,1.72429797e+03
6.90943432e+00,1.26416523e+04,1.77111914e+04,1.26251484e+04,1.78596716e+03
7.11285782e+00,1.33632695e+04,1.87236250e+04,1.34124297e+04,1.94594983e+03
7.32151794e+00,1.32973281e+04,1.86325820e+04,1.34003076e+04,1.96028589e+03
7.53554821e+00,1.67558633e+04,2.34835469e+04,1.71066152e+04,2.59500586e+03
7.75508738e+00,2.40860000e+04,3.37533594e+04,2.44835977e+04,3.59580078e+03
7.98027754e+00,2.61657031e+04,3.66639375e+04,2.64771816e+04,3.81609961e+03
8.21126270e+00,2.40630840e+04,3.37160781e+04,2.42986230e+04,3.47397559e+03
8.44819450e+00,2.10841758e+04,2.95394844e+04,2.11504199e+04,2.90023340e+03
8.69122219e+00,1.91762344e+04,2.68626426e+04,1.90338633e+04,2.43559497e+03
8.94050789e+00,2.03541738e+04,2.85091152e+04,2.00419453e+04,2.46010693e+03
9.19620800e+00,2.35088320e+04,3.29290703e+04,2.32219180e+04,2.93646387e+03
9.45849037e+00,2.55065195e+04,3.57321875e+04,2.54000312e+04,3.36418311e+03
9.72752285e+00,2.39333867e+04,3.35321953e+04,2.39937930e+04,3.28528906e+03
1.00034800e+01,2.13033672e+04,2.98472520e+04,2.13512324e+04,2.93855640e+03
1.02865391e+01,1.92540293e+04,2.69710625e+04,1.90839492e+04,2.51938257e+03
1.05768833e+01,1.31172627e+04,1.83695137e+04,1.27945713e+04,1.58288074e+03
1.08747025e+01,5.18221729e+03,7.25644727e+03,5.03356348e+03,6.41343994e+02
1.11801853e+01,2.81656104e+03,3.94556665e+03,2.81000903e+03,4.27096283e+02
1.14935322e+01,3.69720996e+03,5.18016016e+03,3.73179858e+03,5.83203247e+02
1.18149433e+01,5.86212549e+03,8.21355176e+03,5.92730029e+03,9.18007690e+02
1.21446266e+01,8.42723535e+03,1.18070352e+04,8.48888867e+03,1.25134363e+03
1.24827967e+01,9.14296582e+03,1.28081172e+04,9.13395703e+03,1.27390918e+03
1.28296700e+01,9.05457715e+03,1.26838643e+04,9.03689160e+03,1.27626147e+03
1.31854706e+01,9.30459082e+03,1.30354990e+04,9.35363965e+03,1.38678149e+03
1.35504293e+01,8.42792383e+03,1.18088350e+04,8.54431055e+03,1.31401343e+03
1.39247818e+01,6.66637793e+03,9.34164355e+03,6.81568945e+03,1.08417322e+03
1.43087692e+01,5.45917139e+03,7.65040820e+03,5.61345068e+03,9.14911865e+02
1.47026405e+01,4.86730518e+03,6.82186670e+03,5.06301611e+03,8.65275269e+02
1.51066484e+01,6.21950098e+03,8.71714648e+03,6.48890869e+03,1.06079419e+03
1.55210552e+01,8.96373926e+03,1.25599092e+04,9.22649512e+03,1.34649402e+03
1.59461288e+01,1.08177100e+04,1.51558125e+04,1.11417598e+04,1.54011584e+03
1.63821430e+01,1.07338389e+04,1.50422041e+04,1.14015498e+04,1.56148242e+03
1.68293781e+01,9.02796973e+03,1.26606699e+04,1.03531582e+04,1.45323584e+03
1.72881241e+01,9.30386719e+03,1.30585498e+04,1.13848203e+04,1.43542188e+03
1.77586803e+01,1.26643135e+04,1.77858145e+04,1.54381904e+04,1.53859241e+03
1.82413464e+01,1.79666270e+04,2.52308867e+04,2.02274570e+04,1.68057788e+03
1.87364349e+01,2.15829668e+04,3.02742148e+04,2.19595820e+04,1.62746069e+03
1.92442665e+01,2.38981016e+04,3.34946602e+04,2.29627188e+04,1.56886536e+03
1.97651691e+01,2.57286504e+04,3.60067969e+04,2.17808867e+04,1.31421899e+03
2.02994785e+01,2.51822188e+04,3.51658477e+04,1.92324141e+04,1.02122668e+03
2.08475418e+01,2.30510000e+04,3.21468457e+04,1.65539590e+04,8.84091980e+02
2.14097099e+01,1.86825820e+04,2.60225898e+04,1.24039023e+04,7.60122253e+02
2.19863453e+01,1.30758389e+04,1.81864375e+04,8.31065723e+03,6.08264404e+02
2.25778236e+01,8.93118652e+03,1.24275859e+04,6.26575146e+03,5.46007385e+02
2.31845264e+01,7.29456250e+03,1.01748086e+04,5.90726123e+03,5.97523438e+02
2.38068466e+01,7.26132129e+03,1.01477900e+04,6.38375391e+03,6.83434082e+02
2.44451809e+01,8.39722754e+03,1.17448193e+04,7.67043311e+03,7.49296143e+02
2.50999470e+01,8.03635791e+03,1.12384521e+04,7.16865869e+03,5.85851807e+02
2.57715645e+01,7.32722656e+03,1.02473096e+04,6.53963037e+03,5.64286987e+02
2.64604683e+01,7.46954150e+03,1.04487129e+04,6.71917676e+03,5.37072449e+02
2.71671047e+01,5.35895361e+03,7.49268457e+03,4.62036426e+03,2.76412903e+02
2.78919277e+01,1.88942993e+03,2.63804102e+03,1.46923853e+03,4.98702393e+01
2.86354065e+01,3.77014374e+02,5.24688477e+02,2.26875610e+02,1.99376416e+00
2.93980217e+01,9.81465149e+01,1.36068695e+02,3.56292419e+01,2.87745637e-03
3.01802654e+01,8.56798401e+01,1.18077667e+02,1.86578407e+01,4.52136184e-04
3.09826431e+01,4.99368362e+01,6.81215286e+01,5.68810558e+00,7.47726299e-04
3.18056717e+01,1.98138542e+01,2.67890263e+01,1.56401515e+00,3.12723685e-04
3.26498833e+01,9.86949348e+00,1.33150644e+01,9.81279135e-01,7.95118758e-05
3.35158234e+01,3.67590952e+00,4.97206783e+00,2.55897731e-01,6.84859115e-05
3.44040565e+01,1.17890966e+00,1.57554269e+00,2.94463933e-02,9.61910155e-06
3.53151436e+01,3.91294152e-01,5.18787742e-01,1.13637662e-02,2.83499116e-06
3.62496834e+01,2.56460935e-01,3.41137946e-01,9.58800036e-03,1.65544952e-06
3.72082787e+01,1.34630561e-01,1.78924426e-01,3.80160357e-03,6.85288342e-07
3.81915474e+01,4.54865471e-02,5.99855669e-02,4.66770871e-04,2.68062337e-07
3.92001228e+01,1.85240693e-02,2.43371353e-02,1.41547527e-04,1.11384580e-07
4.02346535e+01,2.38724612e-03,3.10788071e-03,1.94405984e-05,1.18087389e-08
4.12958107e+01,2.34599385e-04,3.05647205e-04,3.42403905e-06,7.56182506e-10
4.23842850e+01,5.90088202e-05,7.66730664e-05,1.24965447e-06,2.84432033e-10
4.35007744e+01,1.56356020e-06,2.01701027e-06,3.12565049e-08,9.89485490e-12
