Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,4.23683673e-02,7.35026598e-02,2.16805100e+00,4.40982704e+01
7.99999982e-02,5.82034998e-02,9.86542851e-02,2.44136286e+00,4.59771538e+01
1.19999997e-01,7.13696256e-02,1.18070796e-01,2.62107706e+00,4.74899445e+01
1.59999996e-01,7.80278444e-02,1.26818120e-01,2.74502373e+00,4.76870117e+01
2.00000003e-01,7.95591027e-02,1.28381863e-01,2.83059645e+00,4.69577675e+01
2.39999995e-01,7.96268210e-02,1.28735840e-01,2.94057059e+00,4.64350815e+01
2.80000001e-01,8.07870030e-02,1.31479055e-01,3.04405570e+00,4.54838829e+01
3.19999993e-01,8.40420127e-02,1.37570173e-01,3.13151407e+00,4.45825577e+01
3.60000014e-01,8.85583237e-02,1.45066082e-01,3.22232389e+00,4.34816322e+01
4.00000006e-01,9.28677917e-02,1.52173311e-01,3.31914902e+00,4.24223938e+01
4.39999998e-01,9.70215127e-02,1.59076333e-01,3.42797422e+00,4.12074318e+01
4.79999989e-01,1.01534158e-01,1.66685283e-01,3.56683564e+00,4.00584373e+01
5.19999981e-01,1.06505096e-01,1.75058484e-01,3.68293858e+00,3.88382416e+01
5.60000002e-01,1.11950256e-01,1.84194654e-01,3.84363079e+00,3.76762810e+01
6.00000024e-01,1.17956460e-01,1.94203615e-01,4.00050640e+00,3.65215683e+01
6.41029537e-01,1.24561265e-01,2.05050334e-01,4.13190365e+00,3.54095955e+01
6.83115125e-01,1.31585658e-01,2.16372833e-01,4.19767380e+00,3.43190651e+01
7.26283848e-01,1.38481706e-01,2.27307558e-01,4.17026377e+00,3.33367081e+01
7.70563781e-01,1.44794777e-01,2.37129629e-01,4.00074768e+00,3.24072151e+01
8.15983355e-01,1.50106668e-01,2.45129406e-01,3.72090197e+00,3.15986786e+01
8.62571895e-01,1.53643668e-01,2.49881566e-01,3.34886956e+00,3.08920212e+01
9.10359621e-01,1.54344574e-01,2.49756292e-01,2.94955659e+00,3.03257484e+01
9.59377348e-01,1.51606381e-01,2.43791103e-01,2.54046822e+00,2.98827038e+01
1.00965667e+00,1.44818693e-01,2.31237695e-01,2.16910768e+00,2.95752048e+01
1.06123006e+00,1.34388030e-01,2.13058442e-01,1.84993076e+00,2.94255085e+01
1.11413085e+00,1.21708639e-01,1.91644371e-01,1.57905638e+00,2.94429264e+01
1.16839325e+00,1.08322337e-01,1.69514924e-01,1.35523844e+00,2.96355381e+01
1.22405231e+00,9.56351012e-02,1.48869097e-01,1.17466533e+00,3.00187855e+01
1.28114390e+00,8.46107155e-02,1.31126881e-01,1.02782106e+00,3.06338959e+01
1.33970511e+00,7.62919635e-02,1.17609948e-01,9.06902134e-01,3.15094337e+01
1.39977336e+00,2.06830195e+04,2.89578809e+04,1.94643203e+04,1.24080786e+03
1.46138775e+00,2.63505312e+04,3.68504453e+04,2.23814883e+04,1.42298816e+03
1.52458799e+00,1.71452148e+04,2.39735820e+04,1.47613301e+04,1.11033936e+03
1.58941495e+00,1.64537520e+04,2.30224512e+04,1.48668672e+04,1.40077136e+03
1.65591037e+00,1.64704492e+04,2.30528711e+04,1.52000488e+04,1.54230017e+03
1.72411728e+00,1.65201152e+04,2.31260547e+04,1.54164043e+04,1.63195886e+03
1.79407966e+00,1.64447246e+04,2.30227656e+04,1.54531377e+04,1.68808472e+03
1.86584306e+00,1.63295547e+04,2.28635020e+04,1.54424785e+04,1.74051282e+03
1.93945324e+00,1.64414316e+04,2.30224355e+04,1.56613398e+04,1.82300146e+03
2.01495814e+00,1.68960000e+04,2.36612656e+04,1.62082246e+04,1.93838269e+03
2.09240627e+00,1.75765469e+04,2.46160469e+04,1.69508086e+04,2.06278418e+03
2.17184782e+00,1.82530117e+04,2.55643184e+04,1.76548711e+04,2.16193921e+03
2.25333428e+00,1.87027480e+04,2.61940957e+04,1.80915332e+04,2.20244287e+03
2.33691788e+00,1.87227930e+04,2.62210977e+04,1.80593047e+04,2.16872729e+03
2.42265272e+00,1.82734023e+04,2.55904258e+04,1.75611641e+04,2.08186206e+03
2.51059437e+00,1.75208945e+04,2.45356133e+04,1.67832852e+04,1.96661694e+03
2.60079956e+00,1.66233320e+04,2.32777383e+04,1.58618047e+04,1.83931995e+03
2.69332647e+00,1.57020195e+04,2.19872285e+04,1.49532930e+04,1.74253796e+03
2.78823495e+00,1.51496055e+04,2.12148945e+04,1.44769990e+04,1.72762329e+03
2.88558602e+00,1.52474863e+04,2.13536562e+04,1.46396592e+04,1.78641089e+03
2.98544264e+00,1.56790869e+04,2.19593477e+04,1.51095723e+04,1.87758679e+03
3.08786964e+00,1.64349785e+04,2.30195742e+04,1.59240996e+04,2.02351709e+03
3.19293284e+00,1.77292012e+04,2.48333945e+04,1.72515586e+04,2.22521338e+03
3.30070019e+00,1.88297949e+04,2.63749238e+04,1.83486738e+04,2.37902368e+03
3.41124129e+00,1.94385078e+04,2.72272812e+04,1.89554941e+04,2.46108765e+03
3.52462745e+00,1.96379453e+04,2.75060684e+04,1.91349102e+04,2.47433472e+03
3.64093208e+00,1.92733008e+04,2.69947070e+04,1.87574551e+04,2.41159644e+03
3.76023054e+00,1.87989141e+04,2.63297539e+04,1.82645098e+04,2.30895752e+03
3.88259912e+00,1.84739297e+04,2.58735059e+04,1.78807324e+04,2.21826416e+03
4.00811720e+00,1.81686465e+04,2.54456992e+04,1.75670879e+04,2.17415283e+03
4.13686609e+00,1.81902227e+04,2.54766426e+04,1.76148223e+04,2.18620605e+03
4.26892853e+00,1.87125449e+04,2.62083809e+04,1.81136719e+04,2.23688330e+03
4.40439081e+00,1.91412227e+04,2.68076738e+04,1.84646035e+04,2.25212183e+03
4.54333878e+00,1.87988809e+04,2.63263438e+04,1.80462773e+04,2.17466064e+03
4.68586397e+00,1.79878867e+04,2.51893887e+04,1.72080234e+04,2.06354785e+03
4.83205652e+00,1.70853867e+04,2.39247500e+04,1.62971152e+04,1.95138196e+03
4.98201227e+00,1.59571553e+04,2.23446230e+04,1.52024883e+04,1.83413086e+03
5.13582754e+00,1.51552637e+04,2.12225332e+04,1.44666270e+04,1.77354993e+03
5.29360199e+00,1.52061514e+04,2.12947266e+04,1.45527051e+04,1.81091968e+03
5.45543718e+00,1.59818477e+04,2.23822363e+04,1.53660020e+04,1.95268323e+03
5.62143755e+00,1.75820195e+04,2.46240449e+04,1.69555391e+04,2.16896484e+03
5.79171038e+00,1.85920352e+04,2.60373887e+04,1.78903848e+04,2.27567920e+03
5.96636629e+00,1.90449180e+04,2.66712891e+04,1.83357578e+04,2.35142578e+03
6.14551687e+00,1.92390391e+04,2.69431270e+04,1.85295781e+04,2.39104688e+03
6.32927942e+00,1.87738086e+04,2.62920508e+04,1.80921387e+04,2.34316382e+03
6.51777077e+00,1.77381367e+04,2.48404746e+04,1.70252930e+04,2.18153491e+03
6.71111441e+00,1.61550195e+04,2.26236953e+04,1.55120117e+04,2.02438818e+03
6.90943432e+00,1.67615977e+04,2.34749258e+04,1.61635459e+04,2.12592822e+03
7.11285782e+00,1.77426914e+04,2.48456211e+04,1.69551289e+04,2.17083032e+03
7.32151794e+00,1.61322051e+04,2.25898164e+04,1.53924883e+04,2.02196875e+03
7.53554821e+00,1.62868672e+04,2.28085938e+04,1.56224346e+04,2.08297241e+03
7.75508738e+00,1.74205547e+04,2.43906367e+04,1.64777734e+04,2.12567188e+03
7.98027754e+00,1.52156777e+04,2.13050625e+04,1.44913701e+04,2.01148975e+03
8.21126270e+00,1.74647676e+04,2.44616914e+04,1.69356211e+04,2.37938452e+03
8.44819450e+00,2.15021816e+04,3.01085586e+04,2.05095059e+04,2.68353979e+03
8.69122219e+00,2.02421230e+04,2.83462773e+04,1.94595801e+04,2.72471460e+03
8.94050789e+00,2.38391758e+04,3.33897383e+04,2.31811758e+04,3.28939062e+03
9.19620800e+00,2.68068262e+04,3.75384609e+04,2.57059336e+04,3.42204858e+03
