Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,9.74622817e-05,1.37057054e-04,6.11806399e-06,6.06461801e-03
7.99999982e-02,1.13026515e-04,1.57377101e-04,7.78189769e-06,2.26281490e-02
1.19999997e-01,1.01848236e-04,1.39813390e-04,9.57362408e-06,6.18752427e-02
1.59999996e-01,9.16094941e-05,1.23739228e-04,1.06492444e-05,1.45089284e-01
2.00000003e-01,8.13557417e-05,1.09186170e-04,1.48178460e-05,1.92842945e-01
2.39999995e-01,7.56448790e-05,1.00754318e-04,1.51864870e-05,3.32758874e-01
2.80000001e-01,8.10342826e-05,1.09672153e-04,2.41977104e-05,4.25271094e-01
3.19999993e-01,8.49134449e-05,1.15293151e-04,2.53824328e-05,6.20641351e-01
3.60000014e-01,1.06972504e-04,1.47828512e-04,4.03989907e-05,7.43723750e-01
4.00000006e-01,1.28726635e-04,1.78435090e-04,4.66061065e-05,9.96157229e-01
4.39999998e-01,1.44698264e-04,2.01575487e-04,5.77301907e-05,1.13710165e+00
4.79999989e-01,2.00019815e-04,2.80330714e-04,8.25728130e-05,1.41885984e+00
5.19999981e-01,2.04910233e-04,2.87295610e-04,9.00643208e-05,1.58419764e+00
5.60000002e-01,2.79523403e-04,3.93988827e-04,1.24254439e-04,1.86862111e+00
6.00000024e-01,2.79910397e-04,3.94497736e-04,1.19510194e-04,2.05533338e+00
6.41029537e-01,3.52546456e-04,4.98005538e-04,1.54541180e-04,2.34277201e+00
6.83115125e-01,3.34567798e-04,4.72168787e-04,1.46531922e-04,2.55790758e+00
7.26283848e-01,3.60533391e-04,5.09406265e-04,1.62219789e-04,2.83154321e+00
7.70563781e-01,3.80392681e-04,5.38232853e-04,1.75495734e-04,3.13568592e+00
8.15983355e-01,4.33036650e-04,6.13816199e-04,2.05225428e-04,3.51828313e+00
8.62571895e-01,4.31276625e-04,6.11540512e-04,2.19405250e-04,3.85175419e+00
9.10359621e-01,4.85858880e-04,6.88938249e-04,2.88747658e-04,4.31669140e+00
9.59377348e-01,5.27102384e-04,7.47313257e-04,3.89056222e-04,4.76719427e+00
1.00965667e+00,6.35621371e-04,9.00517451e-04,6.24684966e-04,5.32303095e+00
1.06123006e+00,9.04549728e-04,1.27790868e-03,1.15728076e-03,5.96113777e+00
1.11413085e+00,1.53247104e-03,2.15625716e-03,1.99680682e-03,6.63714314e+00
1.16839325e+00,2.59626471e-03,3.64199630e-03,2.93968944e-03,7.35615492e+00
1.22405231e+00,4.04571928e-03,5.65893203e-03,4.08124831e-03,8.12415314e+00
1.28114390e+00,6.48142304e-03,9.06655937e-03,6.09039981e-03,8.95173931e+00
1.33970511e+00,8.17679707e-03,1.14031266e-02,6.94916025e-03,9.81669807e+00
1.39977336e+00,2.01971387e+04,2.82929883e+04,2.00593887e+04,2.14959448e+03
1.46138775e+00,2.59973730e+04,3.63977656e+04,2.45134219e+04,2.09517139e+03
1.52458799e+00,1.61469297e+04,2.26046875e+04,1.52763652e+04,1.43290027e+03
1.58941495e+00,1.53399297e+04,2.14817305e+04,1.48483896e+04,1.62012830e+03
1.65591037e+00,1.52396602e+04,2.13445234e+04,1.49128096e+04,1.74220740e+03
1.72411728e+00,1.53171035e+04,2.14549570e+04,1.50890449e+04,1.84013123e+03
1.79407966e+00,1.54386807e+04,2.16266113e+04,1.52787402e+04,1.92118652e+03
1.86584306e+00,1.55989707e+04,2.18522188e+04,1.54925352e+04,1.99632617e+03
1.93945324e+00,1.58349902e+04,2.21837812e+04,1.57747441e+04,2.07551440e+03
2.01495814e+00,1.61994072e+04,2.26951230e+04,1.61808350e+04,2.16735547e+03
2.09240627e+00,1.66630664e+04,2.33453398e+04,1.66792988e+04,2.26468652e+03
2.17184782e+00,1.71211797e+04,2.39875449e+04,1.71610527e+04,2.34894043e+03
2.25333428e+00,1.74691113e+04,2.44751055e+04,1.75184473e+04,2.40394946e+03
2.33691788e+00,1.76152656e+04,2.46797227e+04,1.76603320e+04,2.41944580e+03
2.42265272e+00,1.75309336e+04,2.45612832e+04,1.75631348e+04,2.39682129e+03
2.51059437e+00,1.72368848e+04,2.41489727e+04,1.72511484e+04,2.34237524e+03
2.60079956e+00,1.67924980e+04,2.35260547e+04,1.67884805e+04,2.26990967e+03
2.69332647e+00,1.63003711e+04,2.28363867e+04,1.62842520e+04,2.19854004e+03
2.78823495e+00,1.58512109e+04,2.22070547e+04,1.58296836e+04,2.13947070e+03
2.88558602e+00,1.55150732e+04,2.17362070e+04,1.54952852e+04,2.10356201e+03
2.98544264e+00,1.53500000e+04,2.15051719e+04,1.53408721e+04,2.09921069e+03
3.08786964e+00,1.53156406e+04,2.14572832e+04,1.53188418e+04,2.11317358e+03
3.19293284e+00,1.53385693e+04,2.14896660e+04,1.53562891e+04,2.13805371e+03
3.30070019e+00,1.54594824e+04,2.16594258e+04,1.54979570e+04,2.18148901e+03
3.41124129e+00,1.56344941e+04,2.19049219e+04,1.56902754e+04,2.22771851e+03
3.52462745e+00,1.58296953e+04,2.21787637e+04,1.59066992e+04,2.28175977e+03
3.64093208e+00,1.62809180e+04,2.28114277e+04,1.63871758e+04,2.37652344e+03
3.76023054e+00,1.67859902e+04,2.35192988e+04,1.69103867e+04,2.46524731e+03
3.88259912e+00,1.72173340e+04,2.41237910e+04,1.73559375e+04,2.53949634e+03
4.00811720e+00,1.78360859e+04,2.49907168e+04,1.79835469e+04,2.63227979e+03
4.13686609e+00,1.83159375e+04,2.56627422e+04,1.84571992e+04,2.69238623e+03
4.26892853e+00,1.85027109e+04,2.59240293e+04,1.86288223e+04,2.70481909e+03
4.40439081e+00,1.84488750e+04,2.58480703e+04,1.85485469e+04,2.67408179e+03
4.54333878e+00,1.80807070e+04,2.53315898e+04,1.81436895e+04,2.59512354e+03
4.68586397e+00,1.75030664e+04,2.45218301e+04,1.75364023e+04,2.49815869e+03
4.83205652e+00,1.71419297e+04,2.40156855e+04,1.71608691e+04,2.44556641e+03
4.98201227e+00,1.69543125e+04,2.37526211e+04,1.69573867e+04,2.41852466e+03
5.13582754e+00,1.66947695e+04,2.33891719e+04,1.67005957e+04,2.39876611e+03
5.29360199e+00,1.65886367e+04,2.32402793e+04,1.65779590e+04,2.38070166e+03
5.45543718e+00,1.62293730e+04,2.27367793e+04,1.62071152e+04,2.34085181e+03
5.62143755e+00,1.63532949e+04,2.29108516e+04,1.63526426e+04,2.38732373e+03
5.79171038e+00,1.66155449e+04,2.32776074e+04,1.65842422e+04,2.41533984e+03
5.96636629e+00,1.57358711e+04,2.20459004e+04,1.57347441e+04,2.34953125e+03
6.14551687e+00,1.58581729e+04,2.22180273e+04,1.58901289e+04,2.40504492e+03
6.32927942e+00,1.53822441e+04,2.15499434e+04,1.53584150e+04,2.31414209e+03
