Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,1.16922360e-26,1.86930760e-26,1.47494605e-25,1.08217287e+01
7.99999982e-02,3.00626332e-24,4.60001912e-24,2.59759464e-23,1.29961538e+01
1.19999997e-01,3.80392263e-22,5.70007918e-22,4.51410797e-22,1.47295914e+01
1.59999996e-01,7.31561429e-19,1.03248715e-18,3.04074437e-20,1.72261086e+01
2.00000003e-01,1.45842464e-16,2.05355846e-16,2.61504713e-18,1.76798840e+01
2.39999995e-01,1.49042795e-15,2.06734866e-15,4.22466550e-17,1.98998661e+01
2.80000001e-01,1.31625566e-14,1.77523537e-14,5.03026503e-16,2.04191151e+01
3.19999993e-01,1.97160891e-13,2.65899146e-13,5.28230498e-15,2.18978519e+01
3.60000014e-01,6.76739751e-13,9.35004895e-13,5.78208881e-14,2.26285286e+01
4.00000006e-01,1.63332780e-12,2.33741542e-12,2.66765321e-12,2.38480797e+01
4.39999998e-01,1.44341622e-11,1.99862522e-11,4.07730932e-11,2.47534580e+01
4.79999989e-01,3.41735772e-11,5.02410891e-11,3.97534727e-10,2.67455044e+01
5.19999981e-01,1.44962695e-10,1.97096062e-10,4.63612526e-09,2.80566978e+01
5.60000002e-01,4.09011436e-10,6.18930962e-10,3.61249874e-08,3.09134789e+01
6.00000024e-01,1.22998700e-09,1.90898031e-09,1.59896999e-07,3.40714607e+01
6.41029537e-01,3.70711373e-09,6.20018703e-09,5.07196546e-07,3.29410820e+01
6.83115125e-01,1.01103668e-08,1.88608205e-08,6.69415329e-07,4.30569267e+01
7.26283848e-01,3.44445361e-08,7.56669962e-08,8.13246174e-07,3.80114822e+01
7.70563781e-01,9.76442678e-08,2.57453792e-07,1.24436610e-06,4.95625916e+01
8.15983355e-01,3.21779140e-07,1.02539570e-06,2.46781633e-06,4.67416573e+01
8.62571895e-01,1.00447733e-06,3.29472482e-06,3.95806182e-06,5.75960579e+01
9.10359621e-01,2.52505811e-06,8.40410212e-06,4.03572767e-06,5.74886131e+01
9.59377348e-01,8.12378676e-06,2.35708976e-05,4.20186007e-06,6.89294586e+01
1.00965667e+00,2.06043042e-05,5.84102963e-05,5.74014121e-06,7.48040466e+01
1.06123006e+00,4.94474116e-05,1.45245838e-04,5.76913317e-06,8.19138184e+01
1.11413085e+00,1.43716898e-04,4.82060888e-04,6.38111942e-06,9.68195114e+01
1.16839325e+00,5.22480754e-04,1.81888090e-03,1.31625175e-05,9.30012741e+01
1.22405231e+00,1.94239302e-03,6.05625939e-03,2.63394886e-05,1.19330559e+02
1.28114390e+00,5.96628571e-03,1.28918123e-02,2.37270597e-05,9.97752304e+01
1.33970511e+00,9.78721026e-03,1.57492291e-02,2.20296934e-05,1.41014328e+02
1.39977336e+00,2.06601523e+04,2.89248281e+04,1.93716211e+04,1.30024512e+03
1.46138775e+00,2.52402031e+04,3.52942812e+04,2.12270977e+04,1.38064294e+03
1.52458799e+00,1.51896016e+04,2.12345312e+04,1.28300156e+04,9.81945557e+02
1.58941495e+00,1.33970625e+04,1.87404004e+04,1.18641592e+04,1.17979541e+03
1.65591037e+00,1.31083584e+04,1.83451289e+04,1.20250469e+04,1.34224902e+03
1.72411728e+00,1.42660000e+04,1.99745039e+04,1.35294082e+04,1.74332227e+03
1.79407966e+00,1.65508965e+04,2.31814648e+04,1.60958877e+04,2.12692725e+03
1.86584306e+00,1.91345918e+04,2.68038828e+04,1.88107188e+04,2.47933203e+03
1.93945324e+00,2.07356855e+04,2.90438965e+04,2.02190527e+04,2.41784717e+03
2.01495814e+00,2.05010137e+04,2.87088477e+04,1.96372773e+04,2.20636548e+03
2.09240627e+00,1.90583906e+04,2.66830234e+04,1.79427363e+04,1.86242358e+03
2.17184782e+00,1.71865996e+04,2.40577852e+04,1.59141797e+04,1.62083228e+03
2.25333428e+00,1.51950527e+04,2.12663281e+04,1.38566846e+04,1.33646582e+03
2.33691788e+00,1.33365742e+04,1.86630215e+04,1.20321211e+04,1.21466858e+03
2.42265272e+00,1.18030859e+04,1.65164844e+04,1.06151826e+04,1.07972192e+03
2.51059437e+00,1.07041025e+04,1.49800527e+04,9.69269141e+03,1.09381824e+03
2.60079956e+00,1.01546094e+04,1.42137080e+04,9.31369141e+03,1.08973779e+03
2.69332647e+00,1.00541719e+04,1.40758281e+04,9.34388672e+03,1.20041772e+03
2.78823495e+00,1.01974668e+04,1.42793535e+04,9.62137305e+03,1.26987231e+03
2.88558602e+00,1.07134121e+04,1.50049473e+04,1.02706758e+04,1.45445422e+03
2.98544264e+00,1.15834072e+04,1.62261191e+04,1.12565898e+04,1.63347339e+03
3.08786964e+00,1.27214238e+04,1.78228320e+04,1.25248086e+04,1.89635706e+03
3.19293284e+00,1.42076924e+04,1.99075605e+04,1.41585840e+04,2.19859961e+03
3.30070019e+00,1.59483232e+04,2.23481406e+04,1.60295566e+04,2.52761060e+03
3.41124129e+00,1.78751113e+04,2.50482969e+04,1.80288008e+04,2.80544263e+03
3.52462745e+00,1.98102773e+04,2.77592871e+04,1.99967559e+04,3.04701733e+03
3.64093208e+00,2.14615352e+04,3.00718008e+04,2.16397051e+04,3.19396899e+03
3.76023054e+00,2.25892266e+04,3.16494961e+04,2.26708086e+04,3.18783154e+03
3.88259912e+00,2.31080586e+04,3.23729805e+04,2.29964160e+04,3.03303223e+03
4.00811720e+00,2.31348516e+04,3.24059609e+04,2.27403867e+04,2.79183350e+03
4.13686609e+00,2.24354941e+04,3.14209414e+04,2.17209082e+04,2.48458447e+03
4.26892853e+00,2.10138945e+04,2.94249004e+04,2.00370293e+04,2.17328125e+03
4.40439081e+00,1.94104414e+04,2.71757383e+04,1.82703164e+04,1.91294946e+03
4.54333878e+00,1.77742363e+04,2.48824121e+04,1.65674258e+04,1.71953613e+03
4.68586397e+00,1.62466777e+04,2.27426191e+04,1.50462822e+04,1.56711963e+03
4.83205652e+00,1.49332070e+04,2.09035723e+04,1.37871777e+04,1.47533203e+03
4.98201227e+00,1.39033457e+04,1.94624141e+04,1.28450410e+04,1.41850940e+03
5.13582754e+00,1.31871230e+04,1.84609434e+04,1.22323125e+04,1.41067456e+03
5.29360199e+00,1.27331738e+04,1.78267480e+04,1.18769199e+04,1.42188550e+03
5.45543718e+00,1.24522988e+04,1.74352324e+04,1.17091914e+04,1.47209253e+03
5.62143755e+00,1.24354707e+04,1.74137988e+04,1.18087812e+04,1.54114526e+03
5.79171038e+00,1.26008848e+04,1.76472734e+04,1.20702266e+04,1.62896948e+03
5.96636629e+00,1.28988750e+04,1.80665371e+04,1.24677441e+04,1.72951099e+03
6.14551687e+00,1.34341758e+04,1.88181016e+04,1.30937793e+04,1.86048792e+03
6.32927942e+00,1.40673926e+04,1.97063633e+04,1.37957383e+04,1.98126465e+03
6.51777077e+00,1.47767344e+04,2.07009180e+04,1.45614746e+04,2.11898682e+03
6.71111441e+00,1.55651680e+04,2.18060059e+04,1.53955488e+04,2.26038721e+03
6.90943432e+00,1.63631523e+04,2.29242520e+04,1.62236680e+04,2.38993091e+03
7.11285782e+00,1.72742070e+04,2.42004746e+04,1.71369824e+04,2.49973584e+03
7.32151794e+00,1.83093516e+04,2.56500332e+04,1.81379238e+04,2.58499097e+03
7.53554821e+00,1.92676113e+04,2.69909141e+04,1.90028047e+04,2.62118164e+03
