Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,5.61630157e-28,9.79027806e-28,2.09865689e-18,1.37717438e+00
7.99999982e-02,3.04163788e-22,5.21944353e-22,1.07067957e-12,1.66912007e+00
1.19999997e-01,6.27841031e-21,1.08168276e-20,2.78358257e-11,1.90844631e+00
1.59999996e-01,1.13768581e-18,2.02008983e-18,4.07091472e-10,2.03958488e+00
2.00000003e-01,6.66316549e-17,1.15646626e-16,9.16528187e-09,2.09343100e+00
2.39999995e-01,5.03544252e-16,8.94038405e-16,1.01217324e-07,2.16912961e+00
2.80000001e-01,3.15974714e-15,5.66922540e-15,2.12888904e-06,2.29964781e+00
3.19999993e-01,1.50978676e-14,2.72852877e-14,1.71696065e-05,2.37090111e+00
3.60000014e-01,7.75609232e-14,1.42948899e-13,9.79944380e-05,2.57763219e+00
4.00000006e-01,5.51202313e-13,1.02717552e-12,1.17171774e-04,2.64656878e+00
4.39999998e-01,3.17548136e-12,6.02915200e-12,1.65637335e-04,2.72643876e+00
4.79999989e-01,1.23830547e-11,2.37768329e-11,4.28331550e-04,2.78003120e+00
5.19999981e-01,3.22514897e-11,6.27184693e-11,5.38762484e-04,2.87772346e+00
5.60000002e-01,1.46196374e-10,2.84706980e-10,1.16315507e-03,2.99559689e+00
6.00000024e-01,4.24023316e-10,8.45155279e-10,1.30467117e-03,3.09628081e+00
6.41029537e-01,1.82080506e-09,3.61901487e-09,2.32246704e-03,3.13920164e+00
6.83115125e-01,5.28530508e-09,1.07555262e-08,2.77610589e-03,3.22384071e+00
7.26283848e-01,1.10459535e-08,2.25331824e-08,3.49670742e-03,3.27886558e+00
7.70563781e-01,1.90332763e-08,3.89172925e-08,3.78796016e-03,3.41424894e+00
8.15983355e-01,3.63320751e-08,7.34239762e-08,4.91154520e-03,3.69955158e+00
