Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,1.20543742e-32,1.94919459e-32,3.74355577e-02,1.74382401e+01
7.99999982e-02,3.53851372e-30,5.73018288e-30,7.88100660e-02,1.91418571e+01
1.19999997e-01,6.70313850e-28,1.17771646e-27,1.33905426e-01,1.99422035e+01
1.59999996e-01,1.90686539e-26,3.21249367e-26,1.79945305e-01,2.12412281e+01
2.00000003e-01,8.40326684e-25,1.49394468e-24,1.88980162e-01,2.16590614e+01
2.39999995e-01,1.23830612e-23,2.22870939e-23,2.64643967e-01,2.23614311e+01
2.80000001e-01,1.93047781e-22,3.41844858e-22,2.73872435e-01,2.26958160e+01
3.19999993e-01,3.93559045e-21,7.08977876e-21,2.86970854e-01,2.33375950e+01
3.60000014e-01,9.13992636e-20,1.68313431e-19,3.08910757e-01,2.38186893e+01
4.00000006e-01,1.51346300e-18,2.83954830e-18,3.25274676e-01,2.46384544e+01
4.39999998e-01,2.48477992e-17,4.60979318e-17,3.88773918e-01,2.50310059e+01
4.79999989e-01,3.83958050e-16,7.23819141e-16,3.88491869e-01,2.60006256e+01
5.19999981e-01,3.73193696e-15,7.19808514e-15,3.98522228e-01,2.63699837e+01
5.60000002e-01,2.64635980e-14,5.21001428e-14,4.40339983e-01,2.69438171e+01
6.00000024e-01,1.49387826e-13,2.97126554e-13,5.41139483e-01,2.90574684e+01
6.41029537e-01,6.96209041e-13,1.41023478e-12,4.74584490e-01,2.84993553e+01
6.83115125e-01,3.24470941e-12,6.47525089e-12,5.27031004e-01,3.14847126e+01
7.26283848e-01,1.74943289e-11,3.38596755e-11,6.02834702e-01,3.14375534e+01
7.70563781e-01,9.18851592e-11,1.81407875e-10,5.02998352e-01,3.28449707e+01
8.15983355e-01,4.68080519e-10,1.06400522e-09,5.57539344e-01,3.37153473e+01
8.62571895e-01,3.37142803e-09,1.20358994e-08,4.53346670e-01,3.45342751e+01
9.10359621e-01,2.16725997e-08,9.50109964e-08,5.62192380e-01,3.62134705e+01
9.59377348e-01,1.61213649e-07,1.10134522e-06,4.96447921e-01,3.68726273e+01
1.00965667e+00,1.03781088e-06,9.22737399e-06,5.92162490e-01,3.86999664e+01
1.06123006e+00,5.69860094e-06,5.63041613e-05,5.64174235e-01,3.95530777e+01
1.11413085e+00,2.50984722e-05,1.71886350e-04,6.09714925e-01,4.15931396e+01
1.16839325e+00,8.09535122e-05,3.92962655e-04,7.26164341e-01,4.26516151e+01
