Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00,5.09754181e-01
7.99999982e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.33930683e+00
1.19999997e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,1.97675371e+00
1.59999996e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,2.72116709e+00
2.00000003e-01,0.00000000e+00,1.40129846e-42,0.00000000e+00,3.24466276e+00
2.39999995e-01,5.88545355e-41,7.42688186e-41,2.80259693e-41,4.25118923e+00
2.80000001e-01,4.66136351e-37,6.29255878e-37,5.34549133e-37,5.02098656e+00
3.19999993e-01,3.73296943e-35,5.05701458e-35,4.70803223e-35,6.27209759e+00
3.60000014e-01,1.18537034e-32,1.60234456e-32,1.48305157e-32,9.27990055e+00
4.00000006e-01,6.88813688e-31,9.34832383e-31,9.90539531e-31,1.01583452e+01
4.39999998e-01,1.09955192e-28,1.48590912e-28,1.46214242e-28,1.27857742e+01
4.79999989e-01,1.04417034e-26,1.42503778e-26,1.87483502e-26,1.40507555e+01
5.19999981e-01,3.84739592e-25,5.25204066e-25,7.33052004e-25,1.68732853e+01
5.60000002e-01,9.47589817e-24,1.29043863e-23,1.75967132e-23,1.67905693e+01
6.00000024e-01,2.15720313e-22,2.96088805e-22,5.15392238e-22,1.99776287e+01
6.41029537e-01,2.54207466e-21,3.49056405e-21,6.76972287e-21,2.18690548e+01
6.83115125e-01,2.47891619e-20,3.39058457e-20,6.72426171e-20,2.24624634e+01
7.26283848e-01,4.27472284e-19,5.76949068e-19,1.11073751e-18,2.51623688e+01
7.70563781e-01,4.75455268e-18,6.43823829e-18,1.37942359e-17,2.73306961e+01
8.15983355e-01,9.12181957e-17,1.21653572e-16,2.28670573e-16,2.76599503e+01
8.62571895e-01,5.48985717e-16,7.38584831e-16,1.82075598e-15,3.16086807e+01
9.10359621e-01,5.88198991e-15,7.69504276e-15,1.29001424e-14,3.49251785e+01
9.59377348e-01,3.47428554e-14,4.53591225e-14,8.62815543e-14,3.92020683e+01
1.00965667e+00,2.43608573e-13,3.12743429e-13,5.42136377e-13,4.32154121e+01
1.06123006e+00,2.28465467e-12,2.86228962e-12,3.47181789e-12,4.75455170e+01
1.11413085e+00,1.80096701e-11,2.24116854e-11,2.80872409e-11,4.70011978e+01
1.16839325e+00,8.93311952e-11,1.09868829e-10,1.66537589e-10,5.23677025e+01
1.22405231e+00,2.82612711e-10,3.45471984e-10,7.69070307e-10,5.41334915e+01
1.28114390e+00,6.86038171e-10,8.48756176e-10,4.62493865e-09,6.59340973e+01
1.33970511e+00,1.54814028e-09,1.92858018e-09,1.96126706e-08,6.66780930e+01
1.39977336e+00,2.01567676e+04,2.82357754e+04,1.99690078e+04,2.10354004e+03
1.46138775e+00,2.51958633e+04,3.52743711e+04,2.36620527e+04,1.99306079e+03
1.52458799e+00,1.42003750e+04,1.98790312e+04,1.34114727e+04,1.30368921e+03
1.58941495e+00,1.42799297e+04,1.99986289e+04,1.38841719e+04,1.61223376e+03
1.65591037e+00,1.55771387e+04,2.18189297e+04,1.53255664e+04,1.86945020e+03
1.72411728e+00,1.64642402e+04,2.30619453e+04,1.62223828e+04,1.96969495e+03
1.79407966e+00,1.63021270e+04,2.28336504e+04,1.59985840e+04,1.88120386e+03
1.86584306e+00,1.52523535e+04,2.13616426e+04,1.48803535e+04,1.69411401e+03
1.93945324e+00,1.36923486e+04,1.91754102e+04,1.32835488e+04,1.48014038e+03
2.01495814e+00,1.20498652e+04,1.68745039e+04,1.16492812e+04,1.30127417e+03
2.09240627e+00,1.06588047e+04,1.49265195e+04,1.03012598e+04,1.18102344e+03
2.17184782e+00,9.63921973e+03,1.34992646e+04,9.33918750e+03,1.11697803e+03
2.25333428e+00,8.98262891e+03,1.25806484e+04,8.74258008e+03,1.09621179e+03
2.33691788e+00,8.67604102e+03,1.21524492e+04,8.49872266e+03,1.12300623e+03
2.42265272e+00,8.71439844e+03,1.22076406e+04,8.60759473e+03,1.20999927e+03
2.51059437e+00,9.24286035e+03,1.29496162e+04,9.21645703e+03,1.37505029e+03
2.60079956e+00,1.03434941e+04,1.44932920e+04,1.04063398e+04,1.61461914e+03
2.69332647e+00,1.19475098e+04,1.67422949e+04,1.21125605e+04,1.95075439e+03
2.78823495e+00,1.40199824e+04,1.96477617e+04,1.43055410e+04,2.36444702e+03
2.88558602e+00,1.65442402e+04,2.31861641e+04,1.69612031e+04,2.84504590e+03
2.98544264e+00,1.93270391e+04,2.70863203e+04,1.98610977e+04,3.33435303e+03
3.08786964e+00,2.18059648e+04,3.05597656e+04,2.24063633e+04,3.70715527e+03
3.19293284e+00,2.34636836e+04,3.28813516e+04,2.40438809e+04,3.86040332e+03
3.30070019e+00,2.40990449e+04,3.37692539e+04,2.45632969e+04,3.76399121e+03
3.41124129e+00,2.38021797e+04,3.33502188e+04,2.40826133e+04,3.50262817e+03
3.52462745e+00,2.26814277e+04,3.17766367e+04,2.27517344e+04,3.12745312e+03
3.64093208e+00,2.08243066e+04,2.91717988e+04,2.07056602e+04,2.71915625e+03
3.76023054e+00,1.87421719e+04,2.62526836e+04,1.84914023e+04,2.34964014e+03
3.88259912e+00,1.67431602e+04,2.34510293e+04,1.64184609e+04,2.05904443e+03
4.00811720e+00,1.48681797e+04,2.08239746e+04,1.45193223e+04,1.82895923e+03
4.13686609e+00,1.32372812e+04,1.85395254e+04,1.29017637e+04,1.65641223e+03
4.26892853e+00,1.19874014e+04,1.67892363e+04,1.16862383e+04,1.56051306e+03
4.40439081e+00,1.10630312e+04,1.54951279e+04,1.08066309e+04,1.49325366e+03
4.54333878e+00,1.03809316e+04,1.45405605e+04,1.01779199e+04,1.47810791e+03
4.68586397e+00,1.00576152e+04,1.40886904e+04,9.91113965e+03,1.49860767e+03
4.83205652e+00,1.00904395e+04,1.41356250e+04,9.99435547e+03,1.56763940e+03
4.98201227e+00,1.03203555e+04,1.44586689e+04,1.02768301e+04,1.66092712e+03
5.13582754e+00,1.08030342e+04,1.51359570e+04,1.08209551e+04,1.79528210e+03
5.29360199e+00,1.15761875e+04,1.62200625e+04,1.16500479e+04,1.96198743e+03
5.45543718e+00,1.24817627e+04,1.74895742e+04,1.26084453e+04,2.14717334e+03
5.62143755e+00,1.34894209e+04,1.89019707e+04,1.36640107e+04,2.33712183e+03
5.79171038e+00,1.45563730e+04,2.03972461e+04,1.47700957e+04,2.54076733e+03
