Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,5.76791532e-15,1.20127195e-14,1.33236080e-01,4.47375107e+00
7.99999982e-02,6.57047875e-13,2.07549646e-12,1.41274825e-01,6.00228596e+00
1.19999997e-01,3.53593578e-11,1.15181267e-10,1.40852869e-01,6.66834736e+00
1.59999996e-01,2.25950425e-10,7.57949647e-10,1.62223920e-01,7.96995926e+00
2.00000003e-01,1.05519449e-09,3.63838382e-09,1.63639218e-01,8.10666847e+00
2.39999995e-01,4.12364765e-09,1.45736090e-08,1.78570062e-01,9.44698238e+00
2.80000001e-01,1.52741837e-08,5.39154712e-08,1.94266900e-01,1.06497269e+01
3.19999993e-01,5.88543969e-08,2.17777028e-07,2.32456625e-01,1.46964073e+01
3.60000014e-01,2.62099377e-07,9.62441845e-07,2.24369615e-01,1.66674767e+01
4.00000006e-01,7.94920538e-07,3.23718859e-06,2.86748707e-01,2.08079262e+01
4.39999998e-01,2.10888584e-06,8.34800085e-06,2.75755882e-01,2.40835266e+01
4.79999989e-01,3.86441479e-06,1.36888439e-05,3.18226397e-01,2.23538342e+01
5.19999981e-01,6.92165122e-06,2.17289671e-05,3.39888692e-01,2.53825417e+01
5.60000002e-01,1.15812281e-05,3.35519726e-05,4.00223792e-01,2.61143036e+01
6.00000024e-01,1.80363368e-05,5.23565614e-05,4.35851216e-01,2.77946091e+01
6.41029537e-01,3.63166691e-05,9.85125516e-05,4.84373152e-01,3.22026520e+01
6.83115125e-01,7.89663463e-05,1.87989965e-04,5.37371457e-01,2.88544884e+01
7.26283848e-01,2.03905947e-04,4.12730267e-04,5.90327621e-01,3.75497704e+01
7.70563781e-01,4.95422166e-04,8.87497561e-04,6.55351996e-01,3.91800499e+01
8.15983355e-01,1.02833519e-03,1.71612785e-03,7.00719118e-01,4.20903625e+01
8.62571895e-01,2.05181376e-03,3.26472684e-03,7.65438557e-01,4.07754822e+01
9.10359621e-01,3.28819430e-03,5.09112282e-03,8.13994110e-01,4.51518021e+01
9.59377348e-01,4.64469101e-03,7.15113245e-03,8.62739801e-01,4.33674164e+01
1.00965667e+00,6.29577506e-03,9.78430733e-03,9.17429686e-01,5.06941605e+01
1.06123006e+00,8.43312684e-03,1.32222921e-02,9.65130985e-01,4.73549118e+01
1.11413085e+00,1.14078205e-02,1.80172995e-02,1.04234409e+00,5.46961517e+01
1.16839325e+00,1.66153852e-02,2.63624750e-02,1.12330210e+00,5.63392029e+01
1.22405231e+00,2.39953641e-02,3.84723432e-02,1.20238042e+00,6.18724670e+01
1.28114390e+00,3.53757329e-02,5.72638288e-02,1.35287213e+00,6.97476807e+01
1.33970511e+00,5.01875021e-02,8.16122666e-02,1.54090130e+00,7.30003357e+01
1.39977336e+00,2.07146250e+04,2.90029453e+04,1.95453613e+04,1.37415344e+03
1.46138775e+00,2.69690742e+04,3.77146875e+04,2.28357012e+04,1.46654468e+03
1.52458799e+00,1.68497637e+04,2.35596836e+04,1.44675049e+04,1.09580322e+03
