Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,1.34124029e-25,1.76637666e-25,3.49297693e-19,2.60869265e+00
7.99999982e-02,8.75627842e-23,1.13476518e-22,6.87496353e-08,3.14213109e+00
1.19999997e-01,9.58490236e-20,1.20714590e-19,1.89387993e-05,3.21220231e+00
1.59999996e-01,8.38804320e-18,1.09105404e-17,5.97455110e-05,3.66598606e+00
2.00000003e-01,2.33515363e-16,3.08485720e-16,6.86649146e-05,3.78755236e+00
2.39999995e-01,3.12083225e-14,3.94671478e-14,8.30287463e-05,4.23328495e+00
2.80000001e-01,7.23891487e-13,9.24847438e-13,3.04017536e-04,4.60261059e+00
3.19999993e-01,1.32106492e-10,1.67784203e-10,3.44255182e-04,4.93221664e+00
3.60000014e-01,2.00817007e-09,2.70553158e-09,1.31915661e-03,5.12158585e+00
4.00000006e-01,5.17981711e-08,7.16230701e-08,1.29212765e-03,5.43479919e+00
4.39999998e-01,3.26959196e-07,4.78649440e-07,1.80144189e-03,5.74234104e+00
4.79999989e-01,1.51668223e-06,2.23396319e-06,5.97739220e-03,6.35001087e+00
5.19999981e-01,6.05202786e-06,8.77351158e-06,8.80136713e-03,6.40636015e+00
5.60000002e-01,1.87459827e-05,2.66090210e-05,2.15542708e-02,7.06959248e+00
6.00000024e-01,5.28184282e-05,7.30904285e-05,2.65033599e-02,7.06776190e+00
6.41029537e-01,1.00679732e-04,1.36905772e-04,5.52554429e-02,7.52002764e+00
6.83115125e-01,1.73614288e-04,2.31999002e-04,6.34081960e-02,8.06269646e+00
7.26283848e-01,2.75855797e-04,3.62588093e-04,9.43609551e-02,8.59871578e+00
7.70563781e-01,3.94847069e-04,5.12169325e-04,1.31341547e-01,9.19411755e+00
8.15983355e-01,5.35815838e-04,6.88643544e-04,1.83992356e-01,9.98910809e+00
8.62571895e-01,6.97376207e-04,8.90145195e-04,2.12872326e-01,1.19488316e+01
9.10359621e-01,9.05244029e-04,1.17773574e-03,2.49753177e-01,1.10655117e+01
9.59377348e-01,1.31031615e-03,1.76291715e-03,2.70593613e-01,1.44302711e+01
