Height (km), 7_8 um ash conc (g/kg), 15_6 um ash conc (g/kg), 125 um ash conc (g/kg), 1 mm ash conc (g/kg)
0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3.99999991e-02,7.22332805e-10,1.58967073e-09,4.32687415e-08,1.44578576e+00
7.99999982e-02,5.13299048e-09,1.26679085e-08,4.10571403e-07,4.03222227e+00
1.19999997e-01,2.22480168e-08,6.55874572e-08,1.89087166e-06,8.43910027e+00
1.59999996e-01,2.23152085e-07,7.70574729e-07,5.88819876e-06,1.36712418e+01
2.00000003e-01,3.78441626e-07,1.38675227e-06,1.09831617e-05,1.43290405e+01
2.39999995e-01,9.71439704e-07,3.59019418e-06,1.40894372e-05,2.09766045e+01
2.80000001e-01,1.65393249e-06,6.18122613e-06,2.56477397e-05,2.23991947e+01
3.19999993e-01,2.33903825e-06,9.05072920e-06,2.52644313e-05,3.00283985e+01
3.60000014e-01,3.76980415e-06,1.44633268e-05,4.44172110e-05,3.12869148e+01
4.00000006e-01,6.27536156e-06,2.79282267e-05,5.78392755e-05,3.92796440e+01
4.39999998e-01,1.37474281e-05,5.76224302e-05,1.38553485e-04,4.05829697e+01
4.79999989e-01,2.73958103e-05,1.21235753e-04,1.92373656e-04,4.92667198e+01
5.19999981e-01,4.93846674e-05,1.96584821e-04,4.44774079e-04,5.12161751e+01
5.60000002e-01,9.79599427e-05,3.72647366e-04,6.96935691e-04,6.19771652e+01
6.00000024e-01,1.55596339e-04,5.56718325e-04,1.34945312e-03,6.52697983e+01
6.41029537e-01,3.62594321e-04,1.20504107e-03,2.23368430e-03,7.49585724e+01
6.83115125e-01,4.94731707e-04,1.59008126e-03,3.95468296e-03,7.86386566e+01
7.26283848e-01,8.08735669e-04,2.45347386e-03,4.93857358e-03,8.35732498e+01
7.70563781e-01,1.43161742e-03,4.05899202e-03,7.70065980e-03,9.12569275e+01
8.15983355e-01,3.13046528e-03,7.85508472e-03,1.26196044e-02,1.01811012e+02
8.62571895e-01,4.05288953e-03,9.27213673e-03,1.53498370e-02,1.09746323e+02
9.10359621e-01,6.77425181e-03,1.37025816e-02,2.10617501e-02,1.25596703e+02
9.59377348e-01,8.15229490e-03,1.48804542e-02,2.73852833e-02,1.37511169e+02
1.00965667e+00,1.10352030e-02,1.92699805e-02,3.77858207e-02,1.54662827e+02
1.06123006e+00,1.41636329e-02,2.45556738e-02,4.94602062e-02,1.75103806e+02
1.11413085e+00,1.67490095e-02,2.96543520e-02,6.30966499e-02,2.02999817e+02
1.16839325e+00,2.11163294e-02,3.90389897e-02,8.37548524e-02,2.35840805e+02
1.22405231e+00,2.99447216e-02,5.26460446e-02,1.04535095e-01,2.74657898e+02
1.28114390e+00,4.13215980e-02,6.28391206e-02,1.29634172e-01,3.24812012e+02
1.33970511e+00,4.25967053e-02,5.61581478e-02,1.53347611e-01,3.73296936e+02
1.39977336e+00,2.05868242e+04,2.88217422e+04,1.92788516e+04,1.58003833e+03
1.46138775e+00,2.53103320e+04,3.53943047e+04,2.13886797e+04,1.78339722e+03
1.52458799e+00,1.56712373e+04,2.19113672e+04,1.33906602e+04,1.55366492e+03
1.58941495e+00,1.53619941e+04,2.14920273e+04,1.36879062e+04,1.78184155e+03
1.65591037e+00,1.50525488e+04,2.10609570e+04,1.34877061e+04,1.80540894e+03
1.72411728e+00,1.37501055e+04,1.92378672e+04,1.22720703e+04,1.72528052e+03
1.79407966e+00,1.19860566e+04,1.67698262e+04,1.06974277e+04,1.67651599e+03
1.86584306e+00,1.05829912e+04,1.48088672e+04,9.53470703e+03,1.66055200e+03
1.93945324e+00,1.01999551e+04,1.42771182e+04,9.37992969e+03,1.79575366e+03
2.01495814e+00,1.09226846e+04,1.52943809e+04,1.03168018e+04,2.07693262e+03
2.09240627e+00,1.27323086e+04,1.78342773e+04,1.23499590e+04,2.49244556e+03
2.17184782e+00,1.55568984e+04,2.17957969e+04,1.54149131e+04,3.09312207e+03
2.25333428e+00,1.87014844e+04,2.62043555e+04,1.87640547e+04,3.65339258e+03
2.33691788e+00,2.10992500e+04,2.95634883e+04,2.11981738e+04,3.94672437e+03
2.42265272e+00,2.22584102e+04,3.11849434e+04,2.22374688e+04,3.95024146e+03
2.51059437e+00,2.23884492e+04,3.13626641e+04,2.21126992e+04,3.81796362e+03
2.60079956e+00,2.14323125e+04,3.00172500e+04,2.08195352e+04,3.43418335e+03
